objectid,ueid_base,height3,recordedname1,height1,environmentaldisturbance1,currentuse3,soilcondition,historicalindicators3,height6,latinname1
1893,Q024_1986_111,All,Black cherry,All,,Horses,,,<5' & 5-30',Prunus serotina
333,Q001_1987_344,,Black locust,5'-30',,,Dry,,,Robinia pseudoacacia
1941,Q024_1986_149,<5' & 5-30',Black locust,<5' & 5-30',Dumping,,Dry,,,Robinia pseudoacacia
1867,Q024_1986_99,,Wild grape,<5' & 5-30',Trash,Vehicle access,Dry,,,Vitis sp.
156,Q001_1987_152,<5',White ash,>30',,,Moist,,,Fraxinus americana
303,Q001_1987_301,,Mugwort,<5',,,Dry,,,Artemisia vulgaris
532,X268_2007_50,<5',Mugwort,<5',,,Dry/Moist,,,Artemisia vulgaris
1887,Q024_1986_44,<5',Phragmites,<5',Dumping,,Dry,,,Phragmites australis
603,Q021_1988_161,>30' & 5-30',Sassafras,<5' & 5-30',Trash,,Dry,,,Sassafras albidum
388,X092_2010_1083,,"Maple, red",<5' & 5-30',Trash,,Moist,,,Acer rubrum var. rubrum
1927,Q024_1986_18,All,Black locust,>30',,,Moist,,5-30',Robinia pseudoacacia
321,Q001_1987_321,<5',Mugwort,<5',Compaction,,Moist,,,Artemisia vulgaris
177,Q001_1987_167,All,White ash,All,Erosion,,Moist,,,Fraxinus americana
240,Q001_1987_222,>30' & 5-30',Red oak,>30' & 5-30',,,Dry,,,Quercus rubra
1953,X080_2007_3,,Cool season grass,<5',,,Dry/Moist,,,
358,Q001_1987_356,,Bittersweet,<5' & 5-30',Trash,,Dry,,,Celastrus orbiculatus
1916,Q024_1986_26,<5',Cool season grass,<5',Compaction,Foot traffic,Dry,,,
475,X268_2007_6,<5' & 5-30',"Locust, black",5'-30',Trash,,Dry/Moist,,,Robinia pseudoacacia
241,Q001_1987_220,,Black birch,<5' & 5-30',,,Dry,,,Betula lenta
1864,Q024_1986_93,All,Pin oak,All,Compaction,,Dry,,,Quercus palustris
708,Q021_1988_2,,Cool season grass,<5',,,Dry,,,
17,Q001_1987_17,All,Gray birch,5'-30',Erosion,,Dry,,,Betula populifolia
649,Q021_1988_20,>30',Sweetgum,>30',Trash,,Moist,,,Liquidambar styraciflua
417,X308_2005_4,<5',"Nightshade, black",<5',Clearing 2005,,Dry/Moist,,<5',Solanum nigrum
146,Q001_1987_137,All,Hickory spp.,All,Erosion,Vehicle,Dry,,,Carya spp.
78,Q001_1987_70,<5',American beech,All,Compaction,,Dry,,,Fagus grandifolia
38,Q001_1987_129,,Sassafras,All,Fire,,Dry,,,Sassafras albidum
335,Q001_1987_346,<5',S.m cordgrass,<5',Dumping,,Surface water,,,Spartina sp.
193,Q001_1987_186,All,White oak,All,,,Dry,,5-30' &<5',Quercus alba
547,X005_2007_13,,"Oak, red",>30',,,Dry/Moist,,,Quercus rubra
1915,Q024_1986_66,<5',Mugwort,<5',Compaction,,Wet,,,Artemisia vulgaris
1991,Q020_2005_15,,,,,,Surface water,,,
289,Q001_1987_295,All,Goldenrod,<5',,,Dry,,,Solidago sp.
518,X268_2007_66,5'-30',"Mulberry, white",5'-30',Trash,,Dry/Moist,,<5',Morus alba
712,Q021_1988_2,,Cool season grass,<5',,,Dry,,,
243,Q001_1987_318,<5',Bittersweet,<5' & 5-30',,,Dry,,,Celastrus orbiculatus
87,Q001_1987_40,All,Black birch,All,Leaf dump,Dirt bikes,Dry,,All,Betula lenta
1811,B384_1988_14,,Phragmites,<5' & 5-30',Dumping,,Moist,,,Phragmites australis
618,Q021_1988_178,,Red maple,All,Auto,,Wet,,,Acer rubrum var. rubrum
205,Q001_1987_196,<5',Sycamore maple,All,Erosion,,Dry,Walkway,All,Acer pseudoplatanus
421,X308_2005_6,<5',"Bittersweet, Oriental",<5',,,Dry/Moist,Seawall/dock,<5',Celastrus orbiculatus
178,Q001_1987_171,<5' & 5-30',White ash,All,,,Dry,,,Fraxinus americana
