property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
(7107) - 302 96th Street Owners,Ok,1951,Not Available,1.40612,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,136.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,60.4,Not Available,Bay Ridge,Not Available,Not Available,Not Available,Not Available,-74.033516,97,Not Available,Not Available,Whole Building,60555.9,Not Available,120900.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122,676.9,7131137,366667.3,Not Available,Not Available,Not Available,Not Available,11209,Not Available,0,43.0,10,Not Available
340 E 34th Street,Ok,1962,Not Available,1.45,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,147.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,78.1,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.974583,68,Not Available,Not Available,Whole Building,67238.2,11127,151127.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11127,0,873.6,11814332,995603.1,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,2.0,11,Not Available
America Beech Ave,Ok,1959,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,6083.9,Ok,Not Available,Not Available,Not Available,Not Available,52.4,Not Available,Flushing,Not Available,Not Available,Not Available,Not Available,-73.822958,11,Not Available,Not Available,Whole Building,Not Available,Not Available,96774.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,309.4,5025449.4,1485919.7,Not Available,Not Available,Not Available,Not Available,11355,Not Available,0,20.0,6,Not Available
The Bainbridge Rehabilitation Center,Ok,1971,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,201.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.1,156,Not Available,Norwood,Not Available,Not Available,Not Available,Not Available,-73.878377,20,Not Available,Not Available,Whole Building,94328.1,Not Available,83500.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,630.9,12802756.8,1053320.6,Not Available,Not Available,Not Available,Not Available,10467,Not Available,0,11.0,Not Available,Not Available
1270 Realty Co. LLC,Ok,1931,Not Available,1.04487,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,119.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,65.5,Not Available,Midwood,Not Available,Not Available,Not Available,Not Available,-73.956458,88,Not Available,Not Available,Whole Building,55179,Not Available,97620.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77,495.5,6329148.8,257073.5,Not Available,Not Available,Not Available,Not Available,11230,Not Available,0,44.0,6,Not Available
(7134) - Vaux Condominium,Ok,1961,Not Available,2.32605,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,158,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,103.5,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.964709,54,Not Available,Not Available,Whole Building,133831.5,Not Available,323725.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2348.3,33640326.1,2032310.1,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,7.0,19,Not Available
Beech Hills 1-5,Ok,1951,Not Available,1.88366,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,135.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,100.9,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.732373,34,Not Available,3509110.1,Not Available,Not Available,Not Available,44594.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8180,0,314.5,4489518.7,281766.7,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,0,Not Available
280 Fort Washington Ave,Ok,1915,Not Available,1.64237,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,148.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,51.7,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.940859,100,Not Available,Not Available,Whole Building,29688.7,Not Available,68803.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39,422.4,3467344.2,172346,Not Available,Not Available,Not Available,Not Available,10032,Not Available,0,10.0,0,Not Available
CW Diesel 220 West 19th Street,Ok,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,92532,Not Available,Whole Building,Not Available,Not Available,Not Available,233.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,70.1,100,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Available,Not Available,-73.998528,74,Not Available,Not Available,Whole Building,24459.4,Not Available,110032.0,1,Not Available,200,Not Available,Not Available,Not Available,Not Available,Not Available,17500,Not Available,761.8,7716639.8,1545272.8,Not Available,Not Available,Not Available,Not Available,10011,Not Available,0,3.0,Not Available,Not Available
3671 Hudson Manor Terrace,Ok,1963,Not Available,1.63827,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,139.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,122.7,Not Available,North Riverdale-Fieldston-Riverdale,Not Available,Not Available,Not Available,Not Available,-73.91575,18,Not Available,Not Available,Whole Building,222970.6,Not Available,219744.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1263.7,27021761.2,1366825.3,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,12,Not Available
