property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
First Housing Company Inc.,Ok,1953,Not Available,2.12,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,148.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,27.8,Not Available,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,Not Available,Not Available,-73.807356,97,Not Available,Not Available,Whole Building,Not Available,Not Available,350000.0,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,235,1373.7,10095903,2853584.2,Not Available,Not Available,Not Available,Not Available,11365,Not Available,0,24.0,47,Not Available
148 Lafayette,Ok,1913,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,126053,Not Available,Whole Building,Not Available,Not Available,Not Available,262.5,Not Available,Not Available,Ok,Not Available,10/16/2015,Not Available,0.2,70.6,100,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Available,Not Available,-73.999553,79,Not Available,Not Available,Whole Building,28886.1,5000,142254.0,1,0,390.69,Not Available,Not Available,Not Available,Not Available,Not Available,11201,Not Available,4427.9,10054466.9,2095014.2,Not Available,Not Available,Not Available,Not Available,10013,Not Available,0,1.0,Not Available,Not Available
123 Apartments Corp,Ok,1924,Not Available,1.1644,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,125.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,77.6,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.978776,67,Not Available,Not Available,Not Available,33773.3,Not Available,54105.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,272.6,4106697.8,240574.7,Not Available,Not Available,Not Available,Not Available,10023,Not Available,0,6.0,3,Not Available
Two Double Four Nought,Ok,1930,Not Available,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Common areas only,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bedford Park-Fordham North,Not Available,Not Available,Not Available,Not Available,-73.895642,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,50000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60,193.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10458,Not Available,Not Available,15.0,0,Not Available
TEN WEST THIRTH THIRD ASSOCIATES,Ok,1914,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,357630,Not Available,Whole Building,Not Available,Not Available,Not Available,237.5,Not Available,15784.9,Ok,Not Available,07/02/2015,Not Available,0.2,62.6,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.985607,80,Not Available,Not Available,Whole Building,66998.7,Not Available,382200.0,1,Not Available,500,Not Available,Not Available,Not Available,Not Available,Not Available,24570,Not Available,2648.5,24233971.3,5043508.4,Not Available,Not Available,Not Available,Not Available,10001,Not Available,0,4.0,Not Available,Not Available
2150 Wallace Avenue,Ok,1929,Not Available,1.54447,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,103.3,Not Available,Pelham Parkway,Not Available,Not Available,Not Available,Not Available,-73.864783,14,Not Available,5473394,Whole Building,7810,Not Available,69927.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29,456.4,7917174.3,487333,Not Available,Not Available,Not Available,Not Available,10462,Not Available,0,13.0,2,Not Available
Deepdale Gardens D13,Ok,1951,Not Available,1.87636,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,133.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.1,131.2,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.730669,11,Not Available,Not Available,Not Available,57484.1,Not Available,51163.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4480,0,288,6657192.3,282270.7,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,3,Not Available
990 AvAmericas,Ok,1986,Parking,1.34752,Not Available,No,Not Available,Not Available,Not Available,Ok,53000,Not Available,Whole Building,Not Available,Not Available,Not Available,171.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,116,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.986776,37,Not Available,Not Available,Whole Building,295392.8,11000,346000.0,1,0.09091,180,Not Available,Not Available,Not Available,Not Available,Not Available,53000,0,2244.9,40393041.9,3102356,Not Available,Not Available,Not Available,Not Available,10018,Not Available,0,4.0,40,Not Available
Sojourner Truth Houses,Ok,1985,Not Available,1.0785,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,122.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,64.8,Not Available,Morningside Heights,Not Available,Not Available,Not Available,Not Available,-73.961739,96,Not Available,Not Available,Not Available,73756.1,Not Available,123320.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92,692.5,7903464.9,179590.7,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,7.0,8,Not Available
3001 Henry Hudson Pkwy,Ok,1934,Not Available,1.57976,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,141,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,77.2,Not Available,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,Not Available,Not Available,-73.9161,88,Not Available,Not Available,Whole Building,86283.9,Not Available,130400.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,778.7,9890600.2,420534.5,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,14,Not Available
ASPCA,Ok,1991,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,123.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.1,224.3,Not Available,Yorkville,Not Available,Not Available,Not Available,Not Available,-73.945654,Not Available,Not Available,Not Available,Whole Building,63023.5,Not Available,55000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,220.4,12489927.7,1769154.2,Not Available,Not Available,Not Available,Not Available,10128,Not Available,0,5.0,Not Available,Not Available
Royal Industries,Ok,1931,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Common areas only,Not Available,Not Available,Not Available,60,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,54.2,Not Available,,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,18073.5,Not Available,56400.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115.6,3019821.6,366799.9,Not Available,Not Available,Not Available,Not Available,11232,Not Available,0,,Not Available,Not Available
2011 Ocean Avenue,Ok,1948,Not Available,1.4918,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,140.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,72.7,Not Available,Midwood,Not Available,Not Available,Not Available,Not Available,-73.953919,88,Not Available,Not Available,Whole Building,30407.3,Not Available,61000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77,366.8,4384039.1,234678.7,Not Available,Not Available,Not Available,Not Available,11230,Not Available,0,48.0,8,Not Available
1760 Union St LLC,Ok,1930,Not Available,1.09074,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,125.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,55.3,Not Available,Crown Heights North,Not Available,Not Available,Not Available,Not Available,-73.929625,96,Not Available,Not Available,Whole Building,30155.4,Not Available,66010.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60,339.1,3622123.6,186531.9,Not Available,Not Available,Not Available,Not Available,11213,Not Available,0,41.0,0,Not Available
(7109) - Flagg Court Owners Corp,Ok,1932,Not Available,2.70967,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,167.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,88.4,Not Available,Bay Ridge,Not Available,Not Available,Not Available,Not Available,-74.030261,81,Not Available,Not Available,Whole Building,255045.8,Not Available,369049.0,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,455,2417,31906345.5,2088293.6,Not Available,Not Available,Not Available,Not Available,11209,Not Available,0,43.0,30,Not Available
Marco Hotel,Ok,2006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,159.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,126.6,Not Available,Flushing,Not Available,Not Available,Not Available,Not Available,-73.830942,8,Not Available,Not Available,Not Available,30470.1,Not Available,44000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,233.4,5632888.5,739722.8,Not Available,Not Available,Not Available,Not Available,11354,Not Available,0,20.0,Not Available,Not Available
311nk-Courtyard by Marriott/Fifth Avenue,Ok,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,238.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.1,148.7,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.981466,44,Not Available,Not Available,Whole Building,78911.5,Not Available,74485.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,661.8,11205876.4,933532.4,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,4.0,Not Available,Not Available
WHITEHALL APARTMENTS,Ok,1920,Not Available,0.56585,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,162.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,106.4,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.970687,45,Not Available,Not Available,Whole Building,88881.4,8500,111000.0,1,0.23529,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8500,0,694,11836316.3,857519,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,6.0,10,Not Available
79 Brighton 11th Street,Ok,1936,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,122,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1.4,150.8,Not Available,Brighton Beach,Not Available,Not Available,Not Available,Not Available,-73.957023,4,Not Available,Not Available,Whole Building,69841,Not Available,50500.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.86,280,7615212.8,184969,Not Available,Not Available,Not Available,Not Available,11235,Not Available,0,48.0,Not Available,Not Available
1 Arden Street,Ok,1916,Supermarket/Grocery Store,2.07466,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,80.1,Not Available,Washington Heights North,Not Available,Not Available,Not Available,Not Available,-73.926684,Not Available,Not Available,Not Available,Whole Building,42289.5,4600,69225.0,1,0.21739,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4600,88,345.2,5574131.6,385442.9,Not Available,Not Available,Not Available,Not Available,10040,Not Available,0,10.0,15,Not Available
Flushing Tower Condo,Ok,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,63966,Not Available,Whole Building,Not Available,Not Available,Not Available,198,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,73.3,100,Flushing,Not Available,Not Available,Not Available,Not Available,-73.833365,80,Not Available,Not Available,Not Available,29626.6,Not Available,63966.0,1,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,446.6,4715018,506776.9,Not Available,Not Available,Not Available,Not Available,113542745,Not Available,0,20.0,Not Available,Not Available
Third Hsg Bldg #2,Ok,1953,Not Available,2.05714,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,1261.2,Ok,Not Available,Not Available,Not Available,0.8,75.3,Not Available,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,Not Available,Not Available,-73.807883,Not Available,Not Available,Not Available,Whole Building,13185.1,Not Available,17500.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,113.2,1313900,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,24.0,4,Not Available
2285 Ocean LLC,Ok,1937,Not Available,1.19048,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,125,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,67.1,Not Available,Madison,Not Available,Not Available,Not Available,Not Available,-73.952595,87,Not Available,Not Available,Whole Building,54451.7,Not Available,96600.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85,500,6371306.3,303896.3,Not Available,Not Available,Not Available,Not Available,11229,Not Available,0,48.0,5,Not Available
1970 Walton Ave,Ok,1927,Not Available,1.53954,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,126.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,123.3,Not Available,Mount Hope,Not Available,Not Available,Not Available,Not Available,-73.908129,6,Not Available,Not Available,Whole Building,67423,Not Available,68202.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23,345.3,8456502.4,488665.6,Not Available,Not Available,Not Available,Not Available,10453,Not Available,0,14.0,0,Not Available
Beth Jacob Teachers Seminary,Ok,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,112.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,75.4,Not Available,Borough Park,Not Available,Not Available,Not Available,Not Available,-73.984979,19,Not Available,Not Available,Whole Building,27218.7,Not Available,65792.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,245.7,4943418,655430.9,Not Available,Not Available,Not Available,Not Available,11219,Not Available,0,44.0,Not Available,Not Available
West 41 Property,Ok,1987,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,1705.6,Ok,Not Available,Not Available,Not Available,Not Available,60.8,Not Available,Clinton,Not Available,Not Available,Not Available,Not Available,-73.994802,3,Not Available,Not Available,Whole Building,Not Available,Not Available,64662.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,206.8,3896678.4,1152065.4,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,3.0,8,Not Available
410 West 13th Street,Ok,2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,33920,Not Available,Whole Building,Not Available,Not Available,Not Available,201.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,104.6,100,West Village,Not Available,Not Available,Not Available,Not Available,-74.006427,21,Not Available,Not Available,Whole Building,14752.3,29729,29170.0,1,0,70,Not Available,Not Available,Not Available,Not Available,Not Available,29729,Not Available,364.7,6723438,1519619.8,Not Available,Not Available,Not Available,Not Available,10014,Not Available,0,3.0,Not Available,Not Available
567 Fort Washington Avenue,Ok,1920,Not Available,1.2,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,115.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,Not Available,Not Available,Washington Heights North,Not Available,Not Available,Not Available,Not Available,-73.9372,59,Not Available,Not Available,Whole Building,2324.3,Not Available,70000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20,470.2,5899312.6,222504.7,Not Available,Not Available,Not Available,Not Available,10033,Not Available,0,10.0,4,Not Available
73R70-NYC Central Park Ritz Carlton,Ok,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,106.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,67.8,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.975051,5,Not Available,Not Available,Whole Building,32673.7,Not Available,254829.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,765.1,17286865.4,4106730.3,Not Available,Not Available,Not Available,Not Available,10019,Not Available,0,4.0,Not Available,Not Available
185 Montague (E10),Ok,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,54300,Not Available,Whole Building,Not Available,Not Available,Not Available,148.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,100,Brooklyn Heights-Cobble Hill,Not Available,Not Available,Not Available,Not Available,-73.991832,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,58000.0,1,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,3700,Not Available,262.9,4899164.3,Not Available,Not Available,Not Available,Not Available,Not Available,11201,Not Available,0,33.0,Not Available,Not Available
Beech Hills 2-7,Ok,1952,Not Available,1.8084,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,129.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,107.1,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.736878,27,Not Available,4039868.8,Not Available,Not Available,Not Available,46450.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2090,0,328.5,4950099.4,262727.3,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,8,Not Available
330 Tompkins Avenue (American Self Storage),Ok,1924,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,American Self Storage,117.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,7,Not Available,Grymes Hill-Clifton-Fox Hills,Not Available,Not Available,Not Available,Not Available,-74.07495,100,Not Available,Not Available,Whole Building,2208,Not Available,215365.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,703.7,1515312.8,379399.9,Not Available,Not Available,Not Available,Not Available,10305,Not Available,0,49.0,Not Available,Not Available
550 Ocean Avenue - 24263,Ok,1930,Not Available,0.88605,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,115.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,87.8,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.960889,45,Not Available,Not Available,Whole Building,42339,Not Available,56430.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36,276.5,4931213.4,211346.6,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,2,Not Available
81st Realty Corp.,Ok,1955,Office,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,608,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,20.1,100,Upper East Side-Carnegie Hill,Not Available,Not Available,Not Available,Not Available,-73.961308,Not Available,Not Available,Not Available,Not Available,1423.8,3450,53880.0,1,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,3450,0,189.9,1105877.7,275040.6,Not Available,Not Available,Not Available,Not Available,10028,Not Available,0,4.0,Not Available,Not Available
Deepdale Gardens J12,Ok,1953,Not Available,1.93213,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,133,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,115.3,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.725154,19,Not Available,Not Available,Not Available,60366.1,Not Available,64178.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4756,0,347.7,7298293.5,399162.6,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,4,Not Available
85 Broad Street,Ok,1983,Not Available,Not Available,265192.2,Not Available,Not Available,Not Available,Not Available,Ok,760924.8,Not Available,Whole Building,Not Available,Not Available,Not Available,269.5,1195.03,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,67.6,100,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.011559,86,Not Available,Not Available,Not Available,Not Available,Not Available,1026117.0,1,Not Available,2793.04,Not Available,Not Available,Not Available,Not Available,Not Available,265192.2,Not Available,8684.7,68675462.9,13001959.9,Not Available,Not Available,Not Available,Not Available,10004,Not Available,0,1.0,Not Available,Not Available
"Amsterco 67, LLC",Ok,1986,Other,0.89087,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,123.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,65.3,Not Available,Lincoln Square,Not Available,Not Available,Not Available,Not Available,-73.982969,46,Not Available,Not Available,Whole Building,146804.3,Not Available,511001.0,1,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available,57000,0,2259.7,33714579.4,4034257.2,Not Available,Not Available,Not Available,Not Available,10023,Not Available,0,6.0,0,Not Available
35-20 Leverich St,Ok,1964,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,92.3,Not Available,Jackson Heights,Not Available,Not Available,Not Available,Not Available,-73.895406,31,Not Available,Not Available,Whole Building,126518.2,Not Available,170708.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,827.9,15727358.8,908410,Not Available,Not Available,Not Available,Not Available,11372,Not Available,0,25.0,Not Available,Not Available
Club Quarters,Ok,2009,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,221.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,116.2,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.013992,36,Not Available,Not Available,Not Available,8640.5,Not Available,183235.0,1,Not Available,Not Available,Not Available,Not Available,971,Not Available,Not Available,Not Available,Not Available,1408.9,21547405.5,2943482.5,Not Available,Not Available,Not Available,Not Available,10006,Not Available,0,1.0,Not Available,Not Available
2530 Independence Ave,Ok,1961,Not Available,1.39733,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,132.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,88.6,Not Available,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,Not Available,Not Available,-73.921025,64,Not Available,Not Available,Whole Building,23672.2,Not Available,82300.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,553.7,7317823,328891.4,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,9,Not Available
ELEVEN FIFTEEN ASSOCIATES,Ok,1914,Restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,272754,Not Available,Whole Building,Not Available,Not Available,Not Available,225.7,Not Available,Not Available,Ok,Not Available,08/27/2015,Not Available,0,Not Available,100,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Available,Not Available,-73.989185,79,Not Available,Not Available,Whole Building,9279.6,Not Available,308313.0,1,Not Available,300,Not Available,Not Available,Not Available,Not Available,Not Available,19670,Not Available,2230.8,19471143.3,3865316.4,Not Available,Not Available,Not Available,Not Available,10010,Not Available,0,3.0,Not Available,Not Available
576 EASTERN PARKWAY,Ok,1952,Not Available,1.76796,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,143.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,77.4,Not Available,Crown Heights South,Not Available,Not Available,Not Available,Not Available,-73.949313,83,Not Available,680067.9,Whole Building,29369.1,Not Available,54300.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48,341.9,4330485.5,212330.9,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,35.0,0,Not Available
775 Columbus Avenue,Ok,2007,K-12 School,0.94201,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,147.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,120.9,Not Available,Upper West Side,Not Available,Not Available,Not Available,9.91,-73.966644,3,Not Available,Not Available,Not Available,53358.3,17196,100257.0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17196,0,463.7,12054162.7,1987220.5,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,7.0,4,Not Available
Columbus W82nd Apartments Corporation,Ok,1924,Not Available,1.2987,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,131,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,3.1,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.97525,100,Not Available,Not Available,Not Available,Not Available,Not Available,77000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50,266.5,238703.5,69960,Not Available,Not Available,Not Available,Not Available,10024,Not Available,0,6.0,10,Not Available
