property_id,multifamily_housing_percent,alert_no_meters_are_associated,multifamily_housing_resident,office_number_of_workers,strip_mall_gross_floor_area,multifamily_housing_percent_1,data_center_ups_system,total_ghg_emissions_metric,urgent_care_clinic_other,largest_property_use_type_1,restaurant_gross_floor_area,municipally_supplied_potable_2,non_refrigerated_warehouse,hospital_general_medical_5,repair_services_vehicle_shoe,_2nd_largest_property_use,estimated_data_flag_natural,percent_of_electricity_that,electricity_use_generated,_3rd_largest_property_use_1,data_center_gross_floor_area,electricity_use_grid_purchase_1,site_eui_kbtu_ft,mailing_center_post_office,occupancy,hotel_room_density_number,source_energy_use_kbtu,nyc_borough_block_and_lot,hospital_general_medical_12,city,hospital_general_medical_6,generation_date,borough,hospital_general_medical_17,electricity_use_generated_1,medical_office_gross_floor,food_sales_gross_floor_area,electricity_use_grid_purchase,community_board,alert_property_has_no_uses,national_median_source_energy,estimated_data_flag_fuel_2,pre_school_daycare_gross,other_number_of_workers_on,hospital_general_medical_16,hotel_worker_density_number,property_gfa_epa_calculated,hospital_general_medical_9,date_property_last_modified,data_center_it_energy,data_quality_checker_run,k_12_school_gross_floor_area,nyc_building_identification,data_center_it_equipment,electricity_use_generated_2,largest_property_use_type,retail_store_number_of_walk,social_meeting_hall_gross,multifamily_housing_number_1,alert_individual_monthly
2792922,0,Ok,No specific resident population,0,Not Available,100,Not Available,494.5,Not Available,62192.0,Not Available,76.59,Not Available,Not Available,Not Available,Office,No,0,Not Available,Not Available,Not Available,1420159,105,Not Available,100,Not Available,9626175,1-00818-0010,Not Available,New York,Not Available,2016-03-23T12:28:20.000,MANHATTAN,Not Available,Not Available,Not Available,Not Available,1420158.9,105.0,Ok,8920001.6,Not Available,Not Available,Not Available,Not Available,Not Available,62192.0,Not Available,09/03/2014 11:21 PM EDT,Not Available,True,Not Available,1015376,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,0,Ok
2820857,0,Ok,Not Available,Not Available,Not Available,90,Not Available,404,Not Available,61500.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,1014433.7,114.4,Not Available,100,Not Available,9508252.8,2-02841-0018,Not Available,New York,Not Available,2016-03-23T11:11:45.000,BRONX,Not Available,Not Available,Not Available,Not Available,1014433.7,204.0,Ok,8337594.9,Not Available,Not Available,Not Available,Not Available,Not Available,61500.0,Not Available,01/23/2015 01:37 PM EST,Not Available,True,Not Available,2008059,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,0,Ok
4278872,0,Ok,No specific resident population,Not Available,Not Available,100,Not Available,643.4,Not Available,131040.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,2001967.1,83.4,Not Available,100,Not Available,15659466.8,3-05123-0051,Not Available,Brooklyn,Not Available,2016-03-28T12:47:21.000,BROOKLYN,Not Available,Not Available,Not Available,Not Available,2001967.1,314.0,Ok,15864369.5,Not Available,Not Available,Not Available,Not Available,Not Available,131040.0,Not Available,12/17/2014 09:30 AM EST,Not Available,False,Not Available,3117616,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Ok
2942059,90,Ok,No specific resident population,Not Available,Not Available,100,Not Available,268.5,Not Available,55123.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,682889.6,84.8,Not Available,100,Not Available,6332731,3-01333-0013,Not Available,Brooklyn,Not Available,2016-03-17T09:46:39.000,BROOKLYN,Not Available,Not Available,Not Available,Not Available,682889.7,309.0,Ok,7057609.6,Not Available,Not Available,Not Available,Not Available,Not Available,55123.0,Not Available,09/03/2014 11:22 PM EDT,Not Available,False,Not Available,3035500,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,0,Ok
2647376,0,Ok,Not Available,Not Available,Not Available,100,Not Available,654.7,Not Available,77088.0,11500,67.7,Not Available,Not Available,Not Available,Retail Store,No,0,Not Available,11500,Not Available,1885478.4,89,Not Available,100,Not Available,13173061,1-02179-0106,Not Available,New York,Not Available,2016-03-22T16:29:03.000,MANHATTAN,Not Available,Not Available,Not Available,Not Available,1885478.4,112.0,Ok,13173226.7,Not Available,Not Available,Not Available,Not Available,Not Available,101088.0,Not Available,09/03/2014 11:20 PM EDT,Not Available,True,Not Available,1064343,Not Available,Not Available,Multifamily Housing,0,Not Available,0,Ok
2802829,90,Ok,Not Available,Not Available,Not Available,90,Not Available,1982.1,Not Available,377214.0,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,No,0,Not Available,Not Available,Not Available,13966209.9,76.9,Not Available,100,Not Available,60139074.7,1-00026-0014,Not Available,New York,Not Available,2016-04-01T10:39:03.000,MANHATTAN,Not Available,Not Available,Not Available,Not Available,13966210.1,101.0,Ok,49841215.9,Not Available,Not Available,Not Available,Not Available,Not Available,383214.0,Not Available,09/03/2014 11:21 PM EDT,Not Available,False,Not Available,1078992,Not Available,Not Available,Multifamily Housing,0,Not Available,0,Ok
3114991,0,Ok,No specific resident population,Not Available,Not Available,80,Not Available,372,Not Available,58280.0,Not Available,22.4,Not Available,Not Available,Not Available,Retail Store,No,0,Not Available,675,Not Available,1124630,101.6,Not Available,100,Not Available,8978772.8,1022470001,Not Available,New York,Not Available,2016-03-27T17:07:58.000,MANHATTAN,Not Available,Not Available,Not Available,Not Available,1124629.9,112.0,Ok,7957897.4,Not Available,Not Available,Not Available,Not Available,Not Available,62205.0,Not Available,04/15/2015 07:53 PM EDT,Not Available,True,Not Available,1065057,Not Available,Not Available,Multifamily Housing,0,Not Available,0,Ok
4415002,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,63.3,Not Available,566968.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,762860.1,1.3,Not Available,100,Not Available,2395380.6,2-02499-0108,Not Available,Bronx,Not Available,2016-02-22T11:40:33.000,BRONX,Not Available,Not Available,Not Available,Not Available,762860.1,204.0,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,566968.0,Not Available,05/01/2015 06:49 PM EDT,Not Available,False,Not Available,2832054,Not Available,Not Available,Parking,Not Available,Not Available,Not Available,Possible Issue
2928732,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72000.0,Not Available,3.14,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,583487.1,Not Available,Not Available,100,Not Available,Not Available,4026100357,Not Available,Maspeth,Not Available,2016-03-17T17:17:27.000,QUEENS,Not Available,Not Available,Not Available,Not Available,583487.2,405.0,Ok,8864714.6,Not Available,Not Available,10,Not Available,Not Available,72000.0,Not Available,09/03/2014 11:22 PM EDT,Not Available,False,Not Available,4058995,Not Available,Not Available,Other,Not Available,Not Available,Not Available,Ok
3429061,0,Ok,No specific resident population,Not Available,Not Available,90,Not Available,306.2,Not Available,72623.0,Not Available,60.73,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,945249.6,72.1,Not Available,100,Not Available,7471537.8,3013080036,Not Available,Brooklyn,Not Available,2016-03-27T02:13:51.000,BROOKLYN,Not Available,Not Available,Not Available,Not Available,945249.7,309.0,Ok,8876099.3,Not Available,Not Available,Not Available,Not Available,Not Available,72623.0,Not Available,03/21/2016 04:31 PM EDT,Not Available,True,Not Available,3034523,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,20,Ok
