net_dev_area_sq_ft,ny_city_council_district,per_rental_room,number_of_stairhalls
"239,429",47,"$3,165",5.0
"558,096",16,"$4,068",6.0
"23,032",02,"$12,903",6.0
"47,204",02,"$9,907",1.0
"232,000",34,"$4,344",6.0
"117,000",08,"$3,350",4.0
"510,926",02,"$2,411",18.0
"25,086",10,"$15,823",7.0
"300,000",37,"$16,539",37.0
"249,250",42,"$7,813",13.0
"5,396",09,"$20,159",1.0
"21,844",27,"$7,061",1.0
"46,018",02,"$4,674",2.0
"63,546",10,"$5,007",1.0
"184,000",34,"$7,244",7.0
"19,319","16, 17","$17,309",3.0
"1,452,438",38,"$1,137",86.0
"465,764",41,"$3,122",8.0
"42,733",02,"$26,158",2.0
"304,776",36,"$3,350",7.0
"242,141",41,"$14,942",5.0
"95,000",42,"$7,712",10.0
"20,083",10,"$19,419",1.0
"96,933",01,"$1,175",8.0
"167,568",02,"$17,346",31.0
"812,641",35,"$1,681",45.0
"122,341",08,"$4,952",2.0
"63,254",41,"$4,637",1.0
"37,500",41,"$20,064",3.0
"84,400",42,"$6,784",33.0
"88,172",15,"$5,341",1.0
"1,036,600",46,"$2,779",32.0
"508,561",09,"$2,358",20.0
"1,311,306",42,"$2,835",22.0
"63,175",17,"$8,330",2.0
"274,300",16,"$10,584",5.0
"145,011",31,"$4,498",1.0
"440,715",49,"$4,129",6.0
"214,139",03,"$4,866",11.0
"88,155",35,"$8,489",1.0
"109,109","27, 28, 31","$3,645",23.0
"177,426",08,"$3,959",4.0
"563,737",17,"$2,131",9.0
"1,757,585",18,"$2,915",14.0
"732,841",41,"$2,054",46.0
"114,593",15,"$4,277",2.0
"27,477",07,"$3,382",1.0
"927,103",34,"$2,266",136.0
"27,419",37,"$12,257",1.0
"256,459",41,"$4,052",4.0
"151,467",08,"$2,515",4.0
"99,460",41,"$19,179",2.0
"24,462",07,,9.0
"12,860",08,"$7,289",2.0
"51,873",27,"$7,973",1.0
"1,299,426",42,"$2,767",19.0
"44,753",14,"$15,150",4.0
"52,523",08,"$8,055",1.0
"1,459,244",46,"$2,676",23.0
"142,730",41,"$8,168",5.0
"665,526",41,"$1,107",35.0
"80,525",42,"$6,699",3.0
"98,707",17,"$17,142",20.0
"1,151,484",22,"$2,519",22.0
