consolidated_tds_,development,us_congressional_district,cubage_cu_ft,borough,ny_state_assembly_district,total_number_of_apartments,bldg_coverage__,density
170,CONEY ISLAND,08,"4,912,800",BROOKLYN,46,534,12.75%,179.0
113,BUTLER,15,"13,527,100",BRONX,79,"1,492",15.81%,287.0
310,LAVANBURG HOMES,10,"937,200",MANHATTAN,74,104,55.93%,
060,BARUCH HOUSES ADDITION,10,"1,268,931",MANHATTAN,74,197,13.03%,463.0
234,INDEPENDENCE,07,"6,457,003",BROOKLYN,50,744,19.26%,318.0
093,MOORE,14,"4,029,275",BRONX,84,463,18.65%,364.0
018,RIIS,10,"9,657,260",MANHATTAN,74,"1,191",20.25%,202.0
309,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),13,"1,113,273",MANHATTAN,72,88,72.38%,298.0
247,BUSHWICK II CDA (GROUP E),07,"2,198,403",BROOKLYN,53,276,28.08%,80.0
261,UNITY PLAZA (SITES 4-27),08,"5,304,133",BROOKLYN,60,462,35.92%,159.0
359,SAMUEL (MHOP) III,13,"114,675",MANHATTAN,71,10,29.63%,24.0
091,SHELTON HOUSE,05,"1,287,831",QUEENS,32,155,68.63%,304.0
153,STRAUS,12,"2,133,126",MANHATTAN,74,267,27.11%,466.0
003,BETHUNE GARDENS,13,"1,393,115",MANHATTAN,71,210,12.20%,168.0
243,BORINQUEN PLAZA II,07,"4,223,000",BROOKLYN,53,425,33.21%,227.0
531,FRANKLIN AVENUE II CONVENTIONAL,15,"508,109",BRONX,79,45,41.82%,212.0
"004, 079",RED HOOK I,10,"19,292,734",BROOKLYN,51,"2,541",22.46%,130.0
029,FARRAGUT,07,"11,639,930",BROOKLYN,57,"1,390",13.92%,164.0
086,BUSHWICK,07,"11,288,105",BROOKLYN,53,"1,220",11.29%,168.0
247,BUSHWICK II (GROUPS A & C),07,"3,200,584",BROOKLYN,"53, 54",300,25.46%,68.0
155,WSUR (BROWNSTONES),12,"2,308,080",MANHATTAN,69,236,61.24%,179.0
057,EDENWALD,16,"17,847,449",BRONX,83,"2,039",16.18%,88.0
514,WHITMAN,07,"9,769,048",BROOKLYN,57,"1,659",19.49%,184.0
342,UNION AVENUE-EAST 163RD STREET,15,"1,502,857",BRONX,79,200,16.16%,109.0
166,CAREY GARDENS,08,"6,234,149",BROOKLYN,46,683,15.94%,175.0
038,SAINT NICHOLAS,13,"13,112,212",MANHATTAN,70,"1,526",15.49%,205.0
069,COOPER PARK,07,"5,878,957",BROOKLYN,53,700,16.40%,117.0
056,BREUKELEN,08,"14,297,000",BROOKLYN,"58, 60","1,595",12.73%,48.0
165,OCEAN BAY APARTMENTS (OCEANSIDE),05,"3,931,321",QUEENS,31,418,18.66%,68.0
134,CHELSEA ADDITION,12,"1,021,739",MANHATTAN,75,96,32.22%,101.0
134,CHELSEA,12,"3,689,065",MANHATTAN,75,425,24.91%,465.0
009,EAST RIVER,13,"7,963,515",MANHATTAN,68,"1,170",21.87%,189.0
530,EAST 173RD STREET-VYSE AVENUE,15,"1,547,624",BRONX,79,168,28.46%,81.0
067,GLEBE AVENUE-WESTCHESTER AVENUE,14,"1,123,122",BRONX,87,132,39.69%,116.0
004,RED HOOK EAST,10,"10,734,477",BROOKLYN,51,"1,407",22.45%,119.0
341,UNIVERSITY AVENUE REHAB,13,"2,798,894",BRONX,86,230,56.09%,242.0
100,MELTZER TOWER,10,"1,316,253",MANHATTAN,65,231,13.77%,177.0
342,SOUTH BRONX AREA (SITE 402),15,"1,301,202",BRONX,79,114,27.94%,103.0
033,WOODSIDE,07,"10,715,226",QUEENS,34,"1,357",19.15%,120.0
112,METRO NORTH PLAZA,13,"2,668,090",MANHATTAN,68,275,34.81%,230.0
221,STUYVESANT GARDENS I,08,"3,341,149",BROOKLYN,56,331,45.74%,152.0
035,SOUTH BEACH,11,"3,921,651",STATEN ISLAND,64,422,9.61%,51.0
064,JEFFERSON,13,"13,032,612",MANHATTAN,68,"1,493",19.78%,168.0
035,NEW LANE AREA,11,"2,204,124",STATEN ISLAND,63,277,24.08%,110.0
180,TWIN PARKS EAST (SITE 9),15,"1,505,284",BRONX,79,219,15.93%,120.0
082,DOUGLASS I,13,"10,999,163",MANHATTAN,69,"1,305",17.73%,203.0
531,HIGHBRIDGE REHABS (NELSON AVENUE),15,"1,042,289",BRONX,77,80,50.25%,242.0
241,MORRIS PARK SENIOR CITIZENS HOME,13,"561,310",MANHATTAN,68,97,64.91%,371.0
308,CLAREMONT REHAB (GROUP 3),15,"1,538,950",BRONX,77,115,62.06%,270.0
064,CORSI HOUSES,13,"1,361,650",MANHATTAN,68,171,63.89%,216.0
155,WSUR (SITE B) 74 WEST 92ND STREET,12,"1,575,535",MANHATTAN,69,168,52.34%,474.0
167,RALPH AVENUE REHAB,09,"3,052,668",BROOKLYN,55,118,39.70%,151.0
134,ELLIOTT,12,"4,301,454",MANHATTAN,75,608,22.01%,313.0
003,HARLEM RIVER,13,"5,237,933",MANHATTAN,71,577,32.22%,147.0
070,CYPRESS HILLS,08,"12,338,237",BROOKLYN,60,"1,444",17.67%,98.0
351,STERLING PLACE REHABS (SAINT JOHNS-STERLING),09,"1,312,849",BROOKLYN,55,83,57.05%,217.0
172,GRAVESEND,08,"5,356,500",BROOKLYN,46,634,17.17%,108.0
227,TWIN PARKS WEST (SITES 1 & 2),15,"3,411,979",BRONX,86,312,17.52%,204.0
247,BUSHWICK II (GROUPS B & D),07,"3,200,584",BROOKLYN,"53, 54",300,23.30%,81.0
308,TELLER AVENUE-EAST 166TH STREET,15,"816,812",BRONX,77,90,44.95%,248.0
021,MARCY,07,"13,741,160",BROOKLYN,56,"1,717",19.36%,150.0
091,FHA REPOSSESSED HOUSES (GROUP V),"05, 08",,BROOKLYN/QUEENS,"29, 31, 32, 33, 60",32,,23.0
,PROSPECT PLAZA I,09,,BROOKLYN,55,110,,
186,BLAND,06,"3,668,503",QUEENS,40,400,16.03%,128.0
