total_area_sq_ft,operating_edp_,number_of_current_apartments,senior_development,data_as_of,number_of_rental_rooms,number_of_section_8_transition_apartments,method,number_of_residential_bldgs,total_of_fixed_income_household,location_street_d
"240,354.4",671,532,,1/1/2025,"2,433.0",0.0,CONVENTIONAL,5.0,237.0,W 29TH ST
"556,687.3",435,"1,469",,1/1/2025,"7,186.5",0.0,CONVENTIONAL,6.0,539.0,PARK AVE
,578,95,,1/1/2025,391.5,,CONVENTIONAL,1.0,,MANGIN ST
"20,490.3",215,195,EXCLUSIVELY,1/1/2025,639.5,0.0,CONVENTIONAL,1.0,160.0,FDR DRIVE
"245,417.7",442,742,,1/1/2025,"3,302.0",108.0,CONVENTIONAL,6.0,,BEDFORD AVE
"115,842.1",251,462,,1/1/2025,"2,160.0",0.0,CONVENTIONAL,2.0,168.0,TRINITY AVE
"520,294.5",210,"1,191",,1/1/2025,"5,666.5",0.0,CONVENTIONAL,13.0,530.0,E 13TH ST
"25,768.4",341,87,,1/1/2025,386.5,,TURNKEY,7.0,31.0,AMSTERDAM AVE
"294,107.0",546,276,,1/1/2025,"1,212.0",,TURNKEY,5.0,,MENAHAN ST
"248,878.5",375,460,,1/1/2025,"2,139.0",0.0,CONVENTIONAL,5.0,157.0,HINSDALE ST
"5,437.2",483,2,,1/1/2025,9.0,,CONVENTIONAL,1.0,0.0,
"22,357.3",240,152,EXCLUSIVELY,1/1/2025,472.0,0.0,CONVENTIONAL,1.0,133.0,JAMAICA AVE
"47,065.9",263,267,,1/1/2025,"1,162.5",0.0,CONVENTIONAL,2.0,133.0,E 27TH ST
"64,915.3",271,209,EXCLUSIVELY,1/1/2025,694.0,,CONVENTIONAL,1.0,183.0,
"186,649.6",353,421,,1/1/2025,"2,245.5",0.0,TURNKEY,7.0,178.0,BUSHWICK AVE
"18,889.8",482,45,,1/1/2025,196.5,,CONVENTIONAL,3.0,,
"1,452,438.0","202, 230","2,421",,1/1/2025,"10,579.0",,CONVENTIONAL,26.0,987.0,LORRAINE ST
"235,329.0",305,336,,1/1/2025,"1,339.5",,CONVENTIONAL,3.0,145.0,VERMONT ST
"971,382.7",586,"1,263",,1/1/2025,"5,438.5",0.0,CONVENTIONAL,23.0,556.0,MACE AVE
"198,344.9",546,324,PARTIALLY,1/1/2025,"1,404.5",,CONVENTIONAL,4.0,,
"1,189,764.3",215,"2,174",,1/1/2025,"10,152.0",0.0,CONVENTIONAL,17.0,1031.0,COLUMBIA ST
"26,928.9",748,75,,1/1/2025,412.5,0.0,TURNKEY,2.0,16.0,BRYANT AVE
,,147,,1/1/2025,,,CONVENTIONAL,2.0,,
"83,743.1",545,155,,1/1/2025,726.5,,CONVENTIONAL,3.0,,WILLIS AVE
"500,854.1",229,699,,1/1/2025,"3,247.5",0.0,CONVENTIONAL,6.0,266.0,
"12,452.2",558,46,,1/1/2025,187.0,,CONVENTIONAL,3.0,22.0,W 135TH ST
"25,136.2",763,71,,1/1/2025,316.5,,TURNKEY,3.0,29.0,E 97TH ST
"7,461.9",503,33,,1/1/2025,148.5,,CONVENTIONAL,1.0,5.0,
"91,266.3",784,189,PARTIALLY (1 BUILDING),1/1/2025,777.5,0.0,TURNKEY,5.0,117.0,ELDRIDGE ST
"416,088.5",239,"1,083",,1/1/2025,"5,238.5",0.0,CONVENTIONAL,10.0,399.0,E 169TH ST
,,21,,1/1/2025,,,CONVENTIONAL,1.0,,
"358,446.2",440,440,,1/1/2025,"1,863.0",127.0,CONVENTIONAL,11.0,,
"752,397.6",638,"1,680",,1/1/2025,"7,111.0",257.0,CONVENTIONAL,11.0,794.0,W 230TH ST
"175,889.9",326,282,,1/1/2025,"1,366.0",,TURNKEY,8.0,,SAINT ANN'S AVE
"9,027.5",341,32,,1/1/2025,129.0,,CONVENTIONAL,2.0,18.0,AUDUBON AVE
"928,338.0",216,"1,599",,1/1/2025,"7,380.5",0.0,CONVENTIONAL,22.0,517.0,MOTHER GASTON BLVD
"657,336.7",260,"1,613",,1/1/2025,"7,678.5",0.0,CONVENTIONAL,4.0,621.0,
"71,458.5",363,239,,1/1/2025,"1,052.5",0.0,CONVENTIONAL,1.0,102.0,QUARRY RD
"50,381.1",313,159,EXCLUSIVELY,1/1/2025,543.5,0.0,CONVENTIONAL,1.0,141.0,HOBART AVE
"465,320.7",221,"1,091",,1/1/2025,"5,098.5",0.0,CONVENTIONAL,9.0,502.0,CHERRY ST
