objectid,bin,longitude,census_tract,parkzone,length,:@computed_region_yeji_bk3q,communityboard,latitude-physicalid
142823,1026505.0,-73.991441,127.0,,,4,104.0,40.762072-1879.0
148054,1055502.0,-73.962239,189.0,,,4,107.0,40.79797-23318.0
149641,5056436.0,-74.111933,128.06,,,1,503.0,40.559826-95882.0
146027,,,,,,1,502.0,nan-nan
142433,4294223.0,-73.847512,892.01,,,3,410.0,40.650912-21275.0
142430,5041612.0,-74.18259,291.02,,,1,502.0,40.595363-101471.0
143632,3150795.0,-74.033349,44.0,,,2,310.0,40.628809-84775.0
144040,3154345.0,-74.02346,152.0,,,2,310.0,40.618441-36661.0
143231,3130596.0,-73.983022,470.0,,,2,312.0,40.624075-86572.0
140853,5023791.0,-74.130356,207.02,,,1,501.0,40.637778-76905.0
139235,3029868.0,-73.943574,313.0,,,2,308.0,40.677841-nan
140472,5047921.0,-74.072842,70.02,,,1,502.0,40.59318-86424.0
128422,1010325.0,-74.010499,39.0,,,4,101.0,40.724913-178664.0
146458,5056366.0,-74.111175,128.06,,,1,503.0,40.561098-55575.0
150826,5056405.0,-74.112024,128.06,,,1,503.0,40.56071-95327.0
148040,5109724.0,-74.116329,128.06,,,1,503.0,40.562915-102697.0
145256,4258531.0,-73.80329,194.0,,,3,412.0,40.685298-23727.0
148036,5109647.0,-74.116521,128.06,,,1,503.0,40.561866-164299.0
148438,3221622.0,-73.921104,936.0,,,2,317.0,40.646235-66789.0
138058,4455407.0,-73.809383,1227.03,,,3,408.0,40.734494-nan
135624,5013919.0,-74.07597,27.0,,,1,501.0,40.623815-98446.0
149249,1079409.0,-73.933928,178.0,,,4,111.0,40.796274-26995.0
138434,5110572.0,-74.088852,39.0,,,1,501.0,40.624352-49966.0
124424,5021099.0,-74.130901,187.03,,,1,502.0,40.601239-64943.0
150054,4282497.0,-73.747115,650.0,,,3,413.0,40.668791-nan
149248,429348100.00%,-73.850035,892.01,,,3,410.0,40.654283-29723.0
150048,5056443.0,-74.112783,128.06,,,1,503.0,40.56021-63116.0
138854,5015158.0,-74.092703,39.0,,,1,501.0,40.624319-70010.0
135222,3163710.0,-74.005136,184.0,,,2,311.0,40.613374-51166.0
140454,5015229.0,-74.092855,39.0,,,1,501.0,40.62234-94128.0
131222,1087691.0,-73.952826,216.0,,,4,110.0,40.798798-148645.0
148052,5055485.0,-74.114103,128.06,,,1,503.0,40.56183-90288.0
150833,3227772.0,-73.899204,1026.0,,,2,318.0,40.63021-74800.0
134842,3164885.0,-74.014555,148.0,,,2,310.0,40.615446-58785.0
146433,5053741.0,-74.089381,112.01,,,1,502.0,40.583396-44743.0
140456,5015231.0,-74.093111,39.0,,,1,501.0,40.621895-94128.0
140434,4228308.0,-73.743248,554.0,,,3,413.0,40.727339-32307.0
150835,5057127.0,-74.112728,128.06,,,1,503.0,40.559705-95882.0
138029,5013941.0,-74.078463,27.0,,,1,501.0,40.624008-93750.0
138450,5015209.0,-74.091766,39.0,,,1,501.0,40.624094-70011.0
148439,5109724.0,-74.116329,128.06,,,1,503.0,40.562915-102697.0
148022,5003234.0,-74.100283,67.0,,,1,501.0,40.631882-78177.0
150432,5056399.0,-74.11125,128.06,,,1,503.0,40.560277-95327.0
140467,5023879.0,-74.130707,207.02,,,1,501.0,40.636455-87156.0
135623,5013921.0,-74.075628,27.0,,,1,501.0,40.623922-98446.0
150057,5011750.0,-74.138028,201.0,,,1,501.0,40.62082-61902.0
149627,5.06e+06,-74.113227,128.06,,,1,503.0,40.561302-90288.0
131622,3150207.0,-74.031725,44.0,,,2,310.0,40.629874-37491.0
123622,1007397.0,-73.993398,43.0,,,4,102.0,40.722015-nan
127623,1006911.0,-73.986541,40.02,,,4,103.0,40.732132-80041.0
122425,1018263.0,-73.980354,72.0,,,4,106.0,40.742684-3722.0
138429,5013935.0,-74.078899,27.0,,,1,501.0,40.624186-57197.0
140436,5015255.0,-74.089275,39.0,,,1,501.0,40.622834-93945.0
142025,4094365.0,-73.861708,637.0,,,3,405.0,40.708206-117875.0
148425,5113450.0,-74.116521,128.06,,,1,503.0,40.561866-164299.0
142822,1033143.0,-73.977408,171.0,,,4,107.0,40.788683-3607.0
145650,505548000.00%,-74.114278,128.06,,,1,503.0,40.561383-90288.0
144027,5053755.0,-74.089574,112.01,,,1,502.0,40.582156-44999.0
149246,5055485.0,-74.114103,128.06,,,1,503.0,40.56183-90288.0
138861,5015210.0,-74.091586,39.0,,,1,501.0,40.624122-70011.0
149228,5109698.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
148437,5109658.0,-74.116521,128.06,,,1,503.0,40.561866-88553.0
135232,5013872.0,-74.078186,27.0,,,1,501.0,40.624566-93751.0
138426,5013871.0,-74.078103,27.0,,,1,501.0,40.624406-57196.0
122022,1088432.0,-73.966752,185.0,,,4,107.0,40.79471-69450.0
134830,2053793.0,-73.862242,340.0,,,5,211.0,40.866967-86738.0
142426,3378162.0,-73.923151,670.0,,,2,318.0,40.611724-68944.0
148429,5109701.0,-74.116329,128.06,,,1,503.0,40.562915-164303.0
149250,1044859.0,-73.958332,126.01,,,4,108.0,40.767905-21705.0
139624,5015250.0,-74.090681,39.0,,,1,501.0,40.623082-53929.0
135633,5013907.0,-74.077497,27.0,,,1,501.0,40.623347-98446.0
134827,5013918.0,-74.076078,27.0,,,1,501.0,40.623782-98446.0
148045,5113448.0,-74.116329,128.06,,,1,503.0,40.562915-102697.0
128423,4165788.0,-73.726648,1571.02,,,3,413.0,40.735343-96982.0
149654,2078130.0,-73.816621,160.0,,,5,210.0,40.829211-58656.0
120825,,,,,,1,501.0,nan-50098.0
