location,width,nta,:@computed_region_92fq_4b7q
"{'type': 'Point', 'coordinates': [-73.81656874596392, 40.716290654685075]}",24.0,/,24
"{'type': 'Point', 'coordinates': [-74.09217989177489, 40.62367365093303]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09175680336897, 40.62489100962552]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.83901206486087, 40.650553920876206]}",,Howard Beach-Lindenwood,41
"{'type': 'Point', 'coordinates': [-74.09119618054075, 40.62284277767841]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11621350055815, 40.563660955901476]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.07658369595809, 40.623932342218005]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-74.09196125058534, 40.62421777694587]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.07664897688973, 40.60095466826495]}",,SI14 /,14
"{'type': 'Point', 'coordinates': [-74.11526923703117, 40.56176512702464]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.96345779169222, 40.679194237035084]}",8.0,BK64 /,48
"{'type': 'Point', 'coordinates': [-74.02870549771757, 40.63084341853427]}",27.0,Bay Ridge,44
"{'type': 'Point', 'coordinates': [-74.11508204168034, 40.56171086801287]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09251242553738, 40.62413041517619]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-73.88984767680486, 40.72287223776529]}",,Maspeth,34
"{'type': 'Point', 'coordinates': [-73.93405034528827, 40.63954768175748]}",31.0,BK91 /,26
"{'type': 'Point', 'coordinates': [-74.09088418970639, 40.62587249519758]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.11320571722479, 40.56211564495587]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-73.98732616767961, 40.57643293682527]}",,BK21 /,45
"{'type': 'Point', 'coordinates': [-74.0761430345168, 40.62394851353919]}",,SI37 /,13
"{'type': 'Point', 'coordinates': [-73.9472346207867, 40.787864520415724]}",,East Harlem (South),35
"{'type': 'Point', 'coordinates': [-74.11633848286635, 40.561997250264916]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.09341214715214, 40.623160765660586]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.09239435026775, 40.622272063206445]}",,SI08 /,13
"{'type': 'Point', 'coordinates': [-74.12751627025123, 40.55939417956325]}",,SI25 /,14
"{'type': 'Point', 'coordinates': [-74.11206907776545, 40.55971206004408]}",,SI25 /,14
{''[4,,Fresh Meadows-Utopia,16
