sep_09,bbl,feb_11,aug_09,sep_10,nta
284.0,3038230001.0,216.0,392.0,384.0,East New York (Pennsylvania Ave)                                           
47040.0,1016520016.0,37600.0,52320.0,42080.0,East Harlem South                                                          
728.0,1001130100.0,734.88,824.0,877.92,Chinatown                                                                  
1232.12,2032240009.0,949.33,970.6,945.29,Kingsbridge Heights                                                        
179.09,4124390032.0,171.35,140.07,144.33,St. Albans                                                                 
4321.0,1016520016.0,4097.0,1385.0,3815.0,East Harlem South                                                          
200.0,2031720046.0,224.0,200.0,252.0,Fordham South                                                              
0.0,4093210001.0,35.0,69.0,35.0,Richmond Hill                                                              
102400.0,3012670001.0,126400.0,112000.0,110400.0,Crown Heights South                                                        
311.0,4124390032.0,220.0,0.0,201.0,St. Albans                                                                 
102.0,3016020019.0,6682.0,0.0,4195.0,Stuyvesant Heights                                                         
349.49,3012670001.0,537.2,382.25,438.99,Crown Heights South                                                        
8524.42,2038640001.0,7944.97,7975.74,13226.25,West Farms-Bronx River                                                     
68640.0,2031720046.0,80040.0,78360.0,87360.0,Fordham South                                                              
483.28,2029830015.0,462.07,603.17,466.46,Crotona Park East                                                          
115200.0,3010820001.0,94440.0,127440.0,112200.0,Park Slope-Gowanus                                                         
159.6,3016430036.0,142.8,160.8,146.4,Stuyvesant Heights                                                         
44.8,1000510015.0,52.8,52.8,49.6,Battery Park City-Lower Manhattan                                          
406.83,4093210001.0,417.83,400.76,416.47,Richmond Hill                                                              
55440.0,3016430036.0,42720.0,60240.0,35040.0,Stuyvesant Heights                                                         
368.0,2029830015.0,296.0,392.0,352.0,Crotona Park East                                                          
3026.0,3011880001.0,6917.0,2651.0,4033.0,Crown Heights South                                                        
232.0,3035200008.0,232.0,384.0,276.0,Brownsville                                                                
2054.57,2033300001.0,912.91,959.98,1054.64,Norwood                                                                    
189.62,3016430036.0,159.5,205.6,121.59,Stuyvesant Heights                                                         
92.0,3011880001.0,96.0,100.0,96.0,Crown Heights South                                                        
706.8,5006830001.0,700.36,897.8,694.92,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
370.0,3010820001.0,275.0,370.0,307.0,Park Slope-Gowanus                                                         
