fy_2009_7_1_2008,nov_08,jan_10,_2,apr_11,nov_10,jun_11
444.0,264.0,288.0,444.0,460.0,264.0,332.0
56640.0,61600.0,44160.0,58560.0,53920.0,41600.0,54560.0
812.0,756.0,720.0,876.0,852.0,752.64,706.08
798.32,2690.75,1767.29,837.53,788.93,3043.12,499.02
128.2,261.79,222.37,132.97,140.32,258.83,105.72
13.0,5772.0,1640.0,60.0,174.0,7478.0,58.0
214.0,214.0,200.1,22.0,224.0,224.0,220.0
583.06,669.43,491.22,372.67,582.79,554.62,412.13
148.8,161.6,155.2,136.8,140.8,153.6,106.4
116600.0,142400.0,140200.0,86200.0,108800.0,132600.0,91400.0
33200.0,37200.0,30000.0,28400.0,40400.0,32400.0,38000.0
0.0,12354.0,12982.0,452.0,511.0,19095.0,213.0
0.0,5032.0,2751.0,187.0,400.0,5164.0,55.0
527.52,1555.49,688.58,475.43,605.01,1116.21,595.84
358800.0,370800.0,386400.0,279600.0,431200.0,403200.0,376000.0
254.0,1720.0,1105.0,172.0,279.0,1961.0,108.0
692.0,400.0,384.0,692.0,660.72,403.92,593.28
146.4,158.4,360.0,132.0,448.0,360.0,392.0
105.89,150.63,69.94,15.03,55.1,70.22,26.0
164.0,164.0,148.0,80.0,184.0,176.0,88.0
98.29,1328.78,1388.85,109.64,148.85,1994.69,78.09
1.0,1.0,2.0,0.0,0.0,1.0,0.0
3928.53,3205.76,2318.35,3625.43,3549.07,3285.68,3737.03
238.55,198.82,175.8,222.53,216.49,172.95,155.86
46200.0,56600.0,58000.0,31000.0,52000.0,55600.0,20600.0
10209.0,41774.0,30858.0,13818.0,9336.0,55407.0,12266.0
2135.03,5623.2,4327.51,2500.64,2198.17,6874.69,2316.09
156400.0,124400.0,126000.0,162000.0,136800.0,124000.0,116800.0
