mar_10,jan_12,oct_11,may_10,latitude,sep_08,dec_11
436.0,228.0,244.0,424.0,40.663673,280.0,224.0
39200.0,42560.0,42080.0,53280.0,40.788952,54560.0,43680.0
844.0,682.08,676.8,797.28,40.711442,740.0,682.08
869.29,1161.15,1081.41,1292.32,40.85881,1261.28,1833.81
121.09,163.69,168.19,166.07,40.690828,179.71,203.49
549.0,4391.0,4647.0,97.0,40.788952,4676.0,7107.0
246.0,220.0,220.0,186.0,40.859752,214.0,220.0
616.0,608.0,620.0,668.0,40.855954,584.0,632.0
47360.0,44800.0,45120.0,68800.0,40.832706,45600.0,45760.0
2116.0,5187.0,7047.0,559.0,40.831601,512.0,8510.0
91.2,89.6,86.4,99.2,40.579451,89.6,91.2
89920.0,98720.0,100320.0,234120.0,40.593834,133600.0,115200.0
1298.0,6866.0,8103.0,106.0,40.867826,7666.0,12298.0
1024.67,773.52,1139.67,1907.01,40.709196,502.61,1130.42
407.0,640.0,1354.0,116.0,40.836356,769.0,1533.0
666.0,7238.0,12654.0,600.0,40.593834,5248.0,22011.0
440.0,866.0,3893.0,323.0,40.745948,3607.0,6876.0
1366.55,1518.02,1720.4,1771.94,40.831601,524.92,1873.53
83.0,121.0,111.0,121.0,40.601433,211.0,130.0
35600.0,42800.0,48800.0,29200.0,40.702513,50400.0,47200.0
669.84,707.04,766.1,796.67,40.855954,846.23,811.14
44920.0,43520.0,44680.0,61720.0,40.601433,47920.0,45880.0
31140.0,34440.0,35100.0,27240.0,40.739254,31200.0,33900.0
588.0,562.4,418.8,728.4,40.870002,582.0,410.4
140.8,128.0,132.8,153.6,40.788952,136.0,132.8
259200.0,268800.0,282400.0,341200.0,40.746176,264000.0,274400.0
611.92,397.86,760.63,925.13,40.745948,741.59,1162.69
115600.0,69600.0,67200.0,186400.0,40.880263,86400.0,71600.0
