school_name,principal_experience,ethnicity_black_pct,gender_male_pct,survey_pp_tr,near_pct_black,qr_1_1,ethnicity_asian_pct_dist,survey_pp_sf,iep,n_interaction_k3_all,teacher_ethnicity_pacific,near_pct_hispanic,near_pct_amerindian,qr_2_2,qr_1_4,enrollment,gender_female_pct,teacher_ethnicity_white_pct,teacher_ethnicity_asian_pct,ethnicity_hispanic_pct_dist,hra_elig_pct,qr_1_2,ethnicity_black_pct_dist,qr_4_1,qr_1_3,dates_of_review,ethnicity_amerindian_pct_1,ethnicity_pacific_pct_dist
Port Richmond School for Visionary Learning,4.1,0.263,0.506,0.8,0.114,Proficient,0.116,0.96,0.282,263,0,0.523,0.0,Developing,Proficient,255,0.494,0.545,No Data,0.306,0.58,Developing,0.115,Proficient,Proficient,2017-11-01T00:00:00.000,0.005,0.002
Zeta Charter Schools - Inwood 1,No Data,0.101,0.455,0.98,0.135,No Data,0.011,0.98,0.183,No Data,0,0.768,0.006,No Data,No Data,257,0.545,0.389,No Data,0.845,0.782,No Data,0.064,No Data,No Data,No Data,0.003,0.001
Success Academy Charter School - Hudson Yards,No Data,0.249,0.502,0.95,0.098,No Data,0.262,0.96,0.22,No Data,0,0.238,0.004,No Data,No Data,309,0.498,0.636,No Data,0.165,0.479,No Data,0.064,No Data,No Data,No Data,0.003,0.002
P.S. 326,18.9,0.624,0.459,0.99,0.764,Well Developed,0.166,0.98,0.303,109,0,0.102,0.018,Well Developed,Well Developed,109,0.541,0.706,0,0.158,0.67,Well Developed,0.336,Proficient,Proficient,2019-11-01T00:00:00.000,0.01,0.007
P.S. X088 - S. Silverstein Little Sparrow School,15.5,0.203,0.472,0.77,0.368,Developing,0.008,0.88,0.138,122,0,0.598,0.009,Developing,Proficient,123,0.528,0.692,No Data,0.69,0.878,Developing,0.279,Proficient,Proficient,2018-05-01T00:00:00.000,0.005,0.002
East Brooklyn Ascend Charter School,1,0.462,0.5,0.97,0.22,No Data,0.094,1,0.269,No Data,0,0.518,0.021,No Data,No Data,26,0.5,0,0,0.45,0.808,No Data,0.408,No Data,No Data,No Data,0.017,0.007
P.S. 209,13.2,0.193,0.471,0.96,0.299,Well Developed,0.036,0.96,0.286,243,0,0.673,0.008,Well Developed,No Data,238,0.529,0.864,0,0.759,0.849,Well Developed,0.137,No Data,No Data,2015-02-02T00:00:00.000,0.007,0.002
Our World Neighborhood Charter School 2,2,0.57,0.473,0.98,0.263,No Data,0.212,0.95,0.113,No Data,0,0.337,0.021,No Data,No Data,186,0.527,0.333,No Data,0.456,0.661,No Data,0.198,No Data,No Data,No Data,0.062,0.012
P.S. 112 Jose Celso Barbosa,0.9,0.214,0.576,0.83,0.277,Well Developed,0.034,0.96,0.491,264,0,0.62,0.004,Well Developed,No Data,271,0.424,0.574,No Data,0.653,0.838,Proficient,0.253,No Data,No Data,2015-04-29T00:00:00.000,0.009,0.002
P.S. 889,3.1,0.329,0.522,0.95,0.159,Well Developed,0.166,0.99,0.168,161,0,0.266,0.006,Proficient,Well Developed,161,0.478,0.6,0,0.158,0.472,Well Developed,0.336,Proficient,Proficient,2019-05-01T00:00:00.000,0.01,0.007
P.S. 170,4.9,0.197,0.493,0.99,0.264,Proficient,0.008,0.99,0.217,199,0,0.684,0.011,Proficient,Well Developed,203,0.507,0.318,No Data,0.69,0.837,Proficient,0.279,Well Developed,Well Developed,2020-03-01T00:00:00.000,0.005,0.002
P.S. 319,14.9,0.024,0.548,1,0.025,Well Developed,0.037,1,0.19,82,0,0.808,0.0,Proficient,No Data,84,0.452,0.5,0,0.507,0.714,Proficient,0.205,No Data,No Data,2015-04-15T00:00:00.000,0.006,0.003
Lefferts Gardens Ascend Charter School,2,0.851,0.532,0.94,0.767,No Data,0.016,0.99,0.191,No Data,0,0.132,0.016,No Data,No Data,47,0.468,0,0,0.079,0.702,No Data,0.842,No Data,No Data,No Data,0.01,0.006
South Bronx Classical Charter School IV,No Data,0.64,0.555,0.92,0.37,No Data,0.008,0.92,0.159,No Data,No Data,0.588,0.008,No Data,No Data,164,0.445,0.476,No Data,0.69,0.793,No Data,0.279,No Data,No Data,No Data,0.005,0.002
Hebrew Language Academy Charter School 2,No Data,0.188,0.508,0.9,0.035,No Data,0.271,0.96,0.274,No Data,0,0.241,0.005,No Data,No Data,266,0.492,0.458,No Data,0.253,0.59,No Data,0.078,No Data,No Data,No Data,0.008,0.003
Bridge Preparatory Charter School,No Data,0.271,0.565,No Data,0.161,No Data,0.116,No Data,0.647,No Data,No Data,0.359,0.007,No Data,No Data,85,0.435,0.714,No Data,0.306,0.612,No Data,0.115,No Data,No Data,No Data,0.005,0.002
The Ivan Lafayette Early Childhood School of the A,19.1,0.008,0.496,0.95,0.015,Proficient,0.214,0.92,0.207,253,0,0.804,0.004,Proficient,Well Developed,256,0.504,No Data,No Data,0.563,0.688,Well Developed,0.047,Proficient,Proficient,2017-04-01T00:00:00.000,0.008,0.002
