wpaa_id,name,status,f_dogrun,summary,f_grpseat,shore_line,f_restroom,f_food_bev,sup_area
3060012,Gowanus Canal CSO Facility (Head End),Approved  (to be constructed),0,"Waterfront esplanade with passive recreation opportunities and seating. Publicly accessible approach to include educational information about the neighborhood, site, and facility",1,0.0,0,0,0.0
4020003,East River Tennis Club Site,Approved (to be constructed),0,"Esplanade on the East River with a paved walkway, landscaping, seating and a children's play area in conjunction with a residential and retail development.",0,480.0,0,0,0.0
5030001,The Tides at Charleston,Open,0,Walkway and landscaped seating areas with trees and lighting overlooking the Arthur Kill estuary in conjunction with a 190-unit residential development.,0,2190.0,0,0,0.0
4070010,Soundview Pointe,Open,0,"Walkway with seating, lighting, trees and plantings on the East River in conjunction with the development of 86 two-family homes.",0,0.0,0,0,0.0
3060017,420 Carroll Street,Approved (to be constructed),0,Waterfront open space with shore public walkway along two frontages (the Gowanus Canal and the future 1st Street Turning Basin),0,0.0,0,0,0.0
3010008,155 West Street,Open,0,"A waterfront public access area with esplanade, central lawn, and children's play area, approved in conjunction with a 39-story mixed-use development.",0,200.0,0,0,13925.0
3060013,Wildflower Studios,Approved  (to be constructed),0,"Shoreline access, public walkway, and landscaped area",0,0.0,0,0,0.0
1060005,The Water Club Esplanade,Open,0,Landscaped esplanade with lighting and seating on the East River in conjunction with the Water Club restaurant pursuant to a lease agreement and restrictive declaration.,0,0.0,0,0,0.0
1010003,South Street Seaport – Pier 17,Open,0,"Waterfront public access area in conjunction with the redevelopment of Pier 17, a three-story retail structure.",1,0.0,1,1,0.0
5030007,Central Park East Estates,Approved (to be constructed),0,Visual corridors and public access easement in conjunction with the development of 25 one- and two-family houses at Raritan Bay.,0,0.0,0,0,0.0
3010011,Domino Park,Open,1,"Waterfront access including a shore public walkway with active and passive recreational activities on the East River, in conjunction with the mixed-use redevelopment of the former Domino Sugar site.",1,0.0,1,1,71775.0
2090005,York Studios,Approved (to be constructed),0,Waterfront access with a shore public walkway and landscaping.,1,0.0,0,0,0.0
3010003,Williamsburg - The Edge,Open,0,"Shore public walkway, upland connection, supplemental public access area, visual corridor, trees, and seating on the East River in conjunction with the development of a residential and retail development.",1,0.0,0,0,55185.0
2040001,Bronx Point,Approved (to be constructed),0,"Shore public walkway with seating, trees, lighting, and upland connections in conjunction with the development of housing, open space, and commercial uses.",1,0.0,0,0,1880.0
3010006,420 Kent,Open,0,A shore public walkway and waterfront access area in conjuction with a residential development with retail.,0,376.0,0,0,0.0
2010004,2401 3rd Avenue,Open,0,"Waterfront open space with shoreline walk alongside three residential towers with guardrails and bollards, seating, lighting, signage, plantings and trees, paving, bicycle racks, and trash receptacles",0,0.0,0,0,0.0
3010010,India Street Pier,Open,0,Publicly accessible pier at the foot of India Street on the East River serving as a ferry stop with lighting and seating.,0,0.0,0,0,0.0
3060003,Lowe's,Closed,0,Shore public walkway with seating on the Gowanus Canal voluntarily provided in conjunction with the development of a retail store.,0,0.0,0,0,0.0
3060001,Fairway (Red Hook Stores),Open,0,"Visual corridors and publicly accessible walkway on the New York Bay with seating, plantings, and lighting, voluntarily provided by the owner in conjunction with construction of a retail store.",1,0.0,0,1,0.0
3010019,Greenpoint Landing Parcel 5b-1/5c-1,Partially Open,0,,0,0.0,0,0,0.0
4020001,Silvercup West,Approved (to be constructed),0,"Upland connections, visual corridors, and a shore public walkway with seating, trees, lighting and an additional public open space provided on a portion of a roof overlooking the East River in conjunction with a mixed-use development.",0,463.0,0,0,0.0
5010007,125 Edgewater,Approved (to be constructed),0,A shore public walkway and waterfront access area in conjuction with an approved mixed use development that includes Mandatory Inclusionary Housing (MIH).,0,0.0,0,0,8273.0
3010005,184 Kent Ave,Open,0,"A shore public walkway with seating, trees, ground cover and lighting on the East River.",0,160.0,0,0,0.0
3010012,77 Commercial Street,Approved (to be constructed),0,"Waterfront access including upland connection at Commercial Street with outdoor seating for retail use, and a walkway along the western property line connecting Commercial Street to the shore public walkway running along Newtown Creek.",0,0.0,0,0,25453.0
3110001,Brooklyn Bay Center,Open,0,"Shore public walkway on Gravesend Bay with bioswales, lighting, seating, and other amenities in conjunction with a large-scale retail development.",1,1400.0,0,0,0.0
3060018,498 Sackett Street,Approved (to be constructed),0,"Waterfront open space with shore public walkway, supplemental public access area and street end improvement",0,0.0,0,0,0.0
