pop_black,assault_hispanic_female,assault_asian_pac_male,pop_black_female
34804,80,2,18688
60191,14,0,35297
11592,50,0,5921
118075,91,17,66444
4035,20,0,2234
29678,55,1,15919
22283,53,1,12101
78068,103,5,43613
3354,27,1,1779
55260,10,0,31735
7321,122,3,3978
330305,1276,17,179220
7769,19,0,4725
