school_name,c2_lre_all,se_pp_dist,val_prof_pct_mth_all,es_pp_dist,rating_ri_disp,npct_lre_all,c4_lre_all,val_lre_all,element_score_sf,element_score_ct,qr_1_1,rating_es_disp,element_score_es,sf_pp_dist,flbl_e_lre_all,qr_3_4,survey_pp_sf,qr_5_1,rating_ct_disp,stud_attendance,cap_sc_pct,hispanic,val_prof_pct_ela_all,ri_pp_dist,fsc,rating_sf_disp,ri_pp_city,flbl_a_chronic_absent_all,qr_1_2,teacher_attendance,element_score_se,flbl_a_lre_all
P.S. 209,0.01,81%,No Data,87%,Exceeding Target,0.196,0.39,0.21,4.4,4.49,Well Developed,Meeting Target,3.99,95%,0.39 or higher,Well Developed,0.97,No Data,Exceeding Target,0.936,0.004,0.792,No Data,74%,XFSC,Exceeding Target,0.85,57.2% to 69.5%,Well Developed,0.971,4.01,0.01 to 0.20
P.S. 377,0.01,89%,No Data,92%,Meeting Target,0.15,0.39,0,4.57,4.37,Well Developed,Exceeding Target,4.22,98%,0.39 or higher,Well Developed,0.98,Well Developed,Exceeding Target,0.907,0.079,0.512,No Data,83%,QFSS,Exceeding Target,0.85,57.2% to 69.5%,Proficient,0.978,3.73,0.01 to 0.20
P.S. 326,0.01,97%,No Data,96%,Exceeding Target,0.181,0.39,0.24,4.4,4.6,Well Developed,Exceeding Target,4.4,98%,0.39 or higher,Well Developed,0.97,No Data,Exceeding Target,0.939,0.08,0.174,No Data,92%,KFSS,Exceeding Target,0.85,57.2% to 69.5%,Proficient,0.975,4.42,0.01 to 0.20
P.S. 583,0.01,96%,No Data,99%,Meeting Target,0.129,0.39,0.19,4.49,3.72,Proficient,Meeting Target,3.98,97%,0.39 or higher,Well Developed,0.97,Proficient,Meeting Target,0.895,0.065,0.419,No Data,88%,XFSC,Exceeding Target,0.85,57.2% to 69.5%,Proficient,0.967,3.9,0.01 to 0.20
P.S. 170,0.01,80%,No Data,81%,Meeting Target,0.106,0.39,0.12,4.66,3.78,Well Developed,Exceeding Target,4.44,95%,0.39 or higher,Well Developed,0.98,No Data,Meeting Target,0.917,0.025,0.733,No Data,80%,XFSC,Exceeding Target,0.85,57.2% to 69.5%,Proficient,0.966,3.99,0.01 to 0.20
The STEAM Bridge School,0.01,89%,0.632,93%,Exceeding Target,0.134,0.39,0.24,4.23,4.63,Well Developed,Exceeding Target,4.48,94%,0.38 or higher,Well Developed,0.96,Well Developed,Exceeding Target,0.925,0.046,0.625,0.868,84%,XFSC,Exceeding Target,0.85,63.3% to 83.7%,Well Developed,0.971,4.16,0.01 to 0.18
Bronx Charter School for Excellence II,0.01,89%,0.95,93%,Meeting Target,0.059,0.39,0.21,3.35,3.94,No Data,Approaching Target,2.96,94%,0.38 or higher,No Data,0.91,No Data,Meeting Target,0.969,0.0,0.411,0.917,84%,No Data,Meeting Target,0.85,63.3% to 83.7%,No Data,No Data,3.5,0.01 to 0.18
Port Richmond School for Visionary Learning,0.01,87%,No Data,90%,Approaching Target,0.143,0.39,0.52,4.18,3.05,Proficient,Approaching Target,2.99,97%,0.39 or higher,Proficient,0.97,Developing,Meeting Target,0.915,0.069,0.488,No Data,86%,RFSC,Exceeding Target,0.85,57.2% to 69.5%,Developing,0.974,3.05,0.01 to 0.20
Brilla Veritas Charter School,0.01,89%,No Data,94%,Exceeding Target,0.086,0.39,0.21,4.73,4.39,No Data,Exceeding Target,4.54,98%,0.39 or higher,No Data,0.99,No Data,Exceeding Target,No Data,0.006,0.63,No Data,93%,No Data,Exceeding Target,0.85,No Data,No Data,No Data,3.68,0.01 to 0.20
P.S. 384,No Data,96%,No Data,95%,No Data,0.094,No Data,No Data,No Data,No Data,No Data,No Data,No Data,97%,0.39 or higher,No Data,0.97,No Data,No Data,0.914,0.0,0.25,No Data,92%,QFSN,No Data,0.85,57.2% to 69.5%,No Data,0.972,No Data,0.01 to 0.20
Bronx Charter School for Excellence 3,0.01,89%,No Data,93%,No Data,0.034,0.39,0.5,3.44,No Data,No Data,No Data,No Data,94%,0.39 or higher,No Data,0.92,No Data,No Data,0.962,0.004,0.245,No Data,84%,No Data,Meeting Target,0.85,57.2% to 69.5%,No Data,No Data,No Data,0.01 to 0.20
Zeta Charter Schools - New York City 1,No Data,61%,No Data,76%,No Data,0.122,No Data,0.25,No Data,No Data,No Data,No Data,No Data,96%,0.39 or higher,No Data,0.97,No Data,No Data,No Data,0.049,0.787,No Data,62%,No Data,No Data,0.85,No Data,No Data,No Data,No Data,0.01 to 0.20
The Woodside Community School,0.01,96%,0.642,95%,Meeting Target,0.134,0.39,0.54,4.57,4.1,Proficient,Exceeding Target,4.33,97%,0.38 or higher,Well Developed,0.98,Proficient,Exceeding Target,0.95,0.01,0.558,0.687,92%,QFSN,Exceeding Target,0.85,63.3% to 83.7%,Proficient,0.982,4.39,0.01 to 0.18
P.S. X088 - S. Silverstein Little Sparrow School,0.07,80%,0.318,81%,Not Meeting Target,0.116,0.39,0.29,3.08,2.19,Developing,Approaching Target,2.18,95%,0.38 or higher,Proficient,0.9,Developing,Approaching Target,0.913,0.116,0.755,0.429,80%,XFSC,Meeting Target,0.85,63.3% to 83.7%,Developing,0.973,2.4,0.01 to 0.18
Cypress Hills Ascend Charter School,No Data,87%,No Data,90%,Exceeding Target,0.09,No Data,0.18,3.72,2.83,No Data,Meeting Target,3.56,93%,0.39 or higher,No Data,0.93,No Data,Approaching Target,No Data,0.025,0.639,No Data,87%,No Data,Meeting Target,0.85,57.2% to 69.5%,No Data,No Data,3.83,0.01 to 0.20
Hebrew Language Academy Charter School 2,0.01,76%,No Data,80%,Approaching Target,0.126,0.39,0.34,3.72,3.23,No Data,Approaching Target,2.46,93%,0.39 or higher,No Data,0.93,No Data,Meeting Target,0.891,0.013,0.121,No Data,69%,No Data,Meeting Target,0.85,57.2% to 69.5%,No Data,No Data,2.72,0.01 to 0.20
