address_1,latitude,longitude,hospital_general_medical_2,electricity_use_grid_purchase_1,generation_date,weather_normalized_site,k_12_school_gross_floor_area,stadium_closed_gross_floor,manufacturing_industrial,primary_property_type_self,electricity_use_generated,occupancy,municipally_supplied_potable_3,nyc_borough_block_and_lot,date_property_last_modified,refrigerated_warehouse_gross,hospital_general_medical_8,outpatient_rehabilitation,financial_office_number_of,hospital_general_medical_4,hospital_general_medical_14,water_use_all_water_sources,fitness_center_health_club,nta,national_median_reference,district_steam_cost,pre_school_daycare_gross,bank_branch_gross_floor_area,community_board,office_percent_that_can_be,food_service_gross_floor,indoor_water_use_all_water,other_number_of_workers_on,convenience_store_with_gas,fuel_oil_2_use_kbtu,estimated_data_flag,retail_store_open_or_closed,national_median_site_eui,hospital_general_medical_12,personal_services_health,weather_normalized_source,roller_rink_gross_floor_area,indoor_arena_gross_floor,social_meeting_hall_gross,multifamily_housing_percent,hospital_general_medical_1,urgent_care_clinic_other,worship_facility_gross_floor
150 East 52nd Street,40.757534,-73.970965,Not Available,23133779.7,2014-04-18T12:53:04.000,5562.3,Not Available,Not Available,Not Available,Office,Not Available,100,0,1013060042,04/07/2014 07:37 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5033.9,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,89.48,Not Available,5033.9,Not Available,Not Available,Not Available,No,Not Available,91.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230 West 38th Street,40.753942,-73.989829,Not Available,1709821.4,2014-04-07T12:55:02.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1007870059,02/12/2014 05:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1297.1,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,1297.1,Not Available,Not Available,Not Available,No,0,135.2,Not Available,Not Available,61.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
845 Third Avenue,40.756688,-73.970128,Not Available,19661319,2014-04-30T16:44:24.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1013250001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,15,Not Available,Not Available,3909.7,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,100,Not Available,3909.7,1,Not Available,Not Available,No,0,130.2,Not Available,Not Available,256.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
250 West 57th Street,40.766391,-73.982119,Not Available,24502960.7,2014-05-01T13:59:08.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01028-0056,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.38178,112,Not Available,Not Available,153,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
595 West End Ave,40.790637,-73.976591,Not Available,1324589.2,2014-04-30T13:50:18.000,1087.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1012507504,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2253.4,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,2253.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,155.4,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available
555 Fifth Avenue,40.755801,-73.97874,Not Available,Not Available,2014-05-01T23:56:12.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01281-0069,04/30/2014 02:39 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,0.05565,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
148-25 88th Avenue,40.705268,-73.807754,Not Available,160944.4,2014-05-02T14:55:28.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4096940052,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jamaica,,Not Available,Not Available,Not Available,412.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 East 84th Street,40.777357,-73.954614,Not Available,2320630.5,2014-05-01T23:03:57.000,86232.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1015290045,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yorkville,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,200790,No,0,Not Available,Not Available,Not Available,120.4,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
23 ARLO RD OM,40.619815,-74.091487,Not Available,202626.1,2014-05-01T11:03:43.000,47488.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,5005930590,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Grymes Hill-Clifton-Fox Hills,,Not Available,Not Available,Not Available,501.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,141.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24-01 44th Road,40.748206,-73.943731,Not Available,17902764,2014-04-18T16:19:11.000,71497.5,Not Available,Not Available,Not Available,Office,Not Available,100,0,4004350001,04/14/2014 10:53 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5994,Not Available,Hunters Point-Sunnyside-West Maspeth,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,402.0,100,Not Available,4176.1,Not Available,Not Available,Not Available,No,Not Available,58.3,Not Available,Not Available,231.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
