location_code,geographical_district_code,y_coordinate,nta,fiscal_year,status_descriptions,administrative_district_name,primary_building_code,nta_name,longitude,primary_address_line_1
K359,19,179729,BK82,2020,Open,OFFICE OF CHARTER SCHOOLS,K166,East New York,-73.885704,800 VAN SICLEN AVE
M217,2,213836,MN31,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M271,Lenox Hill-Roosevelt Island,-73.956435,645 MAIN STREET
K618,19,191783,BK99,2020,Open,,K420,park-cemetery-etc-Brooklyn,-73.869305,999 JAMAICA AVENUE
M101,4,229322,MN33,2020,Closed,COMMUNITY SCHOOL DISTRICT 04,M101,East Harlem South,-73.944546,141 EAST 111 STREET
M037,4,230478,MN34,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M045,East Harlem North,-73.93374,2351 FIRST AVENUE
K747,23,184197,BK81,2020,"Initiated, never opened",COMMUNITY SCHOOL DISTRICT 23,K332,Brownsville,-73.906018,51 CHRISTOPHER AVENUE
K136,15,176864,BK32,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K136,Sunset Park West,-74.007596,4004 4 AVENUE
M018,6,256785,MN01,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M898,Marble Hill-Inwood,-73.911732,4124 9 AVENUE
M149,3,231708,MN11,2020,Open,COMMUNITY SCHOOL DISTRICT 03,M207,Central Harlem South,-73.948088,41 WEST 117 STREET
K499,17,186508,BK61,2020,Open,,K909,Crown Heights North,-73.961636,561 GRAND AVENUE
M335,4,230478,MN34,2020,Open,OFFICE OF CHARTER SCHOOLS,M045,East Harlem North,-73.93374,2351 FIRST AVENUE
K139,22,172936,BK42,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K139,Flatbush,-73.965862,330 RUGBY ROAD
K152,22,169760,BK42,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K152,Flatbush,-73.954269,725 EAST  23 STREET
M169,2,223746,MN40,2020,Open,CITYWIDE SPECIAL EDUCATION,M169,Upper East Side-Carnegie Hill,-73.955594,110 EAST  88 STREET
K061,17,181050,BK60,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K061,Prospect Lefferts Gardens-Wingate,-73.949198,400 EMPIRE BOULEVARD
M333,3,227605,MN12,2020,Open,COMMUNITY SCHOOL DISTRICT 03,M118,Upper West Side,-73.971011,154 WEST  93 STREET
K415,18,175271,BK96,2020,Closed,COMMUNITY SCHOOL DISTRICT 18,K415,Rugby-Remsen Village,-73.922212,5800 TILDEN AVENUE
K219,18,179317,BK96,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K219,Rugby-Remsen Village,-73.922296,1060 CLARKSON AVENUE
K527,13,192349,BK38,2020,Open,,K313,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.988323,283 ADAMS STREET
K556,32,192651,BK78,2020,Open,,K865,Bushwick South,-73.927349,797 BUSHWICK AVENUE
K050,14,198649,BK73,2020,Open,COMMUNITY SCHOOL DISTRICT 14,K050,North Side-South Side,-73.960137,183 SOUTH  3 STREET
K883,16,191204,BK35,2020,Open,OFFICE OF CHARTER SCHOOLS,K025,Stuyvesant Heights,-73.940749,787 LAFAYETTE AVENUE
M302,5,237020,MN03,2020,Closed,COMMUNITY SCHOOL DISTRICT 05,M136,Central Harlem North-Polo Grounds,-73.947151,6 EDGECOMBE AVENUE
K205,20,163242,BK28,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K205,Bensonhurst West,-73.986792,6701 20 AVENUE
K509,13,193677,BK38,2020,Closed,COMMUNITY SCHOOL DISTRICT 13,K906,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.986523,116 NASSAU STREET
K711,23,178159,BK81,2020,Open,OFFICE OF CHARTER SCHOOLS,K275,Brownsville,-73.906662,985 ROCKAWAY AVENUE
K682,21,160421,BK29,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K237,Bensonhurst East,-73.986678,50 AVENUE P
K446,23,179605,BK81,2020,Open,COMMUNITY SCHOOL DISTRICT 23,K183,Brownsville,-73.913508,76 RIVERDALE AVENUE
K251,22,169522,BK58,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K251,Flatlands,-73.923894,1037 EAST  54 STREET
M404,3,225688,MN12,2020,Open,,M470,Upper West Side,-73.974483,145 WEST  84 STREET
K151,32,191926,BK77,2020,Open,COMMUNITY SCHOOL DISTRICT 32,K151,Bushwick North,-73.908242,763 KNICKERBOCKER AVENUE
M111,2,218308,MN15,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M111,Clinton,-73.989776,440 WEST  53 STREET
K493,23,185011,BK79,2020,Open,,K055,Ocean Hill,-73.912685,2021 BERGEN STREET
K693,14,201530,BK76,2020,Open,OFFICE OF CHARTER SCHOOLS,K126,Greenpoint,-73.947932,424 LEONARD STREET
K912,23,181663,BK81,2020,Open,OFFICE OF CHARTER SCHOOLS,KAIX,Brownsville,-73.910292,250 BLAKE AVENUE
K688,16,191204,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K057,Stuyvesant Heights,-73.932254,125 STUYVESANT AVENUE
K312,22,166062,BK45,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K312,Georgetown-Marine Park-Bergen Beach-Mill Basin,-73.909554,7103 AVENUE T
K574,14,192149,BK75,2020,Closed,COMMUNITY SCHOOL DISTRICT 14,K023,Bedford,-73.9476,545 WILLOUGHBY AVENUE
K145,32,194716,BK78,2020,Open,COMMUNITY SCHOOL DISTRICT 32,K145,Bushwick South,-73.932388,100 NOLL STREET
K189,17,181646,BK81,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K189,Brownsville,-73.925435,1100 EAST NEW YORK AVENUE
K394,17,184371,BK61,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K210,Crown Heights North,-73.928917,188 ROCHESTER AVENUE
K216,21,154231,BK26,2020,Open,COMMUNITY SCHOOL DISTRICT 21,K216,Gravesend,-73.969647,350 AVENUE X
K791,22,169587,BK42,2020,Open,OFFICE OF CHARTER SCHOOLS,KAKO,Flatbush,-73.969887,259 PARKVILLE AVENUE
K403,32,193027,BK77,2020,Open,,K480,Bushwick North,-73.911751,400 IRVING AVENUE
K391,17,180630,BK60,2020,Closed,COMMUNITY SCHOOL DISTRICT 17,K391,Prospect Lefferts Gardens-Wingate,-73.9364,790 EAST NEW YORK AVENUE
M282,2,198427,MN27,2020,Open,,M520,Chinatown,-74.000851,411 PEARL STREET
M165,3,231707,MN09,2020,Open,COMMUNITY SCHOOL DISTRICT 03,M165,Morningside Heights,-73.965949,234 WEST 109 STREET
K635,19,174635,BK50,2020,Open,,K242,Canarsie,-73.898607,755 EAST  100 STREET
K049,14,197948,BK90,2020,Closed,COMMUNITY SCHOOL DISTRICT 14,K049,East Williamsburg,-73.9436,223 GRAHAM AVENUE
K589,18,179408,BK60,2020,Closed,,K232,Prospect Lefferts Gardens-Wingate,-73.928744,905 WINTHROP STREET
K279,18,173970,BK50,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K279,Canarsie,-73.892797,1070 EAST 104 STREET
K296,32,190182,BK78,2020,Closed,COMMUNITY SCHOOL DISTRICT 32,K296,Bushwick South,-73.910589,125 COVERT STREET
M099,4,225509,MN33,2020,Closed,COMMUNITY SCHOOL DISTRICT 04,M099,East Harlem South,-73.9425,410 EAST 100 STREET
M328,6,244219,MN36,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M164,Washington Heights South,-73.937263,401 WEST 164 STREET
M197,5,235675,MN03,2020,Open,COMMUNITY SCHOOL DISTRICT 05,M197,Central Harlem North-Polo Grounds,-73.938347,2230 5 AVENUE
K276,18,170275,BK50,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K276,Canarsie,-73.908436,1070 EAST  83 STREET
K143,16,190066,BK35,2020,Closed,COMMUNITY SCHOOL DISTRICT 16,K324,Stuyvesant Heights,-73.932,800 GATES AVENUE
K740,19,183169,BK82,2020,Open,OFFICE OF CHARTER SCHOOLS,KAJS,East New York,-73.867138,2635 LINDEN BOULEVARD
K202,19,181876,BK82,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K202,East New York,-73.876084,982 HEGEMAN AVENUE
K154,15,178641,BK40,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K154,Windsor Terrace,-73.975967,1625 11 AVENUE
K163,20,160328,BK27,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K807,Bath Beach,-74.007469,109 BAY 14TH STREET
K211,18,173531,BK50,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K211,Canarsie,-73.895224,1001 EAST 100 STREET
K315,22,169760,BK42,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K152,Flatbush,-73.954269,2310 GLENWOOD ROAD
M068,6,245005,MN36,2020,Open,OFFICE OF CHARTER SCHOOLS,M090,Washington Heights South,-73.935815,21 JUMEL PLACE
K292,19,183977,BK85,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K292,East New York (Pennsylvania Ave),-73.893319,301 VERMONT STREET
K338,19,179729,BK82,2020,"Initiated, never opened",COMMUNITY SCHOOL DISTRICT 19,K166,East New York,-73.885704,800 VAN SICLEN AVE
K005,16,188938,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K005,Stuyvesant Heights,-73.92197,820 HANCOCK STREET
M108,4,228933,MN33,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M108,East Harlem South,-73.947855,1615 MADISON AVENUE
K927,18,173872,BK96,2020,Open,OFFICE OF CHARTER SCHOOLS,KBXX,Rugby-Remsen Village,-73.922733,475 EAST   57 STREET
K521,18,173437,BK50,2020,"Initiated, never opened",COMMUNITY SCHOOL DISTRICT 18,K114,Canarsie,-73.90788,1077 REMSEN AVENUE
K025,16,191204,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K025,Stuyvesant Heights,-73.940749,787 LAFAYETTE AVENUE
K059,14,193443,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 14,K059,Stuyvesant Heights,-73.943279,211 THROOP AVENUE
M183,2,217554,MN31,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M183,Lenox Hill-Roosevelt Island,-73.957731,419 EAST  66 STREET
K771,21,150684,BK19,2020,Open,CITYWIDE SPECIAL EDUCATION,K225,Brighton Beach,-73.955856,1075 OCEAN VIEW AVENUE
K839,15,175344,BK40,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K437,Windsor Terrace,-73.973363,713 CATON AVENUE
M297,2,205690,MN23,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M323,West Village,-74.007192,75 MORTON STREET
M206,4,229613,MN34,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M206,East Harlem North,-73.930528,508 EAST 120 STREET
K235,18,178039,BK91,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K235,East Flatbush-Farragut,-73.940922,525 LENOX ROAD
K292,19,183977,BK85,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K292,East New York (Pennsylvania Ave),-73.893319,301 VERMONT STREET
K744,21,151505,BK23,2020,Open,OFFICE OF CHARTER SCHOOLS,K303,West Brighton,-73.972009,501 WEST AVENUE
M171,4,227938,MN33,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M171,East Harlem South,-73.951425,19 EAST 103 STREET
K039,15,182882,BK37,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K039,Park Slope-Gowanus,-73.982909,417 6 AVENUE
K113,13,190215,BK68,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K113,Fort Greene,-73.971474,300 ADELPHI STREET
K520,15,190665,BK38,2020,Closed,COMMUNITY SCHOOL DISTRICT 15,K520,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.989369,112 SCHERMERHORN STREET
K445,20,162624,BK28,2020,Open,,K445,Bensonhurst West,-74.002308,1601 80 STREET
K349,32,194609,BK78,2020,Open,COMMUNITY SCHOOL DISTRICT 32,K111,Bushwick South,-73.927938,35 STARR STREET
M035,2,217670,MN15,2020,Open,CITYWIDE SPECIAL EDUCATION,M058,Clinton,-73.985899,317 WEST  52ND STREET
M317,5,232805,MN34,2020,Closed,COMMUNITY SCHOOL DISTRICT 05,M030,East Harlem North,-73.935461,144-176 EAST 128 STREET
M374,2,207189,MN21,2020,Open,,M460,Gramercy,-73.987064,40 IRVING PLACE
M184,1,198359,MN28,2020,Open,COMMUNITY SCHOOL DISTRICT 01,M137,Lower East Side,-73.985438,327 CHERRY STREET
M299,3,221591,MN14,2020,Open,,M490,Lincoln Square,-73.985608,122 AMSTERDAM AVENUE
M072,4,227626,MN33,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M072,East Harlem South,-73.94745,131 EAST 104 STREET
K129,15,188843,BK38,2020,Open,OFFICE OF CHARTER SCHOOLS,K293,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.993293,284 BALTIC STREET
K009,13,186494,BK64,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K009,Prospect Heights,-73.966333,80 UNDERHILL AVENUE
M330,1,201552,MN28,2020,Open,OFFICE OF CHARTER SCHOOLS,M188,Lower East Side,-73.97738,442 EAST HOUSTON STREET
K406,16,190058,BK35,2020,Open,OFFICE OF CHARTER SCHOOLS,K308,Stuyvesant Heights,-73.935509,616 QUINCY STREET
K239,21,150091,BK21,2020,Open,COMMUNITY SCHOOL DISTRICT 21,K239,Seagate-Coney Island,-73.992447,2401 NEPTUNE AVENUE
M305,2,200619,MN27,2020,Open,,M445,Chinatown,-73.989329,350 GRAND STREET
M100,6,239369,MN04,2020,Open,OFFICE OF CHARTER SCHOOLS,MBTS,Hamilton Heights,-73.945427,691 St Nicholas Avenue
K377,32,191964,BK78,2020,Open,COMMUNITY SCHOOL DISTRICT 32,K377,Bushwick South,-73.915159,200 WOODBINE STREET
K507,19,182252,BK85,2020,Open,,K435,East New York (Pennsylvania Ave),-73.895122,400 PENNSYLVANIA AVENUE
M414,2,209794,MN13,2020,Open,,M070,Hudson Yards-Chelsea-Flatiron-Union Square,-74.002222,333 WEST  17 STREET
K220,20,172809,BK34,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K220,Sunset Park East,-74.00125,4812 9TH AVENUE
M258,3,227605,MN12,2020,Open,COMMUNITY SCHOOL DISTRICT 03,M118,Upper West Side,-73.971011,154 WEST  93 STREET
K326,22,168234,BK58,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K852,Flatlands,-73.92825,1800 UTICA AVENUE
K474,14,198368,BK78,2020,Open,,K450,Bushwick South,-73.938921,850 GRAND STREET
K305,13,189083,BK75,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K305,Bedford,-73.94573,344 MONROE STREET
K677,19,183165,BK82,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K072,East New York,-73.879131,605 SHEPHERD AVENUE
K506,20,173157,BK32,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K314,Sunset Park West,-74.019299,330 59 STREET
M244,3,223753,MN12,2020,Closed,COMMUNITY SCHOOL DISTRICT 03,M044,Upper West Side,-73.9769,100 WEST  77 STREET
M337,4,225483,MN33,2020,Open,OFFICE OF CHARTER SCHOOLS,M050,East Harlem South,-73.940919,433 EAST 100 STREET
M250,3,228958,MN12,2020,Open,COMMUNITY SCHOOL DISTRICT 03,M075,Upper West Side,-73.973996,735 WEST END AVENUE
K133,13,186989,BK37,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K317,Park Slope-Gowanus,-73.980455,610 BALTIC STREET
K313,13,195381,BK38,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K611,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.992076,19 DOCK STREET
K236,22,163530,BK45,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K236,Georgetown-Marine Park-Bergen Beach-Mill Basin,-73.912005,6302 AVENUE U
M174,2,207189,MN21,2020,Open,OFFICE OF CHARTER SCHOOLS,M460,Gramercy,-73.987064,40 IRVING PLACE
K380,14,194961,BK75,2020,Open,COMMUNITY SCHOOL DISTRICT 14,K380,Bedford,-73.953702,370 MARCY AVENUE
K395,17,182019,BK81,2020,Open,OFFICE OF CHARTER SCHOOLS,K907,Brownsville,-73.923881,1150 EAST NEW YORK AVENUE
K454,14,197868,BK90,2020,Open,,K049,East Williamsburg,-73.944463,223 GRAHAM AVENUE
M375,4,229322,MN33,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M101,East Harlem South,-73.944546,141 EAST 111 STREET
K633,18,172660,BK50,2020,Open,,K500,Canarsie,-73.898601,1600 ROCKAWAY PARKWAY
K382,17,175947,BK95,2020,Open,,K465,Erasmus,-73.957173,911 FLATBUSH AVENUE
M366,6,254640,MN01,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M263,Marble Hill-Inwood,-73.921631,202 SHERMAN AVE
M109,4,225509,MN33,2020,Closed,COMMUNITY SCHOOL DISTRICT 04,M099,East Harlem South,-73.9425,410 EAST 100 STREET
K244,18,175315,BK96,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K244,Rugby-Remsen Village,-73.925592,5404 TILDEN AVENUE
K187,20,168048,BK30,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K486,Dyker Heights,-74.003883,1171 65 STREET
K737,23,182876,BK81,2020,Open,OFFICE OF CHARTER SCHOOLS,KBVT,Brownsville,-73.918123,1501 PITKIN AVENUE
K270,13,191129,BK69,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K270,Clinton Hill,-73.961134,241 EMERSON PLACE
K420,19,191783,BK99,2020,Closed,COMMUNITY SCHOOL DISTRICT 19,K420,park-cemetery-etc-Brooklyn,-73.869305,999 JAMAICA AVENUE
K739,22,155386,BK17,2020,Open,OFFICE OF CHARTER SCHOOLS,K495,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,-73.936635,3000 AVENUE X
K146,15,186823,BK33,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K142,Carroll Gardens-Columbia Street-Red Hook,-74.002022,610 HENRY STREET
K663,19,181733,BK85,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K174,East New York (Pennsylvania Ave),-73.897604,574 DUMONT AVENUE
M164,6,244076,MN36,2020,Closed,COMMUNITY SCHOOL DISTRICT 06,M164,Washington Heights South,-73.9373,401 WEST 164 STREET
M047,2,208287,MN21,2020,Open,,M047,Gramercy,-73.981329,223 EAST 23 STREET
M411,2,209567,MN13,2020,Open,,M874,Hudson Yards-Chelsea-Flatiron-Union Square,-73.985723,55 EAST  25 STREET
K637,18,170435,BK50,2020,Open,,K515,Canarsie,-73.916927,6565 FLATLANDS AVENUE
M210,6,241675,MN04,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M093,Hamilton Heights,-73.944666,501-503 WEST 152 STREET
M033,2,212163,MN13,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M033,Hudson Yards-Chelsea-Flatiron-Union Square,-74.000238,281 9 AVENUE
K170,20,168939,BK31,2020,Open,COMMUNITY SCHOOL DISTRICT 20,K170,Bay Ridge,-74.018719,619 72ND STREET
K097,21,158307,BK29,2020,Open,COMMUNITY SCHOOL DISTRICT 21,K097,Bensonhurst East,-73.98557,1855 STILLWELL AVENUE
K240,22,166544,BK43,2020,Open,COMMUNITY SCHOOL DISTRICT 22,K240,Midwood,-73.946836,2500 NOSTRAND AVENUE
K594,17,186508,BK61,2020,Open,,K909,Crown Heights North,-73.961636,561 GRAND AVENUE
M112,4,229613,MN34,2020,Open,COMMUNITY SCHOOL DISTRICT 04,M112,East Harlem North,-73.930528,535 EAST 119 STREET
M281,2,210453,MN19,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M281,Turtle Bay-East Midtown,-73.972592,425 EAST 35TH STREET
K289,17,184927,BK61,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K289,Crown Heights North,-73.942401,900 ST MARKS AVENUE
K167,17,183221,BK61,2020,Closed,COMMUNITY SCHOOL DISTRICT 17,K167,Crown Heights North,-73.934316,1025 EASTERN PARKWAY
K115,18,170590,BK50,2020,Open,COMMUNITY SCHOOL DISTRICT 18,K115,Canarsie,-73.897896,1500 EAST  92 STREET
K128,21,159687,BK28,2020,Open,COMMUNITY SCHOOL DISTRICT 21,K128,Bensonhurst West,-73.995084,2075 84 STREET
K479,17,175927,BK95,2020,Closed,COMMUNITY SCHOOL DISTRICT 17,K465,Erasmus,-73.9585,911 FLATBUSH AVENUE
K490,20,167649,BK31,2020,Open,,K490,Bay Ridge,-74.038103,8301 SHORE ROAD
K712,16,189979,BK35,2020,Open,OFFICE OF CHARTER SCHOOLS,K309,Stuyvesant Heights,-73.924422,794 MONROE STREET
K122,17,185533,BK61,2020,Open,,K625,Crown Heights North,-73.939282,150 ALBANY AVENUE
K072,19,183165,BK82,2020,Closed,COMMUNITY SCHOOL DISTRICT 19,K072,East New York,-73.879131,605 SHEPHERD AVENUE
M006,2,222630,MN40,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M006,Upper East Side-Carnegie Hill,-73.960427,45 EAST  81 STREET
K125,14,193443,BK35,2020,Open,OFFICE OF CHARTER SCHOOLS,K059,Stuyvesant Heights,-73.943279,211 THROOP AVENUE
K055,23,184882,BK79,2020,Closed,COMMUNITY SCHOOL DISTRICT 23,K055,Ocean Hill,-73.9133,2021 BERGEN STREET
M406,4,230969,MN34,2020,Closed,COMMUNITY SCHOOL DISTRICT 04,M007,East Harlem North,-73.939374,160 EAST 120 STREET
K295,15,180026,BK32,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K845,Sunset Park West,-73.988743,330 18 STREET
M130,2,201104,MN24,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M130,SoHo-TriBeCa-Civic Center-Little Italy,-73.998326,143 BAXTER STREET
M161,5,237198,MN06,2020,Open,COMMUNITY SCHOOL DISTRICT 05,M161,Manhattanville,-73.952476,499 WEST 133 STREET
K704,17,178433,BK60,2020,Open,OFFICE OF CHARTER SCHOOLS,K002,Prospect Lefferts Gardens-Wingate,-73.951575,655 PARKSIDE AVENUE
K108,19,187512,BK83,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K108,Cypress Hills-City Line,-73.884348,200 LINWOOD STREET
K335,16,185020,BK61,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K335,Crown Heights North,-73.928673,130 ROCHESTER AVENUE
M294,2,200619,MN27,2020,Open,,M445,Chinatown,-73.989329,350 GRAND STREET
M139,2,217497,MN15,2020,Open,,M625,Clinton,-73.990318,439 WEST 49TH STREET
K393,16,191204,BK35,2020,Closed,,K057,Stuyvesant Heights,-73.932254,125 STUYVESANT AVENUE
K265,13,193278,BK68,2020,Open,COMMUNITY SCHOOL DISTRICT 13,K265,Fort Greene,-73.976104,101 PARK AVENUE
K396,23,182744,BK81,2020,Open,CITYWIDE SPECIAL EDUCATION,K396,Brownsville,-73.911788,110 CHESTER STREET
K422,19,178761,BK82,2020,Open,,K422,East New York,-73.874064,1065 ELTON STREET
K701,14,192295,BK75,2020,Open,OFFICE OF CHARTER SCHOOLS,K023,Bedford,-73.947256,545 WILLOUGHBY AVENUE
K309,16,189979,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K309,Stuyvesant Heights,-73.924422,794 MONROE STREET
K519,15,188793,BK38,2020,Open,,K804,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.990884,347 BALTIC STREET
K140,13,187723,BK75,2020,Open,CITYWIDE SPECIAL EDUCATION,K258,Bedford,-73.9456,141 MACON STREET
M124,2,199806,MN27,2020,Open,COMMUNITY SCHOOL DISTRICT 02,M124,Chinatown,-73.996017,40 DIVISION STREET
K081,16,191713,BK35,2020,Open,COMMUNITY SCHOOL DISTRICT 16,K081,Stuyvesant Heights,-73.935123,990 DEKALB AVENUE
M135,2,198427,MN27,2020,Open,,M520,Chinatown,-74.000851,411 PEARL STREET
K608,18,178909,BK96,2020,Open,OFFICE OF CHARTER SCHOOLS,K252,Rugby-Remsen Village,-73.919818,1084 LENOX ROAD
K584,16,185020,BK61,2020,Closed,COMMUNITY SCHOOL DISTRICT 16,K335,Crown Heights North,-73.928673,130 ROCHESTER AVENUE
M008,6,245040,MN36,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M008,Washington Heights South,-73.936614,465 WEST 167 STREET
M288,2,218160,MN15,2020,Open,,M535,Clinton,-73.9927,525 WEST  50TH STREET
M345,1,199174,MN28,2020,Closed,COMMUNITY SCHOOL DISTRICT 01,M056,Lower East Side,-73.986051,220 HENRY STREET
M319,6,245005,MN36,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M090,Washington Heights South,-73.935815,21 JUMEL PLACE
K553,13,188719,BK75,2020,Open,,K458,Bedford,-73.947873,832 MARCY AVENUE
K346,19,174887,BK93,2020,Open,COMMUNITY SCHOOL DISTRICT 19,K346,Starrett City,-73.881997,1400 PENNSYLVANIA AVENUE
K184,23,179887,BK81,2020,Open,COMMUNITY SCHOOL DISTRICT 23,K184,Brownsville,-73.905004,273 NEWPORT STREET
