location_code,geographical_district_code,y_coordinate,nta,fiscal_year,status_descriptions,administrative_district_name,primary_building_code,nta_name,longitude,primary_address_line_1
K612,2,210490,MN17,2020,Closed,ALTERNATIVE HIGH SCHOOL DISTRICT,M835,Midtown-Midtown South,-73.9848,40 EAST  29 STREET
K538,32,193550,BK77,2020,Open,OFFICE OF CHARTER SCHOOLS,K383,Bushwick North,-73.919088,1300 GREENE AVENUE
K447,15,188459,BK38,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K655,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.980266,345 DEAN STREET
K744,21,151505,BK23,2020,Open,OFFICE OF CHARTER SCHOOLS,K303,West Brighton,-73.972009,501 WEST AVENUE
M415,3,231693,MN11,2020,Open,,M088,Central Harlem South,-73.954152,215 WEST 114 STREET
K399,17,175465,BK95,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K399,Erasmus,-73.951664,2707 ALBEMARLE ROAD
K595,13,189021,BK75,2020,Open,,K994,Bedford,-73.953692,1119 BEDFORD AVENUE
K498,16,190089,BK35,2020,Open,,K987,Stuyvesant Heights,-73.920603,1396 BROADWAY
M370,1,205138,MN22,2020,Closed,COMMUNITY SCHOOL DISTRICT 01,M060,East Village,-73.9829,420 EAST  12 STREET
M134,1,199497,MN28,2020,Open,COMMUNITY SCHOOL DISTRICT 01,M134,Lower East Side,-73.983854,293 EAST BROADWAY
M204,4,228228,MN33,2020,Open,OFFICE OF CHARTER SCHOOLS,MADQ,East Harlem South,-73.951367,1 EAST 104 STREET
M188,1,201552,MN28,2020,Open,COMMUNITY SCHOOL DISTRICT 01,M188,Lower East Side,-73.97738,442 EAST HOUSTON STREET
M412,2,209794,MN13,2020,Open,,M070,Hudson Yards-Chelsea-Flatiron-Union Square,-74.002222,333 WEST  17 STREET
M132,6,249167,MN35,2020,Open,COMMUNITY SCHOOL DISTRICT 06,M132,Washington Heights North,-73.933964,185 WADSWORTH AVENUE
K766,13,191549,BK38,2020,Open,OFFICE OF CHARTER SCHOOLS,KCQF,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,-73.986867,55 Willoughby Street
K705,17,185965,BK61,2020,Open,COMMUNITY SCHOOL DISTRICT 17,K022,Crown Heights North,-73.960093,443 ST MARKS AVENUE
K131,15,172711,BK88,2020,Open,COMMUNITY SCHOOL DISTRICT 15,K131,Borough Park,-73.993247,4305 FT HAMILTON PARKWAY
M065,5,234568,MN03,2020,Open,OFFICE OF CHARTER SCHOOLS,M154,Central Harlem North-Polo Grounds,-73.948902,250 WEST 127 STREET
K659,19,191783,BK99,2020,Open,,K420,park-cemetery-etc-Brooklyn,-73.869305,999 JAMAICA AVENUE
