beds,highschool_network_location,location_type_description,principal_phone_number,state_code,census_tract,x_coordinate,Charter with system_code,DOE with system_code
310500010046,,General Academic,212-360-1519,NY,24302,1001883,,05M046
310500860928,,General Academic,212-283-1204,NY,22600,999242,84M388,
310100010134,,General Academic,212-673-4470,NY,202,988726,,01M134
310200010413,HS12,General Academic,212-475-8086,NY,6800,988317,,02M413
310200010089,,General Academic,212-571-5659,NY,31703,980378,,02M089
331500010015,,General Academic,718-330-9280,NY,5300,980959,,15K015
307500013141,,Special Education,718-941-0320,NY,80200,997686,,75K141
331300011527,HS03,General Academic,718-260-2300,NY,1100,987488,,13K527
331600010267,,General Academic,718-574-2318,NY,29300,1003090,,16K267
310100010034,,General Academic,212-228-4433,NY,2800,991163,,01M034
310100010315,,General Academic,212-982-0682,NY,2800,990277,,01M315
332200011405,HS06,General Academic,718-724-8500,NY,77200,997474,,22K405
331500011749,,General Academic,,NY,3900,989844,,15K749
331900011618,HS07,Career Technical,718-827-2469,NY,118000,1020493,,19K618
331600861003,,General Academic,718-221-1064,NY,30900,1002254,84K360,
310500010302,,General Academic,212-694-6040,NY,22102,998878,,05M302
310500860864,,General Academic,212-360-3232,NY,22400,998600,84M284,
310400010182,,General Academic,212-860-6031,NY,18000,1000322,,04M182
331700010012,,General Academic,718-953-4569,NY,36300,1006415,,17K012
310300010149,,General Academic,646-672-9020,NY,19000,998622,,03M149
331900011502,HS05,General Academic,718-688-7930,NY,115600,1013345,,19K502
331700011543,HS03,General Academic,718-564-2540,NY,79400,996134,,17K543
332200010152,,General Academic,718-434-5222,NY,77200,996943,,22K152
331700010092,,General Academic,718-462-2087,NY,80200,997066,,17K092
310200010198,,General Academic,212-289-3702,NY,15801,997980,,02M198
331500861016,,Transfer School,347-505-9101,NY,26100,999199,84K486,
331700861037,,General Academic,718-221-5095,NY,35500,1002074,84K692,
310600010192,,General Academic,212-775-9560,NY,22301,997529,,06M192
331900011583,HS05,General Academic,718-827-2796,NY,118000,1020493,,19K583
331900010013,,General Academic,718-498-3717,NY,112600,1013844,,19K013
331400861036,,General Academic,718-384-1386,NY,49900,998683,84K689,
310400010146,,General Academic,212-860-5877,NY,16200,1001217,,04M146
332000010971,,General Academic,718-765-2200,NY,7200,978604,,20K971
310600011348,HS12,General Academic,212-781-0524,NY,26900,1003342,,06M348
331500010321,,General Academic,718-499-2412,NY,15500,990177,,15K321
331500010136,,General Academic,718-840-1950,NY,8200,982142,,15K136
331800860988,,General Academic,718-683-3300,NY,92200,1009683,84K792,
333200010384,,General Academic,718-642-4890,NY,40900,1010680,,32K384
331700010705,,General Academic,718-230-0851,NY,30500,995319,,17K705
331400010016,,General Academic,718-782-5352,NY,53500,994772,,14K016
310500011157,HS03,Career Technical,212-831-5201,NY,20600,1001216,,05M157
331700010061,,General Academic,718-774-1002,NY,32900,998344,,17K061
332000010223,,General Academic,718-438-0155,NY,23000,989128,,20K223
310300010241,,General Academic,212-678-2898,NY,21600,996547,,03M241
332300860942,,General Academic,718-669-7461,NY,92200,1010148,84K711,
310300010180,,General Academic,212-678-2849,NY,25700,996469,,03M180
331400010297,,General Academic,718-388-4581,NY,25700,998623,,14K297
331300010596,,General Academic,718-230-3273,NY,23500,995847,,13K596
310300010245,,General Academic,917-441-0873,NY,16100,990453,,03M245
332200010195,,General Academic,718-648-9102,NY,62000,999945,,22K195
331700010138,,General Academic,718-467-0800,NY,31701,997687,,17K138
310300010199,,General Academic,212-799-1033,NY,15500,988564,,03M199
307500011162,,Special Education,212-410-5202,NY,19000,999002,,75M162
332100010212,,General Academic,718-266-4841,NY,31400,988314,,21K212
310200010217,,General Academic,212-980-0294,NY,23801,996320,,02M217
310600861074,,General Academic,212-534-9667,NY,27100,1002821,84M203,
331900010149,,General Academic,718-688-7620,NY,115800,1013999,,19K149
332300010522,,General Academic,718-485-5240,NY,30100,1007797,,23K522
331400010110,,General Academic,718-383-7600,NY,59100,1000347,,14K110
332100010099,,General Academic,718-338-9201,NY,45400,993680,,21K099
331600010681,,General Academic,718-574-2804,NY,29100,1003152,,16K681
332200010361,,General Academic,718-941-2800,NY,78800,998773,,22K361
310600010152,,General Academic,212-567-5456,NY,28300,1004283,,06M152
331600011498,HS05,General Academic,718-919-1256,NY,37500,1006269,,16K498
331500010027,,General Academic,718-330-9285,NY,5900,982821,,15K027
332100010188,,General Academic,718-265-7580,NY,32800,984114,,21K188
332300010275,,General Academic,718-495-7833,NY,92200,1009986,,23K275
331800011569,HS12,General Academic,718-629-1204,NY,93600,1005836,,18K569
333200861045,,General Academic,347-471-2690,NY,41500,1007777,84K784,
331800011635,HS10,Transfer School,718-272-1926,NY,974,1012387,,18K635
331500011529,HS10,Transfer School,718-686-1444,NY,11000,986428,,15K529
310400010155,,General Academic,212-860-5885,NY,18800,1001999,,04M155
331500011530,,General Academic,718-222-6200,NY,3900,989844,,15K530
310600011293,HS03,General Academic,212-567-3164,NY,28500,1003590,,06M293
332100010153,,General Academic,718-375-4484,NY,55600,995350,,21K153
332200010197,,General Academic,718-377-7890,NY,54600,997744,,22K197
310200011296,HS04,General Academic,212-586-0963,NY,13500,986272,,02M296
331300011412,HS05,General Academic,718-230-5748,NY,23500,995847,,13K412
333200010106,,General Academic,718-574-0261,NY,41500,1008271,,32K106
332300010041,,General Academic,718-495-7732,NY,91800,1010073,,23K041
