dbn,b33_engaging_in_sexual_conduct_1,a46_weapon_possession_category_2,a15_misusing_property,b26_gang_related_behavior_1,a43_reckless_behavior_with_2,b54_group_violence_p,a41_false_activation_of_fire_2,a26_possession_of_property_1,a58_using_weapon_category_2,a32_posting_distributing,a18_inappropriate_or_unwanted,b59_using_weapon_category_1,b51_threatening_using_force,b60_using_weapon_category_1,a30_vandalism_graffiti_p,a37_intimidating_and_bullying_2,a33_altercation_and_or_2,a46_weapon_possession_category_1,b39_intimidating_and_bullying_2,a07_verbally_rude_or_1,b23_using_slurs_bias_s,a59_using_weapon_other_than,a37_intimidating_and_bullying,b34_sexually_suggestive_verbal,a59_using_weapon_other_than_1,b56_engaging_physical_sexual,b27_tampering_altering_records_1,a23_using_slurs_bias_p,b61_using_weapon_other_than_1,b46_reckless_behavior_that,a48_starting_a_fire_p,a35_disruptive_behavior_on,b58_weapon_possession_category_1,a27_tampering_altering_records,a43_reckless_behavior_with_1,a38_sexually_suggestive_verbal_2,a35_disruptive_behavior_on_2,a50_using_force_against_1,b36_altercation_and_or_2,b32_posting_distributing,a06_disrupting_the_educational_1,a46_weapon_possession_category,a57_using_weapon_category_1,b42_false_activation_of_fire_1,b37_coercion_threats_r,a51_using_extreme_force,a30_vandalism_graffiti_r,b32_posting_distributing_2,a33_altercation_and_or_1,b62_possessing_or_using_a_1,b41_possession_of_controlled_2,b29_possession_of_property,b31_scholastic_dishonesty_1,b46_reckless_behavior_that_1,b49_using_controlled,b31_scholastic_dishonesty_2,b20_leaving_class_or_school,b28_vandalism_graffiti_r,a36_intimidating_and_bullying_1,b22_trespassing_r,b57_selling_distributing,b25_bringing_unauthorized,a38_sexually_suggestive_verbal_1,b35_posting_distributing_1,a23_using_slurs_bias_s,b28_vandalism_graffiti_p,a39_possession_of_controlled_2
02M290,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K567,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M167,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X527,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X547,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K543,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X160,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X175,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M110,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M400,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
