manhattan_condominiums_comparable_properties_condo_section,longitude,manhattan_condominiums_comparable_properties_net_operating_income,bin,comparable_rental_1_address,comparable_rental_2_net_operating_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_neighborhood,comparable_rental_3_address,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,borough,manhattan_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_2_estimated_expense,latitude-manhattan_condominiums_comparable_properties_expense_per_sqft
0368-R1,-74.003136,169253,1012768.0,142 WEST 23 STREET,188837.0,33.06,CLINTON,337 WEST 43 STREET,2220338,13844000,1,149.5,698 10 AVENUE,"2,233,000",126553.0,40.747245-13.48
0704-R1,-73.983534,563298,1018105.0,151 EAST 26 STREET,1180754.0,45.3,GRAMERCY,152 EAST 22 STREET,369207,1832000,1,153.9,95 LEXINGTON AVENUE,"5,923,000",460218.0,40.74078-12.17
0082-R1,-73.978481,924640,,431 3 AVENUE,621817.0, ,MURRAY HILL, ,1475582,7236000,1,166.21,142 EAST 33 STREET, ,305183.0,40.743381-11.3
0159-R1,-73.975807,1312315,1030280.0,146 WEST 79 STREET,599577.0, ,UPPER WEST SIDE (79-96), ,628304,3127000,1,209.66,465 COLUMBUS AVENUE, ,200368.0,40.781538-10.37
1125-R1,-73.979057,1728748,1004715.0,58 AVENUE A,4296589.0, ,ALPHABET CITY, ,2501326,15143000,1,198.73,250 EAST HOUSTON STREET, ,1622031.0,40.724956-12.0
0540-R1,-73.979734,14823038,1076177.0,227 WEST 48 STREET,9194966.0, ,MIDTOWN WEST, ,22039713,118447000,1,226.22,1752 BROADWAY, ,3311152.0,40.764505-12.7
0484-R1,-74.001606,280120,1066879.0,171 BLEECKER STREET,193206.0, ,GREENWICH VILLAGE-CENTRAL, ,326972,1497000,1,113.27,114 MAC DOUGAL STREET, ,156234.0,40.729377-11.51
0702-R1,-73.975528,1688420,1035250.0,21 WEST 58 STREET,2113309.0, ,MIDTOWN WEST, ,2244643,10856000,1,178.98,841 7 AVENUE, ,956457.0,40.76452-12.04
0632-R1,-73.991448,1156651,1015455.0,27 WEST 16 STREET,2101723.0,46.66,FLATIRON,146 5 AVENUE,1841747,9742000,1,234.02,43 WEST 16 STREET,"3,768,000",827202.0,40.739005-12.92
1064-R1,-74.008034,1930983,1002857.0,36 LAIGHT STREET,885029.0,37.13,SOHO,30 CHARLTON STREET,853854,4345000,1,162.66,100 SULLIVAN STREET,"9,435,000",362260.0,40.723083-10.15
