inspectionrequestid,areaid,detailentrydate,activitystatusid,lastname,program,requestsourceid,hours,lotstatusreason,activityentrydate,used_house2,used_prefix,indexno,prefix,ownerlotlcd,flp,lotstatusid,fel_tires,loc_id,requeststatusdate,old_status_dd,crossstreetone,lotissysflagednjoverridden,ccuyear,requestdate,isbillgenerated,userid,importfromscan,s_tires,titleid,note
18280,40,2001-05-14T14:56:51.000,750,,,504,6.5,,2001-05-18T00:00:00.000,,,,,,,702,0,LOC24831,2011-03-29T16:02:34.000,MST117,,,0,,0,608.0,0,0,49,
85733,40,2009-05-07T14:42:54.000,750,,,463,2.0,,2009-05-07T00:00:00.000,,,,,,0.0,702,0,LOC86402,2011-03-29T16:02:34.000,MST117,,,9,04/06/2009 07:05:05,1,336.0,0,0,49,
17037,39,2000-10-16T08:59:35.000,750,,395.0,502,6.5,,2000-10-17T14:24:44.000,,,,,,1.0,702,0,LOC22159,2011-03-29T16:02:34.000,MST117,,,0,,0,608.0,0,0,49,
17476,39,2000-12-20T14:41:27.000,750,,,504,6.5,,2000-12-20T14:40:49.000,,,,,,,702,0,LOC23406,2011-03-29T16:02:34.000,MST117,,,0,,0,680.0,0,0,49,
77457,39,2008-08-19T11:14:49.000,750,,,504,6.5,,2008-08-19T00:00:00.000,,,,,,0.0,702,0,LOC79603,2011-03-29T16:02:34.000,MST117,,,8,,1,336.0,0,0,49,
12094,39,1999-12-27T08:34:33.000,750,,,504,5.5,,2000-01-03T09:46:53.000,,,,,,0.0,702,0,LOC15968,2011-03-29T16:02:34.000,MST117,,,99,,0,469.0,0,0,49,
3382,39,1998-05-26T09:34:32.000,750,,,504,2.0,,1998-05-26T09:34:16.000,,,,,,0.0,702,0,LOC1390,2011-03-29T16:02:34.000,MST117,,,98,,0,680.0,0,0,49,
112082,39,2012-08-09T10:29:07.000,750,,0.0,502,4.0,,2012-08-09T10:29:07.000,,600.0,,600.0,,0.0,702,0,,2012-08-08T00:02:03.000,,ROCKAWAY AVENUE,0.0,2012,,0,685.0,0,0,49,
11783,39,2000-03-28T10:45:19.000,750,,,502,1.0,,2000-03-28T10:45:10.000,,,,,,0.0,702,0,LOC15682,2011-03-29T16:02:34.000,MST117,,,99,,0,469.0,0,45,49,
25125,39,2002-05-10T10:01:06.000,750,,,502,6.5,,2002-05-10T00:00:00.000,,,,,,1.0,702,0,LOC33117,2011-03-29T16:02:34.000,MST117,,,2,,0,663.0,0,0,49,
2270,39,1998-09-08T15:58:38.000,750,,,502,4.5,,1998-09-08T15:58:15.000,,,,,,0.0,702,0,LOC4137,2011-03-29T16:02:34.000,MST117,,,97,,0,336.0,0,0,49,
38338,39,2004-02-17T14:33:10.000,750,,395.0,504,6.5,,2004-02-17T00:00:00.000,,,,,,,702,0,LOC46803,2011-03-29T16:02:34.000,MST117,,,3,,0,623.0,0,103,49,
58562,39,2006-05-23T10:02:53.000,750,,,504,6.5,,2006-05-23T10:03:39.000,,,,,,0.0,702,0,LOC63242,2011-03-29T16:02:34.000,MST117,,,6,,0,336.0,0,0,49,
96980,39,2010-06-30T11:49:57.000,750,,,502,6.5,,2010-06-30T00:00:00.000,,,,,,0.0,702,0,LOC95357,2011-03-29T16:02:34.000,MST117,,,10,,0,336.0,0,0,49,
133674,39,2016-01-19T10:31:12.000,751,,0.0,504,6.5,,2016-01-19T10:31:12.000,,679.0,,679.0,,0.0,702,0,,2016-01-14T00:02:06.000,,108 AVENUE,0.0,2015,,0,664.0,0,0,49,
1870,40,1998-06-01T11:24:54.000,750,,,504,5.5,,1998-06-01T11:33:47.000,,,,,,0.0,702,0,LOC1217,2011-03-29T16:02:34.000,MST117,,,97,,0,623.0,0,640,49,
86854,39,2009-06-09T15:42:22.000,750,,,502,3.0,,2009-06-09T00:00:00.000,,,,,,0.0,702,0,LOC87179,2011-03-29T16:02:34.000,MST117,,,9,,0,664.0,0,0,49,
133367,39,2015-12-11T09:37:38.000,750,,0.0,502,6.5,,2015-12-11T09:37:38.000,,600.0,,600.0,,0.0,702,0,,2015-12-09T00:02:24.000,,MARCY AVENUE,0.0,2015,,0,665.0,0,0,49,
10050,39,2000-04-10T10:59:07.000,750,,,502,2.5,,2000-04-10T10:58:36.000,,,,,,0.0,702,0,LOC12518,2011-03-29T16:02:34.000,MST117,,,99,,1,340.0,0,2,47,
66183,40,2007-05-07T09:16:34.000,750,,,467,6.5,,2007-05-07T00:00:00.000,,,,,,0.0,702,0,LOC69771,2011-03-29T16:02:34.000,MST117,,,7,03/01/2007 11:28:28,0,681.0,0,0,49,
