activitydetailid,activityid,lotbllingtotal,house1,structure,act_date,crmno,supp_ind,total_loads,channel,vehicleno,scanno,billingdate,usedoverride,lotstatusdate,refid,boroid,copyexistingaddress,enddate,old_main_lot_id,uniform_hrs,activitybllingtotal,used_crossstreettwo,inspectiondate
15099,31311,,,0,2003-04-22T00:00:00.000,,,3.0,867,AL-007,,,0,2003-04-22T00:00:01.000,,8,,2003-04-22T00:00:00.000,LOT87309,32,,,2003-02-03T00:00:00.000
212300,22158,,,0,2000-09-01T00:00:00.000,,,27.0,867,AL-002,,,0,2000-09-05T00:00:01.000,,9,,2000-09-05T00:00:00.000,LOT39051,148,,,2000-04-26T00:00:00.000
228226,24485,389.53,,0,2001-05-16T00:00:00.000,,,1.0,929,AL-403,,2001-07-11T10:34:49.000,0,2001-05-16T00:00:01.000,,8,,2001-05-16T00:00:00.000,LOT51200,5,424.1,,2001-02-21T00:00:00.000
20549,32139,,,0,2003-08-19T00:00:00.000,,,17.0,867,,,,0,2003-08-20T00:00:01.000,,7,,2003-08-20T00:00:00.000,LOT96654,222,,,2003-08-08T00:00:00.000
124534,12259,,,0,2008-05-01T00:00:00.000,,,2.0,867,,,,0,2008-05-02T00:00:01.000,,9,,2008-05-02T00:00:00.000,LOT173610,70,,,2008-03-17T00:00:00.000
185776,34563,,,0,1999-07-15T00:00:00.000,,,9.0,867,,,,0,1999-08-30T00:00:01.000,,9,,1999-08-30T00:00:00.000,LOT22364,50,,,1999-01-27T00:00:00.000
300746,46737,0.0,57,0,2014-03-14T00:00:00.000,,,1.0,867,,,2014-03-12T11:39:27.000,0,2014-03-20T00:00:00.000,0.0,7,1.0,2014-03-20T00:00:00.000,,110,,HARRISON AVENUE,2014-03-04T00:00:00.000
224578,24563,,,0,2001-03-30T00:00:00.000,,,4.0,867,,,,0,2001-03-30T00:00:01.000,,9,,2001-03-30T00:00:00.000,LOT52127,37,,,2001-02-14T00:00:00.000
304165,47300,0.0,218,0,2014-06-09T00:00:00.000,,,0.0,867,dg-007,,2014-05-08T09:14:39.000,0,2014-06-10T00:00:00.000,0.0,10,1.0,2014-06-10T00:00:00.000,,58,,SAUNDER STREET,2014-05-07T00:00:00.000
2.01e+05,20887,,,0,2000-03-22T00:00:00.000,,,4.0,867,,,,0,2000-03-22T00:00:01.000,,7,,2000-03-22T00:00:00.000,LOT33479,26,,,1999-10-15T00:00:00.000
313987,48782,0.0,,0,2015-01-07T00:00:00.000,,,0.0,867,au-106,,2015-01-02T11:14:35.000,1,2015-01-07T00:00:00.000,0.0,8,1.0,2015-01-07T00:00:00.000,,22,,BEACH 38 STREET,2014-12-17T00:00:00.000
234670,26051,,,0,2001-08-31T00:00:00.000,,,3.0,929,,,,0,2001-09-05T00:00:01.000,,7,,2001-09-05T00:00:00.000,LOT60608,60,,,2001-08-18T00:00:00.000
268989,41123,0.0,1569,0,2011-12-13T00:00:00.000,,,0.78,867,cw-547,,2011-11-30T10:13:42.000,0,2011-12-13T00:00:00.000,0.0,7,1.0,2011-12-13T00:00:00.000,,65,,BUFFALO AVENUE,2011-11-25T00:00:00.000
273053,41808,0.0,104-59,0,2012-04-09T00:00:00.000,,,0.09,867,,,2012-03-28T14:49:34.000,0,2012-04-09T00:00:00.000,0.0,8,1.0,2012-04-09T00:00:00.000,,18,,104 ROAD,2012-03-22T00:00:00.000
226099,23353,,,0,2001-04-17T00:00:00.000,,,3.0,929,,,,0,2001-04-20T00:00:01.000,,6,,2001-04-20T00:00:00.000,LOT46582,28,,,2000-11-28T00:00:00.000
203005,34994,,,0,2000-04-18T00:00:00.000,,,3.0,929,,,,0,2000-08-31T00:00:01.000,,8,,2000-08-31T00:00:00.000,LOT31717,20,,,1999-11-16T00:00:00.000
157487,33894,,,0,2009-12-31T00:00:00.000,,,1.0,867,DG-017,,,0,2010-01-08T00:00:01.000,,7,,2010-01-08T00:00:00.000,LOT196873,72,,,2009-12-16T00:00:00.000
224431,24558,,,0,1998-01-23T00:00:00.000,,N,14.0,929,AC-001,,,0,1998-01-23T00:00:01.000,,9,,1998-01-23T00:00:00.000,LOT541,49,,,1997-08-11T00:00:00.000
260122,39481,0.0,1939,0,2011-06-16T00:00:00.000,,,0.27,867,ct-003,,2011-05-23T09:54:04.000,0,2011-06-16T00:00:00.000,0.0,7,1.0,2011-06-16T00:00:00.000,,20,,BEND,2011-05-19T00:00:00.000
27028,266,,,0,2003-12-15T00:00:00.000,,,1.0,867,AF-104,,,0,2003-12-15T00:00:01.000,,7,,2003-12-15T00:00:00.000,LOT102329,8,,,2003-10-09T00:00:00.000
191684,19735,,,0,1999-10-15T00:00:00.000,,,37.0,867,AL-010,,,0,1999-10-22T00:00:01.000,,7,,1999-10-22T00:00:00.000,LOT26714,171,,,1999-09-22T00:00:00.000
116760,11103,2849.04,,0,2007-12-28T00:00:00.000,,,0.0,677,,2007ML1922173,2008-01-15T14:40:57.000,0,2007-12-31T00:00:01.000,,8,,2007-12-31T00:00:00.000,LOT169658,104,2849.04,,2007-11-27T00:00:00.000
205562,20133,,,0,1998-03-10T00:00:00.000,,N,62.0,867,AL-012,,,0,1998-03-18T00:00:01.000,,7,,1998-03-18T00:00:00.000,LOT2917,208,,,1997-06-04T00:00:00.000
72771,4117,647.79,,0,2006-02-07T00:00:00.000,,,0.0,867,,,2006-03-13T14:01:53.000,0,2006-02-07T00:00:01.000,,8,,2006-02-07T00:00:00.000,LOT132228,22,705.28,,2005-05-09T00:00:00.000
204115,20803,1257.3,,0,2000-05-01T00:00:00.000,,,1.0,867,,,2000-08-02T10:11:31.000,0,2000-05-01T00:00:01.000,,9,,2000-05-01T00:00:00.000,LOT32613,39,1368.89,,1999-03-25T00:00:00.000
41736,16116,,,0,2004-08-10T00:00:00.000,,,1.0,677,,2004ML6006743,,0,2004-08-10T00:00:01.000,,6,,2004-08-10T00:00:00.000,LOT118824,13,,,2004-07-08T00:00:00.000
258621,39223,0.0,388,0,2011-05-09T00:00:00.000,,,0.48,867,,,2011-04-27T14:22:43.000,0,2011-05-11T00:00:00.000,0.0,7,1.0,2011-05-11T00:00:00.000,,102,,LIVONIA AVENUE,2011-04-25T00:00:00.000
263459,40111,0.0,1280,0,2011-08-17T00:00:00.000,,,0.85,867,,,2011-07-25T10:33:19.000,0,2011-08-10T00:00:00.000,0.0,7,0.0,2011-08-17T00:00:00.000,,84,,EVERGREEN AVENUE,2011-07-21T00:00:00.000
18434,32117,3457.17,,0,2003-07-03T00:00:00.000,,,2.0,867,CT-003,,2003-10-06T15:09:11.000,0,2003-07-17T00:00:01.000,,7,,2003-07-17T00:00:00.000,LOT93022,39,3763.45,,2003-05-21T00:00:00.000
27872900.00%,42892,0.0,2055,0,2012-07-09T00:00:00.000,,,0.29,867,,,2012-06-27T12:54:48.000,0,2012-07-09T00:00:00.000,0.0,7,1.0,2012-07-09T00:00:00.000,,16,,SOMERS STREET,2012-06-22T00:00:00.000
240188,36362,436.49,,0,2001-12-06T00:00:00.000,,,4.0,929,AL-008,,2002-01-18T11:57:25.000,0,2001-12-06T00:00:01.000,,8,,2001-12-06T00:00:00.000,LOT60453,2,475.23,,2001-08-07T00:00:00.000
120572,12123,373.52,,0,2008-02-27T00:00:00.000,,,0.0,677,,2008MLMK01475,,0,2008-02-27T00:00:01.000,,10,,2008-02-27T00:00:00.000,LOT172517,10,373.52,,2008-02-04T00:00:00.000
49642,3239,,,0,2005-02-08T00:00:00.000,,,1.0,867,,,,0,2005-02-09T00:00:01.000,,7,,2005-02-09T00:00:00.000,LOT124631,38,,,2004-10-14T00:00:00.000
96477,4800,,,0,1998-09-25T00:00:00.000,,N,19.0,867,AF-007,,,0,1998-09-28T00:00:01.000,,6,,1998-09-28T00:00:00.000,LOT13389,65,,,1998-08-13T00:00:00.000
138384,13877,,,0,2008-12-16T00:00:00.000,,,1.03,867,,,,0,2008-12-16T00:00:01.000,,9,,2008-12-16T00:00:00.000,LOT183478,29,,,2008-12-08T00:00:00.000
1.96e+05,19984,,,0,1999-12-23T00:00:00.000,,,5.0,867,,,,0,1999-12-27T00:00:01.000,,6,,1999-12-27T00:00:00.000,LOT28722,42,,,1999-11-09T00:00:00.000
67873,6022,,,0,2005-11-23T00:00:00.000,,,1.0,867,,,,0,2005-11-23T00:00:01.000,,7,,2005-11-23T00:00:00.000,LOT139932,86,,,2005-11-14T00:00:00.000
324940,50550,0.0,2012,0,2015-11-18T00:00:00.000,,,1.0,867,,,2015-10-05T12:42:29.000,0,2015-11-18T00:00:00.000,0.0,7,1.0,2015-11-18T00:00:00.000,,84,,HULL STREET,2015-10-02T00:00:00.000
94994,8979,,,0,2007-01-17T00:00:00.000,,,0.0,867,,,,0,2007-01-17T00:00:01.000,,6,,2007-01-17T00:00:00.000,LOT154645,20,,,2006-11-21T00:00:00.000
315380,49032,0.0,768,0,2015-03-30T00:00:00.000,,,0.0,867,,,2015-02-02T07:51:28.000,0,2015-03-30T00:00:00.000,0.0,7,1.0,2015-03-30T00:00:00.000,,39,1588.01,HEGEMAN AVENUE,2015-01-20T00:00:00.000
188019,33167,1895.19,,0,1999-08-16T00:00:00.000,,,1.0,867,,,1999-10-07T11:03:11.000,0,1999-08-17T00:00:01.000,,7,,1999-08-17T00:00:00.000,LOT18490,18,2063.4,,1998-06-16T00:00:00.000
178565,33080,,,0,1999-03-31T00:00:00.000,,,36.0,867,,,,0,1999-03-31T00:00:01.000,,6,,1999-03-31T00:00:00.000,LOT18313,80,,,1999-03-02T00:00:00.000
92883,8660,,,0,2006-11-10T00:00:00.000,,,1.0,867,,6LCU111967,,0,2006-12-01T00:00:01.000,,7,,2006-12-01T00:00:00.000,LOT153603,34,,,2006-10-05T00:00:00.000
230961,36199,,,0,2001-06-27T00:00:00.000,,,0.0,929,AL-008,,,0,2001-06-28T00:00:01.000,,8,,2001-06-28T00:00:00.000,LOT57502,36,,,2001-06-10T00:00:00.000
4681,29746,363.45,,0,2002-09-03T00:00:00.000,,,0.25,867,AT-131,,2002-11-12T14:41:18.000,0,2002-09-03T00:00:01.000,,7,,2002-09-03T00:00:00.000,LOT78842,7,395.71,,2002-06-19T00:00:00.000
2.50e+05,28986,,,0,2002-05-09T00:00:00.000,,,1.0,867,,,,0,2002-05-09T00:00:01.000,,6,,2002-05-09T00:00:00.000,LOT73462,26,,,2002-03-26T00:00:00.000
56147,21934,,,0,1998-07-28T00:00:00.000,,N,2.0,867,,,,0,1998-08-03T00:00:01.000,,7,,1998-08-03T00:00:00.000,LOT3779,20,,,1997-12-15T00:00:00.000
268975,41122,0.0,2012,0,2011-12-14T00:00:00.000,,,0.33,867,,,2011-11-28T10:56:39.000,0,2011-12-14T00:00:00.000,0.0,7,1.0,2011-12-14T00:00:00.000,,206,,HULL STREET,2011-11-23T00:00:00.000
319200,49625,0.0,44,0,2015-06-26T00:00:00.000,,,0.85,867,cw-762,,2015-06-19T10:04:41.000,0,2015-06-26T00:00:00.000,0.0,7,1.0,2015-06-26T00:00:00.000,,78,,LIBERTY AVENUE,2015-06-16T00:00:00.000
56081,30302,,,0,1998-01-26T00:00:00.000,,N,140.0,867,,,,0,1998-01-30T00:00:01.000,,9,,1998-01-30T00:00:00.000,LOT831,442,,,1997-08-11T00:00:00.000
187948,19365,,,0,1999-08-17T00:00:00.000,,,40.0,929,,,,0,1999-08-19T00:00:01.000,,8,,1999-08-19T00:00:00.000,LOT20953,134,,,1999-02-23T00:00:00.000
36932,23149,,,0,1998-07-08T00:00:00.000,,N,44.0,867,P-002,,,0,1998-07-31T00:00:01.000,,9,,1998-07-31T00:00:00.000,LOT4579,140,,,1998-03-16T00:00:00.000
325774,50692,0.0,774,0,2015-12-07T00:00:00.000,,,0.33,867,dg-003,,2015-11-23T08:46:23.000,0,2015-12-08T00:00:00.000,0.0,7,1.0,2015-12-08T00:00:00.000,,39,,NOSTRAND AVENUE,2015-11-19T00:00:00.000
200683,20670,666.51,,0,2000-03-21T00:00:00.000,,,1.0,867,AY-134,,2000-05-03T13:33:50.000,0,2000-03-21T00:00:01.000,,9,,2000-03-21T00:00:00.000,LOT32044,4,725.66,,2000-01-10T00:00:00.000
86523,7661,1789.81,,0,2006-09-07T00:00:00.000,,,0.0,867,,,2006-10-19T16:11:16.000,0,2006-09-08T00:00:01.000,,6,,2006-09-08T00:00:00.000,LOT147825,64,1948.66,,2006-06-14T00:00:00.000
306690,47664,0.0,117,0,2014-06-06T00:00:00.000,,,0.0,867,cw-857,,2014-06-04T09:57:13.000,0,2014-06-06T00:00:00.000,0.0,7,1.0,2014-06-06T00:00:00.000,,99,,BERRY STREET,2014-05-21T00:00:00.000
188140,18753,,,0,1999-08-23T00:00:00.000,,,9.0,867,AL-009,,,0,1999-08-23T00:00:01.000,,7,,1999-08-23T00:00:00.000,LOT25207,25,,,1999-08-12T00:00:00.000
69867,6153,,,0,2005-12-27T00:00:00.000,,,1.0,867,,,,0,2005-12-27T00:00:01.000,,7,,2005-12-27T00:00:00.000,LOT140747,51,,,2005-12-07T00:00:00.000
251351,28779,,,0,2002-06-10T00:00:00.000,,,3.0,867,CD-066,,,0,2002-06-10T00:00:01.000,,9,,2002-06-10T00:00:00.000,LOT71299,32,,,2002-02-11T00:00:00.000
172205,28583,,,0,1998-11-09T00:00:00.000,,N,34.0,867,,,,0,1998-11-24T00:00:01.000,,7,,1998-11-24T00:00:00.000,LOT6934,112,,,1997-09-23T00:00:00.000
236421,25831,,,0,2001-10-09T00:00:00.000,,,3.0,867,AM-203,,,0,2001-10-09T00:00:01.000,,9,,2001-10-09T00:00:00.000,LOT59670,54,,,2001-06-05T00:00:00.000
155274,16315,824.75,,0,2009-11-16T00:00:00.000,,,0.4,867,,,2009-12-15T15:29:21.000,0,2009-11-17T00:00:01.000,,6,,2009-11-17T00:00:00.000,LOT194892,20,897.95,,2009-10-19T00:00:00.000
75708,6062,,,0,2006-03-24T00:00:00.000,,,0.0,867,,,,0,2006-03-24T00:00:01.000,,8,,2006-03-24T00:00:00.000,LOT142661,32,,,2006-01-24T00:00:00.000
222782,23391,,,0,2001-03-01T00:00:00.000,,,15.0,929,,,,0,2001-03-01T00:00:01.000,,7,,2001-03-01T00:00:00.000,LOT47480,67,,,2000-10-16T00:00:00.000
23942,31273,,,0,2003-10-22T00:00:00.000,,,1.0,867,,,,0,2003-10-22T00:00:01.000,,9,,2003-10-22T00:00:00.000,LOT90577,29,,,2003-04-01T00:00:00.000
87354,8166,,,0,2006-09-15T00:00:00.000,,,0.0,867,,,,0,2006-09-15T00:00:01.000,,9,,2006-09-15T00:00:00.000,LOT150651,2,,,2006-08-16T00:00:00.000
272147,41660,0.0,28,0,2012-03-15T00:00:00.000,,,0.33,867,ce-001,,2012-02-03T10:22:45.000,0,2012-03-15T00:00:00.000,0.0,10,1.0,2012-03-15T00:00:00.000,,20,,AMBOY ROAD,2012-01-30T00:00:00.000
13328,30696,,,0,2003-03-10T00:00:00.000,,,1.5,867,,,,0,2003-03-11T00:00:01.000,,8,,2003-03-11T00:00:00.000,LOT86647,67,,,2003-01-29T00:00:00.000
128266,12748,,,0,2008-06-27T00:00:00.000,,,0.0,867,,,,0,2008-06-30T00:00:01.000,,7,,2008-06-30T00:00:00.000,LOT176547,132,,,2008-06-02T00:00:00.000
265097,40431,0.0,410,0,2011-10-07T00:00:00.000,,,0.21,867,,,2011-09-22T09:50:02.000,0,2011-10-07T00:00:00.000,0.0,7,1.0,2011-10-07T00:00:00.000,,32,,EAST NEW YORK AVENUE,2011-09-20T00:00:00.000
269362,41184,0.0,1747,0,2012-01-11T00:00:00.000,,,0.18,867,,,2012-01-06T09:31:21.000,0,2012-01-11T00:00:00.000,0.0,7,1.0,2012-01-11T00:00:00.000,,4,,SNEDIKER AVENUE,2012-01-03T00:00:00.000
3820,29236,,,0,2002-08-21T00:00:00.000,,,3.0,867,AT-134,,,0,2002-08-23T00:00:01.000,,9,,2002-08-23T00:00:00.000,LOT75691,75,,,2002-06-04T00:00:00.000
149620,33506,,,0,2009-07-28T00:00:00.000,,,0.34,867,AS-003,,,0,2009-07-28T00:00:01.000,,8,,2009-07-28T00:00:00.000,LOT190733,11,,,2009-07-06T00:00:00.000
324785,50526,0.0,1927,0,2015-11-16T00:00:00.000,,,0.0,867,,,2015-10-06T09:47:30.000,0,2015-11-16T00:00:00.000,0.0,7,1.0,2015-11-16T00:00:00.000,,52,,BANCROFT PLACE,2015-10-02T00:00:00.000
84721,26405,,,0,2006-07-28T00:00:00.000,,,0.0,867,,,,0,2006-08-04T00:00:01.000,,7,,2006-08-04T00:00:00.000,LOT149374,24,,,2006-07-25T00:00:00.000
96707,8449,,,0,2007-01-20T00:00:00.000,,,2.0,867,CT-010,,,0,2007-01-20T00:00:01.000,,8,,2007-01-20T00:00:00.000,LOT155328,168,,,2006-11-21T00:00:00.000
268964,41122,0.0,2012,0,2011-12-12T00:00:00.000,,,0.33,867,,,2011-11-28T10:56:17.000,0,2011-12-14T00:00:00.000,0.0,7,1.0,2011-12-14T00:00:00.000,,206,,HULL STREET,2011-11-23T00:00:00.000
251990,38085,,,0,2010-11-09T00:00:00.000,,,1.0,867,,,,0,2010-11-10T00:00:00.000,,7,,2010-11-10T00:00:00.000,,49,,,2010-10-20T00:00:00.000
110830,11042,,,0,2007-10-02T00:00:00.000,,,0.0,677,,2007MLL401061,,0,2007-10-02T00:00:01.000,,7,,2007-10-02T00:00:00.000,LOT166367,58,,,2007-09-06T00:00:00.000
148835,7575,,,0,1998-12-08T00:00:00.000,,N,9.0,929,Q-004,,,0,1998-12-09T00:00:01.000,,7,,1998-12-09T00:00:00.000,LOT14805,29,,,1998-08-13T00:00:00.000
36125,22382,,,0,1998-05-08T00:00:00.000,,N,93.0,867,,,,0,1998-05-18T00:00:01.000,,7,,1998-05-18T00:00:00.000,LOT4012,280,,,1997-08-22T00:00:00.000
131144,12542,,,0,2008-08-13T00:00:00.000,,,0.53,867,,,,0,2008-08-13T00:00:01.000,,7,,2008-08-13T00:00:00.000,LOT177811,118,,,2008-06-24T00:00:00.000
2625,29205,,,0,2002-07-29T00:00:00.000,,,4.0,867,AT-001,,,0,2002-07-30T00:00:01.000,,7,,2002-07-30T00:00:00.000,LOT75098,37,,,2002-02-12T00:00:00.000
190609,34704,,,0,1999-09-27T00:00:00.000,,,6.0,867,,,,0,1999-09-27T00:00:01.000,,6,,1999-09-27T00:00:00.000,LOT25169,107,,,1999-05-06T00:00:00.000
244056,27931,,,0,2002-01-29T00:00:00.000,,,0.25,867,,,,0,2002-01-29T00:00:01.000,,10,,2002-01-29T00:00:00.000,LOT65179,32,,,2002-01-03T00:00:00.000
192826,18522,,,0,1999-10-29T00:00:00.000,,,128.0,867,AL-004,,,0,1999-10-29T00:00:01.000,,10,,1999-10-29T00:00:00.000,LOT22873,455,,,1999-01-18T00:00:00.000
3053,28919,,,0,2002-06-06T00:00:00.000,,,2.0,929,,,,0,2002-07-22T00:00:01.000,,7,,2002-07-22T00:00:00.000,LOT72436,38,,,2002-04-09T00:00:00.000
155120,16363,,,0,2009-11-12T00:00:00.000,,,0.2,867,,,,0,2009-11-12T00:00:01.000,,7,,2009-11-12T00:00:00.000,LOT195034,26,,,2009-10-22T00:00:00.000
174892,10909,,,0,1998-02-24T00:00:00.000,,N,7.0,867,,,,0,1998-02-25T00:00:01.000,,7,,1998-02-25T00:00:00.000,LOT1648,23,,,1997-01-28T00:00:00.000
32667,15632,,,0,2004-04-20T00:00:00.000,,,3.0,867,,,,0,2004-05-06T00:00:01.000,,9,,2004-05-06T00:00:00.000,LOT109821,84,,,2004-03-04T00:00:00.000
207934,35276,,,0,2000-06-20T00:00:00.000,,,9.0,867,AL-304,,,0,2000-06-20T00:00:01.000,,8,,2000-06-20T00:00:00.000,LOT38382,44,,,2000-05-09T00:00:00.000
3955,29286,,,0,2002-08-20T00:00:00.000,,,4.0,867,AT-119,,,0,2002-08-26T00:00:01.000,,7,,2002-08-26T00:00:00.000,LOT75043,36,,,2002-04-11T00:00:00.000
123590,11944,,,0,2008-04-22T00:00:00.000,,,0.0,867,CT-007,,,0,2008-04-22T00:00:01.000,,6,,2008-04-22T00:00:00.000,LOT174337,20,,,2008-04-01T00:00:00.000
57864,4014,1173.99,,0,2005-06-24T00:00:00.000,,,0.14,867,,,2005-07-08T08:30:23.000,0,2005-06-24T00:00:01.000,,9,,2005-06-24T00:00:00.000,LOT130015,37,1278.18,,2005-03-24T00:00:00.000
126586,32638,1214.44,,0,2008-05-28T00:00:00.000,,,1.0,677,AL-403,,2008-06-16T09:54:11.000,0,2008-05-28T00:00:01.000,,8,,2008-05-28T00:00:00.000,LOT174855,24,1322.22,,2008-04-07T00:00:00.000
1.31e+05,32687,870.08,,0,2008-08-08T00:00:00.000,,,0.32,867,,,2008-09-15T16:33:34.000,0,2008-08-08T00:00:01.000,,8,,2008-08-08T00:00:00.000,LOT175743,26,947.3,,2008-05-07T00:00:00.000
271494,41554,0.0,2127,0,2012-02-29T00:00:00.000,,,0.42,867,,,2012-03-02T13:49:10.000,0,2012-03-01T00:00:00.000,0.0,9,1.0,2012-03-01T00:00:00.000,,26,,EAST 180 STREET,2012-02-27T00:00:00.000
55693,21008,,,0,2005-05-18T00:00:00.000,,,4.0,867,,,,0,2005-05-20T00:00:01.000,,8,,2005-05-20T00:00:00.000,LOT131423,144,,,2005-04-19T00:00:00.000
154343,16198,,,0,2009-10-20T00:00:00.000,,,0.34,867,,,,0,2009-10-20T00:00:01.000,,8,,2009-10-20T00:00:00.000,LOT194588,30,,,2009-10-15T00:00:00.000
41386,15895,,,0,2004-08-20T00:00:00.000,,,0.25,867,,,,0,2004-08-20T00:00:01.000,,6,,2004-08-20T00:00:00.000,LOT116929,26,,,2004-06-04T00:00:00.000
176268,27392,,,0,1999-02-25T00:00:00.000,,,83.0,867,,,,0,1999-02-28T00:00:01.000,,9,,1999-02-26T00:00:00.000,LOT16572,254,,,1998-11-16T00:00:00.000
211578,22682,819.86,,0,2000-08-21T00:00:00.000,,,1.0,929,AU-103,,2000-09-11T15:22:42.000,0,2000-08-21T00:00:01.000,,9,,2000-08-21T00:00:00.000,LOT41217,20,892.62,,2000-06-27T00:00:00.000
252975,38281,0.0,1965,0,2010-11-29T00:00:00.000,,,1.0,867,BG-001,,2010-11-22T11:08:14.000,0,2010-11-30T00:00:00.000,0.0,7,1.0,2010-11-30T00:00:00.000,,86,,SARATOGA AVENUE,2010-11-15T00:00:00.000
247103,28600,,,0,2002-03-28T00:00:00.000,,,4.0,867,AR-004,,,0,2002-03-29T00:00:01.000,,9,,2002-03-29T00:00:00.000,LOT69742,78,,,2002-02-05T00:00:00.000
75855,29634,,,0,1998-08-27T00:00:00.000,,N,12.0,929,AL-012,,,0,1998-08-28T00:00:01.000,,7,,1998-08-28T00:00:00.000,LOT7791,37,,,1998-04-07T00:00:00.000
121410,30897,,,0,2008-03-21T00:00:00.000,,,60.0,867,,,,0,2008-03-28T00:00:01.000,,9,,2008-03-28T00:00:00.000,LOT173475,444,,,2008-01-28T00:00:00.000
