activitydetailid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires,lotid-used_house1
203482,39.0,0,,,,,,15.8,2010-11-02T14:55:57.000,,,0,,9905673,,694,29,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,109775-nan
229234,39.0,0,,,,,,9.56,2010-11-02T14:55:59.000,,,0,,103907,,612,41,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,134568-nan
104140,39.0,16,1.0,,,,,0.0,2010-11-02T14:55:54.000,,,0,,707272,,694,22,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,50996-nan
313987,0.0,0,,,EDGEMERE AVENUE,0.0,BEACH 38 STREET,0.0,2015-03-16T11:38:58.000,,,0,0.0,1410738,0.0,694,75,10.0,,0.0,0,204033-nan
62043,,0,,,,,,436.48,2010-11-02T14:55:57.000,,,0,,9803379,,337,78,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,133949-nan
42530,40.0,14,,,,,,26.76,2010-11-02T14:55:54.000,,,0,,409427,,693,200,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,11567-nan
285932,0.0,0,,,175 STREET,0.0,115 AVENUE,0.4,2013-03-11T14:49:58.000,,,0,60933.0,1305666,1046845.0,695,180,9.0,,0.0,0,190241-115-34
2.01e+05,39.0,0,,,,,,16.2,2010-11-02T14:55:57.000,,,0,,9906332,,694,30,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,112453-nan
85396,40.0,0,,,,,,15.73,2010-11-02T14:55:54.000,,,0,,610274,,694,1,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,40835-nan
78913,39.0,0,,,,,,7.0,2010-11-02T14:55:57.000,,,0,,607514,,579,28,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,36588-nan
272398,0.0,0,,,EAST NEW YORK AVENUE,0.0,,0.44,2012-04-02T14:46:59.000,,,0,0.0,1206175,0.0,694,44,4.0,,0.0,0,182704-1501
238543,39.0,0,,,,,,5.0,2010-11-02T14:55:57.000,,,0,,106236,,612,3,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,140217-nan
121101,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:56.000,,,0,,806007,,694,23,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,64442-nan
200925,40.0,0,,,,,,108.7,2010-11-02T14:55:57.000,,,0,,9900140,,694,130,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,108419-nan
5965,39.0,0,,,,,,3.53,2010-11-02T14:55:59.000,,,0,,211022,,694,22,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,155797-nan
164375,,0,,,,,,579.5,2010-11-02T14:55:54.000,,,0,,9804809,,612,42,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,13532-nan
4335,39.0,0,,,,,,9.0,2010-11-02T14:55:59.000,,,0,,208942,,694,531,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,153700-nan
97496,39.0,20,1.0,,,,,6.66,2010-11-02T14:55:54.000,,,0,,705378,,331,40,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,47870-nan
176943,,0,,,,,,150.2,2010-11-02T14:55:57.000,,,0,,9706578,,694,12,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,132186-nan
242939,39.0,13,,,,,,2.0,2010-11-02T14:55:57.000,,,0,,105257,,694,43,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,136694-nan
235588,39.0,0,,,,,,29.12,2010-11-02T14:55:59.000,,,0,,104479,,694,8,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,137720-nan
231778,,0,,,,1454.86,,13.3,2010-11-02T14:55:57.000,,,0,,9703282,,618,49,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,133518-nan
138691,39.0,0,1.0,,,,,0.08,2010-11-02T14:55:56.000,,,0,,813748,,694,30,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,75731-nan
19571300.00%,39.0,0,,,,,,25.0,2010-11-02T14:55:57.000,,,0,,9906702,,694,58,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,107635-nan
224436,39.0,0,,,,,,10.62,2010-11-02T14:55:57.000,,,0,,102030,,694,86,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,129184-nan
236341,39.0,0,,,,,,22.95,2010-11-02T14:55:57.000,,,0,,104889,,694,36,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,137078-nan
263271,0.0,0,,,BEACH 32 STREET,0.0,,2.6,2011-08-30T12:48:19.000,,,0,0.0,1108819,0.0,694,1,10.0,,0.0,0,177491-16
141104,39.0,0,2.0,,,2547.98,,12.91,2010-11-02T14:55:56.000,,,0,,906061,,693,470,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,77624-nan
189732,40.0,0,,,,2859.63,,20.3,2010-11-02T14:55:56.000,,,0,,9902751,,664,27,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,100159-nan
238889,39.0,0,,,,,,22.5,2010-11-02T14:55:57.000,,,0,,105819,,612,39,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,140645-nan
148620,,0,,,,,,579.5,2010-11-02T14:55:54.000,,,0,,9804809,,618,44,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,13538-nan
271494,0.0,28,,,VALENTINE AVENUE,0.0,EAST 180 STREET,1.44,2012-03-12T10:05:10.000,,,0,78435.0,1205908,1012044.0,694,101,7.0,,0.0,0,182361-2127
121509,40.0,0,1.0,,,,,0.0,2010-11-02T14:55:56.000,,,0,,805735,,694,8,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,64015-nan
32668,39.0,58,,,,,,13.5,2010-11-02T14:55:56.000,,,0,,405043,,694,37,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,5837-nan
273053,0.0,0,,,164 STREET,0.0,104 ROAD,0.02,2012-04-16T11:23:02.000,,,0,60201.0,1206388,1041818.0,694,49,9.0,,0.0,0,182954-104-59
267666,0.0,0,,,GERARD AVENUE,0.0,,0.0,2011-12-08T15:14:18.000,,,0,0.0,1111314,0.0,694,6,6.0,,0.0,0,180461-705
146183,39.0,0,1.0,,,,,2.0,2010-11-02T14:55:56.000,,,0,,908511,,694,14,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,80421-nan
9420,40.0,0,,,,1188.07,,5.73,2010-11-02T14:55:59.000,,,0,,212081,,694,40,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,156940-nan
277489,0.0,0,,,SURF AVENUE,0.0,BROOKLYN WALL OF REMEMBRANCE WAY,0.05,2012-07-16T11:15:37.000,,,0,18428.0,1207801,988173.0,694,170,1.0,,0.0,0,184671-1904
227459,39.0,32,,,,,,1.99,2010-11-02T14:55:59.000,,,0,,102784,,337,24,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,131691-nan
132300,39.0,0,1.0,,,,,0.21,2010-11-02T14:55:56.000,,,0,,811196,,693,52,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,72005-nan
319864,0.0,0,,,AVENUE J,0.0,EAST   85 STREET,0.0,2015-07-21T09:07:56.000,,,0,42826.0,1506670,1009894.0,694,3,1.0,,0.0,0,207691-8515
187126,39.0,0,,,,,,48.5,2010-11-02T14:55:59.000,,,0,,9903929,,694,39,9.0,PB STATUS = ASSIGNED TO INTAKE,,60,102921-nan
113348,39.0,0,2.0,,,1584.76,,0.0,2010-11-02T14:55:57.000,,,0,,711632,,693,78,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,57360-nan
58798,39.0,0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,507245,,693,73,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,21170-nan
93232,39.0,110,,,,,,5.9,2010-11-02T14:55:54.000,,,0,,612018,,694,18,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,44121-nan
102413,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:57.000,,,0,,707399,,694,34,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,51404-nan
290589,0.0,0,,,PARK PLACE,0.0,HOWARD AVENUE,0.0,2013-06-20T10:11:35.000,,,0,43627.0,1307446,1006782.0,693,22,4.0,,0.0,0,191988-1764
66449,,0,,,,,,50.2,2010-11-02T14:55:59.000,,,0,,9706223,,331,3,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,168736-nan
209176,,0,,,,,,448.34,2010-11-02T14:55:57.000,,,0,,9801763,,618,19,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,111750-nan
87744,,82,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,610861,,694,13,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,41903-nan
308841,0.0,0,,,EAST  170 STREET,0.0,FULTON AVENUE,0.31,2014-10-01T11:06:23.000,,,0,0.0,1408875,0.0,694,1,6.0,,0.0,0,201805-571
22960,39.0,0,,,,,,3.28,2010-11-02T14:55:59.000,,,0,,212537,,694,7,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,159594-nan
100063,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:54.000,,,0,,707037,,694,62,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,50237-nan
107614,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:57.000,,,0,,709619,,694,44,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,54294-nan
