resp,sc1,ih5a_2,cc1,ih4_2,bf1amns,fdate,cp10mns,mp1,st2,el13a,cp8,bc1a,sd1wks,cp4,el13c,el12wks,el17c,ih4_3,selchild,mh3,fixd2,cp6a,st3
1368,1,,5.0,,7.0,25-Mar-16,,7,4,,40.0,8,,1.0,,8.0,1.0,,,,11204.0,5.0,4
1307,1,,,,6.0,25-Mar-16,,1,4,,40.0,12,,1.0,,,,,,,11373.0,2.0,4
838,1,,5.0,,,15-Mar-16,,0,4,10.0,60.0,5,,1.0,0.0,11.0,2.0,,,,10025.0,1.0,4
683,1,,5.0,,6.0,9-Mar-16,,1,4,,8.0,1,,2.0,,,2.0,,,,11368.0,1.0,4
1209,1,,,,6.0,22-Mar-16,,1,2,,25.0,9,,1.0,,,,,,,11234.0,5.0,4
1104,1,,,,,21-Mar-16,,0,4,,60.0,1,,1.0,,,,,1.0,,11373.0,2.0,4
1105,1,,2.0,,6.0,21-Mar-16,,0,99,0.0,,12,,,4.0,4.0,2.0,,,,11385.0,,4
255,1,,,,5.0,26-Feb-16,,1,4,,50.0,2,,1.0,,,,,,1.0,11377.0,2.0,4
711,1,,6.0,,6.0,10-Mar-16,,0,4,4.0,40.0,11,,1.0,1.0,,2.0,,,,11221.0,3.0,2
854,1,,,,,16-Mar-16,,1,4,,40.0,10,,1.0,,,,,,,11219.0,6.0,4
66,1,,2.0,,,24-Feb-16,,1,4,8.0,40.0,10,,1.0,0.0,10.0,1.0,,,,11215.0,1.0,4
579,1,,,,,16-Mar-16,,0,4,,,9,,,,,,,,,11230.0,,4
1451,1,,6.0,,6.0,28-Mar-16,,3,4,2.0,0.0,2,6.0,1.0,0.0,6.0,1.0,,,,11219.0,2.0,4
191,1,,2.0,,6.0,25-Feb-16,,0,4,9.0,,7,,,0.0,,2.0,,,,11227.0,,4
983,1,,,,6.0,25-Mar-16,,0,4,,666.0,4,,1.0,,,,,,,11211.0,2.0,2
1501,1,,,,8.0,29-Mar-16,,0,1,,35.0,4,,1.0,,,,,,,10303.0,1.0,1
357,1,,,,6.0,29-Feb-16,,0,4,,40.0,9,,1.0,,,,,,,10016.0,2.0,1
1164,1,,5.0,,5.0,22-Mar-16,,0,4,,40.0,10,,1.0,,13.0,1.0,,,,11375.0,1.0,4
47,1,,2.0,,4.0,24-Feb-16,,1,4,2.0,40.0,8,,1.0,12.0,,2.0,,,,11756.0,2.0,4
564,1,,2.0,,5.0,8-Mar-16,,1,4,6.0,40.0,8,,2.0,6.0,6.0,1.0,,,,11413.0,4.0,4
680,1,,,,9.0,17-Mar-16,,2,4,,40.0,9,,2.0,,,,,,,11234.0,3.0,4
198,1,,3.0,,5.0,26-Feb-16,,1,4,,40.0,5,,1.0,,,2.0,,,,11223.0,1.0,4
905,1,,1.0,,,17-Mar-16,,0,4,,40.0,7,,1.0,,,1.0,,,,33068.0,1.0,4
703,1,,,,7.0,14-Mar-16,,2,4,,666.0,9,,1.0,,,,,,,11304.0,1.0,4
1497,1,,2.0,,2.0,29-Mar-16,,0,1,0.0,35.0,9,,1.0,6.0,,2.0,,,,10453.0,1.0,4
1337,1,,5.0,,4.0,24-Mar-16,,0,4,0.0,50.0,6,,1.0,77.0,12.0,2.0,,1.0,,10014.0,2.0,4
930,1,,6.0,,,17-Mar-16,,0,4,3.0,40.0,10,,1.0,2.0,,77.0,,,,11208.0,3.0,4
