other,owner_s__house_street,zoning_distr_1,landmarked,block,special_distr_1,proposed_occupancy,pre_filing_date,zoning_distr_2,fully_permitted,owner_type_description
X,SYLVAN WAY                      ,R7-2        ,,2170,,RES ,2015-04-23T00:00:00.000,,2018-04-25T00:00:00.000,CORPORATION                             
X,1ST AVE                         ,R8A         ,,1677,,RES ,2013-06-13T00:00:00.000,,2013-07-12T00:00:00.000,PARTNERSHIP                             
X,WEST 25 STREET                  ,M1-6        ,,830,,COM ,2013-03-28T00:00:00.000,,2013-05-16T00:00:00.000,CORPORATION                             
X,SYLVAN WAY                      ,C6-4        ,,1033,CL    ,RES ,2015-05-07T00:00:00.000,C6-2        ,2015-06-04T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C5-5        ,,19,LM    ,COM ,2015-04-09T00:00:00.000,,2017-02-07T00:00:00.000,PARTNERSHIP                             
X,WEST 72ND STREET                ,R8          ,,1873,,RES ,2014-11-14T00:00:00.000,,2015-01-08T00:00:00.000,PARTNERSHIP                             
X,WHITE PLAINS ROAD               ,R7A         ,,402,,RES ,2014-10-23T00:00:00.000,,2015-07-06T00:00:00.000,PARTNERSHIP                             
X, SEVENTH AVENUE                 ,C5-3        ,,888,,E   ,2014-04-25T00:00:00.000,C6-1        ,2014-05-07T00:00:00.000,CORPORATION                             
X,SOMERVILLE RD                   ,R7-2        ,,516,,RES ,2013-06-10T00:00:00.000,,2013-12-09T00:00:00.000,PARTNERSHIP                             
X, FULTON STREET                  ,C6-4        ,,75,LM    ,B   ,2014-01-15T00:00:00.000,,2014-02-21T00:00:00.000,PARTNERSHIP                             
X,WATERSIDE PLAZA                 ,C2-7        ,,991,,RES ,2014-04-14T00:00:00.000,,2014-07-01T00:00:00.000,PARTNERSHIP                             
X,HUDSON ST                       ,BPC         ,,16,BPC   ,J-1 ,2013-07-29T00:00:00.000,,2013-08-07T00:00:00.000,PARTNERSHIP                             
X,"7TH AVE,                        ",R10         ,,1368,,RES ,2014-12-19T00:00:00.000,,2015-02-04T00:00:00.000,PARTNERSHIP                             
X,FIFTH AVENUE                    ,C6-2        ,,576,,PUB ,2014-02-28T00:00:00.000,C6-4        ,2014-04-09T00:00:00.000,CORPORATION                             
X,MADISON AVENUE                  ,C1-9A       ,,939,,RES ,2013-10-30T00:00:00.000,,2013-11-15T00:00:00.000,PARTNERSHIP                             
X,EAST 120TH STREET               ,R7A         ,,1716,,RES ,2013-06-10T00:00:00.000,,2013-06-25T00:00:00.000,PARTNERSHIP                             
X,WILLIAM STREET                  ,C6-3X       ,,799,,COM ,2013-10-02T00:00:00.000,M1-6        ,2013-12-12T00:00:00.000,INDIVIDUAL                              
X,WEST 54TH STREET                ,C6-4        ,,731,HY    ,RES ,2014-09-02T00:00:00.000,,2014-09-17T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,R7-2        ,,972,,RES ,2015-04-29T00:00:00.000,C1-7        ,2016-03-04T00:00:00.000,CORPORATION                             
X,WEST 45TH STREET                ,C1-8A       ,Y,1128,,RES ,2013-07-03T00:00:00.000,R8B         ,2014-11-10T00:00:00.000,PARTNERSHIP                             
X,14TH AVENUE                     ,R8          ,,2087,,RES ,2013-01-02T00:00:00.000,,2013-06-12T00:00:00.000,PARTNERSHIP                             
X,EAST 68TH STREET                ,R10         ,,1463,,RES ,2013-12-02T00:00:00.000,R8          ,2013-12-23T00:00:00.000,PARTNERSHIP                             
X,MAIN STREET                     ,R7-2        ,Y,1373,,RES ,2014-01-10T00:00:00.000,,2014-01-21T00:00:00.000,CORPORATION                             
X,WEST 40TH STREET                ,M1-6        ,,1012,MID   ,COM ,2013-06-21T00:00:00.000,,2013-08-02T00:00:00.000,PARTNERSHIP                             
X,JAMAICA AVENUE                  ,R7-2        ,,2046,,RES ,2013-05-24T00:00:00.000,R8          ,2013-07-02T00:00:00.000,PARTNERSHIP                             
X,LAFAYETTE STREET                ,C6-2        ,,494,LI    ,RES ,2014-11-24T00:00:00.000,,2016-06-22T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C8-4        ,,1456,,COM ,2015-04-20T00:00:00.000,,2016-06-28T00:00:00.000,CORPORATION                             
X,CLOSE AVENUE                    ,C2-6        ,Y,587,,RES ,2013-08-14T00:00:00.000,R7-2        ,2014-03-14T00:00:00.000,PARTNERSHIP                             
X,WEST 36 STREET                  ,M1-6        ,,789,GC    ,COM ,2013-08-07T00:00:00.000,,2014-04-21T00:00:00.000,INDIVIDUAL                              
