other,owner_s__house_street,zoning_distr_1,landmarked,block,special_distr_1,proposed_occupancy,pre_filing_date,zoning_distr_2,fully_permitted,owner_type_description
X,WEST 18 STREET                  ,C6-4        ,,76,LM    ,COM ,2014-03-27T00:00:00.000,,2014-04-24T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,R8A         ,,2051,,RES ,2015-04-15T00:00:00.000,R7A         ,2015-10-14T00:00:00.000,PARTNERSHIP                             
X,EAST 65TH STREET                ,R7-2        ,,1321,,RES ,2013-08-13T00:00:00.000,,2013-10-23T00:00:00.000,PARTNERSHIP                             
X,WATERSIDE PLAZA                 ,C2-7        ,,991,,COM ,2013-10-07T00:00:00.000,,2013-11-07T00:00:00.000,PARTNERSHIP                             
X,EAST 38TH STREET                ,C2-8A       ,,904,TA    ,J-2 ,2014-07-29T00:00:00.000,C1-9A       ,2014-09-02T00:00:00.000,PARTNERSHIP                             
X,CUTTER MILL ROAD                ,R7-2        ,,2072,,RES ,2014-02-03T00:00:00.000,,2014-02-25T00:00:00.000,PARTNERSHIP                             
X,WALSH DRIVE                     ,R7-2        ,,1701,,J-2 ,2014-06-27T00:00:00.000,,2014-09-25T00:00:00.000,PARTNERSHIP                             
X,EAST 39 STREET                  ,R8B         ,,895,MID   ,RES ,2015-03-20T00:00:00.000,C5-3        ,2015-05-14T00:00:00.000,CORPORATION                             
X,PINE STREET                     ,C5-5        ,,44,LM    ,COM ,2015-04-09T00:00:00.000,,2015-05-15T00:00:00.000,PARTNERSHIP                             
X,SEVENTH AVENUE                  ,C5-3        ,,1275,MID   ,COM ,2015-03-19T00:00:00.000,C5-2.5      ,2015-05-04T00:00:00.000,PARTNERSHIP                             
X,MADISON AVENUE                  ,C5-1A       ,,1514,,RES ,2013-09-16T00:00:00.000,,2013-12-23T00:00:00.000,PARTNERSHIP                             
X,FIFTH AVENUE                    ,C4-6A       ,Y,1163,,RES ,2014-09-19T00:00:00.000,,2014-11-18T00:00:00.000,CORPORATION                             
X,36 WEST 37TH STREET             ,R8          ,,2080,,RES ,2014-12-16T00:00:00.000,,2015-10-30T00:00:00.000,CORPORATION                             
X,WOOSTER STREET                  ,M1-5B       ,Y,229,,RES ,2012-08-06T00:00:00.000,,2013-05-01T00:00:00.000,PARTNERSHIP                             
X,WAVERLY PLACE                   ,C6-1        ,,556,,RES ,2013-04-12T00:00:00.000,,2013-11-01T00:00:00.000,PARTNERSHIP                             
X,GRACE AVENUE                    ,R8B         ,,436,,RES ,2013-05-13T00:00:00.000,,2014-04-25T00:00:00.000,PARTNERSHIP                             
X,SEVENTH AVENUE                  ,C6-6        ,,809,MID   ,COM ,2013-04-24T00:00:00.000,,2013-05-22T00:00:00.000,PARTNERSHIP                             
X,AVENUE OF THE AMERICAS          ,R10         ,,1073,CL    ,RES ,2014-12-12T00:00:00.000,R8          ,2015-01-12T00:00:00.000,PARTNERSHIP                             
X,WEST 54TH STREET                ,C6-4        ,,731,HY    ,RES ,2013-05-31T00:00:00.000,,2013-08-02T00:00:00.000,PARTNERSHIP                             
X,MADISON AVENUE                  ,C5-5        ,,30,LM    ,RES ,2013-07-29T00:00:00.000,,2013-11-01T00:00:00.000,PARTNERSHIP                             
X,EAST 79 STREET                  ,R7-2        ,Y,526,,RES ,2014-04-03T00:00:00.000,,2014-12-23T00:00:00.000,PARTNERSHIP                             
X,CLAREMONT AVENUE                ,R8          ,,1993,,PUB ,2014-05-06T00:00:00.000,,2014-06-27T00:00:00.000,CORPORATION                             
X,PARK AVENUE                     ,R9X         ,,1402,,G   ,2013-07-16T00:00:00.000,R8B         ,2013-08-08T00:00:00.000,GOV - OTHER                             
X,SYLVAN WAY                      ,R7-2        ,,2202,,RES ,2015-04-22T00:00:00.000,,2016-12-08T00:00:00.000,CORPORATION                             
X,NORTH FRANKLIN STREET           ,C5-5        ,,79,LM    ,J-2 ,2012-12-26T00:00:00.000,,2013-08-02T00:00:00.000,PARTNERSHIP                             
X,AMSTERDAM AVENUE                ,R7-2        ,,2072,,RES ,2014-04-21T00:00:00.000,,2014-09-10T00:00:00.000,CORPORATION                             
X,QUEENS BOULEVARD                ,C5-3        ,,71,LM    ,RES ,2014-02-06T00:00:00.000,,2014-03-05T00:00:00.000,PARTNERSHIP                             
X,85TH ROAD                       ,R10         ,,895,,A   ,2014-01-28T00:00:00.000,,2014-03-17T00:00:00.000,PARTNERSHIP                             
X,WEST 14TH STREET                ,C6-2A       ,,609,,RES ,2013-05-17T00:00:00.000,,2013-07-01T00:00:00.000,INDIVIDUAL                              
X,E 71 ST                         ,R10         ,,1463,,COM ,2013-07-05T00:00:00.000,R8          ,2013-07-25T00:00:00.000,CORPORATION                             
X,3RD AVENUE                      ,C2-8A       ,,904,,COM ,2014-03-31T00:00:00.000,,2014-06-03T00:00:00.000,PARTNERSHIP                             
X,180-218 KENSINGTON STATION      ,R8A         ,,1949,,RES ,2014-12-09T00:00:00.000,,2015-09-25T00:00:00.000,CORPORATION                             
X,WEST 57 STREET                  ,C5-5        ,,79,LM    ,J-2 ,2013-06-26T00:00:00.000,,2013-09-06T00:00:00.000,PARTNERSHIP                             
X,P.O. BOX #                      ,R7-2        ,,2176,,RES ,2015-03-05T00:00:00.000,,2015-05-05T00:00:00.000,PARTNERSHIP                             
X,NORTH CENTRAL PARK AVENUE       ,R8          ,,1053,CL    ,RES ,2014-08-07T00:00:00.000,,2015-03-26T00:00:00.000,PARTNERSHIP                             
X,WASHINGTON STREET               ,C6-3        ,,701,WCH   ,B-2 ,2014-09-08T00:00:00.000,C6-4        ,2014-12-15T00:00:00.000,PARTNERSHIP                             
X,MADISON AVENUE                  ,C5-3        ,,1292,MID   ,COM ,2013-12-12T00:00:00.000,,2014-01-28T00:00:00.000,PARTNERSHIP                             
X,WEST 83 STREET                  ,C6-2        ,,493,LI    ,RES ,2014-03-07T00:00:00.000,,2014-04-01T00:00:00.000,PARTNERSHIP                             
X,EAST 27TH STREET                ,C5-2        ,,859,,COM ,2014-12-29T00:00:00.000,,2015-02-27T00:00:00.000,PARTNERSHIP                             
X,3RD AVENUE                      ,R8A         ,,1635,,COM ,2013-06-11T00:00:00.000,,2013-07-16T00:00:00.000,PARTNERSHIP                             
X, BRYANT PARK                    ,C6-7T       ,,996,MID   ,R-2 ,2013-09-20T00:00:00.000,,2013-09-23T00:00:00.000,PARTNERSHIP                             
X,W 186TH STREET                  ,R7A         ,,397,,RES ,2014-11-24T00:00:00.000,R8B         ,2017-04-07T00:00:00.000,PARTNERSHIP                             
X,MADISON AVENUE                  ,C1-9        ,,1460,,RES ,2013-05-28T00:00:00.000,,2013-07-11T00:00:00.000,PARTNERSHIP                             
X,SEVENTH AVENUE                  ,R8A         ,,722,,RES ,2013-05-03T00:00:00.000,,2013-06-11T00:00:00.000,CORPORATION                             
X,CHAMBERS STREET                 ,C6-4        ,,142,,G   ,2013-09-10T00:00:00.000,,2013-10-29T00:00:00.000,GOV - OTHER                             
X,WALSH DRIVE                     ,R7-2        ,,2010,,RES ,2014-06-27T00:00:00.000,,2014-09-02T00:00:00.000,PARTNERSHIP                             
X,FIFTH AVENUE                    ,R10A        ,Y,1407,,RES ,2013-05-29T00:00:00.000,,2013-11-01T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C5-2        ,,859,,COM ,2015-03-26T00:00:00.000,,2016-11-29T00:00:00.000,CORPORATION                             
X,BOX 8000                        ,C4-7        ,,1113,L     ,G   ,2014-12-03T00:00:00.000,,2015-01-14T00:00:00.000,PARTNERSHIP                             
X,FIFTH AVENUE                    ,M1-6        ,,811,GC    ,COM ,2014-05-01T00:00:00.000,,2014-05-27T00:00:00.000,PARTNERSHIP                             
X,CHURCH STREET                   ,R7-2        ,,323,,RES ,2017-05-23T00:00:00.000,,2017-11-15T00:00:00.000,INDIVIDUAL                              
X,EAST 10TH STREET                ,R8A         ,,372,,RES ,2014-08-21T00:00:00.000,,2014-10-21T00:00:00.000,PARTNERSHIP                             
X,PARK AVENUE SOUTH               ,C5-3        ,,1284,MID   ,COM ,2014-05-09T00:00:00.000,,2015-02-11T00:00:00.000,PARTNERSHIP                             
X,BEACH STREET                    ,M1-5        ,,190,TMU   ,RES ,2013-11-04T00:00:00.000,,2014-02-04T00:00:00.000,INDIVIDUAL                              
X,WEST 44TH STREET                ,C6-5        ,Y,1016,MID   ,COM ,2013-07-16T00:00:00.000,,2013-09-20T00:00:00.000,PARTNERSHIP                             
X, SEVENTH AVENUE                 ,C6-6        ,,1005,MID   ,RES ,2013-10-07T00:00:00.000,C6-6.5      ,2013-10-31T00:00:00.000,PARTNERSHIP                             
X,WEST 25TH STREET                ,M1-6        ,,830,,COM ,2014-03-12T00:00:00.000,,2014-05-06T00:00:00.000,CORPORATION                             
X,PARK AVE                        ,C6-4        ,,142,,G   ,2014-04-11T00:00:00.000,,2014-04-21T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C4-4D       ,,1644,,RES ,2015-04-22T00:00:00.000,,2019-06-18T00:00:00.000,PARTNERSHIP                             
X,WEST 37TH STREET                ,C8-3        ,,2152,,RES ,2014-11-17T00:00:00.000,,2015-11-19T00:00:00.000,CORPORATION                             
X,ROUTE 46 WEST                   ,C5-5        ,,68,LM    ,COM ,2014-12-10T00:00:00.000,,2015-02-11T00:00:00.000,PARTNERSHIP                             
X,COURT SQUARE                    ,M1-6        ,,806,,COM ,2013-10-02T00:00:00.000,,2013-11-13T00:00:00.000,PARTNERSHIP                             
X,MACDOUGAL STREET                ,R7-2        ,,518,,A   ,2014-06-05T00:00:00.000,,2014-07-14T00:00:00.000,PARTNERSHIP                             
X,WEST 145TH STREET               ,R7-2        ,,2025,,RES ,2015-04-21T00:00:00.000,,2016-05-24T00:00:00.000,CORPORATION                             
X,THIRD AVENUE                    ,C1-9        ,,1430,,RES ,2013-09-12T00:00:00.000,R8B         ,2013-10-01T00:00:00.000,PARTNERSHIP                             
X,AT&T WAY                        ,M1-6        ,,779,,COM ,2017-05-18T00:00:00.000,,2017-07-07T00:00:00.000,PARTNERSHIP                             
X,AVE OF THE AMERICAS             ,C6-4        ,,830,,COM ,2012-08-31T00:00:00.000,,2013-05-08T00:00:00.000,PARTNERSHIP                             
X,PARK AVENUE SOUTH               ,R10         ,,1367,,A   ,2014-04-15T00:00:00.000,,2014-04-29T00:00:00.000,CORPORATION                             
X,THIRD AVENUE                    ,C6-3        ,,508,LI    ,RES ,2014-06-23T00:00:00.000,,2014-10-28T00:00:00.000,PARTNERSHIP                             
X,WEST 36TH ST                    ,C6-6        ,,812,,COM ,2014-04-04T00:00:00.000,,2014-05-29T00:00:00.000,PARTNERSHIP                             
X,507                             ,R7-2        ,,518,,RES ,2015-04-08T00:00:00.000,,2015-06-08T00:00:00.000,PARTNERSHIP                             
X,SEVENTH AVENUE                  ,C5-3        ,,869,MID   ,E   ,2014-03-12T00:00:00.000,C5-2.5      ,2014-03-14T00:00:00.000,CORPORATION                             
X,BROAD STREET                    ,C6-6        ,,809,MID   ,COM ,2013-03-22T00:00:00.000,,2013-05-16T00:00:00.000,PARTNERSHIP                             
X,PARK ROW                        ,R7-2        ,,117,TA    ,COM ,2013-06-26T00:00:00.000,,2013-08-02T00:00:00.000,CORPORATION                             
X, BARSTOW ROAD                   ,C2-9A       ,,901,,RES ,2014-03-07T00:00:00.000,C1-8A       ,2014-03-25T00:00:00.000,CORPORATION                             
X,PALISADE AVENUE                 ,R8A         ,,1877,,RES ,2015-04-10T00:00:00.000,,2015-11-19T00:00:00.000,PARTNERSHIP                             
X,GRACE AVENUE                    ,C2-8        ,,1241,,RES ,2013-10-17T00:00:00.000,,2013-11-12T00:00:00.000,PARTNERSHIP                             
X,WEST 157TH STREET               ,C6-4A       ,,879,,RES ,2014-11-07T00:00:00.000,,2014-11-25T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,C5-3        ,,835,MID   ,COM ,2015-05-11T00:00:00.000,,2015-10-29T00:00:00.000,PARTNERSHIP                             
