job_description,job_status,owner_s__house__,applicant_professional_title,owner_s__phone__,pc_filed,zip_code,other_description,doc__,initial_cost,building_type,zoning_distr_3,approved
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACEMENT OF (3) ANTENNAS    WITH RELATED RRH UNITS. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE,     EGRESS, OR OCCUPANCY.                                                           ",R,387         ,PE,2129841727, ,10010,ANTENNA        ,1,3300.0,OTHER,,2015-01-12T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (14) ADDITIONAL ANTENNAS ON    THE 3RD, 4TH, AND 5TH ROOF DECK. RELATED CABINET COMPONENTS INSTALLED WITHIN     EXISTING TELECOM ROOM IN THE CELLAR, CABLING ROUTED FROM CELLAR TO 3RD, 4TH, AND 5TH FLOORS. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE,        EGRESS, OR OCCUPANCY.                                                           ",R,1           ,PE,6466105000, ,10038,ANTENNA        ,1,16500.0,OTHER,,2015-04-14T00:00:00.000
"MODIFICATION TO EXISTING TELECOM SITE. REPLACE (6) ANTENNAS, INSTALL (1)         EQUIPMENT CABINET ON EXISTING PLATFORM AND INSTALL (1) GPS ANTENNA ON ROOF IN    CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.             ",R,228         ,PE,2129839264, ,10017,ANTENNA        ,1,14100.0,OTHER,,2014-02-21T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,1475        ,PE,7184349440, ,11210,ANTENNA        ,1,9500.0,OTHER,,2014-06-02T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,2           ,PE,2125320279, ,7620,ANTENNA        ,1,77000.0,OTHER,,2015-03-20T00:00:00.000
"INSTALLATION OF (3) RRH UNITS ON ROOF. ALL WORK IN CONFORMANCE WITH TPPN 5/98.   NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                         ",R,14          ,PE,9083980520, ,7054,ANTENNA        ,1,3000.0,OTHER,,2014-11-24T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS SHELTER AND RELATED DUNNAGE ON ROOF.      REMOVAL OF RELATED ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE OR EGRESS.                                             ",R,500         ,PE,2125814408, ,10019,ANTENNA        ,1,20000.0,OTHER,,2013-12-03T00:00:00.000
"INSTALLATION OF (3) TELECOMMUNICATIONS ANTENNAS, (3) GPS ANTENNAS, AND (6)       EQUIPMENT CABINETS ON THE ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN  USE, EGRESS, OR OCCUPANCY.                                                      ",R,657         ,PE,2129774590, ,10036,ANTENNA        ,1,45000.0,OTHER,,2014-12-10T00:00:00.000
MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE.   REPLACE THREE (3) ANTENNAS   ON ROOF.                                                                        ,R,52          ,PE,2126975454, ,10017,ANTENNA        ,1,3300.0,OTHER,,2013-09-04T00:00:00.000
"MODIFICATION OF EXISTING SITE. REPLACING (3) EXISTING ANTENNAS AND INSTALLING    (6) NEW ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO     CHANGE IN USE, EGRESS, OR OCCUPANCY.                                            ",R,97          ,PE,2129275252, ,10032,ANTENNA        ,1,9300.0,OTHER,,2013-08-09T00:00:00.000
