full_location_address,longitude,census_tract,latitude,job_readiness_ex_resume_help,wifi_dwn,target_population,:@computed_region_92fq_4b7q,operator_name,education_ex_personal_growth,thu_open,oversight_agency
"10-25 41st Avenue, 11101, Queens, New York, USA!",-73.9445698,25.0,40.7556163,Y,0.0,All NYC residents,33.0,"Jacob A. Riis Neighborhood Settlement, Inc.",Y,9:00 AM - 5:00 PM,Department of Youth and Community Development (DYCD)
"201 St. Ann's Avenue, 10454, Bronx, New York, USA",-73.9185401,25.0,40.8059549,Y,0.0,All NYC residents,35.0,Eastside House Settlement,Y,3:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"221 West 107th Street, 10025, Manhattan, New York, USA",-73.9663128,195.0,40.8018543,N,85.8,Older Adults,23.0,Association Of Black Social Workers Inc.,N,8:30 AM - 4:00 PM,NYC Aging
"228 York Street, 11201, Brooklyn, New York, USA",-73.9811567,23.0,40.7011762,N,0.0,All NYC residents,48.0,Brooklyn Bureau Community Services (BCS),N,6:00 PM - 11:00 PM,Department of Youth and Community Development (DYCD)
"415 E 93rd St, 10128, Manhattan, New York, USA",-73.9458387,152.0,40.7809304,Y,0.0,All NYC residents,1.0,Stanley M. Isaacs Neighborhood Center,Y,9:00 AM - 9:00 PM,Department of Youth and Community Development (DYCD)
"155 East 173rd Street, 10457, Bronx, New York, USA",-73.9101007,22703.0,40.84401080000001,Y,1000.0,All NYC residents,22.0,New York Public Library (NYPL),Y,10:00 AM - 7:00 PM,New York Public Library (NYPL)
"501 Brielle Avenue, 10314, Staten Island, New York, USA",-74.1392587,27302.0,40.59177820000001,N,,All NYC residents,14.0,NYC Parks & Recreation,N,6:30am-8:30pm,NYC Parks & Recreation
"160 E. 5th St. at Ft. Hamilton Pkwy., 11218, Brooklyn, New York, USA",-73.97676609999999,50001.0,40.6487331,Y,100.0,All NYC residents,27.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"1181 Nelson Avenue, 10452, Bronx, New York, USA",-73.9260175,199.0,40.8373323,N,43.6,Older Adults,42.0,Presbyterian Senior Services,N,8:00 AM - 3:00 PM,NYC Aging
"360 Irving Ave. (at Woodbine St.), 11237, Brooklyn, New York, USA",-73.9122194,435.0,40.6974841,N,100.0,All NYC residents,37.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"38-23 104th Street, 11368, Queens, New York, USA",-73.86192679999999,40302.0,40.7509184,N,24.4,All NYC residents,21.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"426 Beach 40th Street, 11691, Queens, New York, USA",-73.7721147,97206.0,40.5960825,Y,0.0,All NYC residents,47.0,The Child Center of New York,Y,2:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"340 Morris Avenue, 10451, Bronx, New York, USA",-73.92484739999999,51.0,40.8135891,Y,0.0,All NYC residents,35.0,Eastside House Settlement,Y,3:00 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"205 West 119th Street, 10026, Manhattan, New York, USA",-73.951702,220.0,40.805646,Y,511.5,All NYC residents,36.0,Department of Youth and Community Development (DYCD),Y,10am—8pm,Department of Youth and Community Development (DYCD)
"2180 1st Avenue, 10029, Manhattan, New York, USA",-73.93667099999999,178.0,40.7937613,N,6.4,All NYC residents,35.0,NYC Parks & Recreation,N,10am-6pm,NYC Parks & Recreation
"228 East 23rd Street, 10010, Manhattan, New York, USA",-73.9820388,64.0,40.7380929,Y,1000.0,All NYC residents,50.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"30 Delancey Street, 10002, Manhattan, New York, USA",-73.9922313,18.0,40.7203881,N,0.0,Older Adults,32.0,Bowery Residence Committee,N,8:00 AM - 3:30 PM,NYC Aging
"660 Soundview Avenue, 10473, Bronx, New York, USA",-73.8629175,2002.0,40.818713,Y,1000.0,All NYC residents,31.0,New York Public Library (NYPL),Y,10:00 AM - 6:00 PM,New York Public Library (NYPL)
"78 West 168th Street, 10452, Bronx, New York, ySA",-73.9235476,199.0,40.8379658,Y,1000.0,All NYC residents,42.0,New York Public Library (NYPL),Y,10:00 AM - 7:00 PM,New York Public Library (NYPL)
"301 Sutter Avenue, 11212, Brooklyn, New York, USA",-73.9090485,906.0,40.6678137,Y,0.0,All NYC residents,17.0,Research Foundation of CUNY,Y,9:00 AM - 10:00 PM,Department of Youth and Community Development (DYCD)
"356 East 183rd Street, 10458, Bronx, New York, USA",-73.8973223,38303.0,40.8565226,N,0.0,Older Adults,22.0,Bronxworks,N,9:00 AM - 1:00 PM,NYC Aging
"211 West 131st Street, 10027, Manhattan, New York, USA",-73.94628039999999,226.0,40.8132605,N,420.2,Older Adults,36.0,"Central Harlem Senior Citizens Centers, Inc.",Y,9:00 AM - 5:00 PM,NYC Aging
"776 Lorimer Street, 11222, Brooklyn, New York, USA",-73.9496702,515.0,40.7201776,N,103.6,All NYC residents,38.0,NYC Parks & Recreation,N,10am-6pm,NYC Parks & Recreation
"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",-73.98610459999999,326.0,40.5767798,N,100.0,All NYC residents,45.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"2322 3rd Avenue, 10035, Manhattan, New York, USA",-73.9353443,242.0,40.8046762,N,0.0,Older Adults,36.0,"Central Harlem Senior Citizens Centers, Inc.",N,9:00 AM - 5:00 PM,NYC Aging
"940 Hancock Street, 11233, Brooklyn, New York, USA",-73.9174803,373.0,40.6858951,Y,1.0,All NYC residents,17.0,Research Foundation of CUNY,Y,9:00 AM - 10:00 PM,Department of Youth and Community Development (DYCD)
"280 Wyckoff Street, 11217, Brooklyn, New York, USA",-73.9833275,127.0,40.6829065,Y,35.0,All NYC residents,38.0,Heartshare St. Vincents Services Inc.,Y,2:30 PM - 10:00 PM,Department of Youth and Community Development (DYCD)
"380 Washington Ave. at Lafayette Ave., 11238, Brooklyn, New York, USA",-73.9660143,197.0,40.6874258,N,100.0,All NYC residents,48.0,Brooklyn Public Library (BPL),N,10:00AM - 8:00 PM,Brooklyn Public Library (BPL)
"N/A, N/A, Manhattan, Brooklyn, Bronx, Queens, Staten Island, New York, USA",,,,Y,16.8,,,New York City Housing Authority (NYCHA),Y,9:00 AM - 3:00 PM,New York City Housing Authority (NYCHA)
"476 Fountain Avenue, 11208, Brooklyn, New York, USA",-73.87293489999999,1118.0,40.6681668,N,416.6,Older Adults,25.0,Cypress hills-fulton street senior citizens center inc,N,8:15 AM - 4:15 PM,NYC Aging
"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA",-73.8200576,107201.0,40.60074480000001,N,24.4,All NYC residents,41.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"98-27 Metropolitan Avenue, 11375, Queens, New York, USA",-73.8536863,729.0,40.7111911,N,24.4,All NYC residents,28.0,Queens Public Library (QPL),N,12pm - 8pm,Queens Public Library (QPL)
"156-15 146 Avenue, 11434, Queens, New York, USA",-73.7818831,306.0,40.6637217,N,376.0,All NYC residents,47.0,Volunteers for Springfield Park,N,Our hours on Tuesdays are normally 10 am - 3 pm. We often leave the office to work at the park or community.,Department of Youth and Community Development (DYCD)
