bin__,paid,cluster,street_name,existing_occupancy,pc_filed,job_status_descrp,proposed_zoning_sqft,enlargement_sq_footage,job_type,owner_s_business_name,loft_board,gis_census_tract,fully_paid,zoning_dist2,fire_suppression,adult_estab,existing_dwelling_units,zoning_dist1,fully_permitted,proposed_occupancy,doc__,efiling_filed,vertical_enlrgmt,job_no_good_count,building_class,building_type
3047669,04/08/2022,N,BAINBRIDGE STREET,R-3,,PLAN EXAM - DISAPPROVED,0,0,A2,N-A,N,381.0,04/08/2022,,,N,3.0,R6B,,R-3,1,Y,,0,C0,1-2-3 FAMILY
1003093,05/24/2000,,MOTT STREET,RES,Y,PERMIT ISSUED - PARTIAL JOB,0,0,A2,Owner,,41.0,05/24/2000,,,N,,C6-2G,,,1,,,0,,OTHERS
3243423,03/22/2004,,MAYFAIR DRIVE NORTH,J-3,Y,PLAN EXAM - APPROVED,0,874,A2,,,70201.0,03/22/2004,,,N,,R2,,,1,,,0,A2,1-2-3 FAMILY
3065098,07/12/2019,N,NOBLE STREET,RES,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,561.0,07/12/2019,,,N,2.0,C4-3A,08/05/2019,RES,1,Y,,0,B1,1-2-3 FAMILY
3137833,11/12/2004,,50 STREET,RES,Y,SIGNED OFF,0,1140,A1,,N,108.0,11/12/2004,,,N,,R6,01/26/2006,J-0,1,,,0,C0,1-2-3 FAMILY
4615694,08/15/2019,N,111 STREET,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,NB,NYC SCHOOL CONSTRUCTION AUTHORIT,N,38302.0,08/15/2019,,,,,,,,4,Y,,0,Q1,OTHERS
4436445,11/15/2016,N,ALMEDA AVENUE,RES,,SIGNED OFF,0,0,A3,NYC HOUSING AUTHORITY,N,97203.0,11/15/2016,,,N,53.0,R4,12/20/2016,RES,1,Y,,0,D3,OTHERS
3086808,07/02/2004,,JAMAICA AVENUE,COM,Y,SIGNED OFF,0,0,A2,,,1146.0,07/02/2004,R4,,N,,C1-3,07/29/2004,,1,,,0,S1,OTHERS
1042753,12/18/2018,N,EAST 71ST STREET,,,SIGNED OFF,0,0,A1,132 E71 ST LLC,N,128.0,12/18/2018,,,,,,,,4,Y,,0,A4,1-2-3 FAMILY
3066975,02/13/2004,,NASSAU AVENUE,RES,Y,SIGNED OFF,0,1826,A2,,,571.0,02/13/2004,R6,,N,,C1-3,03/31/2004,,1,,,0,S9,OTHERS
1007297,12/30/2016,N,GREENE STREET,RES,,SIGNED OFF,0,0,A3,PREMIER EQUITIES,N,49.0,12/30/2016,,,N,23.0,M1-5A,07/20/2017,RES,1,Y,,0,R0,OTHERS
2826970,05/04/2021,N,EAST 176TH STREET,,,PLAN EXAM - DISAPPROVED,0,0,A3,COMMUNITY ACC HOUSING DEV FUND,N,231.0,06/08/2021,,,N,,R7-1,,,1,Y,,0,V0,OTHERS
3017206,04/14/2004,,19 STREET,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,490,A2,,,147.0,04/14/2004,,,N,,R6,07/07/2005,,1,,,0,B9,1-2-3 FAMILY
