payment_id,vendor_name,estimated_start_date,contract_status,payment_date,contract_end_date,payment_value
,,2009-07-21T00:00:00.000,,,,
,,2009-07-30T00:00:00.000,,,,
16508.0,Union Settlement Association,2009-07-01T00:00:00.000,Contract Change Registered/Filed,2009-12-16T00:00:00.000,2011-06-30T00:00:00.000,10200.0
102.0,,2009-07-01T00:00:00.000,,2009-10-24T00:00:00.000,,6958.0
3051.0,P.C.Richard & Son,2009-07-30T00:00:00.000,Authorized to Start Work,2009-08-27T00:00:00.000,,23640.0
1735.0,SEBCO DEVELOPMENT INC,2009-07-01T00:00:00.000,,2009-10-07T00:00:00.000,2010-06-30T00:00:00.000,8081.7
13010.0,BARCLAY SCHOOL SUPPLIES,2009-09-09T00:00:00.000,Authorized to Start Work,2010-06-17T00:00:00.000,2010-06-30T00:00:00.000,3513.03
9376.0,,2009-09-01T00:00:00.000,,2010-06-05T00:00:00.000,,4139.77
,,2010-06-01T00:00:00.000,,,,
2929.0,Woodycrest Center For Human Development,2009-04-01T00:00:00.000,Contract Change Registered/Filed,2009-09-30T00:00:00.000,2012-03-31T00:00:00.000,1337.98
,Maspeth Supply Co. LLC,2010-08-16T00:00:00.000,Vendor Selected - Registration Pending,,2012-04-30T00:00:00.000,
,,2009-09-30T00:00:00.000,,,,
13309.0,ROURKE PUBLISHING GROUP,2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-12T00:00:00.000,2018-07-31T00:00:00.000,844.6
1298.0,SIGMA CONTRACTING CORP,2009-06-20T00:00:00.000,Authorized to Start Work,2009-12-30T00:00:00.000,2010-08-30T00:00:00.000,34010.0
11675.0,THE CHILD CENTER OF NY,2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-25T00:00:00.000,2012-08-31T00:00:00.000,655.2
1228.0,Claddagh Electronics Ltd.,2009-07-15T00:00:00.000,Authorized to Start Work,2009-12-30T00:00:00.000,2012-02-28T00:00:00.000,12348.0
,"ACME American Repairs, Inc.",2009-10-30T00:00:00.000,Contract Registered,,2012-02-28T00:00:00.000,
4638.0,"Mosholu Montefiore Community Center, Inc.",2009-09-01T00:00:00.000,Contract Change Registered/Filed,2010-03-29T00:00:00.000,2011-08-31T00:00:00.000,2198.2
12366.0,GOLDMANSOUR CONSULTATION,2009-09-09T00:00:00.000,Authorized to Start Work,2010-01-21T00:00:00.000,2011-11-30T00:00:00.000,1100.0
,,2010-02-15T00:00:00.000,,,,
,,2010-03-16T00:00:00.000,,,,
2866.0,SCO Family of Services,2009-04-01T00:00:00.000,Contract Change Registered/Filed,2009-10-02T00:00:00.000,2012-03-31T00:00:00.000,24224.3
13089.0,"SUSSMAN SALES COMPANY, INC.",2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-12T00:00:00.000,2011-08-31T00:00:00.000,3571.33
,,2010-03-01T00:00:00.000,,,,
12406.0,COMMUNITY WORD PROJECT,2009-09-09T00:00:00.000,Authorized to Start Work,2010-06-14T00:00:00.000,2012-09-02T00:00:00.000,200.0
10208.0,HOUGHTON MIFFLIN COMPANY,2009-09-09T00:00:00.000,Authorized to Start Work,2010-03-24T00:00:00.000,2014-10-31T00:00:00.000,345.8
2897.0,St. Nicholas Neighborhood Preservation Corporation,2009-04-01T00:00:00.000,Contract Change Registered/Filed,2009-09-18T00:00:00.000,2012-03-31T00:00:00.000,5271.9
6598.0,,2009-04-01T00:00:00.000,,2010-03-31T00:00:00.000,,13777041.0
6546.0,S J Fuel Co. Inc.,2009-07-01T00:00:00.000,Authorized to Start Work,2010-03-10T00:00:00.000,2010-02-24T00:00:00.000,8650.0
4764.0,Chinese American Planning Council,2009-04-01T00:00:00.000,Contract Change Registered/Filed,2010-03-04T00:00:00.000,2012-03-31T00:00:00.000,10076.13
,,2010-03-08T00:00:00.000,,,,
14872.0,"TEQUIPMENT, INCORPORATED",2009-09-09T00:00:00.000,Authorized to Start Work,2010-06-24T00:00:00.000,2011-06-30T00:00:00.000,6412.69
14847.0,,2009-09-09T00:00:00.000,,2009-07-31T00:00:00.000,,3795.7
,,2009-11-15T00:00:00.000,,,,
3540.0,P. C. Richards & Co.,2009-07-30T00:00:00.000,Authorized to Start Work,2010-03-18T00:00:00.000,2012-02-28T00:00:00.000,23403.6
