referencenumber,externalreferencenumber,schoolnumber,compassdirectiontwo,schooldismissal,am_count,visionzero
CS17-3388B,DOT-352075-G3R1,,,,,No
CX14-1358B,DOT-235997-B6Y8,,,,,No
CQ00-1097B,QBC00-0854,,,,,No
CX04-1142B,,,,,,No
CS13-0780B,SBC13-356/152-13,,,,,No
CM03-2030A,10054/1-6419336/5057,,,,,No
CQ16-1447B,,,,,,No
CQ09-1050A,QBC09-968,,,,,No
CK22-3309B,DOT-572538-X2L7,,,,,No
CX17-0008B,DOT-321585-M9P7,,,,,No
CM08-0135,CCU-08-635; MAN. LOG #11930,,,,,No
CQ09-0447B,QBC09-393,,,,,No
CK17-0994B,DOT-331857-V9B6,,,,,No
CX07-1050A,SEQRNO 07-001,,,,,No
CK07-1093B,BBC07-1218,,,,,No
CM20-1517B,DOT-464954-W1D6,,,,,No
CK16-3065B,DOT-315906-R7Q3,,,,,No
CK15-1628B,DOT-216572-B3K9/11913127619/DOT-266090-V9Z2/BBC11-1306,,,,,No
CK20-0672B,DOT-452188-M8B7,,,,,No
CS01-0132B,P.S. 6R,,,,,No
CQ11-0752A,QBC11-861,,,,,No
CQ13-0026B,QBC12-932,,,,,No
CK12-0096B,,,,,,No
CK12-1278B,BBC12-1317/5608,,,,,No
CM00-0291B,,,,,,No
CK22-3509B,DOT-574119-P7W2,,,,,No
CX17-2108B,DOT-343325-N9B2,,,,,No
CK10-1768B,CCU10-9096/586440/11606403335,,,,,No
CM04-0167B,,,,,,No
CQ10-1346,QBC-10-1399; CCU-11-9910,PH-29,,,,No
CX06-0187A,,,,,,No
CK14-0356,,P.S. 398,,,2014-05-19T00:00:00.000,No
CQ02-2425B,3956,,,,,No
CQ03-0449B,QBC03-638,,,,,No
CK06-0395A,CCU06-877/11217507610,,,,,No
CQ06-1196A,CCU06-3835/11239968880,,,,,No
CK14-0052B,DOT-220307-M1M6,,,,,No
CK03-1804B,,,,,,No
CX20-1446B,DOT-459813-Q1H8,,,,,No
CQ06-0817A,QBC06-545102ND PRECINCT - #16,,,,,No
CQ07-0638B,CCU07-2267/11311270820,,,,,No
CX14-1339B,DOT-235453-B9V1,,,,,No
CK18-1623B,DOT-375586-L1T8,,,,,No
CM14-2191,DOT-246113-K1R6,OX-21,,,,No
CQ15-1520B,111105174841/DOT-261576-V8Q4/DOT-264173-G5W6/101ST PCT. #40,,,,,No
CX20-1724B,DOT-469526-R1Q2,,,,,No
CQ17-3982B,DOT-357850-P0N3,,,,,No
CM98-1500B,,,,,,No
CX12-0229B,CCU12-1121,,,,,No
CS20-2010B,DOT-473641-W5H1,,,,,No
CS09-1242,"B/C LOG #390-09, SBC-09-623",,,,,No
CM06-0809A,17TH PRECINCT-#49,,,,,No
CM06-1966A,CCU06-5939/11267861370/8581,,,,,No
CK17-1060B,DOT-334577-M3X3,,,,,No
CA99-0057B,18943/010599-0065,,,,,No
CX10-0824B,XBC10-314,,,,,No
CM05-2213A,26TH PRECINCT - #05-41,,,,,No
CK07-1656,CCU-07-5556,P.S. 104,,,,No
CQ10-1556A,QBC10-1686,,,,,No
CQ16-2345B,DOT-308178-N5K0,,,,,No
CM98-0972B,,,,,,No
CK03-1035B,,,,,,No
CQ10-0514A,CCU10-3306/SR11560510843,,,,,No
CK19-1913B,DOT-420886-N2M5,,,,,No
CM14-0452B,,,,,,No
CK13-1618B,BBC-13-913,,,,,No
CK08-0085A,BBC08-306/75TH PRECINCT-#19,,,,,No
CM14-2102B,DOT-248455-F4T0/111045178465/CRM0585993,,,,,No
CQ11-0525A,QBC11-553,,,,,No
CK01-0220B,28512,,,,,No
CQ18-1534B,DOT-376730-K4R5,,,,,No
CX15-1422-I3,DOT-213768-C4N9,,,,,No
CK05-0284B,ATDE NO. AN05011,,,,,No
CK12-0327A,BBC12-444,,,,,No
CS11-0742,"B/C LOG #143-11, SBC-11-264; B/C LOG #261-11, SBC-11-461, ID #36224; CCU-11-10020; CCU-12-775",,,,,No
CK03-0529B,BBC03-725/62ND PRECINCT,,,,,No
CM06-2239A,8725,,,,,No
CK18-2797B,DOT-390996-S7T5; DOT-396677-H8F9,,,,,No
CX08-1811B,,,,,,No
CK00-0683B,BT2725,,,,,No
CX99-1100B,B98-1098,,,,,No
CK18-3643B,DOT-400228-C9X0,,,,,No
CQ02-1669B,2657/1-3319795,,,,,No
CX99-0633B,,,,,,No
CK13-1610B,BBC-13-1032,,,,,No
CK13-1786B,CCU13-9477/11889668313,,,,,No
CX03-0568B,,,,,,No
CS03-0897B,SBC-03-387/230-03,,,,,No
CQ01-1928B,SE 592,,,,,No
CM15-0616B,DOT-256433-M0L6/CRM0585793/CRM0552220/DOT-266292-M1JI/CRM0673099,,,,,No
CK04-1953B,PHANO.0404,,,,,No
CK17-1468B,DOT-339200-N0N7,,,,,No
CK06-0260A,,,,,,No
CK14-1675B,DOT-241259-M0H4,,,,,No
CK18-0875B,DOT-369656-B9H5,,,,,No
CM03-0666,,,,,,No
CK18-1508B,DOT-375405-B9Y8,,,,,No
CK05-0960A,CCU05-3223/11171572790,,,,,No
CM06-1463A,,,,,,No
CM03-1171B,,,,,,No
CQ02-0828B,QBC02-783/104TH PRECINCT,,,,,No
CQ07-0193A,QBC07-179,,,,,No
CQ15-2923B,DOT-282355-S8N0/113TH PCT.,,,,,No
CQ10-1596,QBC-10-1657,J.H.S. 210,,,,No
CK12-0003A,BBC11-2076/68TH PCT. - #63,,,,,No
CK14-0381,DOT-221100-N5X1,,,,2014-06-04T00:00:00.000,No
CX16-0701B,,,,,,No
CK11-0122B,,,,,,No
CQ96-1121,49-1029,,,,,No
CQ19-0940B,DOT-410154-R1L0,,,,,No
CQ08-1404A,QBC08-1130,,,,,No
CK07-0702A,CCU07-2425/3036176,,,,,No
CQ12-1364B,CCU12-6978/11766907089,,,,,No
CM09-0444B,,,,,,No
CK99-0575B,,,,,,No
CQ17-3772B,DOT-338739-S5Q7,,,,,No
CK12-1459,BBC12-1268,PH-01,,,,No
CM03-2242B,,,,,,No
CK10-1258B,BBC10-1409/83RD PCT. - #052-10,,,,,No
CK14-0210B,DOT-222357-F1V8/73RD PCT.,,,,,No
CK04-0446,,,,,,No
CX15-0546B,DOT-255020-Q3R2,,,,,No
CS05-1241B,CCU05-3673/11176145220,,,,,No
CS05-1997B,SBC05-1058/TIR121-05/123RD PCT,,,,,No
CX14-1585,DOT-232756-Y3M8; DOT-326673-F0B2; DOT-289707-P5M7,CX-27,,2015-11-12T00:00:00.000,2015-11-12T00:00:00.000,No
