manhattan_condominiums_comparable_properties_address,census_tract,comparable_rental_3_neighborhood,comparable_rental_2_building_classification,manhattan_condominiums_comparable_properties_neighborhood,comparable_rental_3_estimated_gross_income,comparable_rental_1_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_year_built,manhattan_condominiums_comparable_properties_estimated_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_3_building_classification,nta
311 AMSTERDAM AVENUE,161.0, ,D1-ELEVATOR,UPPER WEST SIDE (59-79), ,209.8,8.17, ,485229,43.32,UPPER WEST SIDE (59-79),261618,3181000.0,1.35,520321.0, ,Upper West Side                                                            
421 HUDSON STREET,69.0,GREENWICH VILLAGE-WEST,D7-ELEVATOR,GREENWICH VILLAGE-WEST,"743,452",121.55,8.47,1926,7046102,38.51,GREENWICH VILLAGE-WEST,248066,22107000.0,0.18,3746301.0,D1-ELEVATOR,West Village                                                               
40 BOND STREET,5502.0,EAST VILLAGE,D9-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"838,875",319.03,9.02,1940,3461200,20.04,GREENWICH VILLAGE-CENTRAL,3710453,7725000.0,0.14,2458276.0,D1-ELEVATOR,West Village                                                               
223 WEST 10 STREET,73.0, ,C4-WALK-UP,GREENWICH VILLAGE-WEST, ,122.08,12.14, ,723648,35.94,GREENWICH VILLAGE-WEST,412544,4090000.0,0.09,837238.0, ,West Village                                                               
351 EAST 57 STREET,108.0, ,D6-ELEVATOR,MIDTOWN EAST, ,209.99,11.59, ,3432492,33.79,MIDTOWN CBD,2982535,13841000.0,0.14,2838640.0, ,Turtle Bay-East Midtown                                                    
300 EAST 55 STREET,108.0,MIDTOWN EAST,D6-ELEVATOR,MIDTOWN EAST,"13,502,516",276.31,14.82,1983,10106523,46.09,MIDTOWN EAST,8296574,59532000.0,0.44,11671611.0,D6-ELEVATOR,Turtle Bay-East Midtown                                                    
40 EAST 61 STREET,11401.0, ,D9-ELEVATOR,UPPER EAST SIDE (59-79), ,206.27,12.86, ,3094786,37.6,UPPER EAST SIDE (59-79),1139026,10856000.0,0.28,2244643.0, ,Upper East Side-Carnegie Hill                                              
38 NORTH MOORE STREET,33.0,SOHO,D7-ELEVATOR,TRIBECA,"1,149,094",72.28,10.15,1920,541208,31.97,TRIBECA,336348,4345000.0,0.19,853854.0,D1-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
15 CHARLES STREET,71.0, ,D9-ELEVATOR,GREENWICH VILLAGE-WEST, ,259.88,8.0, ,3600000,30.51,GREENWICH VILLAGE-CENTRAL,6404679,17036000.0,0.37,3088232.0, ,West Village                                                               
425 WEST 53 STREET,133.0, , ,CLINTON, ,321.96,, ,10347329,,UPPER EAST SIDE (79-96),525192,,,, ,Clinton                                                                    
