total_enrollment,ell_chinese_1,math_level_3_2,dbn,grade_5,asian_2,white_2
s,,s,15K001,,s,s
42,,,30Q228,,s,s
s,,s,20K102,,s,s
s,,,20K164,,s,s
8,,s,01M184,s,0.75,s
156,,0.16901408450704225,15K230,20,0.40384615384615385,0.4935897435897436
s,,,22K139,,s,s
45,,s,10X046,s,s,s
s,,,09X109,,s,s
27,,s,03M165,s,s,s
40,s,,15K516,,s,s
31,s,s,06M319,,s,s
47,,0.21212121212121213,08X182,s,0.23404255319148937,s
s,,,05M200,,s,s
s,,s,08X448,,s,s
12,,,30Q212,,s,s
110,,0.20833333333333334,08X182,14,0.3,s
26,s,,27Q253,,s,s
s,,,20K104,,s,s
s,,,13K009,,s,s
s,,,30Q212,,s,s
s,,,13K020,,s,s
32,,s,09X311,,s,s
9,,s,06M153,s,s,s
30,,,21K090,,s,s
9,,s,15K032,,s,s
s,,s,12X463,,s,s
33,s,s,32K123,,s,s
180,s,s,19K089,21,s,s
15,,s,13K133,,s,s
7,,s,02M217,s,s,s
s,,,12X458,,s,s
6,s,,01M539,,s,s
47,s,,04M112,,s,s
24,s,s,31R041,,s,s
185,,0.18681318681318682,20K102,32,0.32432432432432434,0.5297297297297298
51,,s,01M020,s,0.9019607843137255,s
s,,,03M180,,s,s
25,s,s,24Q311,,s,s
39,,s,24Q019,6,s,s
16,,,24Q013,,s,s
40,,,15K516,,s,s
13,,,21K238,,s,s
s,,s,06M311,s,s,s
s,,,30Q329,,s,s
54,s,s,30Q127,8,s,s
60,s,s,06M008,8,s,s
16,,s,04M096,,s,s
8,7,s,21K281,,1,s
79,,s,24Q061,,s,s
6,,,30Q017,,s,s
266,,0.34057971014492755,11X153,40,0.22556390977443608,0.08646616541353383
s,,,24Q089,,s,s
305,s,s,09X218,32,0.022950819672131147,s
8,,,24Q143,,s,s
s,,,14K018,,s,s
42,,,30Q228,,s,s
13,s,,21K238,,s,s
31,,,24Q110,,s,s
93,,s,09X218,14,s,s
333,,0.15337423312883436,02M033,48,0.37537537537537535,0.4114114114114114
s,,s,09X073,s,s,s
26,,,27Q253,,s,s
s,,,04M182,,s,s
21,,,09X457,,s,s
79,s,s,24Q061,,s,s
s,,s,30Q145,,s,s
23,s,,20K030,,s,0.8695652173913043
