dbn,location,p_q11b,p_q11f_1,p_q8f_1,p_q9,p_q10b,p_q2d_1,p_q7c_1,p_q7d_5,p_q8b_5,p_q10l,p_q2g_5,p_q11b_1,nr_p,p_q2i_4,p_q11a_3,p_q12aa_3,p_q5b,p_q8c_2,p_q1_4,p_q2h_3,aca_p_10,p_q8f_5,aca_tot_10,p_q4a_5,p_q8e_5,p_q12bb,p_q2i_3,p_q8e_4,p_q4e_5,p_q6_4,p_q4e_1,com_p_10,p_q5h,p_q3c_1,p_q11f_2,p_q2f_2,p_q3b,p_q2g_1,p_q2a_5,p_q4d_3,p_q8d_4,p_q1_12,p_q7b,p_q3d,p_q5g,sch_type,p_q2c_1,p_q3a_5,p_q2b_2,p_q11d_2,p_q7a_2,p_q7b_2,p_q8b_3,p_q9_3,p_q2a_2,p_q10k,p_q2a_4,p_q7a_5,p_q2c_5,p_q7b_4,p_q8e_3,borough,saf_tot_10,rr_t,p_q7d_1,p_q2g_4,p_q10i,p_q2g,p_q3a_1,p_q1_10,p_q3c_2,p_q8d_5,p_q2f_5,p_q8a_3,p_q4e_3,p_q3d_3,p_q5j,p_q2e_3,p_q10d,p_q11d_1,p_q4c_5,p_q2d_3,com_t_10,saf_p_10,p_q7d,p_q7d_2,p_q1_1,p_q8c_1,p_q7b_3,rr_p,p_q12aa,p_q2e_5,p_q9_9,p_q10,p_q4b_4,com_tot_10,p_q12ab,eng_p_10
11X097,P.S. 097 Bronx,8.0,52.0,72.0,,38.0,52.0,40.0,6.0,25.0,0.0,10.0,49.0,563,1.0,3.0,12.0,37.0,6.0,14.0,11.0,8.2,26.0,7.8,1.0,25.0,,5.0,0.0,,3.0,,8.0,44.0,34.0,41.0,44.0,7.3,44.0,0.0,6.0,0.0,0.0,8.3,,6.0,Elementary School,44.0,1.0,54.0,44.0,54.0,53.0,3.0,20.0,46.0,2.0,0.0,0.0,0.0,0.0,1.0,BRONX,8.1,81,46.0,0.0,5.0,8.2,48.0,0.0,40.0,30.0,1.0,8.0,,25.0,32.0,4.0,70.0,48.0,1.0,2.0,6.3,8.7,8.2,46.0,2.0,62.0,4.0,50,,36.0,10.0,,1.0,7.2,,7.9
16K267,"M.S. 267 Math, Science & Technology",7.8,42.0,49.0,,33.0,53.0,34.0,7.0,20.0,2.0,1.0,43.0,287,0.0,2.0,9.0,13.0,9.0,0.0,14.0,8.2,30.0,8.5,1.0,27.0,,5.0,3.0,,1.0,,7.9,58.0,46.0,50.0,42.0,7.9,54.0,1.0,6.0,3.0,0.0,8.3,,22.0,Middle School,40.0,7.0,47.0,50.0,56.0,60.0,4.0,11.0,44.0,1.0,1.0,2.0,2.0,0.0,0.0,BROOKLYN,7.6,100,44.0,0.0,4.0,8.3,37.0,47.0,33.0,27.0,2.0,10.0,,17.0,35.0,3.0,42.0,45.0,1.0,5.0,8.0,8.2,8.2,49.0,0.0,61.0,2.0,47,,25.0,18.0,,0.0,7.6,,8.1
04M495,Park East High School,7.9,47.0,39.0,,40.0,53.0,35.0,8.0,23.0,0.0,3.0,48.0,322,2.0,2.0,13.0,3.0,6.0,1.0,8.0,8.1,44.0,7.7,3.0,45.0,,3.0,1.0,9.0,1.0,37.0,7.8,45.0,27.0,48.0,44.0,6.9,44.0,0.0,2.0,4.0,22.0,7.7,,17.0,High School,39.0,6.0,56.0,55.0,55.0,61.0,2.0,21.0,56.0,0.0,1.0,5.0,0.0,1.0,3.0,MANHATTAN,7.3,94,42.0,2.0,1.0,7.9,26.0,0.0,40.0,33.0,0.0,15.0,3.0,23.0,28.0,2.0,30.0,39.0,0.0,0.0,6.6,8.0,7.9,43.0,0.0,63.0,7.0,32,,23.0,26.0,,1.0,6.8,,7.7
10X159,P.S. 159 Luis Munoz Marin Biling,8.3,59.0,91.0,,13.0,64.0,53.0,3.0,6.0,10.0,2.0,52.0,178,0.0,2.0,10.0,20.0,2.0,25.0,2.0,8.5,9.0,8.3,1.0,6.0,,2.0,0.0,,1.0,,8.3,36.0,40.0,40.0,39.0,6.8,54.0,1.0,2.0,0.0,0.0,8.9,,4.0,Elementary School,54.0,2.0,42.0,42.0,43.0,43.0,0.0,15.0,38.0,7.0,0.0,1.0,0.0,0.0,0.0,BRONX,8.8,100,50.0,0.0,24.0,8.5,37.0,0.0,31.0,9.0,0.0,2.0,,29.0,38.0,0.0,76.0,56.0,1.0,1.0,7.3,9.2,8.3,45.0,0.0,89.0,1.0,76,,18.0,26.0,,0.0,7.8,,8.4
16K688,The Brooklyn Academy of Global Finance,7.9,46.0,69.0,,23.0,77.0,31.0,8.0,8.0,0.0,0.0,46.0,96,0.0,0.0,0.0,31.0,0.0,0.0,8.0,8.3,0.0,7.8,0.0,0.0,,0.0,0.0,17.0,0.0,42.0,8.6,31.0,42.0,54.0,23.0,7.9,62.0,0.0,0.0,0.0,0.0,7.9,,0.0,High School,62.0,0.0,31.0,46.0,77.0,62.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,8.0,BROOKLYN,7.3,50,25.0,0.0,0.0,8.5,69.0,9.0,17.0,17.0,0.0,8.0,0.0,15.0,23.0,8.0,31.0,46.0,0.0,0.0,7.7,8.4,7.6,67.0,0.0,77.0,8.0,14,,23.0,0.0,,0.0,7.7,,7.7
10X020,P.S. 20 P.O.George J. Werdan III,7.7,43.0,56.0,,29.0,49.0,38.0,5.0,20.0,3.0,6.0,40.0,856,3.0,3.0,10.0,54.0,9.0,6.0,13.0,8.1,33.0,7.9,4.0,32.0,,7.0,1.0,,4.0,,7.5,51.0,28.0,51.0,46.0,5.9,44.0,0.0,4.0,4.0,0.0,8.1,,8.0,Elementary / Middle School,39.0,8.0,52.0,53.0,48.0,49.0,2.0,16.0,47.0,2.0,1.0,3.0,2.0,3.0,1.0,BRONX,7.0,68,40.0,1.0,8.0,7.9,29.0,5.0,28.0,28.0,0.0,11.0,,26.0,19.0,5.0,62.0,38.0,1.0,3.0,7.1,8.2,7.8,48.0,1.0,61.0,4.0,50,,26.0,18.0,,2.0,7.0,,7.6
08X100,P.S. 100 Isaac Clason,8.2,60.0,79.0,,41.0,61.0,55.0,3.0,20.0,3.0,7.0,55.0,569,0.0,2.0,12.0,29.0,6.0,15.0,9.0,8.6,18.0,8.2,2.0,18.0,,5.0,0.0,,3.0,,8.3,42.0,53.0,35.0,39.0,7.2,52.0,0.0,3.0,2.0,0.0,8.8,,14.0,Elementary School,50.0,3.0,42.0,40.0,40.0,37.0,3.0,14.0,37.0,3.0,0.0,1.0,0.0,1.0,1.0,BRONX,8.2,65,56.0,0.0,6.0,8.4,50.0,0.0,28.0,21.0,0.0,11.0,,20.0,21.0,1.0,71.0,55.0,0.0,2.0,6.7,8.8,8.5,38.0,2.0,72.0,3.0,49,,25.0,14.0,,1.0,7.5,,8.1
01M034,P.S. 034 Franklin D. Roosevelt,7.8,49.0,64.0,,47.0,49.0,35.0,8.0,17.0,3.0,8.0,38.0,304,2.0,2.0,11.0,64.0,8.0,6.0,15.0,8.2,32.0,7.6,9.0,30.0,,3.0,0.0,,3.0,,7.8,58.0,51.0,49.0,54.0,7.6,41.0,1.0,3.0,4.0,0.0,8.6,,13.0,Elementary / Middle School,41.0,4.0,61.0,53.0,54.0,50.0,5.0,24.0,50.0,8.0,1.0,3.0,1.0,0.0,0.0,MANHATTAN,7.3,48,30.0,0.0,17.0,8.1,43.0,11.0,35.0,29.0,0.0,11.0,,16.0,25.0,5.0,61.0,41.0,1.0,3.0,6.0,8.4,7.4,56.0,7.0,63.0,1.0,39,,23.0,16.0,,3.0,6.5,,7.9
02M130,P.S. 130 Hernando De Soto,8.0,47.0,89.0,,46.0,62.0,50.0,5.0,11.0,6.0,9.0,44.0,803,1.0,3.0,13.0,74.0,5.0,13.0,4.0,8.1,10.0,8.5,5.0,10.0,,3.0,0.0,,1.0,,8.0,68.0,23.0,49.0,47.0,6.7,43.0,0.0,5.0,0.0,0.0,8.6,,30.0,Elementary School,55.0,1.0,47.0,52.0,38.0,44.0,1.0,20.0,44.0,13.0,1.0,0.0,1.0,1.0,0.0,MANHATTAN,9.1,94,57.0,0.0,23.0,8.2,34.0,0.0,42.0,13.0,0.0,1.0,,31.0,41.0,3.0,78.0,42.0,2.0,1.0,7.9,9.1,8.6,36.0,3.0,81.0,2.0,86,,21.0,7.0,,1.0,8.0,,8.2
13K575,Bedford Stuyvesant Preparatory High School,8.3,59.0,59.0,,37.0,70.0,52.0,4.0,19.0,4.0,4.0,56.0,90,0.0,0.0,0.0,4.0,4.0,0.0,4.0,8.6,37.0,8.2,0.0,30.0,,4.0,0.0,0.0,0.0,59.0,8.7,59.0,48.0,37.0,38.0,8.2,69.0,0.0,0.0,0.0,11.0,9.0,,11.0,High School,59.0,0.0,35.0,41.0,46.0,38.0,0.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,BROOKLYN,8.1,100,58.0,0.0,11.0,9.1,56.0,0.0,37.0,19.0,0.0,11.0,4.0,7.0,37.0,0.0,15.0,59.0,0.0,0.0,6.4,9.1,8.5,35.0,0.0,70.0,0.0,30,,42.0,4.0,,0.0,7.2,,8.5
10X024,P.S. 024 Spuyten Duyvil,7.6,49.0,73.0,,82.0,57.0,31.0,13.0,28.0,1.0,32.0,37.0,693,1.0,5.0,18.0,73.0,11.0,18.0,20.0,8.1,27.0,7.4,4.0,31.0,,8.0,0.0,,2.0,,7.5,74.0,27.0,45.0,51.0,6.3,25.0,0.0,7.0,1.0,0.0,8.4,,32.0,Elementary School,41.0,1.0,56.0,55.0,47.0,49.0,4.0,19.0,49.0,3.0,1.0,3.0,2.0,0.0,0.0,BRONX,7.8,58,37.0,1.0,3.0,7.7,38.0,0.0,36.0,41.0,0.0,11.0,,41.0,23.0,3.0,67.0,34.0,2.0,2.0,5.1,8.4,7.9,46.0,0.0,50.0,4.0,51,,46.0,2.0,,1.0,6.3,,7.8
11X415,Christopher Columbus High School,7.2,30.0,42.0,,26.0,42.0,33.0,5.0,16.0,3.0,3.0,29.0,1244,2.0,8.0,10.0,10.0,11.0,0.0,11.0,7.5,25.0,7.4,6.0,25.0,,8.0,7.0,8.0,3.0,35.0,7.5,34.0,40.0,58.0,51.0,7.1,39.0,1.0,7.0,8.0,30.0,7.4,,13.0,High School,34.0,10.0,56.0,53.0,48.0,50.0,5.0,6.0,54.0,3.0,1.0,4.0,2.0,4.0,4.0,BRONX,6.9,81,37.0,2.0,4.0,7.7,44.0,0.0,25.0,20.0,1.0,9.0,10.0,14.0,16.0,7.0,22.0,32.0,5.0,6.0,7.3,7.7,7.5,49.0,0.0,58.0,10.0,38,,12.0,18.0,,2.0,6.8,,7.3
