job_s1_no,gis_latitude,special_action_status,house__,other,fuel_storage,fuel_burning,approved,boiler,existingno_of_stories,lot,curb_cut,landmarked,standpipe,proposed_dwelling_units,street_frontage,job_status,gis_council_district
1003618,40.695863,N,147-22,,,,10/30/2013,,1,7.0,,N,,,75,X,28.0
1012035,4.0640224E+1,N,872,X,,,12/01/2005,,0,36.0,,N,,3.0,0,X,38.0
1001046,40.841359,N,560,,,,,,0,1.0,,N,,,0,R,10.0
1012709,40.716434,C,107,X,,,,,0,32.0,,N,,4.0,0,J,34.0
1015365,40.736286,N,220,X,,,01/20/2005,,0,23.0,,N,,,0,R,33.0
1006042,40.60264,N,2421,,,,03/11/2004,,0,65.0,,N,X,12.0,0,X,48.0
1009615,40.682299,C,89,X,,,,,0,80.0,,N,,4.0,0,J,36.0
1001137,40.841359,N,560,X,,,,,0,1.0,,N,,,0,R,10.0
1011366,40.688003,N,896,,,X,11/08/2004,X,0,28.0,,N,,8.0,0,R,41.0
1009412,40.613889,N,2301,,,,10/05/2004,,0,11.0,,N,,,0,R,46.0
1001343,40.716913,N,212,X,,,06/30/2004,,0,26.0,,N,,,0,X,33.0
1019127,40.688896,N,275,,,,12/13/2005,,0,1.0,,N,,,0,P,33.0
1010805,40.665052,N,811,X,,,04/12/2005,,0,62.0,X,N,,2.0,0,X,42.0
1016849,40.578295,N,3057,,,,01/12/2005,,0,18.0,,N,,16.0,0,P,48.0
1006423,40.731063,N,202,,,X,03/05/2004,X,0,26.0,,N,,,0,X,33.0
100216,40.716024,N,47,X,,,,,0,37.0,,N,,,0,X,33.0
3259104,40.697326,N,192,X,,,,,4,316.0,,Y,,1.0,0,J,33.0
100343,40.816196,N,264,X,,,,,0,56.0,,N,,,0,P,9.0
3141021,4072.87%,N,152,X,,,07/29/2019,,3,9.0,,Y,,2.0,0,R,33.0
3148725,4074.81%,N,46-01,X,,,,,0,1.0,,N,,,0,R,21.0
1000312,40.683517,N,295,X,,,,,0,63.0,,N,,,0,R,33.0
1579254,40.745402,N,120,X,,,08/11/2008,,6,16.0,,Y,,0.0,0,X,4.0
100321700.00%,40.628948,N,1332,X,,,08/02/2004,,0,13.0,,N,,2.0,0,X,44.0
1002127,40.632253,N,2082,X,,,07/08/2004,,0,6.0,,N,,,0,R,46.0
1002168,40.710276,N,138,X,,,08/16/2004,,0,7502.0,,N,,1.0,0,X,34.0
1335307,40.757859,N,109-18,X,,,12/08/2004,,0,10.0,,N,,,0,R,21.0
1192756,40.74314,N,46-11,,,,06/07/2001,,1,51.0,,N,,,30,X,26.0
1003996,40.633318,N,968,X,,,06/24/2008,,5,27.0,,N,,92.0,0,X,38.0
3279126,40.841827,N,1340,X,,,,,0,1.0,,N,,182.0,0,J,13.0
1000023,40.654351,C,268-70,X,,,,,0,34.0,,N,,,0,J,38.0
1005785,4061.02%,W,301,X,,,04/02/2004,,0,53.0,,N,,1.0,0,P,46.0
1000294,40.692366,N,191,,,,06/15/2004,,0,19.0,,N,,16.0,0,X,33.0
1000545,40.667715,N,447,X,,,06/25/2004,,0,136.0,,N,,3.0,0,X,42.0
1014089,40.692981,N,200,X,,,02/24/2005,,0,35.0,,N,,3.0,0,X,36.0
1011740,40.673318,N,368,X,,,10/25/2004,,0,25.0,,N,,3.0,110,X,37.0
1990194,40.799597,N,63,X,,,07/25/2011,,5,7501.0,,N,,20.0,0,R,7.0
1428014,40.613042,N,1795,X,,,03/09/2001,,0,53.0,,,,,0,X,50.0
1009108,40.634791,N,693,X,,,10/14/2004,,0,66.0,,N,,1.0,0,R,40.0
1016442,40.694913,A,121,X,,,,,0,1.0,,,,,0,X,33.0
2751990,40.697879,N,114-02,X,,,03/08/2017,,1,25.0,,N,,,0,R,27.0
1007433,40.749076,N,605,X,,,10/10/2018,,43,12.0,,N,,0.0,0,X,4.0
