asset_id,gi_id,:@computed_region_f5dn_yrer,construc_1,:@computed_region_yeji_bk3q,outfall,nyc_waters,community_,gi_feature,secondary_,status,:@computed_region_sbqj_enih
117949.0,133a,55,3,2,26W-003,Jamaica Bay and Tributaries,316.0,Standard,,Constructed (Full Maintenance),46
118276.0,356c,45,1,2,26W-003,Jamaica Bay and Tributaries,305.0,Type C - SW Chamber,,Constructed (Full Maintenance),47
184590.0,IB1536a,22,Package-1,3,TI-010,Flushing Creek,407.0,Standard,,Constructed (Full Maintenance),67
121916.0,3357a,62,3,3,JAM-003,Jamaica Bay and Tributaries,410.0,Standard,,Constructed (Full Maintenance),64
157203.0,188a,55,Phase-2-Stage-1,2,NCB-015,Newtown Creek,316.0,Type A - Stone Columns,,Constructed (Full Maintenance),46
95086.0,841B,62,Package-2,3,JAM-003,Jamaica Bay and Tributaries,410.0,Standard,,Constructed (Full Maintenance),64
140801.0,1947B,26,Package-2,3,TI-010,Flushing Creek,411.0,,,Constructed (Full Maintenance),69
183377.0,1-IB217b,16,Package_2,2,NCB-014,East River / Open Waters,308.0,Standard,,Constructed (Full Maintenance),49
100449.0,1949b,45,3,2,26W-005,Jamaica Bay and Tributaries,305.0,Standard,,Constructed (Full Maintenance),47
182319.0,IB3545d,22,Package-1,3,TI-010,Flushing Creek,407.0,Type A - Stone Columns,,Constructed (Full Maintenance),67
182080.0,IB2295f,45,4,2,26W-004,Jamaica Bay and Tributaries,305.0,Standard,,Constructed (Full Maintenance),47
183827.0,IB587A,46,Package-2,3,JAM-003,Jamaica Bay and Tributaries,409.0,Standard,,Constructed (Full Maintenance),60
182721.0,IB1119f,17,1,2,CI-005,Jamaica Bay and Tributaries,309.0,Type C - SW Chamber,,Constructed (In Guarantee),44
149089.0,5147F,53,Stage-2,3,BB-026,Newtown Creek,402.0,Standard,,Constructed (Full Maintenance),66
154296.0,918b,66,Work-Order-4,3,BB-008,Flushing Bay,404.0,Standard,,Constructed (Full Maintenance),68
183311.0,IB4010A,24,1,5,HP-007,Bronx River,207.0,Type C - SW Chamber,,Constructed (Full Maintenance),34
153180.0,524b,66,Stage-1,3,BB-008,Flushing Bay,404.0,Standard,,Constructed (Full Maintenance),68
106513.0,1376b,26,Package-1,3,TI-010,Flushing Creek,411.0,Standard,,Constructed (Full Maintenance),69
133725.0,464b,62,1,3,26W-005,Jamaica Bay and Tributaries,410.0,Standard,,Constructed (Full Maintenance),64
160972.0,SGS656,40,Stage-1,3,BB-006,Flushing Bay,406.0,Standard,,Constructed (Full Maintenance),70
