address_1,electricity_use_kwh,k_12_school_presence_of,k_12_school_pc_density,parking_weekly_hours_of_access,nta,multifamily_home_market_rate,current_site_energy_intensity,target_rating_1_100,warehouse_unrefrigerated_4,bank_financial_institution_5,current_energy_period_ending,retail_cash_register_density,bank_financial_institution_3,facility_type,current_source_energy,current_rating_1_100,k_12_school_gross_floor_area,medical_office_gross_floor,hotel_percent_cooled,district_steam_use_kbtu,k_12_school_open_weekends,other_weekly_operating_hours,office_workers_density,fuel_oil_4_use_kbtu,multifamily_home_gross_floor,parking_open_floor_area_w,indoor_water_use_kgal,multifamily_home_laundry_1,eligibility_for_energy_star,warehouse_unrefrigerated,hotel_gross_floor_area_sq,natural_gas_use_kbtu,current_weather_normalized
221 East 122nd Street,2238892.8,,,112.0,East Harlem North,Market Rate,171.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,253.9,0,,,,,,,,,152219.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,31161700.0,242.8
8814 Bay Parkway,265327.7,,,,Bath Beach,Market Rate,83.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,115.2,0,,,,,,,,,74000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,5256041.94,119.8
310 E 44th Street,1417675.7,,,112.0,Turtle Bay-East Midtown,Market Rate,121.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,177.3,0,,,,,,,,,200674.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,177.3
170 Riverdale Ave,983416.3,,,,Brownsville,Affordable Housing,58.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,195.9,0,,,,,,,,,57200.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,201.2
93-35 Lamont Street,329647.2,,,,,,87.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,126.2,0,,,,,,,,,68500.0,,,7.0,Not Eligible: Rating must be 75 or above,,,,126.2
,179633.0,,,,,,40.9,0.0,,,2010-12-31T00:00:00.000,,,Office,136.5,57,,,,,,,2.33,,,,,,Not Eligible: Rating must be 75 or above,,,,136.3
447 east 57th street,138758.7,,,,Turtle Bay-East Midtown,,45.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,66.7,0,,,,3451042.08,,,,,86250.0,,,23.0,Not Eligible: Rating must be 75 or above,,,,70.1
420 Georgia Avenue,517920.0,,,112.0,East New York (Pennsylvania Ave),Market Rate,162.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,272.2,0,,,,,,,,,39740.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,4693009.68,279.2
2629 Cropsey Ave,515683.9,,,112.0,Gravesend,,83.0,0.0,,,2010-12-31T00:00:00.000,,,Senior Care Facility,143.0,98,,,,,,,,,,0.0,,,Not Eligible: Default space values used,,,4198180.65,149.6
815 park ave,314154.2,,,,Upper East Side-Carnegie Hill,Market Rate,68.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,94.5,0,,4000.0,,,,,,5687697.41,94669.0,,,27.0,Not Eligible: Rating must be 75 or above,,,,94.5
