asian,cd_32,cd_34,cd_07,cd_29,cd_02,cd_44,cd_17,cd_11,cd_10,cd_41,male,cd_06
0,0,0,0,0,0,0,0,0,*,0,*,0
253,62,63,83,31,20,28,269,106,96,135,"1,277",12
0,*,*,0,0,0,0,0,0,0,*,*,0
*,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
*,0,0,0,0,0,0,0,0,*,0,0,0
*,*,0,*,*,0,0,*,0,0,*,*,0
0,0,0,0,0,0,*,0,0,0,0,*,0
22,*,15,*,*,*,0,17,17,*,19,235,*
*,0,0,0,0,0,0,0,0,*,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,*,*,0
128,*,27,29,21,17,*,30,13,22,26,500,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,*,*,0,0,0,0,*,*,*,12,0
945,115,89,110,80,82,44,275,132,106,212,4001,59
141,30,37,40,13,24,13,134,44,43,87,885,*
*,0,0,0,0,0,0,*,0,0,*,*,0
*,*,*,0,0,*,0,0,0,*,0,*,0
*,0,0,*,0,*,0,0,0,*,0,*,0
*,0,0,*,0,*,0,0,0,*,*,*,0
39,10,*,*,*,*,*,16,12,16,14,192,*
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,*,0,0,0,0,*,0,*,*,*,0
*,0,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,0,0,*,0,*,0,*,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,*,*,*,*,*,*,*,*,0,*,99,10
*,0,0,0,0,0,0,0,0,*,*,*,0
*,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,*,*,0
28,*,*,*,*,*,0,*,*,*,*,68,*
*,0,0,0,*,*,*,0,0,0,*,12,0
*,0,0,0,0,0,*,0,0,0,0,18,*
77,28,27,22,14,22,*,34,27,47,37,537,11
14,*,*,*,*,*,0,*,*,*,*,34,0
0,0,0,0,0,0,0,0,0,0,0,*,0
44,15,10,*,*,*,*,27,12,10,16,301,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,*,0,0,0,*,0
*,0,0,0,*,0,0,*,0,*,*,13,0
105,10,16,*,*,13,*,39,14,*,48,334,*
278,42,47,49,37,20,41,172,67,78,61,1146,10
22,*,*,*,*,*,*,*,*,*,*,86,*
10,*,*,0,0,*,*,*,*,*,*,36,*
107,17,29,25,13,12,14,55,30,17,71,707,18
1165,151,186,133,134,84,146,311,187,270,274,3766,58
0,0,0,0,0,0,0,0,0,0,*,*,0
0,*,0,0,0,0,0,0,0,0,*,*,0
0,0,*,*,*,0,0,*,*,*,*,68,0
*,0,0,0,0,0,0,0,0,0,*,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,*,0,0,0,*,0
1247,266,366,292,210,196,161,541,290,381,688,10079,152
0,0,*,*,0,0,0,*,0,*,*,*,0
1442,287,325,265,169,197,176,572,315,450,463,7389,93
*,*,0,0,0,0,*,*,0,0,*,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,*,*,*,0,0,*,0,*,0,*,0
*,0,0,0,*,0,0,*,*,0,0,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0
24,*,*,*,*,*,*,37,24,10,15,241,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,*,0,0,0,0,0,0,0,*,0,*,0
192,69,71,65,29,24,21,148,30,50,102,"1,370",10
*,*,*,0,*,0,0,*,0,0,0,29,0
*,0,0,0,0,0,0,0,0,0,*,*,0
*,0,0,*,0,0,0,0,*,0,0,111,0
33,*,*,*,*,*,*,10,*,*,10,153,*
23,*,*,*,*,0,0,*,*,*,*,120,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,*,0,0,0,0,0,0,0,0,*,0
*,*,0,*,0,*,0,*,*,*,*,21,0
30,*,*,*,*,*,*,*,*,*,*,60,*
10,*,0,*,0,*,*,*,*,*,*,52,0
*,27,0,0,0,0,0,0,0,0,0,34,0
*,*,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,*,0,*,0,0,*,0
367,47,56,44,52,30,30,123,59,82,107,1536,23
89,18,38,68,14,27,32,115,39,62,138,1382,27
*,0,0,*,*,0,0,0,0,0,*,13,0
3511,730,718,654,509,433,473,1595,828,1096,1193,15845,219
0,0,0,0,0,0,*,0,0,0,*,10,0
*,0,0,0,0,*,0,0,0,0,0,*,0
*,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,0,0,0,0,0,*,0
*,*,0,*,0,0,0,0,*,0,0,25,0
602,48,63,41,49,30,29,119,92,66,109,1605,17
68,*,15,31,*,18,*,18,10,22,18,252,*
0,0,0,0,0,0,0,0,0,0,0,*,0
236,99,218,214,62,198,55,383,170,226,523,"2,662",98
*,0,*,0,*,0,*,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,*,0
*,*,*,*,0,0,0,*,*,*,0,78,*
0,0,*,0,0,0,0,*,*,0,0,*,0
39,*,*,*,*,*,*,11,*,13,*,146,*
32,*,*,*,*,*,*,34,18,10,13,300,*
0,*,0,0,0,0,0,0,0,0,0,*,0
11,*,0,*,0,*,*,*,*,*,*,35,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,*,0,0,*,*,0
*,0,0,*,0,0,0,0,0,*,0,39,0
0,0,0,0,0,0,0,0,0,0,0,0,0
