nys_wms_rejection_code,cd_08,has_limited_english,cd_47,_45_64,has_reasonable_accommodation,unknown_race,cd_49,cd_36,has_limited_english_1,cd_50,_65,cd_26,cd_43
P44-Failure to Comply With Drug/Alcohol Screening,0,0,0,0,0,0,0,0,*,0,*,0,0
F21-Failure to Apply/Provide SSN,0,12,*,*,0,0,0,*,*,0,0,0,*
F33-Excess Income-Deemed income of Alien Sponsor FA SNAP Transitional Benefits),0,*,0,0,0,0,0,0,0,0,0,0,0
EZ1-Failure to Apply for SSI,0,*,0,*,0,0,0,0,*,0,0,0,0
E64-Moved Out of District Before Determination,0,0,0,0,0,0,0,0,*,0,0,0,0
"WF1-SNAP IPV Infraction, 1st Occurrence",0,0,0,0,0,0,0,0,*,0,*,0,0
F17-Failure to Validate Incorrect Social Security Number,0,0,0,*,0,0,0,0,*,0,*,0,0
E63-Not a Resident of State,*,11,0,19,0,0,*,*,41,0,*,*,0
M71-Continue Applicant Voluntary Quit Sanction,0,0,0,*,0,0,0,0,*,0,0,0,0
"E29-Failure to Provide Verification, Alien Sponsor",0,0,0,0,0,0,0,0,*,0,0,0,0
N21-Fail to Complete Employment Assessment,0,0,0,*,0,0,*,*,*,0,0,0,0
Y12-Client Active On A PA Case,165,678,44,"1,134",303,*,80,131,"4,037",21,254,45,29
M98 - Duplicate Assistance - Non AFIS in NYS,*,15,*,12,*,0,*,0,22,0,*,*,0
E61-Not a Resident of District,0,20,0,23,*,0,0,0,91,0,*,*,0
F86-Failure to Verify Alien Status,0,0,0,0,0,0,0,0,*,0,0,0,0
"M90-Client Request, Written or Face to Face",0,*,0,*,0,0,*,0,12,*,*,0,0
N10-Failure to Keep/Complete Appointment,0,*,0,0,0,0,0,0,*,0,*,0,0
M35-Lump Sum - No Good Reason Provided,0,*,0,*,0,0,0,0,0,0,0,0,0
U40-Excess Resources,*,58,*,66,14,*,*,*,244,*,34,*,*
M27-Failure to Provide Verification of UIB Match,0,0,0,*,0,0,0,0,*,0,0,0,0
M37-Lump Sum - Shortened Ineligibility Period,0,0,0,*,0,0,0,0,*,0,0,0,0
E30-Excess Earned income,226,1647,99,1621,177,140,123,192,6275,57,227,97,68
E35-Excess Unearned Income Ineligible Budget Required,85,855,95,1277,168,95,80,97,3262,53,1192,68,56
F92-Ineligible Alien,20,982,41,353,*,*,13,13,474,14,239,19,36
E64-Moved Out of District Before Determination,0,*,0,*,0,0,0,0,*,0,0,0,0
E73-In Foster Care,0,0,0,*,0,0,0,0,*,0,0,0,0
F70-Parental Control of Child,0,0,0,0,0,0,0,*,*,0,0,0,0
E73-In Foster Care,0,0,0,0,0,0,0,0,*,0,0,0,0
V24-Failure to Provide Verification of Incomefrom Step/Grandparent,0,0,0,0,0,0,0,0,*,0,*,0,0
EZ1-Failure to Apply for SSI,0,0,0,0,0,0,0,0,*,0,0,0,0
Total,1973,18310,1082,18243,2339,1591,1184,1673,52333,563,6516,1303,714
E35-Excess Unearned Income Ineligible Budget Required,140,648,48,"1,156",190,62,66,63,"2,868",23,718,46,50
"E29-Failure to Provide Verification, Alien Sponsor",*,*,0,*,0,0,0,0,11,0,*,0,0
G99-Client Request-CA & MA-Verbal,*,12,0,14,*,0,*,*,36,0,*,0,0
F53-Refusal by Parent to Apply for Child,*,*,0,*,*,0,0,0,*,0,0,0,0
N10-Failure to Keep/Complete Appointment,10,19,*,95,17,0,10,10,367,*,214,*,*
U40-Excess Resources,0,*,0,*,0,0,0,0,*,0,0,*,0
V25-Failure to Provide Verification of Filing Unit,*,*,0,*,0,0,0,*,*,0,*,0,0
F92-Ineligible Alien,98,2479,25,406,*,36,15,26,502,18,69,172,34
