female,calendar_year,cd_30,cd_40,native_american,cd_39,cd_16,cd_37,total,pacific_islander,african_american,cd_38,cd_13
*,2023,0,0,*,0,0,0,*,0,*,0,0
"3,908",2022,58,98,24,17,234,99,"5,185",21,"2,042",66,95
*,2023,0,0,0,0,0,0,13,0,*,0,0
*,2023,0,*,0,0,0,0,*,0,*,*,0
*,2024,0,0,0,0,0,0,*,0,0,0,0
*,2023,0,0,0,0,0,0,*,0,*,0,0
27,2022,0,0,0,0,*,*,34,0,13,*,*
*,2022,0,0,0,*,0,0,13,0,0,0,0
435,2023,12,12,*,*,27,10,670,*,263,*,10
0,2024,0,0,0,0,0,0,*,0,*,0,0
0,2024,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
558,2025,*,27,*,*,*,29,1058,*,349,17,*
*,2023,0,0,0,0,0,0,*,0,0,0,0
28,2023,0,0,0,0,0,0,40,0,15,0,0
4962,2024,71,157,60,56,174,200,8963,50,2840,87,114
1830,2023,18,44,15,11,104,56,2715,*,1130,29,57
*,2024,0,0,0,0,0,0,*,0,0,0,0
15,2023,0,*,0,*,0,0,20,0,*,0,0
14,2024,0,*,0,0,*,0,18,0,*,0,*
12,2023,0,0,0,0,0,0,17,0,*,0,0
365,2024,*,13,*,*,17,11,557,0,175,*,10
0,2023,0,0,0,0,0,0,*,0,0,0,0
15,2024,0,0,0,0,0,*,21,0,*,0,0
11,2024,0,*,0,0,0,0,11,0,*,*,*
*,2024,0,0,*,*,*,*,22,0,*,0,*
*,2023,0,0,0,0,0,0,*,0,*,0,0
188,2024,*,*,0,*,*,*,287,*,62,*,*
12,2022,0,0,0,0,0,0,13,0,*,0,*
*,2023,0,0,*,0,0,0,12,0,*,0,0
*,2023,0,0,0,0,0,0,*,0,*,0,0
182,2024,*,*,0,*,*,10,250,0,60,*,*
22,2024,*,*,0,*,*,0,34,0,10,0,0
22,2024,0,*,0,*,0,*,40,0,16,0,0
833,2022,13,29,10,*,52,33,"1,370",*,496,17,27
135,2024,*,*,*,0,*,*,169,*,42,*,*
*,2024,0,0,0,0,0,0,*,0,*,0,0
320,2024,*,*,*,*,22,15,621,*,238,*,*
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2022,*,0,0,0,*,0,*,0,0,0,0
35,2023,0,*,*,*,*,*,48,0,12,*,*
615,2022,*,18,*,*,40,26,949,*,347,18,14
2482,2023,43,55,25,31,155,77,3628,12,1207,41,60
170,2023,*,*,*,*,10,*,256,0,74,*,*
96,2025,*,*,*,*,*,*,132,0,33,*,*
1252,2025,17,31,10,13,67,49,1959,*,816,13,28
6882,2025,141,228,44,78,313,266,10648,23,2931,153,216
*,2023,0,0,0,0,*,0,*,0,*,0,0
*,2023,0,0,0,0,*,0,*,0,*,0,0
24,2023,0,0,0,*,0,*,92,0,22,*,0
24,2024,0,0,*,0,0,*,47,*,12,*,*
*,2023,0,0,0,0,0,0,*,0,*,0,0
322,2024,*,*,*,*,11,10,721,*,160,*,13
*,2023,0,0,0,0,0,0,*,0,*,0,0
59579,2023,658,1992,584,554,3068,1828,95036,289,37276,984,1427
*,2024,0,0,0,0,0,*,*,0,*,0,0
99,2025,*,*,0,*,*,*,183,0,40,*,*
11,2024,0,*,0,0,0,0,17,0,*,0,0
*,2023,0,*,0,0,0,0,*,0,*,0,0
17,2024,0,0,0,0,*,*,23,0,*,0,0
*,2024,0,0,0,0,0,0,11,0,*,0,0
245,2025,*,*,*,*,17,11,377,0,106,*,*
1392,2023,19,39,*,19,29,28,2344,*,449,51,11
27,2023,0,0,0,0,0,*,39,0,23,*,0
41,2023,0,0,*,*,*,*,64,0,22,*,0
3471,2024,54,117,26,45,140,133,5647,15,1622,80,68
*,2024,0,0,0,*,*,*,13,0,*,0,0
*,2024,0,0,0,0,0,0,53,*,*,*,0
413,2023,*,13,*,*,13,14,571,*,201,13,21
*,2023,0,0,0,0,*,0,13,0,*,0,0
272,2024,*,*,*,*,*,*,417,0,133,10,*
1417,2024,14,54,16,13,73,52,2162,*,870,23,43
0,2025,0,0,0,0,0,0,*,0,0,0,0
0,2025,0,0,0,0,0,0,*,0,0,0,0
*,2022,0,0,0,0,0,*,13,0,*,*,*
1626,2023,22,55,17,15,83,70,2402,17,913,35,38
*,2024,0,0,0,0,0,0,*,0,*,0,0
95,2023,0,*,*,0,0,0,146,*,72,0,0
*,2023,0,0,0,0,0,0,*,0,0,0,*
26,2024,0,0,0,*,0,0,41,0,15,0,0
*,2025,0,*,0,0,0,0,19,0,*,0,0
*,2023,0,0,0,0,0,*,*,0,0,0,0
0,2023,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2023,0,0,0,0,0,0,*,0,*,0,0
0,2024,0,0,0,0,0,0,*,0,0,0,0
24739,2024,316,755,242,270,1129,773,41636,127,14431,539,541
*,2023,0,*,*,0,0,0,13,0,*,0,0
22,2023,0,0,*,0,*,*,31,*,*,0,*
*,2024,0,0,0,0,0,0,*,0,0,0,0
*,2023,0,0,0,0,*,0,10,0,*,0,*
*,2023,0,0,0,0,0,0,*,0,*,0,0
12,2023,0,0,*,0,*,0,17,0,*,0,0
0,2023,0,0,0,0,0,0,*,0,0,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
0,2023,0,0,0,0,0,0,*,0,*,0,0
*,2023,0,0,0,0,*,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,50,0,*,0,0
*,2025,0,*,0,0,0,0,*,0,*,0,0
*,2025,0,*,0,0,0,0,12,0,*,0,0
*,2022,0,0,0,0,*,0,*,0,0,0,0
*,2022,0,0,*,0,*,0,11,0,*,0,0
0,2022,*,0,0,0,0,0,*,0,0,0,0
289,2024,*,15,*,*,20,10,576,*,209,*,11
16,2024,0,0,0,0,0,0,21,0,*,0,0
20,2024,0,*,0,0,*,*,33,*,17,0,*
0,2024,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,0,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
340,2024,*,*,*,*,14,*,589,*,236,*,*
215,2024,*,*,*,0,*,10,330,*,147,*,*
1253,2023,23,89,*,19,38,33,1970,*,556,25,24
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2023,0,0,0,0,0,0,*,0,*,0,0
246,2022,0,*,*,*,22,10,314,*,124,*,*
73,2022,0,*,*,0,*,*,110,0,46,*,*
*,2023,0,0,0,0,0,0,12,0,*,*,0
1948,2024,34,123,12,26,67,63,3063,*,734,46,34
6756,2023,93,257,55,43,367,206,10841,65,4141,121,170
287,2024,*,*,*,*,*,*,471,*,150,12,*
6130,2023,107,180,41,46,277,209,8106,16,3026,113,171
*,2024,0,0,0,0,0,0,*,0,0,0,0
0,2024,0,0,0,0,0,0,*,0,0,0,0
*,2024,0,0,0,*,0,0,*,0,*,*,0
*,2025,0,0,0,0,0,0,*,0,0,0,0
3458,2024,44,134,28,55,138,118,5891,18,2012,77,57
1736,2023,18,36,17,15,84,58,2611,*,1133,27,50
*,2022,0,*,0,0,*,*,11,0,*,0,0
332,2023,*,10,*,*,18,20,709,*,291,*,*
*,2024,0,0,0,0,0,*,13,0,*,0,0
"1,046",2022,11,30,*,*,64,43,"1,585",*,695,29,22
*,2024,*,0,0,0,0,0,*,0,0,0,0
*,2024,0,0,0,0,0,0,*,0,*,0,0
*,2022,0,0,0,0,0,0,19,0,*,0,0
44582,2024,745,1493,317,451,1947,1586,67274,142,22030,897,1270
*,2024,0,*,0,0,0,0,18,0,*,0,0
