cd_19,cd_33,cd_03,_18_24,cd_46,cd_09,cd_25,cd_12,cd_23,has_reasonable_accommodation_1
0,0,0,*,0,*,0,0,0,*
28,41,22,797,65,114,49,127,25,"5,043"
0,0,0,*,*,0,0,*,0,13
0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,*,*,*,0,0,0,0,0,32
0,*,0,0,0,0,0,0,0,13
*,*,*,42,*,13,21,17,*,648
0,0,0,0,0,0,0,*,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,*
*,17,*,75,*,34,10,14,*,1040
0,0,0,*,0,0,0,0,0,*
*,0,0,*,*,*,*,0,*,39
47,118,153,1532,149,121,79,133,72,8810
13,10,21,297,36,77,10,80,27,2534
*,0,0,*,*,0,0,0,0,*
0,0,0,*,0,0,0,0,0,20
0,0,0,*,0,*,0,0,0,18
0,0,0,*,*,*,0,*,0,17
*,*,*,73,*,11,*,15,*,549
0,0,0,0,0,0,0,0,0,*
0,0,0,19,*,0,0,*,0,21
0,0,0,*,0,0,0,0,0,11
0,0,*,0,0,*,0,0,0,19
0,0,0,0,0,0,0,0,0,*
*,*,18,33,13,*,*,*,*,286
0,0,*,*,0,0,0,*,0,13
0,0,0,*,0,0,*,0,0,12
0,0,0,0,0,0,0,0,0,*
*,0,*,54,*,*,*,*,*,246
0,0,0,*,0,0,*,0,0,34
0,0,*,*,*,0,0,*,0,40
*,16,15,62,29,57,17,31,11,"1,353"
*,*,*,30,*,*,*,*,0,162
0,*,0,*,0,0,0,0,0,*
*,*,*,26,*,12,*,18,*,554
0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
*,0,0,*,0,0,0,0,0,46
*,*,12,164,25,*,*,24,*,917
24,26,26,498,31,80,22,95,30,3501
*,0,*,42,*,*,*,*,*,253
*,*,*,23,0,*,*,*,*,129
13,20,33,257,25,47,15,53,*,1873
91,96,91,1395,174,197,134,219,135,10509
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,*,0,17,0,*,0,*,0,90
0,0,0,0,0,*,*,0,0,16
0,0,0,12,0,0,0,*,*,73
0,0,*,0,0,*,0,0,0,*
0,*,0,17,0,*,0,0,0,17
56,66,92,891,113,217,82,218,64,8740
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,*,*
*,*,*,10,*,*,0,*,*,104
36,63,121,559,80,92,36,93,68,5347
*,*,*,62,*,14,*,26,*,595
0,0,0,0,0,0,0,0,0,*
0,0,0,0,*,0,0,0,0,*
18,14,26,381,44,66,16,40,*,2751
0,0,*,0,0,0,0,0,0,*
0,0,0,17,*,0,0,0,0,17
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,*,*,0,0,*,*,44
0,0,0,*,0,0,0,*,0,20
*,*,*,31,*,*,11,11,*,443
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
*,*,*,82,*,*,*,*,*,405
16,32,84,869,64,163,26,146,29,5949
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,*,11,25,*,0,*,0,0,167
24,21,81,411,152,30,66,62,42,3721
*,*,*,88,*,23,*,18,*,747
0,0,0,*,*,0,0,0,0,28
0,0,0,0,0,*,0,0,0,22
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
*,*,*,12,*,*,*,*,*,72
0,0,0,0,0,*,0,0,0,*
0,*,0,0,0,0,0,0,0,11
0,0,0,*,0,0,0,0,0,*
11,*,12,166,49,10,19,34,17,1512
0,*,*,17,0,*,0,*,*,124
0,0,*,14,*,*,0,*,*,75
*,*,14,34,12,24,*,22,*,813
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,15
*,*,*,433,15,26,*,17,*,719
43,83,141,902,160,213,67,282,55,11184
0,0,0,0,0,0,0,0,*,*
0,0,0,*,0,0,0,0,0,*
191,397,689,4678,549,572,264,606,293,34127
0,0,0,0,0,0,0,0,0,*
*,17,37,311,21,40,*,44,12,1794
0,0,*,*,*,0,0,0,*,12
0,0,0,*,0,*,0,0,0,27
*,*,*,*,0,*,0,*,0,49
0,0,0,*,0,*,0,0,0,18
0,0,0,0,0,0,0,0,0,*
*,*,14,27,*,*,*,*,*,257
51,53,64,910,111,153,70,239,81,7919
0,*,0,*,0,*,0,0,*,39
*,0,0,17,0,*,*,*,0,75
260,413,417,"5,746",633,"1,457",349,"1,324",257,"52,566"
0,0,0,0,0,0,0,0,0,*
0,0,*,*,*,*,0,*,*,109
*,0,0,*,*,0,0,0,0,40
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
*,0,*,40,*,*,*,*,*,211
0,0,0,*,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,*
*,*,*,68,11,11,*,12,*,559
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
*,*,*,95,10,16,*,19,*,702
*,0,0,*,0,0,0,0,0,16
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,*,0,*,0,0,0,0,0,10
*,*,*,10,*,*,0,*,*,101
0,0,0,*,0,0,0,0,0,*
0,0,*,*,0,0,0,0,0,16
0,0,0,0,0,0,0,0,0,*
0,0,0,*,0,0,0,0,0,17
*,*,10,82,12,11,*,16,*,607
0,0,0,*,0,0,0,0,0,*
0,0,0,*,0,*,0,0,0,*
0,0,0,0,0,0,0,0,0,*
0,*,0,23,*,*,0,*,*,90
0,*,*,*,*,0,0,*,0,33
*,10,16,41,25,28,10,17,11,1106
0,0,0,0,0,0,0,0,0,*
*,0,0,*,0,0,0,0,0,*
0,0,0,*,*,0,0,0,0,19
0,0,0,*,0,0,0,0,0,*
33,13,31,498,86,63,69,91,42,4148
0,0,0,0,0,0,0,0,0,*
0,*,*,*,*,*,0,*,0,91
0,0,0,*,0,*,0,*,0,56
