math_level_2_1,ela_level_4,ell_chinese_1,ell_korean,ell_russian_1,math_test_takers,ela_level_1_1,ell_spanish,white,ela_level_3_1
22.6%,s,,,,31,42.4%,,7,s
15.6%,s,,,,122,54.7%,,25,s
32.1%,7,,,,140,33.1%,,16,28.9%
31.1%,15,,,,212,30.4%,,181,23.7%
34.2%,98,,,,1714,28.0%,,510,24.4%
18.7%,s,4.6%,s,s,123,74.7%,348.0,92,s
38.3%,31,,,,575,24.0%,,79,26.7%
18.9%,s,3.7%,s,s,90,70.4%,198.0,s,s
34.2%,72,,,,304,11.9%,,111,34.8%
36.7%,77,,,,1094,27.0%,,84,28.5%
25.2%,11,,,,785,45.6%,,1557,11.8%
28.1%,s,53.7%,s,s,32,60.0%,179.0,s,s
28.8%,39,,,,330,31.9%,,59,20.2%
28.9%,58,,,,1133,30.7%,,89,26.3%
21.9%,s,3.7%,s,0.4%,397,81.3%,1564.0,148,s
30.4%,12,,,,369,38.5%,,396,16.6%
27.6%,s,10.0%,s,0.8%,536,68.7%,2147.0,173,s
31.5%,s,s,s,s,127,76.4%,641.0,36,s
31.5%,9,,,,352,38.4%,,307,12.9%
20.7%,s,s,s,s,261,73.2%,898.0,131,s
33.6%,233,,,,785,12.5%,,392,31.2%
28.3%,s,,,,53,40.4%,,s,s
32.1%,8,,,,268,30.4%,,42,18.7%
27.8%,s,,,,97,30.8%,,152,s
20.0%,s,s,s,s,35,64.3%,79.0,12,s
33.0%,7,,,,94,24.8%,,27,28.7%
30.7%,s,13.9%,s,23.1%,166,74.6%,127.0,310,s
41.7%,s,,,,60,s,,298,29.4%
28.4%,165,,,,584,13.7%,,110,38.0%
33.1%,s,48.0%,39,s,245,70.7%,283.0,29,s
42.0%,s,,,,50,s,,82,38.3%
s,s,,,,25,28.1%,,48,s
15.7%,s,,,,268,51.1%,,53,s
27.6%,43,,,,355,30.9%,,68,20.6%
16.3%,s,,,,43,29.3%,,23,s
26.8%,s,,,,257,44.1%,,153,s
23.2%,s,,,,82,55.4%,,9,s
39.0%,94,,,,844,20.1%,,346,32.0%
36.9%,513,,,,2293,14.3%,,1894,36.0%
38.0%,s,,,,79,34.8%,,17,s
