grade_12,other,ell_arabic_1,hispanic,ell_russian,year,category,black_1,math_level_1,math_level_3,ell_other,male,ell_bengali_1
59,s,,39,,2017-18,Students in temporary housing,76.7%,22,s,,128,
108,14,,229,,2017-18,Students with Disabilities,56.6%,97,s,,431,
142,6,,118,,2017-18,Students in temporary housing,77.1%,77,s,,303,
205,30,,589,,2017-18,Students with Disabilities,29.5%,118,s,,751,
1956,184,,4300,,2017-18,All Students,38.9%,967,142,,5017,
68,s,0.249,346,s,2017-18,English Language Learners,s,96,s,14,348,1.8%
1177,201,,458,,2017-18,All Students,76.8%,308,s,,2400,
73,s,0.157,197,s,2017-18,English Language Learners,20.8%,65,s,37,248,10.6%
505,31,,972,,2017-18,Receive free or reduced price lunch,21.5%,105,55,,1128,
1562,113,,4261,,2017-18,Receive free or reduced price lunch,8.0%,501,230,,3905,
2141,226,,5271,,2017-18,All Students,8.4%,604,333,,5193,
79,s,,124,,2017-18,Students in temporary housing,52.9%,38,s,,165,
186,31,0.065,797,s,2017-18,English Language Learners,6.3%,167,s,203,757,7.7%
2135,207,,1472,,2017-18,All Students,24.5%,472,518,,4881,
3628,353,,8921,,2017-18,All Students,17.6%,1226,255,,8437,
145,11,0.034,984,s,2017-18,English Language Learners,10.6%,163,s,84,735,1.1%
172,9,,573,,2017-18,Enrolled over the Counter,7.1%,30,s,,322,
63,s,,206,,2017-18,Students in temporary housing,20.7%,27,12,,166,
55,s,,103,,2017-18,Enrolled over the Counter,53.7%,12,s,,145,
549,44,,1509,,2017-18,Students in temporary housing,26.6%,242,76,,1371,
1134,167,,3155,,2017-18,Students with Disabilities,27.0%,756,53,,3391,
224,8,0.017,882,s,2017-18,English Language Learners,2.2%,162,26,107,988,3.2%
15,s,0.206,41,s,2017-18,English Language Learners,30.9%,16,s,7,54,s
42,15,,398,,2017-18,Enrolled over the Counter,8.2%,39,s,,468,
2318,288,,4229,,2017-18,All Students,16.2%,552,272,,5182,
33,s,0.103,141,s,2017-18,English Language Learners,22.1%,34,s,21,124,2.8%
274,14,,652,,2017-18,Enrolled over the Counter,28.9%,47,s,,549,
251,28,,649,,2017-18,Students with Disabilities,38.9%,153,s,,817,
149,12,,406,,2017-18,Enrolled over the Counter,46.1%,43,s,,509,
140,27,0.044,633,55,2017-18,English Language Learners,7.6%,169,s,146,711,16.8%
859,139,,1246,,2017-18,All Students,48.0%,286,78,,1952,
285,20,,1146,,2017-18,Students with Disabilities,37.2%,359,s,,1409,
375,9,0.018,1620,s,2017-18,English Language Learners,2.7%,230,s,29,937,s
305,32,,704,,2017-18,Students with Disabilities,26.4%,311,s,,1350,
59,13,,151,,2017-18,Enrolled over the Counter,20.5%,22,s,,332,
258,17,0.086,459,224,2017-18,English Language Learners,5.5%,147,35,247,1094,1.9%
2415,96,,3327,,2017-18,Receive free or reduced price lunch,5.7%,560,449,,5286,
470,20,,231,,2017-18,All Students,82.7%,52,s,,1057,
59,s,0.157,385,17,2017-18,English Language Learners,s,96,s,78,431,1.2%
1727,164,,3257,,2017-18,Receive free or reduced price lunch,14.6%,425,194,,3705,
