grade3,asian_num,frl_percent,ell_percent,hispanic_per,ctt_num,grade6
,16,74.6,6.6,52.4,29,
64,55,,7.8,49.5,41,
,10,,5.3,37.9,11,
129,165,23.7,5.8,20.2,52,    
    ,17,78.0,7.5,45.3,34,    
28,17,82.1,14.7,77.9,37,69
    ,218,72.7,10.2,46.6,119,    
88,441,,28.5,12.9,3,
,63,,0.2,18.7,,
,5,,13.8,68.0,17,
91,107,,8.3,14.7,55,
    ,17,71.0,7.6,58.2,14,65
44,10,80.7,9.6,20.8,3,33
,56,,10.1,52.8,16,66
,26,,5.5,23.4,,23
,260,,63.5,23.8,5,
,56,73.3,21.7,56.9,27,25
,14,,7.4,54.1,4,
,257,59.2,0.2,11.6,,
44,62,64.9,19.3,60.8,85,62
,17,,0.2,18.0,,26
,175,44.8,0.2,22.1,22,
143,679,94.5,45.6,8.2,48,    
,124,,22.0,58.1,29,
,0,,0.0,75.0,,
,91,,6.0,44.5,32,122
36,12,,5.8,69.8,37,
,4,,12.0,59.0,9,
76,50,19.1,5.6,19.7,20,    
,0,,87.8,99.6,,
58,34,91.8,12.2,74.1,47,    
,21,,6.4,56.6,11,
    ,256,29.2,0.2,10.8,44,198
90,65,68.2,4.4,33.6,64,
,4,86.5,7.6,52.8,36,
,15,82.1,10.4,66.3,,84
,32,80.5,5.0,60.4,40,
154,62,,4.6,21.2,17,
163,897,,29.5,3.7,1,
,21,,5.7,57.6,26,
35,88,59.2,11.0,22.7,2,25
86,80,,3.1,15.2,32,
41,15,,7.4,66.7,30,
,75,94.4,67.0,41.4,,
,6,,3.3,49.1,,
,25,80.4,13.2,64.3,11,109
,8,,1.9,49.4,12,
,501,95.5,83.8,4.4,,
14,17,,5.2,24.7,8,
50,2,,16.6,68.5,74,43
47,45,,1.5,28.1,5,
,313,72.5,11.2,50.2,64,
    ,31,17.9,0.4,17.6,3,61
,29,,1.7,53.4,2,
,231,,18.7,58.3,21,1
,28,,6.3,62.3,12,
,34,61.1,4.1,25.7,,24
,96,73.4,5.3,46.4,78,
,107,90.5,73.8,36.9,,
    ,2,87.9,19.1,74.8,9,42
,16,,5.1,65.0,20,47
,7,,1.2,36.1,5,
49,38,42.7,7.7,30.0,6,    
,9,86.7,4.3,49.6,46,
    ,116,37.3,2.4,17.8,16,105
53,55,52.5,7.0,44.1,40,    
25,10,,14.7,64.7,77,67
,92,72.6,7.5,47.6,34,128
    ,27,60.3,3.7,71.8,10,    
,47,,10.6,56.2,20,50
,31,79.1,3.5,66.1,15,
76,62,,5.5,37.6,45,
60,372,,17.3,4.0,,54
,246,,0.2,10.7,,
26,11,,2.2,41.3,9,
83,61,75.6,8.3,46.3,58,
168,875,,21.4,3.9,18,
,68,,4.2,50.4,12,
,2,91.0,19.0,71.6,6,31
,17,,6.1,59.3,63,
,81,,2.2,39.5,36,
    ,32,62.2,3.9,55.7,47,    
,80,,6.9,45.2,23,113
141,153,,7.6,22.7,17,
139,154,29.9,6.6,18.3,58,
190,916,82.0,21.6,4.5,1,
116,70,15.2,4.2,13.3,75,    
95,106,,10.2,14.4,42,
106,53,36.6,5.9,26.2,9,
52,51,61.5,10.1,48.2,16,    
,32,,6.0,59.7,43,
108,36,67.0,17.5,53.0,84,
54,57,,13.8,60.3,,
,93,,0.6,28.8,1,98
53,42,,11.8,55.0,12,
73,19,,11.6,73.6,52,
37,18,,5.0,64.9,14,
,73,,5.2,55.6,1,
,24,,1.6,26.0,,103
17,9,,3.0,44.2,14,16
,5,83.8,19.9,70.4,87,
,5,,17.3,69.0,10,
111,76,,4.4,11.4,59,
,9,73.4,5.9,52.4,38,
    ,42,56.7,2.2,42.0,45,    
,58,,11.5,30.8,,326
,110,76.3,11.1,47.5,73,
,10,82.5,6.9,47.7,31,
123,129,7.5,1.5,7.7,28,
63,70,,12.0,55.0,1,
114,49,14.2,3.4,14.5,56,    
135,617,,39.4,8.4,45,
,14,8.3,2.8,19.4,,
28,27,99.2,11.5,68.7,62,53
48,84,90.4,13.0,56.6,6,
113,38,,9.8,27.2,,
69,382,91.9,40.8,15.7,14,
58,56,,0.3,15.5,1,
93,29,57.5,15.4,52.0,77,    
,20,50.0,0.0,39.5,,
56,1,,10.6,17.1,,
77,18,,20.6,60.8,18,
,53,,,10.5,34,139
60,44,,4.2,39.3,,
    ,10,51.0,4.8,54.4,17,    
,8,,17.0,64.6,20,
    ,4,72.8,6.5,59.7,15,    
,70,76.7,2.8,50.8,37,
,35,,4.9,63.5,9,
,43,,2.9,63.4,25,85
,109,,52.3,48.8,,
25,24,,16.9,55.9,,
56,66,,5.1,57.4,48,
110,151,,6.7,23.1,19,
,7,,0.2,36.2,,
,8,85.9,14.7,65.1,69,
176,65,16.0,3.4,16.1,80,
106,17,,9.2,46.3,56,
,2271,36.7,0.0,2.8,,
64,45,,4.6,26.2,1,
,48,,1.6,35.5,4,
    ,1,83.5,72.6,99.8,0,    
    ,108,80.8,28.3,32.8,14,    
,12,,5.5,51.9,,
    ,14,54.0,1.0,57.8,3,    
28,27,8.6,2.7,14.1,,
25,18,,,12.2,,
,106,,0.3,13.6,,102
87,82,13.0,3.1,11.0,60,
,232,,1.2,9.5,,
,267,,1.2,8.4,59,197
45,28,,6.2,33.7,3,24
,31,,0.0,24.2,,65
,29,,3.9,54.8,,
,59,65.8,20.1,60.0,44,
56,41,33.1,2.9,28.6,36,    
,8,39.0,0.0,10.4,,
34,3,84.9,7.4,18.7,11,72
48,12,,8.1,68.4,23,58
37,28,,9.0,69.6,43,53
72,60,23.3,10.2,17.9,61,
,3,,6.4,47.3,1,
41,19,,14.7,74.9,15,66
36,46,,1.4,30.3,,27
,32,,0.5,26.0,,47
,196,,63.8,4.1,,
,164,,25.5,59.4,18,
50,49,,14.3,53.7,,
128,76,10.7,2.0,8.4,64,
,17,,4.7,43.7,34,63
94,63,61.3,7.6,42.3,48,    
70,103,,3.9,12.0,56,
    ,3,65.3,0.5,42.4,1,    
60,104,84.1,16.5,49.1,17,    
89,15,,21.3,60.7,12,
,78,64.1,25.9,60.4,26,
,263,20.0,0.5,8.4,59,189
58,10,75.8,19.8,63.6,18,    
,92,,14.0,66.5,56,
,40,79.7,6.5,59.6,50,
10,13,87.0,3.6,45.5,33,18
,15,,0.2,15.6,1,23
,66,,20.9,61.8,28,
,0,93.8,77.9,99.8,,
60,52,,0.0,11.2,,
58,79,,8.2,56.5,3,
,20,,2.9,53.2,34,
,61,,15.5,69.2,41,
122,88,9.3,3.5,8.5,51,    
67,376,76.1,17.2,25.9,79,123
31,25,,6.2,71.5,1,55
,11,,3.1,70.8,1,
,98,72.6,5.0,44.5,36,124
51,46,65.6,14.2,55.9,34,    
110,448,23.0,0.2,14.2,2,149
41,48,82.0,9.5,47.3,17,
,9,67.6,3.3,43.8,38,
,52,,0.6,12.7,11,123
111,20,80.2,23.8,70.5,68,54
,238,,5.2,40.9,2,
,115,,0.8,13.8,11,148
,26,15.4,0.2,20.7,6,59
,1,83.5,1.0,60.2,25,
71,38,,3.7,18.8,24,
,37,76.6,10.4,69.3,40,
,3,,6.3,50.7,4,
153,944,,19.5,2.4,2,
,17,,6.1,61.6,3,94
,60,9.8,0.5,12.7,43,173
    ,69,10.6,0.2,11.8,55,150
88,62,61.9,6.7,49.9,55,
,34,,4.9,59.7,108,62
,5,,8.2,36.5,33,120
86,109,,9.2,13.9,54,
,0,73.2,9.0,31.9,18,
73,40,,7.3,38.2,21,
    ,34,80.7,11.2,56.9,28,    
    ,22,72.4,9.5,66.1,30,    
69,505,,6.2,3.3,,54
,4,,0.7,29.0,,
96,46,,6.1,26.9,7,
82,67,,4.8,36.4,56,
,23,50.0,,38.4,,
,17,,7.5,56.5,,
,3,,88.4,97.8,,
34,111,,10.8,19.9,3,47
78,66,,7.4,46.8,52,
,5,,1.5,24.4,,
74,374,86.4,43.0,16.7,22,
,34,76.8,18.5,68.7,71,
,0,93.6,44.9,92.1,,
,1,,8.7,30.8,28,66
104,45,,4.7,15.5,52,
,19,,1.3,22.3,,26
,6,60.0,84.8,78.5,4,
75,5,,9.1,22.1,27,21
192,963,,22.5,5.4,1,
104,87,6.7,3.8,12.1,53,    
111,66,9.7,2.6,10.0,80,
22,15,,3.6,33.1,,
