schoolyear,ell_num,white_num,k,black_num
20102011,14.0,16,,68
20052006,41.0,82,81,118
20072008,11.0,27,,85
20112012,46.0,355,154,71
20112012,16.0,9,    ,88
20112012,60.0,7,37,66
20112012,212.0,48,    ,828
20062007,172.0,10,83,65
20052006,1.0,185,,102
20062007,55.0,4,,110
20062007,50.0,344,115,45
20112012,13.0,11,    ,41
20092010,41.0,3,54,324
20072008,52.0,12,,158
20082009,8.0,24,,59
20082009,490.0,52,,271
20102011,97.0,9,,126
20062007,20.0,38,,65
20092010,1.0,102,,27
20112012,113.0,78,55,85
20082009,1.0,214,,126
20092010,1.0,218,,74
20112012,372.0,20,123,50
20082009,331.0,43,,442
20062007,,0,,1
20072008,22.0,57,,52
20072008,17.0,5,48,70
20082009,22.0,1,,69
20112012,34.0,362,96,52
20072008,412.0,0,,2
20112012,53.0,12,74,58
20072008,22.0,36,,88
20112012,1.0,194,    ,22
20092010,25.0,218,112,85
20102011,27.0,1,,160
20092010,17.0,10,,28
20102011,25.0,6,,160
20072008,41.0,489,173,151
20072008,294.0,21,138,37
20082009,22.0,10,,133
20092010,45.0,81,54,141
20062007,17.0,342,100,40
20062007,21.0,4,34,75
20092010,207.0,50,,54
20052006,15.0,25,,198
20102011,35.0,12,,56
20062007,3.0,13,,56
20092010,462.0,2,,24
20082009,9.0,52,29,34
20052006,73.0,5,37,125
20072008,4.0,96,,160
20092010,346.0,64,,69
20072008,63.0,91,,377
20112012,4.0,117,28,11
20072008,182.0,13,81,46
20102011,61.0,7,35,56
20092010,35.0,35,48,87
20072008,24.0,70,82,68
20062007,9.0,490,125,46
20102011,144.0,17,118,51
20062007,,499,105,64
20092010,7.0,91,,31
20092010,1.0,80,,145
20112012,8.0,68,62,5
20082009,8.0,4,,24
20052006,51.0,12,46,83
20102011,7.0,127,48,53
20052006,66.0,107,,575
20062007,138.0,8,,11
20062007,49.0,321,,155
20052006,237.0,6,120,14
20052006,12.0,8,,76
20082009,24.0,6,,67
20102011,55.0,17,29,121
20112012,34.0,7,43,57
20102011,12.0,126,61,39
20112012,17.0,136,117,33
20112012,57.0,160,100,138
20062007,14.0,13,,48
20082009,9.0,113,59,46
20092010,40.0,6,40,67
20062007,44.0,6,79,391
20112012,51.0,71,    ,182
20072008,42.0,21,,95
20112012,19.0,11,    ,130
20112012,27.0,3,28,240
20072008,30.0,14,,132
20112012,31.0,10,    ,49
20082009,32.0,35,47,78
