_comparable_rental_1_boro_block_lot,comparable_rental_1_year_built,comparable_rental_1_building_classification,longitude,comparable_rental_1_market_value_per_sqft,bronx_condominium_property_condo_section,comparable_rental_2_boro_block_lot,comparable_rental_1_total_units,comparable_rental_1_address
2-02264-0007,1900,D5-ELEVATOR,-73.911635,75.0,115-R1,2-02264-0005,26,202 BROWN PLACE
2-04340-0086,1964,D1-ELEVATOR,-73.869467,33.8,17-R1,2-04341-0075,42,2255 BARKER AVENUE
2-02529-0025,2005,D1-ELEVATOR,-73.912443,21.22,94-R1,2-02379-0051,85,1285 MERRIAM AVENUE
2-05722-0475,1975,D7-ELEVATOR,-73.912312,69.0,106-R1,2-05909-0825,608,2600 NETHERLAND AVENUE
2-05333-0106,1929,C1-WALK-UP,-73.908192,68.0,38-R1,2-05388-0009,13,1235 BRADFORD AVENUE
2-03074-0037,1913,C7-WALK-UP,-73.90362,48.5,79-R1,2-03121-0038,27,651 CRESCENT AVENUE
2-03077-0050,2004,C1-WALK-UP,-73.887801,63.0,90-R1,2-05798-0101,16,2463 HUGHES AVENUE
2-03348-0081,1926,C1-WALK-UP,-73.901036,25.8,96-R1,2-04847-0039,23,315 EAST 209 STREET
2-02264-0014,1909,D7-ELEVATOR,-73.912916,90.0,99-R1,2-02264-0005,17,197 BROOK AVENUE
2-02946-0016,1911,D5-ELEVATOR,-73.853376,49.9,33-R5,2-03129-0029,20,1898 BELMONT AVENUE
2-03119-0066,1912,C1-WALK-UP,-73.911426,32.3,30-R1,2-05798-0101,15,2155 MOHEGAN AVENUE
2-03925-0018,1930,D1-ELEVATOR,-73.860664,27.9,23-R1,2-03932-0050,120,1565 THIERIOT AVENUE
2-02720-0005,1910,D1-ELEVATOR,-73.902331,28.7,100-R1,2-02720-0063,48,712 FOX STREET
2-03121-0038,2008,D1-ELEVATOR,-73.909538,41.5,62-R1,2-05798-0101,35,906 EAST 178 STREET
