bronx_condominium_property_boro_block_lot,comparable_rental_2_gross_sqft,bronx_condominium_property_year_built,comparable_rental_1_gross_sqft,latitude,bronx_condominium_property_market_value_per_sqft,census_tract,bronx_condominium_property_gross_income_per_sqft,comparable_rental_1_est_gross_income,comparable_rental_2_market_value_per_sqft,comparable_rental_2_est_gross_income,bronx_condominium_property_total_units
2-02381-7501,15985.0,2008,18837,40.822433,76.0,141.0,20.25,376040,91.0,349531.0,90
2-04340-7502,31320.0,1960,31320,40.860836,33.7,33201.0,11.99,375680,16.48,243478.0,122
2-02382-7501,76000.0,2005,74448,40.823282,101.0,141.0,24.42,744533,21.32,765315.0,110
2-05604-7501,78825.0,1984,46832,40.813601,51.0,132.0,15.0,811185,40.7,1030952.0,52
2-05529-7502,78825.0,1998,46832,40.809183,40.5,118.0,13.0,811185,40.7,1030952.0,45
2-03432-7501,26700.0,1989,20025,40.806972,39.7,4.0,12.75,295326,23.9,300819.0,18
2-05780-7501,66270.0,1928,71091,40.889453,33.8,335.0,12.0,997401,32.3,761476.0,78
2-03318-7501,22080.0,1993,34333,40.870197,41.8,40303.0,13.42,450528,35.6,303003.0,18
2-04248-7501,25200.0,0,38212,40.85303,119.0,300.0,28.7,1343977,94.0,568669.0,11
2-04174-7501,51000.0,2003,41800,40.84531,63.0,26602.0,16.89,706061,41.4,678058.0,21
2-05606-7502,16200.0,1997,6260,40.81421,69.0,132.0,17.35,116238,41.9,218062.0,20
2-05798-7502,41803.0,2005,18756,40.887159,52.0,295.0,15.25,297022,53.0,660893.0,23
2-05923-7501,443283.0,1955,237000,40.888974,67.0,309.0,18.0,3082644,90.0,9589106.0,177
