location_code,primary_address_line_1,school_support_team_name,open_date,beds_number,nta_name,longitude,principal_title
M150,334 GREENWICH STREET,School Support Team 4- Manhattan,2000-07-01T00:00:00.000,310200010150,SoHo-TriBeCa-Civic Center-Little Italy,40.71953,Principal
K525,1600 AVENUE L,School Support Team 1- Brooklyn South,1974-07-01T00:00:00.000,332100011525,Midwood,40.619671,Principal
K707,3002 FORT HAMILTON PARKWAY,,2009-07-01T00:00:00.000,331500860935,Windsor Terrace,40.647893,PRINCIPAL
K253,601 OCEANVIEW AVENUE,School Support Team 5- Brooklyn South,1938-07-01T00:00:00.000,332100010253,Brighton Beach,40.580237,Principal
M041,116 WEST  11 STREET,School Support Team 3- Manhattan,1958-07-01T00:00:00.000,310200010041,West Village,40.73545,Principal
K120,18 BEAVER STREET,School Support Team 4- Brooklyn North,1965-07-01T00:00:00.000,331400010120,Bushwick South,40.700819,Principal
n115,586 WEST 177 STREET,School Support Team 7- Manhattan,1914-07-01T00:00:00.000,310600010115,Washington Heights South,40.846116,Principal
X446,1010 REV. J. A. POLITE AVENUE,School Support Team 5- Affinity Group,2010-07-01T00:00:00.000,321200011446,Longwood,40.823124,I.A. Principal
M126,80 CATHERINE STREET,School Support Team 3- Manhattan,1966-07-01T00:00:00.000,310200010126,Chinatown,40.710651,Principal
X025,811 EAST 149 STREET,School Support Team 6- Bronx,1897-07-01 00:00:00.000,320700010025,Melrose South-Mott Haven North,40.812895,Principal
M330,442 EAST HOUSTON STREET,,2005-07-01T00:00:00.000,310100860866,Lower East Side,40.719888,Principal
K011,419 WAVERLY AVENUE,School Support Team 3- Brooklyn North,1958-07-01T00:00:00.000,331300010011,Clinton Hill,40.685896,Principal
X071,3040 ROBERTS AVENUE,School Support Team 7- Bronx,1925-07-01T00:00:00.000,320800010071,Pelham Bay-Country Club-City Island,40.845379,Principal
X206,2280 AQUEDUCT AVENUE,School Support Team 4- Bronx,1980-07-01T00:00:00.000,321000010206,Kingsbridge Heights,40.859534,Principal
X067,2024 MOHEGAN AVENUE,School Support Team 5- Bronx,1925-07-01T00:00:00.000,321200010067,East Tremont,40.843781,Principal
M065,250 WEST 127 STREET,,2012-07-01T00:00:00.000,310500861001,Central Harlem North-Polo Grounds,40.810499,PRINCIPAL
X369,468 EAST 140 STREET,School Support Team 6- Bronx,2008-07-01T00:00:00.000,320700010369,Mott Haven-Port Morris,40.80908,Principal
X213,99 TERRACE VIEW AVENUE,School Support Team 2- Affinity Group,2004-09-08T00:00:00.000,321000011213,Marble Hill-Inwood,40.877379,Principal
K054,195 SANDFORD STREET,School Support Team 3- Brooklyn North,1922-07-01T00:00:00.000,331300010054,Bedford,40.692616,Principal
K447,345 DEAN STREET,School Support Team 5- Brooklyn North,2003-07-01T00:00:00.000,331500010447,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.683951,I.A. Principal
M357,461 WEST 131 STREET,,2017-04-26T00:00:00.000,310500861088,Manhattanville,40.816158,PRINCIPAL
K276,1070 EAST  83 STREET,School Support Team 3- Brooklyn South,1964-07-01T00:00:00.000,331800010276,Canarsie,40.634005,Principal
X226,1950 SEDGWICK AVENUE,School Support Team 3- Bronx,1999-07-01T00:00:00.000,321000010226,University Heights-Morris Heights,40.855822,Principal
M173,306 FORT WASHINGTON AVENUE,School Support Team 7- Manhattan,1926-07-01T00:00:00.000,310600010173,Washington Heights South,40.845459,Principal
X260,1363 FULTON AVENUE,School Support Team 2- Affinity Group,2005-07-01T00:00:00.000,320900011260,Claremont-Bathgate,40.833884,Principal
M802,333 7 AVENUE,,1999-07-01T00:00:00.000,310200010000,Midtown-Midtown South,40.747398,CSD Superintendent Acting
K202,982 HEGEMAN AVENUE,School Support Team 6- Brooklyn North,1925-07-01T00:00:00.000,331900010202,East New York,40.665817,I.A. Principal
K181,1023 NEW YORK AVENUE,School Support Team 2- Brooklyn South,1922-07-01T00:00:00.000,331700010181,East Flatbush-Farragut,40.648217,I.A. Principal
