tracking_number,work_permit,job_filing_number,owner_business_name,filing_representative_middle_initial,bbl,census_tract,council_district,applicant_license
697808260,S08029762-S5-EW-SP,S08029762-S5,PR,,5008940113.0,181.0,50.0,615
964831425,Q00546535-I1-SH,Q00546535-I1,NYC SCHOOL CONSTRUCTION AUTHORITY,,4097070048.0,236.0,24.0,35521
873858630,M08052139-I1-SH,M08052139-I1,NYCHA,,1017770005.0,242.0,9.0,620292
241439474,M01246086-I1-GC,M01246086-I1,Rockrose Development Corp,,1008510035.0,56.0,2.0,613010
893375197,M01281818-I1-SH,M01281818-I1,"JASCO, INC",,1004680035.0,4002.0,2.0,617185
871518493,S01211060-I1-SL,S01211060-I1,Not Applicable,,5016580164.0,30302.0,49.0,613329
288244675,M01218691-S2-PL,M01218691-S2,Trinity,,1000510007.0,13.0,1.0,728
765503568,M00685878-I1-PM,M00685878-I1,SAFWAY ATLANTIC LLC,,1012830021.0,94.0,4.0,608211
912522473,-M01248246-I1-EW-SP,M01248246-I1,PR,,1012870062.0,102.0,4.0,1115
193868774,M00977554-I1-SC,M00977554-I1,,,1011240042.0,157.0,6.0,6404
768938283,S01279303-I1-SL,S01279303-I1,PR,,5006890211.0,17701.0,50.0,613329
629849043,M01133352-I1-GC,M01133352-I1,"AKAM ASSOCIATES, INC.",,1010487503.0,139.0,6.0,618884
270845020,M01282220-I1-MS,M01282220-I1,THE DURST ORGANIZATION,,1013240001.0,98.0,4.0,7715
889736565,X00692070-I1-GC,X00692070-I1,NYC SCA,,2031700001.0,23704.0,14.0,619983
677050913,B00797163-S1-GC,B00797163-S1,270 MESEROLE LLC,,3030560080.0,485.0,34.0,625590
435025132,B01016766-S1-ST,B01016766-S1,PR,,3003650056.0,65.0,39.0,623377
136211625,M01238977-I1-GC,M01238977-I1,PR,,1007890021.0,113.0,3.0,617139
979481915,B01192663-I1-GC-CX,B01192663-I1,Not Applicable,,3046390106.0,868.0,41.0,618278
966205066,S00864081-I1-GC-CX,S00864081-I1,BLUE STAR GROUP LLC,,5070460122.0,20805.0,51.0,24862
549729991,S08050262-I1-GC-CX,S08050262-I1,CPS CONTRACTING CO. INC.,,5008720124.0,17701.0,50.0,39280
115295034,X00927185-I1-SH,X00927185-I1,PR,,2032530255.0,273.0,14.0,617040
686559088,B01053772-S2-ST,B01053772-S2,HAMM DEVELOPMENT LLC,,3025720017.0,561.0,33.0,622304
164712177,M01031771-I1-MS,M01031771-I1,NORTHWELL HEALTH LENOX HILL HOSPITA,,1014180006.0,110.0,5.0,7417
442082201,M01104165-S1-MS,M01104165-S1,Municipal Credit Union,,1019510022.0,257.0,9.0,619974
211210486,B00485579-I1-GC-CX,B00485579-I1,BUILD 360,,3004230041.0,75.0,39.0,609469
671483910,M01247371-I1-MS,M01247371-I1,Rockrose Development Corp,,1008560009.0,56.0,3.0,613010
671467649,B01261206-I1-SL,B01261206-I1,Not Applicable,,3079740055.0,94401.0,45.0,611783
680337062,Q01260082-I1-SL,Q01260082-I1,Not Applicable,,4108370022.0,50201.0,27.0,621544
663020906,M01110952-I1-AN,M01110952-I1,LANDMARK RENOVATION GROUP LLC,,1012320055.0,171.0,6.0,621912
212774031,M01246075-I1-SC,M01246075-I1,PR,,1018887504.0,187.0,7.0,6231
418058634,M01209537-I1-FN,M01209537-I1,"SAFWAY ATLANTIC, LLC",,1019310010.0,222.0,9.0,608211
334547114,Q01044217-S1-SE,Q01044217-S1,Not Applicable,,4056620033.0,140902.0,20.0,624186
917648633,M01136806-S1-PL,M01136806-S1,,,1015140069.0,14801.0,4.0,2268
613190852,S01170084-I1-GC-CX,S01170084-I1,BLUE STAR GROUP LLC,,,248.0,51.0,24862
538590749,M01030189-I1-SC,M01030189-I1,,,1012397502.0,179.0,6.0,5599
906821489,B01239721-I1-FN,B01239721-I1,A PLUS 1 MANAGEMENT INC,,,468.0,44.0,624441
157648114,Q01079528-I1-GC,Q01079528-I1,EBMG LLC,,4032050012.0,711.0,29.0,34424
985381574,B01093065-I1-GC,B01093065-I1,54 ORANGE STREET OWNERS CORP.,,3002260010.0,1.0,33.0,604019
524406515,B00734102-S8-MS,B00734102-S8,PR,,3065920001.0,442.0,44.0,9592
192435065,B01242207-S2-PL,B01242207-S2,Not Applicable,,3010170069.0,139.0,39.0,2078
172006425,M00600672-Z2-PL,M00600672-Z2,PR,,1007510020.0,97.0,3.0,2535
203672685,M01065648-I1-MS,M01065648-I1,,J,1012377501.0,175.0,6.0,622970
306267823,M01025344-S2-MS,M01025344-S2,PR,,1012450047.0,171.0,6.0,613262
697367191,M01275848-S1-MS,M01275848-S1,FSI,,1007937501.0,81.0,3.0,612866
766920113,B01235702-I1-GC,B01235702-I1,"BRENNAN PROPERTY MANAGEMENT, LLC",,3002517501.0,301.0,33.0,608523
351262242,B00840325-I1-SH,B00840325-I1,PLATINUM SERVICES NY LLC,,3028670001.0,44901.0,34.0,620254
