trip_weight,num_non_hh_travelers,o_purpose_category,added_trip,o_purpose_imputed,d_purpose,park_location,home_cms_zone,linked_trip_num,transit_access,mode_type_detailed,o_congestion
82.1,0,1,0,1,63,995,Northern Manhattan,22,995,48,0
42.5,4,8,0,63,63,995,Northern Bronx,9,995,48,1
31.8,0,6,0,1,10,995,Inner Brooklyn,12,995,48,0
38.5,0,1,0,1,60,995,Inner Brooklyn,6,995,48,0
13477.7,0,8,0,51,1,995,Southern Bronx,7,995,48,0
0.0,-9998,-9998,0,-9998,-9998,995,Northern Manhattan,22,-9998,995,1
82.1,0,10,0,60,60,995,Northern Manhattan,29,1,11,0
14.3,0,6,0,33,33,995,Northern Bronx,3,995,48,1
31.8,0,10,0,60,33,995,Inner Brooklyn,7,995,48,0
16.4,1,2,0,10,50,995,Northern Bronx,4,995,48,0
17.3,0,8,0,51,1,995,Inner Queens,9,995,4,0
15.2,0,8,0,51,51,995,Northern Bronx,2,995,48,0
96.1,0,5,0,42,42,6,Inner Brooklyn,18,995,33,1
4660.2,0,8,0,63,33,995,Northern Bronx,16,1,16,0
31.8,0,2,0,10,44,995,Inner Brooklyn,13,995,48,0
10.8,0,6,0,33,1,4,Staten Island,37,995,25,0
31.8,0,6,0,33,1,995,Inner Brooklyn,9,995,48,0
31.8,0,2,0,10,50,995,Inner Brooklyn,23,1,11,0
16.6,0,2,1,10,1,995,Southern Bronx,8,1,16,0
16.4,0,6,0,33,50,4,Northern Bronx,49,995,26,0
31.8,0,6,0,33,1,995,Inner Brooklyn,18,995,48,0
82.1,0,1,0,1,63,995,Northern Manhattan,19,995,48,0
15.2,0,8,0,51,51,995,Northern Bronx,14,995,48,0
2689.1,0,1,0,1,33,995,Manhattan Core,16,1,11,0
15.2,0,8,0,51,51,995,Northern Bronx,34,995,48,0
14.0,0,6,0,33,1,1,Middle Queens,6,995,25,0
82.1,0,1,0,1,60,995,Northern Manhattan,32,1,11,0
162.4,0,1,0,1,50,995,Southern Bronx,6,995,48,0
16.4,0,1,0,1,997,4,Northern Bronx,29,995,25,0
1067.4,0,9,995,997,63,995,Manhattan Core,6,995,48,1
82.1,0,1,0,1,60,995,Northern Manhattan,16,1,11,0
82.1,0,3,1,14,14,995,Northern Manhattan,33,1,11,0
911.1,0,7,0,50,50,3,Northern Bronx,21,1,3,0
0.0,0,9,0,997,1,3,Northern Bronx,8,995,25,0
31.8,0,10,0,60,60,995,Inner Brooklyn,38,1,11,1
41.9,0,1,0,1,33,995,Outer Queens,20,995,48,0
4660.2,0,1,0,111,997,995,Northern Bronx,18,995,3,0
31.8,0,2,0,10,33,995,Inner Brooklyn,6,995,48,0
31.8,0,1,0,1,10,995,Inner Brooklyn,19,995,5,0
16.4,1,7,0,1,997,6,Northern Bronx,20,995,26,0
0.0,-9998,8,0,63,-9998,995,Northern Manhattan,25,-9998,995,0
96.1,0,8,0,51,51,995,Inner Brooklyn,6,995,48,1
17.3,0,1,0,1,50,995,Inner Queens,1,995,48,0
0.0,-9998,-9998,0,-9998,-9998,995,Southern Bronx,29,-9998,995,0
16.4,1,1,0,1,997,6,Northern Bronx,31,995,26,0
42.5,0,5,0,41,33,4,Northern Bronx,54,995,26,0
31.0,0,5,0,41,50,995,Inner Queens,12,995,48,0
16.4,0,7,0,50,1,6,Northern Bronx,35,995,25,0
96.1,1,2,0,10,10,995,Inner Brooklyn,50,995,41,1
15.2,0,8,0,51,51,995,Northern Bronx,3,995,48,0
16.4,0,8,0,51,1,4,Northern Bronx,15,995,26,0
16.6,0,4,1,22,1,995,Southern Bronx,6,1,11,0
87.8,1,2,0,10,997,995,Manhattan Core,11,1,7,1
29.7,0,6,0,33,33,4,Outer Queens,45,995,26,0
4660.2,0,9,0,997,997,995,Northern Bronx,21,1,16,0
18.1,0,1,0,1,10,995,Inner Queens,1,995,3,0
0.0,0,-9998,0,-9998,50,3,Northern Bronx,16,1,3,0
14.3,0,10,1,60,1,995,Northern Bronx,6,1,11,1
17.3,1,8,0,63,1,995,Inner Queens,15,1,11,1
0.0,-9998,-9998,0,-9998,-9998,995,Northern Manhattan,23,-9998,995,1
0.0,0,10,0,60,997,995,Manhattan Core,12,995,13,0
4660.2,1,1,0,1,50,995,Northern Bronx,38,995,48,0
82.1,0,6,0,33,60,995,Northern Manhattan,30,1,16,0
31.8,1,8,0,51,63,995,Inner Brooklyn,54,995,48,0
82.1,0,8,0,63,50,995,Northern Manhattan,17,995,48,0
31.8,0,1,0,1,10,995,Inner Brooklyn,58,995,48,0
14.3,0,6,0,33,60,995,Northern Bronx,6,995,48,1
0.0,0,6,0,33,33,995,Inner Queens,35,995,48,1
41.9,0,6,0,33,33,995,Outer Queens,2,995,48,0
0.0,0,4,0,21,60,995,Outer Queens,12,1,11,1
38.5,0,1,0,1,10,995,Inner Brooklyn,9,995,48,0
87.8,0,6,0,33,10,995,Manhattan Core,10,1,11,1
87.8,0,9,0,997,1,995,Manhattan Core,5,995,48,1
16.4,0,1,0,111,10,3,Northern Bronx,39,995,26,0
0.0,0,6,0,33,33,3,Northern Bronx,3,995,25,0
29.7,0,9,0,997,1,1,Outer Queens,29,995,26,0
2689.1,0,6,0,33,33,995,Manhattan Core,17,995,48,0
16.4,0,9,0,997,33,4,Northern Bronx,24,995,25,0
31.8,0,1,0,1,60,995,Inner Brooklyn,28,1,11,0
14.3,0,1,1,1,10,995,Northern Bronx,7,1,11,0
15.2,0,10,0,60,60,995,Northern Bronx,22,1,11,1
15.2,0,8,0,51,33,995,Northern Bronx,27,995,48,0
162.4,0,10,0,60,63,995,Southern Bronx,16,1,11,1
4660.2,1,1,0,1,997,995,Northern Bronx,32,1,16,0
31.8,0,1,0,1,63,4,Inner Brooklyn,5,995,25,0
10.8,0,7,0,50,10,4,Staten Island,13,995,25,0
2689.1,0,6,0,33,33,995,Manhattan Core,5,995,48,0
31.8,0,8,0,63,50,995,Inner Brooklyn,34,995,48,1
0.0,-9998,-9998,0,1,-9998,995,Northern Manhattan,15,-9998,995,0
31.8,1,1,0,1,50,995,Inner Brooklyn,49,995,48,0
4660.2,0,6,0,33,44,995,Northern Bronx,3,1,16,0
16.4,0,1,0,1,10,3,Northern Bronx,24,995,25,0
38.5,0,2,0,10,1,995,Inner Brooklyn,12,1,16,0
16.4,0,6,0,33,997,4,Northern Bronx,25,995,25,0
2689.1,0,6,0,33,33,995,Manhattan Core,2,1,11,0
2689.1,0,6,0,33,60,995,Manhattan Core,20,1,11,1
10.8,0,1,0,1,33,3,Staten Island,1,995,25,0
29.7,0,8,0,63,63,995,Outer Queens,20,995,48,0
15.2,1,8,0,1,10,995,Northern Bronx,9,995,5,0
15.2,0,1,0,1,50,995,Northern Bronx,30,995,48,0
0.0,2,-9998,0,-9998,50,995,Northern Manhattan,26,995,48,1
42.5,0,6,0,33,33,6,Northern Bronx,38,995,25,0
0.0,-9998,-9998,0,1,-9998,995,Northern Manhattan,4,-9998,995,0
0.0,0,1,0,1,60,995,Manhattan Core,8,1,11,0
41.9,0,1,0,1,33,4,Outer Queens,16,995,25,0
31.8,0,10,0,60,60,995,Inner Brooklyn,38,1,11,1
41.9,0,7,0,50,1,4,Outer Queens,19,995,25,0
4660.2,0,9,0,997,50,995,Northern Bronx,29,995,48,0
16.4,0,1,0,111,33,4,Northern Bronx,73,995,26,0
96.1,0,7,0,50,50,995,Inner Brooklyn,38,995,48,0
0.0,-9998,7,0,50,-9998,995,Northern Bronx,13,-9998,995,0
31.8,0,1,0,1,51,995,Inner Brooklyn,1,995,37,0
31.8,1,8,0,63,51,995,Inner Brooklyn,29,995,48,1
16.4,0,1,0,1,33,6,Northern Bronx,36,995,25,0
0.0,0,1,1,111,60,995,Northern Manhattan,14,1,11,0
16.4,0,9,0,997,1,4,Northern Bronx,8,995,26,0
10.8,0,6,0,33,1,1,Staten Island,2,995,25,0
31.8,0,6,0,33,60,995,Inner Brooklyn,8,995,48,0
162.4,0,6,0,33,33,995,Southern Bronx,10,995,48,0
10.8,0,2,0,10,1,4,Staten Island,22,995,25,0
31.8,0,10,0,60,60,995,Inner Brooklyn,28,1,11,0
31.8,1,10,0,60,63,995,Inner Brooklyn,33,995,48,1
10.8,0,6,0,33,11,4,Staten Island,39,995,25,0
135.4,2,3,0,11,11,995,Manhattan Core,25,995,48,0
911.1,1,6,0,33,50,995,Northern Bronx,19,995,3,0
15.2,0,9,0,997,997,995,Northern Bronx,18,995,48,0
4660.2,0,5,0,44,33,995,Northern Bronx,4,1,16,0
10.8,0,1,0,1,33,4,Staten Island,7,995,25,0
0.0,0,-9998,0,10,1,1,Northern Bronx,4,995,25,0
