park_pay,transit_egress,depart_time,trip_distance,hh_member_6,d_purpose_category_imputed,day_num,taxi_cost,trip_num,o_purpose
995,995,2019-06-09T13:59:44.000,1.9,995,10,2,995,6,63
995,1,2019-06-01T18:21:54.000,2.3,995,10,5,995,56,60
995,995,2019-06-16T11:43:45.000,1.3,995,6,6,995,28,1
995,995,2019-06-08T19:46:49.000,0.2,995,1,4,995,29,11
995,1,2019-06-06T13:16:38.000,8.9,995,10,2,995,4,60
995,995,2019-06-09T01:13:14.000,10.0,995,11,3,1,20,33
995,1,2019-06-15T12:25:59.000,0.6,995,10,7,995,25,60
995,995,2019-05-30T07:40:00.000,,995,6,1,995,4,50
995,995,2019-06-11T12:19:30.000,16.5,995,10,2,995,11,997
995,995,2019-06-10T18:43:56.000,1.3,995,1,3,995,15,33
995,995,2019-06-11T12:08:23.000,0.2,995,7,1,995,5,50
995,995,2019-06-15T18:15:06.000,0.1,995,10,3,1,11,33
1,995,2019-06-05T15:10:29.000,0.6,995,6,1,995,3,50
995,995,2019-06-03T14:35:15.000,0.1,995,1,1,995,4,51
995,1,2019-05-30T18:36:06.000,6.1,995,10,3,995,26,60
995,995,2019-06-03T13:27:09.000,0.2,995,8,1,995,1,1
995,995,2019-06-11T19:52:07.000,0.2,995,1,7,995,44,10
995,995,2019-06-09T19:26:10.000,0.2,995,8,3,995,21,63
995,995,2019-06-13T19:33:06.000,4.8,995,1,3,995,37,33
995,995,2019-06-10T18:33:44.000,1.4,995,6,1,1,4,1
995,-9998,2019-06-01T10:52:02.000,1.0,995,-9998,3,995,5,1
995,1,2019-06-05T17:25:21.000,3.3,995,2,4,995,32,10
995,-9998,2019-06-02T16:33:04.000,0.3,995,-9998,2,995,8,-9998
995,995,2019-06-12T08:21:14.000,1.4,995,5,6,995,35,42
995,995,2019-06-11T15:29:05.000,1.1,995,9,1,995,7,33
995,-9998,2019-06-03T17:14:24.000,0.1,995,1,5,995,33,-9998
995,995,2019-06-08T12:53:39.000,8.1,995,8,1,1,1,1
995,995,2019-06-02T17:47:33.000,2.6,995,6,6,1,75,63
995,1,2019-06-03T16:08:54.000,2.1,995,1,7,995,82,10
995,995,2019-06-14T23:39:14.000,2.2,995,1,4,995,23,10
995,995,2019-06-05T13:34:10.000,3.6,995,3,4,995,25,11
995,995,2019-06-11T12:41:05.000,0.2,995,1,7,995,40,11
995,995,2019-06-13T17:30:43.000,0.1,995,9,1,1,2,33
995,1,2019-06-09T16:16:09.000,3.0,995,10,2,995,8,13
995,995,2019-06-13T09:10:47.000,1.0,995,6,7,995,18,997
995,995,2019-06-15T13:13:02.000,3.4,995,1,5,995,54,33
995,995,2019-06-08T11:27:49.000,1.1,995,1,4,995,27,33
995,1,2019-06-14T21:20:04.000,1.1,995,1,6,995,16,33
995,1,2019-06-13T19:24:49.000,0.1,995,6,1,995,7,997
995,995,2019-06-09T18:20:26.000,0.2,995,7,3,995,25,997
1,995,2019-06-09T10:13:37.000,87.1,995,8,3,995,18,1
995,1,2019-06-07T11:49:11.000,1.1,995,10,1,995,2,33
995,995,2019-05-29T12:11:21.000,0.9,995,7,2,995,14,11
995,995,2019-05-30T07:50:00.000,0.9,995,2,1,995,5,33
995,995,2019-06-13T14:37:36.000,0.5,995,3,7,1,29,1
995,995,2019-06-11T08:15:33.000,1.3,995,9,5,995,28,1
995,995,2019-06-13T05:06:05.000,3.4,995,9,7,995,46,50
995,1,2019-06-09T17:25:56.000,3.6,995,10,2,995,11,60
995,995,2019-06-14T17:04:22.000,0.2,995,11,5,995,26,60
995,1,2019-05-28T13:10:19.000,2.8,995,7,1,995,4,10
995,995,2019-06-04T16:23:44.000,3.1,995,5,3,995,18,997
995,995,2019-06-05T15:16:23.000,0.2,995,9,1,995,4,63
995,995,2019-06-15T15:36:01.000,0.2,995,7,5,995,14,33
995,1,2019-06-09T20:00:44.000,10.1,995,11,5,995,38,60
995,995,2019-06-06T16:48:01.000,0.3,995,7,5,995,37,50
995,995,2019-06-08T13:29:14.000,0.4,995,9,4,995,13,60
995,995,2019-06-15T15:14:44.000,4.1,995,6,3,1,10,997
995,995,2019-06-17T21:11:59.000,0.8,995,9,7,995,75,43
995,995,2019-06-13T08:08:36.000,0.1,995,7,3,995,22,997
995,-9998,2019-06-02T16:04:20.000,1.5,995,1,4,995,26,-9998
995,995,2019-06-08T07:27:25.000,1.7,995,6,4,995,25,33
995,995,2019-06-05T15:42:13.000,1.0,995,7,4,995,29,50
995,995,2019-06-03T13:47:12.000,0.1,995,2,7,995,81,60
995,995,2019-06-11T18:26:46.000,1.2,995,3,1,995,9,1
995,1,2019-06-14T07:35:00.000,4.0,995,2,6,995,12,1
995,995,2019-06-06T13:50:57.000,0.1,995,2,2,995,5,60
995,-9998,2019-06-06T13:53:41.000,0.2,995,-9998,2,995,15,1
995,-9998,2019-06-02T09:28:41.000,10.8,995,-9998,4,995,22,-9998
995,995,2019-06-16T10:39:32.000,1.8,995,1,6,995,27,33
995,995,2019-06-12T21:33:04.000,0.2,995,1,2,995,19,1
995,1,2019-06-02T15:57:03.000,0.5,995,10,6,995,70,60
995,995,2019-06-03T17:27:36.000,0.4,0,6,1,995,1,1
995,995,2019-06-07T19:21:51.000,1.6,995,8,1,995,3,1
995,1,2019-06-18T12:25:03.000,1.8,995,11,7,995,17,997
995,995,2019-06-08T23:41:14.000,0.3,995,11,7,995,56,10
995,995,2019-05-31T21:45:06.000,1.4,995,1,2,1,13,63
995,995,2019-06-15T11:20:54.000,0.5,995,6,7,995,22,1
995,995,2019-06-11T14:24:37.000,0.2,995,6,5,995,23,1
995,995,2019-06-15T14:36:45.000,16.1,995,8,5,995,57,100
995,-9998,2019-06-01T12:56:04.000,1.1,995,-9998,3,995,8,-9998
995,995,2019-05-30T09:16:56.000,19.0,995,3,3,995,20,10
995,1,2019-06-12T07:40:00.000,4.0,995,2,4,1,7,1
995,1,2019-05-30T23:15:22.000,2.2,995,10,3,995,30,60
995,995,2019-06-12T14:42:51.000,1.8,995,2,2,995,16,997
995,1,2019-06-09T14:38:55.000,0.2,995,6,3,995,22,997
995,995,2019-06-03T16:52:21.000,2.6,995,8,7,995,83,1
995,995,2019-05-28T07:19:10.000,2.3,995,2,1,995,3,1
995,995,2019-06-12T08:14:35.000,1.3,995,5,6,995,34,1
995,995,2019-06-06T15:25:41.000,2.5,995,6,5,995,41,33
995,995,2019-06-17T18:13:37.000,1.1,995,11,7,995,72,33
995,995,2019-06-05T15:17:53.000,0.3,995,2,2,995,18,33
995,995,2019-06-11T19:58:41.000,3.8,995,7,1,995,11,1
995,995,2019-06-11T15:27:29.000,12.5,995,10,2,1,16,997
995,995,2019-05-31T23:21:28.000,0.2,995,10,4,995,46,63
995,-9998,2019-06-01T14:18:35.000,1.9,995,-9998,3,995,10,-9998
995,995,2019-06-05T14:38:30.000,0.5,995,7,4,995,27,50
995,1,2019-06-10T09:29:44.000,0.6,995,6,1,995,1,1
995,995,2019-05-30T12:33:42.000,0.1,995,2,1,995,3,997
