boro_block_lot,expense_per_sqft_3,total_units_3,estimated_expense,estimated_expense_1,boro_block_lot_3,building_classification_1,year_built_3,gross_income_per_sqft_1,address_1,market_value_per_sqft,boro_block_lot_2,expense_per_sqft_1,gross_sqft,full_market_value_2,full_market_value_1,gross_income_per_sqft_3,year_built_1,total_units,neighborhood,gross_sqft_2
1-00604-0014,13.01,27.0,640094,204473,1-00619-0067,C7  -WALK-UP,1910.0,26.41,107 CHRISTOPHER STREET,103.77,1-00633-0015,11.87,47520,3811000,8233000,26.75,1905,33,GREENWICH VILLAGE-WEST,15960
1-00137-0005,11.32,152.0,792400,1536758,1-00016-0221,D6  -ELEVATOR,1998.0,35.67,121 READE STREET,246.81,1-00179-0032,10.63,70000,27264000,46802000,41.71,1997,30,TRIBECA,52930
1-01186-0095,10.7,64.0,739553,134316,1-01150-0041,D1  -ELEVATOR,1926.0,49.46,306 WEST 76 STREET,308.46,1-01185-0047,11.48,64421,2432000,2520000,49.06,1925,37,UPPER WEST SIDE (59-79),11542
1-01120-0023,18.17,72.0,3852040,4449915,1-01492-0036,D6  -ELEVATOR,1962.0,54.48,135 CENTRAL PARK WEST,291.0,1-01491-0004,20.48,212000,54799000,82036000,54.0,1906,122,UPPER WEST SIDE (59-79),102053
1-00379-0045,14.7,24.0,430290,152446,1-00387-0153,D5  -ELEVATOR,1920.0,38.03,291 EAST 3 STREET,197.94,1-00379-0020,13.66,31500,2404000,3569000,40.78,1900,12,ALPHABET CITY,9150
1-01162-0012,15.48,38.0,1067950,189899,1-01143-0027,D1  -ELEVATOR,1913.0,36.47,312 WEST 73 STREET,185.33,1-01162-0005,13.54,68989,5124000,3433000,38.3,1920,53,UPPER WEST SIDE (59-79),25266
1-00909-0015,16.33,24.0,798535,824411,1-00914-0010,D3  -ELEVATOR,1930.0,52.77,207 EAST 30 STREET,297.8,1-00885-0066,17.21,44912,9381000,15723000,54.52,1985,84,MURRAY HILL,28240
1-01039-0057,14.0,38.0,422023,579890,1-01041-0038,D5  -ELEVATOR,1945.0,43.64,369 WEST 52 STREET,238.54,1-01036-0054,15.66,29085,5775000,11335000,44.85,1940,40,MIDTOWN WEST,32520
1-00577-0030,23.03,27.0,1940092,247552,1-00571-0012,D7  -ELEVATOR,1900.0,52.6,52 WEST 14 STREET,270.12,1-00577-0018,19.34,100315,4402000,5557000,53.7,1900,86,GREENWICH VILLAGE-CENTRAL,13712
1-00890-0054,16.07,175.0,489290,319389,1-00919-0034,D7  -ELEVATOR,1955.0,48.53,140 EAST 31 STREET,253.31,1-00916-0064,15.04,28250,4259000,2601000,46.54,1910,49,MURRAY HILL,13334
1-00389-0054,15.13,12.0,164856,135413,1-00407-0046,C1  -WALK-UP,1900.0,44.81,509 EAST 12 STREET,230.73,1-00379-0010,16.01,10896,1443000,3431000,43.54,1900,14,ALPHABET CITY,8883
1-00770-0070,13.93,31.0,287100,101855,1-00770-0049,C4  -WALK-UP,1901.0,48.57,219 WEST 20 STREET,288.45,1-00769-0065,13.05,22000,2509000,2172000,48.92,1901,35,CHELSEA,8195
1-00877-0067,14.09,67.0,1114094,680945,1-00879-0017,D6  -ELEVATOR,1925.0,44.27,239 PARK AVENUE SOUTH,242.18,1-00878-0004,13.32,84851,70182000,23954000,42.61,1911,97,GRAMERCY,145299
1-00575-0072,11.76,25.0,321961,122294,1-00611-0067,C4  -WALK-UP,1900.0,47.53,117 WAVERLY PLACE,311.78,1-00611-0024,10.02,27308,9997000,3948000,50.28,1900,34,GREENWICH VILLAGE-CENTRAL,17166
1-00891-0066,12.46,119.0,1114589,1678770,1-00865-0042,D6  -ELEVATOR,1949.0,44.5,41 PARK AVENUE,233.98,1-00865-0032,14.57,72659,26269000,29669000,42.48,1950,77,MURRAY HILL,101306
1-00877-0026,16.83,20.0,1177298,4801580,1-00134-0011,D6  -ELEVATOR,1930.0,43.61,240 EAST 59 STREET,236.09,1-00016-0221,14.81,78382,64777000,76684000,45.44,1983,42,GRAMERCY,244617
1-01209-0049,9.08,45.0,184851,77850,1-01253-0035,D3  -ELEVATOR,1925.0,38.05,4 WEST 90 STREET,231.85,1-01200-0043,10.04,20358,4210000,2031000,37.63,1930,25,UPPER WEST SIDE (79-96),17046
1-00469-0025,14.18,25.0,275788,142214,1-00437-0009,D1  -ELEVATOR,1990.0,48.53,205 2 AVENUE,278.75,1-00466-0016,14.21,19408,4756000,2873000,47.75,1950,31,EAST VILLAGE,13764
1-00562-0001,14.69,486.0,2268390,637039,1-00548-0070,D8  -ELEVATOR,1976.0,48.43,107 UNIVERSITY PLACE,291.48,1-00558-0013,14.68,182200,7738000,9230000,47.79,1940,215,GREENWICH VILLAGE-CENTRAL,25850
1-00771-0073,20.25,20.0,166258,133778,1-00771-0034,C4  -WALK-UP,1920.0,56.0,219 WEST 20 STREET,315.57,1-00769-0065,17.14,9700,2509000,2172000,58.06,1901,20,CHELSEA,8195
1-00633-0028,20.44,15.0,655040,8377184,1-00586-0045,D5  -ELEVATOR,1998.0,49.04,521 WEST STREET,243.0,1-00604-0033,19.29,32000,236202000,135735000,51.88,1930,14,GREENWICH VILLAGE-WEST,553000
1-00761-0059,9.53,12.0,909181,2975525,1-00779-0052,D7  -ELEVATOR,1927.0,34.94,354 WEST 34 STREET,200.93,1-00786-0042,10.65,95402,31957000,75572000,34.27,1930,27,FASHION,88872
1-00348-0073,11.95,19.0,136294,122866,1-00413-0004,C7  -WALK-UP,1909.0,30.69,209 HENRY STREET,158.37,1-00298-0015,11.19,12180,3747000,1699000,29.87,1900,14,LOWER EAST SIDE,22722
1-01058-0024,,,94655,96645,,C4  -WALK-UP,,35.91,421 WEST 45 STREET,212.77,1-01078-0019,11.35,9475,1770000,1699000,,1910,13,CLINTON,7825
1-00899-0001,13.32,51.0,5821326,711107,1-00897-0075,D6  -ELEVATOR,1959.0,45.06,239 PARK AVENUE SOUTH,223.02,1-00872-0035,13.91,358898,54106000,23954000,43.29,1911,330,GRAMERCY,236064
1-01034-0019,16.55,20.0,157804,144228,1-01467-0036,C4  -WALK-UP,1910.0,46.54,356 WEST 45 STREET,246.57,1-01034-0027,14.28,9535,1666000,1801000,46.91,1930,15,MIDTOWN WEST,9940
1-01211-0042,17.08,15.0,105042,128961,1-01232-0160,C5  -WALK-UP,1920.0,43.86,151 WEST 82 STREET,213.33,1-01211-0006,17.25,6150,2780000,3234000,43.34,1885,11,UPPER WEST SIDE (79-96),12252
1-00485-0021,18.23,28.0,474261,388764,1-00501-0006,D5  -ELEVATOR,1910.0,46.2,508 BROOME STREET,255.14,1-00477-0001,18.0,32088,17950000,6124000,49.16,1900,11,SOHO,125235
1-01162-0001,11.4,233.0,1051525,614867,1-01158-0033,D7  -ELEVATOR,1926.0,38.14,225 WEST 71 STREET,219.77,1-01183-0022,12.51,92239,5504000,6955000,38.46,1920,115,UPPER WEST SIDE (59-79),21960
1-00348-0011,,,131832,94635,,C1  -WALK-UP,,43.28,161 ATTORNEY STREET,203.47,1-00349-0015,14.02,7200,2107000,2127000,,1910,13,LOWER EAST SIDE,8255
1-00791-0068,18.69,21.0,284144,127130,1-00790-0056,C5  -WALK-UP,1920.0,43.22,131 WEST 15 STREET,218.38,1-00765-0005,15.28,15203,5994000,2382000,45.58,1910,12,CHELSEA,20550
1-00443-0052,19.33,25.0,165001,152749,1-00447-0011,C7  -WALK-UP,1920.0,48.52,5 AVENUE A,235.24,1-00429-0001,16.46,8536,3006000,3489000,48.3,1900,22,EAST VILLAGE,8207
1-01184-0007,11.2,19.0,628029,161783,1-01184-0067,D1  -ELEVATOR,1920.0,39.83,316 WEST 75 STREET,265.58,1-01167-0059,11.35,56074,10279000,3297000,43.9,1920,49,UPPER WEST SIDE (59-79),50600
1-00577-0066,21.41,19.0,945077,828417,1-00577-0018,D5  -ELEVATOR,1900.0,53.14,58 WEST 14 STREET,255.25,1-00577-0014,21.91,46350,5557000,14225000,51.65,1906,15,GREENWICH VILLAGE-CENTRAL,12800
1-01195-0001,,,1603148,297845,,D6  -ELEVATOR,,51.43,465 COLUMBUS AVENUE,246.41,1-01210-0001,15.43,101145,21323000,5644000,,1988,130,UPPER WEST SIDE (79-96),106521
1-00632-0045,15.63,49.0,380218,140693,1-00641-0044,C4  -WALK-UP,1900.0,44.57,72 CHARLES STREET,256.09,1-00588-0040,14.74,23398,5085000,2312000,48.14,1901,56,GREENWICH VILLAGE-WEST,9320
1-01125-0002,14.12,79.0,725203,1761440,1-01128-0001,D7  -ELEVATOR,1900.0,45.9,50 WEST 72 STREET,259.97,1-01127-0001,12.25,51360,11879000,32059000,46.13,1927,73,UPPER WEST SIDE (59-79),32956
1-00379-0017,11.24,50.0,207804,513291,1-00397-0022,C1  -WALK-UP,1910.0,41.18,627 EAST 9 STREET,239.4,1-00392-0022,11.7,17761,4696000,8925000,40.81,1900,30,ALPHABET CITY,20599
1-00634-0023,,,652317,532321,,D3  -ELEVATOR,,46.3,129 WEST WASHINGTON PLACE,259.63,1-00626-0036,13.93,45426,6576000,11546000,,1924,55,GREENWICH VILLAGE-WEST,41970
1-00573-0039,20.72,33.0,3237699,2539816,1-00577-0010,D6  -ELEVATOR,1906.0,57.3,20 5 AVENUE,309.59,1-00573-0019,19.18,168806,8531000,44096000,56.18,1940,153,GREENWICH VILLAGE-CENTRAL,39782
1-00386-0020,12.09,50.0,114296,263255,1-00397-0022,C4  -WALK-UP,1910.0,38.1,374 EAST 10 STREET,203.96,1-00392-0048,12.78,9100,8925000,4696000,37.3,1900,12,ALPHABET CITY,43871
1-00642-0042,12.07,54.0,487347,247298,1-00624-0041,D1  -ELEVATOR,1920.0,48.3,326 WEST 11 STREET,295.05,1-00624-0044,12.84,44385,8212000,5967000,47.26,1920,76,GREENWICH VILLAGE-WEST,26694
1-00875-0025,10.43,42.0,304380,261907,1-00882-0056,D1  -ELEVATOR,1930.0,44.74,140 EAST 17 STREET,278.18,1-00878-0028,8.79,28500,7435000,7687000,45.21,1910,42,GRAMERCY,32610
1-01046-0054,21.87,90.0,531244,477330,1-01036-0010,D3  -ELEVATOR,1939.0,48.88,355 WEST 51 STREET,241.96,1-01041-0038,19.21,28034,7295000,6822000,48.02,1920,42,MIDTOWN WEST,25482
1-00230-0031,21.48,28.0,534900,458958,1-00501-0006,D5  -ELEVATOR,1910.0,52.54,508 BROOME STREET,281.87,1-00477-0001,21.25,30000,17950000,6124000,55.51,1900,14,SOHO,125235
1-00390-0037,,,117233,248670,,C7  -WALK-UP,,25.03,195 AVENUE B,120.12,1-00353-0024,9.21,13553,1200000,5490000,,1910,12,ALPHABET CITY,14497
1-00398-0008,10.57,47.0,565065,152446,1-00398-0022,D5  -ELEVATOR,1920.0,43.46,291 EAST 3 STREET,234.06,1-00391-0050,13.66,55947,3764000,3569000,37.45,1900,61,ALPHABET CITY,18260
1-00458-0032,7.33,19.0,122052,228150,1-00353-0024,C7  -WALK-UP,1930.0,27.63,195 AVENUE B,140.51,1-00413-0004,8.45,14376,2249000,5490000,25.28,1910,30,EAST VILLAGE,12000
1-00445-0051,20.22,28.0,226774,211310,1-00445-0018,C4  -WALK-UP,1900.0,43.21,75 EAST 3 STREET,227.68,1-00445-0043,19.13,11046,2264000,3719000,49.31,1900,24,EAST VILLAGE,8847
1-00766-0009,18.75,35.0,670631,798635,1-00770-0051,D1  -ELEVATOR,1920.0,47.21,160 WEST 22 STREET,229.02,1-00791-0050,19.28,37782,6255000,14676000,44.38,2000,53,CHELSEA,32736
1-00827-0068,18.3,77.0,1192245,8913490,1-00850-0039,D8  -ELEVATOR,1927.0,44.17,776 AVENUE OF THE AMERICAS,211.48,1-00823-0047,19.61,65150,8357000,165343000,44.34,2000,13,FLATIRON,29453
1-00896-0039,14.75,12.0,2270304,440683,1-00872-0069,D1  -ELEVATOR,1910.0,46.09,140 EAST 17 STREET,240.56,1-00878-0028,14.79,136191,7435000,7687000,46.37,1910,188,GRAMERCY,32610
1-00564-0054,15.19,180.0,2177218,590940,1-00545-0059,D6  -ELEVATOR,1909.0,49.01,70 EAST 12 STREET,255.58,1-00558-0010,14.07,135315,17121000,18414000,47.12,1987,182,GREENWICH VILLAGE-CENTRAL,37299
1-01117-0019,15.38,20.0,478601,435721,1-01124-0019,D1  -ELEVATOR,1926.0,54.86,56 WEST 65 STREET,323.63,1-01118-0009,13.08,33492,3059000,11118000,53.3,1937,53,UPPER WEST SIDE (59-79),11930
1-01195-0023,15.94,67.0,734611,1658331,1-01216-0051,D1  -ELEVATOR,1929.0,40.69,25 WEST 81 STREET,199.45,1-01211-0052,15.09,46086,6351000,24611000,40.5,1927,36,UPPER WEST SIDE (79-96),37251
1-00475-0046,20.09,40.0,632137,405610,1-00504-0019,D5  -ELEVATOR,1910.0,52.48,508 BROOME STREET,298.31,1-00501-0006,18.78,34944,10328000,6124000,54.82,1900,12,SOHO,20670
1-00790-0040,,,386826,279481,,D7  -ELEVATOR,,63.56,225 WEST 14 STREET,349.29,1-00790-0028,16.04,22998,16917000,6724000,,1928,47,CHELSEA,55233
1-01119-0047,,,1023097,393001,,D1  -ELEVATOR,,52.47,34 WEST 65 STREET,277.94,1-01117-0055,10.42,56245,11118000,8261000,,1939,39,UPPER WEST SIDE (59-79),33312
1-00607-0051,20.2,17.0,261832,204644,1-00622-0067,C4  -WALK-UP,1901.0,54.89,153 WEST 10 STREET,279.05,1-00614-0025,17.29,12962,2594000,4795000,54.56,1910,20,GREENWICH VILLAGE-WEST,6860
1-01146-0008,10.36,12.0,510222,771380,1-01126-0026,D1  -ELEVATOR,1900.0,37.61,10 WEST 74 STREET,218.31,1-01184-0025,10.73,47551,3433000,26865000,38.73,1941,43,UPPER WEST SIDE (59-79),14025
1-00766-0053,13.39,25.0,386760,414903,1-00768-0077,D1  -ELEVATOR,1920.0,41.72,335 WEST 14 STREET,219.85,1-00797-0074,14.65,26400,14676000,7097000,43.32,1900,13,CHELSEA,41423
1-01121-0045,,,369204,279786,,D3  -ELEVATOR,,39.61,133 WEST 71 STREET,228.1,1-01152-0056,9.11,27308,6269000,7607000,,1928,20,UPPER WEST SIDE (59-79),23182
1-00891-0062,9.63,11.0,442842,449728,1-00915-0056,D6  -ELEVATOR,1920.0,37.46,156 EAST 37 STREET,216.45,1-00888-0031,10.81,40966,15825000,7628000,37.32,1924,31,MURRAY HILL,62188
1-00467-0022,16.01,82.0,1040832,223309,1-00445-0055,D6  -ELEVATOR,1910.0,46.21,320 EAST 9 STREET,226.58,1-00452-0002,18.31,56845,34512000,3907000,45.68,1988,84,EAST VILLAGE,121503
1-00875-0055,14.71,35.0,709522,261610,1-00903-0013,D3  -ELEVATOR,1920.0,54.7,206 EAST 17 STREET,318.61,1-00874-0061,16.97,48234,2659000,6521000,53.94,1910,78,GRAMERCY,12492
1-01162-0029,15.98,170.0,6545526,5207300,1-01162-0046,D8  -ELEVATOR,1917.0,56.87,60 WEST 66 STREET,351.83,1-01127-0001,17.3,421205,11879000,96723000,59.4,1974,395,UPPER WEST SIDE (59-79),32956
1-01167-0064,6.61,12.0,260870,88101,1-01185-0047,D1  -ELEVATOR,1910.0,37.21,306 WEST 76 STREET,250.06,1-01186-0083,7.53,39466,28792000,2520000,37.4,1925,22,UPPER WEST SIDE (59-79),134183
1-01128-0052,12.37,12.0,118789,97163,1-01122-0026,C5  -WALK-UP,1920.0,46.27,27 WEST 75 STREET,276.48,1-01145-0034,11.66,9603,2987000,3022000,46.41,1900,13,UPPER WEST SIDE (59-79),10540
1-00722-0022,,,297704,324657,,D1  -ELEVATOR,,45.6,313 WEST 21 STREET,241.23,1-00753-0024,15.84,18700,4191000,4691000,,1938,32,CHELSEA,14900
1-00466-0056,10.04,86.0,156624,135914,1-00462-0035,D1  -ELEVATOR,1996.0,44.5,237 EAST 10 STREET,286.92,1-00466-0016,12.12,15600,4756000,5022000,45.37,1920,22,EAST VILLAGE,13764
1-00528-0033,13.09,20.0,134161,152949,1-00590-0078,C1  -WALK-UP,1900.0,36.28,200 WAVERLY PLACE,218.04,1-00611-0067,8.91,14227,7796000,9997000,35.99,1900,20,GREENWICH VILLAGE-WEST,16968
1-00742-0049,12.52,69.0,274670,279670,1-00719-0020,D1  -ELEVATOR,1930.0,43.84,421 WEST 24 STREET,259.03,1-00738-0015,13.31,22700,7097000,5930000,44.01,1927,34,CHELSEA,28321
1-00898-0021,12.97,27.0,89568,228013,1-00901-0054,D2  -ELEVATOR,1925.0,50.44,217 EAST 22 STREET,291.35,1-00874-0061,13.01,6233,2659000,6529000,49.75,1920,15,GRAMERCY,12492
1-00640-0047,13.06,44.0,336148,287359,1-00624-0044,D1  -ELEVATOR,1965.0,48.62,326 WEST 11 STREET,273.68,1-00588-0071,14.92,22530,17791000,5967000,47.64,1920,47,GREENWICH VILLAGE-WEST,31460
1-00391-0056,12.93,12.0,129093,116720,1-00407-0046,C1  -WALK-UP,1900.0,45.38,509 EAST 12 STREET,253.21,1-00379-0010,13.8,9984,1443000,3431000,44.11,1900,12,ALPHABET CITY,8883
1-00548-0028,15.95,62.0,1604426,2148619,1-00562-0044,D5  -ELEVATOR,1929.0,44.03,752 BROADWAY,242.02,1-00557-0022,14.54,100591,18414000,62127000,45.75,1909,128,GREENWICH VILLAGE-CENTRAL,42000
1-00519-0036,15.98,40.0,528938,308190,1-00504-0019,D7  -ELEVATOR,1910.0,52.17,423 WEST BROADWAY,288.73,1-00488-0037,14.91,33100,6124000,10328000,51.53,1910,41,SOHO,21598
1-01145-0105,10.92,30.0,70223,94794,1-01145-0052,C5  -WALK-UP,1910.0,44.02,118 WEST 73 STREET,239.46,1-01145-0155,12.81,5525,3669000,2403000,41.7,1900,11,UPPER WEST SIDE (59-79),11960
1-00576-0049,18.52,47.0,1098937,1063372,1-00573-0019,D6  -ELEVATOR,1917.0,51.85,55 WEST 11 STREET,286.28,1-00572-0026,16.63,66201,16571000,18288000,44.92,1924,79,GREENWICH VILLAGE-CENTRAL,46137
1-00637-0066,,,752536,185221,,C1  -WALK-UP,,25.41,200 WAVERLY PLACE,100.17,1-00622-0067,10.79,59820,4914000,9997000,,1900,72,GREENWICH VILLAGE-WEST,9050
1-00798-0017,10.68,39.0,539958,492105,1-00771-0068,D1  -ELEVATOR,1920.0,41.22,160 WEST 22 STREET,238.28,1-00772-0016,11.88,45451,3655000,14676000,40.93,2000,15,CHELSEA,14922
1-01120-0014,16.8,71.0,823714,935799,1-01126-0029,D3  -ELEVATOR,1906.0,48.91,468 RIVERSIDE DRIVE,284.67,1-01123-0001,13.86,59431,14117000,10967000,49.6,1910,32,UPPER WEST SIDE (59-79),31992
1-01140-0046,12.64,29.0,1720426,1616495,1-01183-0022,D6  -ELEVATOR,1920.0,45.96,200 WEST 70 STREET,278.24,1-01124-0059,10.1,144331,32059000,45794000,46.44,1926,241,UPPER WEST SIDE (59-79),143791
1-00885-0001,16.74,100.0,1824861,1543605,1-00887-0023,D7  -ELEVATOR,1984.0,45.71,31 EAST 31 STREET,219.28,1-00884-0048,16.87,109012,34532000,24020000,43.74,1914,76,MURRAY HILL,137628
1-00390-0009,,,182969,267570,,C7  -WALK-UP,,26.97,195 AVENUE B,131.37,1-00353-0024,9.91,19548,1200000,5490000,,1910,17,ALPHABET CITY,14497
1-01184-0031,12.77,37.0,8805196,525056,1-01163-0020,D6  -ELEVATOR,1920.0,43.92,244 WEST 74 STREET,250.22,1-01163-0011,13.11,689522,8523000,7054000,43.58,1922,636,UPPER WEST SIDE (59-79),33600
1-00892-0020,19.48,146.0,1209596,1745632,1-00893-0082,D7  -ELEVATOR,1930.0,50.14,150 EAST 39 STREET,260.83,1-00892-0001,19.21,64306,29669000,22824000,49.89,1928,95,MURRAY HILL,115221
1-01166-0001,,,1765424,3569927,,D6  -ELEVATOR,,47.41,135 CENTRAL PARK WEST,266.46,1-01492-0036,16.43,125030,40749000,82036000,,1906,35,UPPER WEST SIDE (59-79),155544
1-00731-0060,9.72,35.0,1259631,1385034,1-01053-0039,D3  -ELEVATOR,1932.0,44.99,440 WEST 34 STREET,271.02,1-01053-0044,11.62,108402,7122000,18661000,44.65,1928,178,JAVITS CENTER,33250
1-00626-0012,16.47,121.0,4522000,855465,1-00642-0004,D5  -ELEVATOR,1987.0,48.27,337 WEST 11 STREET,252.17,1-00635-0042,15.99,262297,14265000,16016000,47.7,1965,261,GREENWICH VILLAGE-WEST,37064
1-00753-0008,14.99,15.0,198475,182218,1-00753-0012,C4  -WALK-UP,1910.0,44.39,346 WEST 30 STREET,251.2,1-00753-0047,15.39,14626,2442000,1072000,46.05,1900,13,CHELSEA,6194
1-00790-0066,14.79,48.0,131631,468452,1-00792-0012,D1  -ELEVATOR,1940.0,54.62,114 WEST 16 STREET,333.03,1-00797-0074,14.31,8900,14676000,6255000,55.79,1939,12,CHELSEA,41423
1-00567-0019,14.47,137.0,1473625,3733694,1-00557-0017,D6  -ELEVATOR,1962.0,52.23,1 UNIVERSITY PLACE,267.68,1-00564-0004,17.05,101840,9230000,62558000,47.43,1930,83,GREENWICH VILLAGE-CENTRAL,43395
1-00574-0039,16.43,55.0,2331039,408159,1-01249-0036,D1  -ELEVATOR,1915.0,45.58,36 LAIGHT STREET,282.22,1-01990-0040,15.28,141877,10967000,7133000,51.18,1900,76,GREENWICH VILLAGE-CENTRAL,67518
1-00636-0022,9.99,47.0,1639471,708096,1-00626-0036,D5  -ELEVATOR,1910.0,44.88,697 GREENWICH STREET,275.65,1-00634-0047,13.83,165436,16016000,14188000,42.72,1979,214,GREENWICH VILLAGE-WEST,53500
1-00387-0015,11.43,12.0,204231,328050,1-00286-0001,C7  -WALK-UP,1900.0,25.6,195 AVENUE B,106.5,1-00353-0024,12.15,17868,1200000,5490000,24.83,1910,24,ALPHABET CITY,14497
1-00590-0011,14.81,35.0,175754,313771,1-00590-0002,C7  -WALK-UP,1920.0,59.88,165 WEST 4 STREET,363.02,1-00590-0033,15.18,11578,3109000,8574000,57.69,1900,22,GREENWICH VILLAGE-WEST,7855
1-00916-0055,,,976438,1745632,,D7  -ELEVATOR,,50.14,150 EAST 39 STREET,283.93,1-00919-0034,19.21,61839,34965000,22824000,,1928,104,MURRAY HILL,111570
1-01043-0002,,,163567,119361,,C7  -WALK-UP,,39.85,365 WEST 50 STREET,204.8,1-01041-0064,11.96,9336,2528000,2261000,,1920,15,MIDTOWN WEST,10250
1-01117-0021,14.61,20.0,444551,410071,1-01124-0019,D1  -ELEVATOR,1926.0,53.56,56 WEST 65 STREET,319.24,1-01118-0009,12.31,32881,3059000,11118000,51.99,1937,54,UPPER WEST SIDE (59-79),11930
1-00416-0022,10.39,19.0,103860,138480,1-00353-0024,C7  -WALK-UP,1930.0,25.35,112 ELDRIDGE STREET,110.11,1-00298-0015,11.54,9000,3747000,2249000,24.59,1909,16,LOWER EAST SIDE,22722
1-00348-0009,9.72,19.0,95113,248806,1-00353-0024,C7  -WALK-UP,1930.0,31.54,58 HESTER STREET,148.8,1-00413-0004,10.95,8750,2249000,3747000,28.44,1900,16,LOWER EAST SIDE,12000
1-00391-0021,13.92,50.0,146446,300951,1-00397-0022,C4  -WALK-UP,1910.0,34.56,374 EAST 10 STREET,160.35,1-00392-0048,14.61,10184,8925000,4696000,33.75,1900,15,ALPHABET CITY,43871
1-00917-0017,15.66,311.0,3204631,300744,1-00913-0001,D1  -ELEVATOR,1972.0,44.7,232 EAST 40 STREET,235.44,1-00919-0042,14.47,204638,55210000,3423000,44.65,1910,286,MURRAY HILL,168555
1-01195-0018,15.43,44.0,4747373,1798562,1-01205-0029,D7  -ELEVATOR,1911.0,41.45,251 CENTRAL PARK WEST,222.69,1-01249-0036,14.03,338373,24791000,30672000,41.84,1925,134,UPPER WEST SIDE (79-96),104942
1-00503-0028,17.76,30.0,396442,376546,1-00503-0015,C7  -WALK-UP,1900.0,54.98,98 THOMPSON STREET,290.12,1-00503-0045,17.77,21360,4527000,9363000,54.27,1900,38,SOHO,17494
1-01183-0032,7.94,134.0,586694,240576,1-01169-0029,D7  -ELEVATOR,1929.0,45.05,251 WEST 71 STREET,290.87,1-01144-0001,7.16,63495,34833000,8523000,44.74,1920,60,UPPER WEST SIDE (59-79),111997
1-00621-0013,10.05,72.0,170709,242869,1-00622-0056,D1  -ELEVATOR,1930.0,50.76,326 WEST 11 STREET,340.04,1-00588-0071,12.61,16986,17791000,5967000,51.92,1920,36,GREENWICH VILLAGE-WEST,31460
1-00637-0081,,,1089600,1111530,,D1  -ELEVATOR,,56.72,772 GREENWICH STREET,315.12,1-00634-0047,15.8,60000,16016000,15629000,,1950,75,GREENWICH VILLAGE-WEST,53500
1-00468-0048,12.67,23.0,76324,135375,1-00469-0046,C1  -WALK-UP,1920.0,51.63,241 EAST 13 STREET,312.42,1-00469-0044,12.74,6024,5796000,4154000,51.14,1900,16,EAST VILLAGE,15096
1-00373-0046,12.98,24.0,237901,323931,1-00385-0055,C4  -WALK-UP,1910.0,26.21,181 EAST 2 STREET,121.19,1-00392-0022,12.36,20076,4696000,1973000,26.93,1910,35,ALPHABET CITY,20599
1-00620-0082,16.87,20.0,259927,253160,1-00590-0078,C1  -WALK-UP,1900.0,42.75,160 WAVERLY PLACE,231.33,1-00590-0060,14.79,18126,2547000,6689000,44.23,1900,24,GREENWICH VILLAGE-WEST,8065
1-00230-0015,10.52,35.0,239115,341550,1-00470-0005,D1  -ELEVATOR,1910.0,43.58,100 SULLIVAN STREET,271.75,1-00506-0016,10.12,23628,13720000,11997000,44.39,1920,12,SOHO,44256
