centername,violationratepercent,inspectiondate,datepermitted
"IRA'S BRIARWOOD DAY CARE & PRESCHOOL, INC.",0.0,2022-04-04T00:00:00.000,2003-10-13T00:00:00.000
NY KIDS CLUB,16.6667,2023-01-19T00:00:00.000,2015-07-07T00:00:00.000
Public Prep Charter School Academies,100.0,2023-01-31T00:00:00.000,
"CLAIRE HEUREUSE COMMUNITY CENTER, INC.",100.0,2022-02-28T00:00:00.000,2021-12-03T16:50:59.000
EVANGELICAL LUTHERAN CHURCH OF OUR SAVIOUR,25.0,2021-06-23T00:00:00.000,2013-09-16T00:00:00.000
YMCA OF GREATER NY,16.6667,2021-06-11T00:00:00.000,1979-01-02T00:00:00.000
ADAPT COMMUNITY NETWORK,50.0,2021-10-27T00:00:00.000,2021-03-22T16:54:25.000
THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,25.0,2022-01-13T00:00:00.000,2004-04-29T00:00:00.000
YOUNGERMUSIK,0.0,2023-03-09T00:00:00.000,2013-10-11T00:00:00.000
"NEW YORK CHILD RESOURCE CEN TER, INC.",25.0,2022-03-25T00:00:00.000,2017-04-10T13:59:00.000
"NORTHEAST BRONX DAY CARE CENTER, INC.",66.6667,2021-09-01T00:00:00.000,2004-04-02T00:00:00.000
OUR LADY OF MOUNT CARMEL SCHOOL,50.0,2021-12-07T00:00:00.000,
INSPIRE KIDS EARLY CHILDHOOD DEVELOPMENT,40.0,2021-06-04T00:00:00.000,2019-08-23T12:00:42.000
"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.",0.0,2021-01-19T00:00:00.000,2006-03-16T00:00:00.000
THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE,0.0,2021-09-27T00:00:00.000,2003-10-24T00:00:00.000
UNITED LUBAVITCHER PRESCHOOL,100.0,2021-12-14T00:00:00.000,
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,66.6667,2022-11-01T00:00:00.000,2022-04-29T11:13:50.000
ZETA BRONX MOUNT EDEN,100.0,2023-02-22T00:00:00.000,
MID-BRONX C C R P HEAD START,,2021-05-13T00:00:00.000,2003-08-06T00:00:00.000
Gan Yisroel of  Crown Heights,25.0,2020-07-24T00:00:00.000,2019-07-02T09:35:44.000
ST.FRANCIS DE SALES SCHOOL FOR THE DEAF.,100.0,2023-01-06T00:00:00.000,
SUNSHINE LEARNING CENTER,0.0,2022-12-14T00:00:00.000,2004-12-20T00:00:00.000
MAGIC YEARS DAYCARE CENTER CORP,50.0,2021-08-05T00:00:00.000,2008-10-24T00:00:00.000
JHELC INC.,0.0,2023-03-16T00:00:00.000,2022-08-24T12:14:19.000
THE HUDSON GUILD,0.0,2023-03-28T00:00:00.000,2004-03-24T00:00:00.000
"GKO GROUP, INC.",,2022-02-03T00:00:00.000,2004-06-02T00:00:00.000
MID BRONX CCRP EARLY CHILDHOOD CENTER,,2022-11-10T00:00:00.000,2012-10-25T00:00:00.000
BYFSOAY,0.0,2023-02-02T00:00:00.000,2011-01-24T00:00:00.000
LAC EARLY CHILDHOOD CENTER,0.0,2021-10-28T00:00:00.000,2017-10-11T19:06:43.000
THE NURTURING ACADEMY  INFANT/TODDLER,33.3333,2022-02-17T00:00:00.000,2010-11-17T00:00:00.000
DREAM TREES LEARNING CENTER,20.0,2022-03-02T00:00:00.000,2017-03-23T13:17:19.000
STRONG PLACE FOR HOPE DAY CARE,16.6667,2021-07-21T00:00:00.000,2012-09-27T00:00:00.000
BSDC INC,0.0,2022-12-21T00:00:00.000,2022-10-03T09:35:24.000
MOTT HAVEN ACADEMY CHARTER SCHOOL,50.0,2022-01-27T00:00:00.000,
"CLAIRE HEUREUSE COMMUNITY CENTER, INC.",100.0,2022-12-21T00:00:00.000,2021-12-03T16:50:59.000
CHARLES R. DREW EARLY LEARNING CENTER,75.0,2021-06-23T00:00:00.000,2003-08-25T00:00:00.000
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,25.0,2022-07-01T00:00:00.000,2004-07-15T00:00:00.000
THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,66.6667,2021-11-10T00:00:00.000,
LITTLE MISSIONARY'S DAY NURSERY,0.0,2022-02-18T00:00:00.000,2004-11-08T00:00:00.000
ASPIRING MINDS DC LLC,40.0,2020-11-12T00:00:00.000,2019-05-02T13:42:10.000
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",20.0,2023-02-24T00:00:00.000,2009-11-17T00:00:00.000
BETH JACOB JEWISH EDUCATIONAL CENTER,33.3333,2022-08-12T00:00:00.000,2019-06-05T15:17:49.000
BILLY MARTIN CHILD DEVELOPMENT CENTER,50.0,2021-04-23T00:00:00.000,2004-03-30T00:00:00.000
FRIENDS OF CROWN HEIGHTS EDUCATION CENTER,0.0,2022-10-11T00:00:00.000,2009-07-01T00:00:00.000
ABR Prospect LLC,40.0,2022-10-07T00:00:00.000,2021-09-03T15:42:19.000
OUR LADY STAR OF THE SEA PRESCHOOL,0.0,2022-03-16T00:00:00.000,
THE CALHOUN SCHOOL,50.0,2021-11-10T00:00:00.000,
LUMINOUS CHILD CARE,100.0,2023-03-10T00:00:00.000,2021-12-10T10:28:46.000
LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK,,2021-08-17T00:00:00.000,2012-10-24T00:00:00.000
"HANSON PLACE CHILD DEVELOPMENT CENTER, INC",0.0,2023-04-19T00:00:00.000,2005-03-31T00:00:00.000
"CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC.",40.0,2022-08-26T00:00:00.000,2005-01-26T00:00:00.000
PS OF THE ARTS,16.6667,2021-10-14T00:00:00.000,2014-09-05T00:00:00.000
