legalname,facilitytype,violationcategory,totaleducationalworkers,status
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,GDC,,4,Permitted
"SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS, INC.",GDC,,10,Permitted
CHURCH OF SAINT LUKE IN THE FIELD,SBCC,PUBLIC HEALTH HAZARD,0,Active
NORTHSTAR CHILDCARE LLC,GDC,CRITICAL,12,Permitted
"STEPPING STONE OF SOUTH EASTERN QUEENS, INC.",SBCC,GENERAL,4,Active
FIDELIS EARLY CHILDHOOD CENTER LLC,GDC,,9,Permitted
"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",GDC,,10,Permitted
"BRONX DAY CARE CENTER, INC.",GDC,,4,Permitted
TUTOR TIME LEARNING CENTERS LLC,GDC,,18,Permitted
XCEL TINY TOTS INC.,GDC,,15,Permitted
"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",GDC,,7,Permitted
SUNSHINE LC OF JACKSON AVE LLC,GDC,,15,Permitted
"PNW ENTERPRISES, LLC",GDC,,19,Permitted
"BOOKS & RATTLES, INC.",GDC,CRITICAL,23,Permitted
NYC EARLY LEARNING COMPANY INC.,GDC,CRITICAL,3,Permitted
WE R EXPLORERS LLC,GDC,CRITICAL,11,Permitted
"GRAND STREET SETTLEMENT, INC.",GDC,,11,Expired-In Renewal
"CENTER OF EXCELLENCE SPRINGFIELD GARDENS, INC.",GDC,,17,Permitted
"THE COLLEGE OF STATEN ISLAND ASSOCIATION, INC.",GDC,,9,Permitted
"The Rabbinical Committee of Brownstone Brooklyn (Chabad of Park Slope), Inc.",GDC,,18,Permitted
82ND STREET  ACADEMICS INC,GDC,GENERAL,59,Permitted
"CHABAD OF GRAMERCY PARK, INC.",GDC,CRITICAL,4,Permitted
Kochavim Ktanim Child Care Inc,GDC,GENERAL,2,Permitted
JOYFUL TOTS DAYCARE CENTER INC,GDC,,4,Permitted
"SUNSHINE LEARNING CENTER,INC.",GDC,,27,Permitted
"IMAGINE EARLY LEARNING CENTERS,LLC.",GDC,CRITICAL,7,Permitted
NYC Early Learning Compan y Inc,GDC,PUBLIC HEALTH HAZARD,9,Expired-In Renewal
"THESE OUR TREASURES, INC.",GDC,GENERAL,16,Permitted
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,GDC,,17,Permitted
"BILINGUAL NEST, LLC",GDC,GENERAL,7,Permitted
HAPPY LITTLE BEAR DAY CARE LLC,GDC,GENERAL,6,Permitted
GIFTED KIDDIES INC,GDC,,2,Permitted
"LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC",GDC,,3,Permitted
"NORTHEAST BRONX DAY CARE CENTER, INC.",GDC,CRITICAL,11,Permitted
ABC EARLY CHILDHOOD CENTER INC.,GDC,,3,Permitted
BROOKLYN FRIENDS SCHOOL PRESCHOOL,SBCC,GENERAL,14,Active
THE MONTESSORI IN SOHO LLC,GDC,,9,Permitted
"YESHIVAT BETH HILLEL OF KRASNA, INC.",SBCC,CRITICAL,7,Active
"HAPPY DRAGON OF NEW YORK, INC",GDC,,14,Permitted
SEMILLITAS CORP.,GDC,,4,Permitted
"TUTOR TIME LEARNING CENTERS,LLC",GDC,,13,Permitted
SHINING SMILES DAYCARE I INC.,GDC,,15,Permitted
BRIGHT HORIZONS CHILDREN'S CENTER LLC,GDC,GENERAL,8,Permitted
THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,SBCC,GENERAL,7,Active
"THE EDUCATIONAL ALLIANCE, INC'",GDC,GENERAL,21,Permitted
WE R EXPLORERS LLC,GDC,,11,Permitted
LA ESCUELITA DE SOFIA,GDC,CRITICAL,4,Permitted
THE MADISON AVENUE PRESBYTERIAN CHURCH,GDC,,24,Permitted
RIVERDALE TEMPLE,GDC,GENERAL,25,Expired-In Renewal
ST. MARY'S HOSPITAL FOR CHILDREN,GDC,,28,Permitted
"STRONG PLACE DAY CARE CENTER, INC.",GDC,CRITICAL,13,Expired-In Renewal
THE HUDSON GUILD,GDC,,12,Expired-In Renewal
"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC.",GDC,CRITICAL,29,Permitted
"M AND N CHILD CARE, INC.",GDC,,4,Permitted
YOUNG RISES LLC,GDC,,2,Permitted
"RAVEN EARLY CHILDHOOD EDUCATION CENTER, INC.  DBA RAVEN DAY CARE",SBCC,GENERAL,5,Active
THE CHILD STUDY CENTER OF NEW YORK,GDC,,24,Expired-In Renewal
SAAG ASTORIA INC.,GDC,GENERAL,12,Permitted
"OUR CHILDREN FIRST, INC",GDC,CRITICAL,14,Expired-In Renewal
GODDARD RIVERSIDE COMMUNITY CENTER,GDC,,7,Expired-In Renewal
TEACHERS COLLEGE,GDC,,7,Permitted
"THE PICKWICK SCHOOL, INC.",GDC,CRITICAL,6,Permitted
"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",GDC,GENERAL,12,Permitted
"HAMILTON MADISON HOUSE, INC.",GDC,,6,Permitted
"BOOKS & RATTLES,INC.",GDC,GENERAL,11,Permitted
BOULEVARD NURSERY SCHOOL,GDC,CRITICAL,9,Permitted
AMALGAMATED NURSERY SCHOOL,GDC,CRITICAL,11,Permitted
LUMINOUS MORRIS LLC,GDC,PUBLIC HEALTH HAZARD,20,Permitted
"KIDZ VILLAGE,LLC",GDC,GENERAL,8,Permitted
RENAISSANCE VILLAGE LLC.,GDC,CRITICAL,9,Expired-In Renewal
"QUEENS COUNTY EDUCATORS FOR TOMORROW,INC",GDC,GENERAL,30,Permitted
"T, LLC",GDC,PUBLIC HEALTH HAZARD,6,Permitted
STEPPING STONES 86 LLC,Camp,,0,Permitted
"STEP BY STEP EARLY CHILDHOOD CENTER, INC.",GDC,,13,Permitted
"EDEN II SCHOOL FOR AUTISTIC CHILDREN, INC.",GDC,,22,Expired-In Renewal
"THE HAITIAN-AMERICANS UNITED FOR PROGRESS, INC.",GDC,CRITICAL,3,Permitted
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,GDC,GENERAL,7,Permitted
ST. HELENA SCHOOL,SBCC,GENERAL,22,Active
LUMINOUS MORRIS LLC,GDC,PUBLIC HEALTH HAZARD,20,Permitted
ASCENSION SCHOOL,SBCC,GENERAL,1,Active
NEW YORK CITY MONTESSORI CHARTER SCHOOL,SBCC,CRITICAL,10,Active
OUR KIDS PLACE COUNTRY DAY INC,GDC,,19,Permitted
"LA PENINSULA COMMUNITY ORGANIZATION, INC.",GDC,GENERAL,10,Permitted
MAGIC KINGDOM LLC.,GDC,,11,Expired-In Renewal
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,GDC,PUBLIC HEALTH HAZARD,6,Permitted
"TOLENTINE ZEISER COMMUNITY LIFE CENTER,INC.",GDC,PUBLIC HEALTH HAZARD,15,Expired-In Renewal
BlueSky DayCare Center LLC,GDC,,3,Expired-In Renewal
SIMCHE KINDER INC.,GDC,GENERAL,7,Permitted
SHINING SMILES DAYCARE 1 INC,GDC,,11,Permitted
"RISING GROUND, INC.",GDC,PUBLIC HEALTH HAZARD,13,Permitted
"READY, SET, GROW! CHILD CARE CENTER L.L.C.",GDC,PUBLIC HEALTH HAZARD,7,Permitted
TEACHERS COLLEGE,GDC,,18,Permitted
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,GDC,GENERAL,11,Permitted
DREAMLAND DAY CARE CENTER INC.,GDC,CRITICAL,7,Permitted
"SY SEIT, LLC",GDC,PUBLIC HEALTH HAZARD,6,Permitted
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,GDC,PUBLIC HEALTH HAZARD,6,Permitted
"NYC EARLY LEARNING COMPANY, INC",GDC,GENERAL,69,Permitted
"C'E MONTESSORI, LLC.",GDC,GENERAL,10,Expired-In Renewal
MOST HOLY REDEEMER CATHOLIC ACADEMY,SBCC,CRITICAL,19,Active
"LIFE ADJUSTMENT CENTER, INC.",GDC,,5,Permitted
JACKSON CHILD DEVELOPMENT CENTER,GDC,GENERAL,23,Permitted
"URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",GDC,PUBLIC HEALTH HAZARD,12,Expired-In Renewal
"THE RED BALLOON DAY CARE CENTER, INC.",GDC,,7,Permitted
"N EW YORK CHILD RESOURCE CENTER, INC.",GDC,,18,Expired-In Renewal
"JACKSON CHILDREN'S SERVICES, INC.",GDC,GENERAL,7,Permitted
SEVENTH AVENUE CENTER FOR FAMILY SERVICES,GDC,,6,Permitted
"BLENDED FAMILY, LLC",GDC,,7,Permitted
"SHIRLEY CHISHOLM DAY CARE CENTER, INC.",GDC,,5,Permitted
JOY DAYCARE INC.,GDC,,12,Permitted
"GKO GROUP, INC.",GDC,,11,Permitted
"THE HAITIAN-AMERICANS UNITED FOR PROGRESS, INC.",GDC,CRITICAL,3,Permitted
BEGINNINGS NURSERY SCHOOL,GDC,CRITICAL,27,Permitted
"NORTHEAST BRONX DAY CARE CENTER,INC.",GDC,GENERAL,15,Permitted
"CREATIVE LEARNING CLUBHOUSE, INC.",GDC,GENERAL,3,Permitted
ASSOCIATION TO BENEFIT CHILDREN,GDC,CRITICAL,15,Permitted
UNITED LUBAVITCHER YESIVOTH,SBCC,GENERAL,6,Active
"COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER, INCORPORATED",GDC,,17,Permitted
"SHIRLEY CHISHOLM DAY CARE CENTER,INC",GDC,,21,Expired-In Renewal
ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),GDC,PUBLIC HEALTH HAZARD,7,Permitted
"BRITE ADVENTURE CENTER, INC.",GDC,,16,Permitted
"SUNNY WORLD DAYCARE, CORP",GDC,,15,Permitted
BRIGHT BEGINNINGS NYC LLC,GDC,GENERAL,6,Permitted
KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,GDC,,10,Permitted
"LITTLE EXPLORERS,INC.",GDC,,2,Permitted
Yash Child Care Corp,GDC,,12,Permitted
OUR LITTLE ANGELS CORP,GDC,,7,Permitted
JHELC INC.,GDC,,9,Permitted
GREAT EXPECTATIONS HOLDING CORP,GDC,GENERAL,11,Permitted
"TUTOR TIME LEARNING CENTERS,LLC",GDC,,13,Permitted
WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,GDC,,32,Expired-In Renewal
Achdus Yisroel,GDC,,3,Permitted
BRIGHT FUTURE KIDDIE4 LLC,GDC,CRITICAL,9,Permitted
"NYC EARLY LEARNING COMPANY, INC.",GDC,,11,Permitted
dREATIVE DISCOVERY PRE-SCHOOL INC,GDC,GENERAL,7,Permitted
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,GDC,,15,Permitted
ASSOCIATION TO BENEFIT CHILDREN,GDC,,29,Permitted
"RIVERDALE CHILDCARE EXPERIENCE, LLC",GDC,GENERAL,26,Permitted
SUNSHINE DAY CARE OF MOTT HAVEN,GDC,,8,Permitted
UNITED LUBAVITCHER YESIVOTH,SBCC,GENERAL,6,Active
"SY SEIT, LLC",GDC,PUBLIC HEALTH HAZARD,6,Permitted
"IVY UNITED USA, INC.",GDC,CRITICAL,28,Permitted
"ACTION NURSERY, INC.",GDC,,5,Expired-In Renewal
"CHOO CHOO TRAIN DAYCARE, INC",GDC,,6,Permitted
"BLENDED FAMILY, LLC",GDC,,7,Permitted
"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",GDC,GENERAL,30,Permitted
BAI S YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,GDC,,16,Expired-In Renewal
"AUNTY JEANS PLACE, INC",GDC,PUBLIC HEALTH HAZARD,10,Permitted
"TINY TUNES DAYCARE EVERGREEN, INC.",GDC,,11,Permitted
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,GDC,,19,Permitted
"STAR PARADISE, INC.",GDC,CRITICAL,16,Permitted
"ROCHDALE VILLAGE NURSERY SCHOOL,INC.",GDC,,5,Permitted
YESHIVA & MESIVTA TORAS EMES KAMENITZ,SBCC,GENERAL,4,Active
ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),GDC,PUBLIC HEALTH HAZARD,7,Permitted
"INSPIRE KIDS EARLY LEARNING CENTER, LLC",GDC,,12,Permitted
"YEARLING NURSERY SCHOOL, INC.",GDC,,9,Permitted
"TREMONT CROTONA DAY CARE CENTER,INC.",GDC,CRITICAL,7,Expired-In Renewal
CHILDREN'S ALL DAY SCHOOL,GDC,GENERAL,14,Permitted
ST. HELENA SCHOOL,SBCC,GENERAL,22,Active
Chabad of Gramercy Park,GDC,GENERAL,3,Permitted
Sunshine Center of Coney Island LLC,GDC,,9,Permitted
"SMALL WONDER PRESCHOOL,INC.",GDC,GENERAL,17,Permitted
"RAVEN EARLY CHILDHOOD EDUCATION CENTER, INC.  DBA RAVEN DAY CARE",SBCC,GENERAL,5,Active
RENANIM MANHATTAN INC.,GDC,GENERAL,4,Expired-In Renewal
ST. JOHN'S ENGLISH EVANGELICAL LUTHERAN CHURCH OF RICHMOND HILL,GDC,CRITICAL,5,Permitted
"Teeny Tiny Toes, LLC",GDC,,5,Permitted
PERRY KIDS INC.,GDC,GENERAL,5,Expired-In Renewal
LUMINOUS MORRIS LLC,GDC,PUBLIC HEALTH HAZARD,20,Permitted
STILLWELL AVENUE INC.,GDC,CRITICAL,6,Permitted
Athena Scholars Inc.,GDC,,3,Permitted
"CHILDREN OF AMERICA QUEENS, LLC",GDC,GENERAL,8,Permitted
CHABAD LUBAVITCH OF STATEN ISLAND,SBCC,,1,Active
CORLEARS SCHOOL,GDC,GENERAL,5,Permitted
"NYC EARLY LEARNING COMPANY, INC",GDC,GENERAL,28,Permitted
EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.,GDC,GENERAL,10,Expired-In Renewal
"A HOUSE ON BEEKMAN, INC.",GDC,GENERAL,8,Permitted
"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK, INC.",GDC,CRITICAL,13,Expired-In Renewal
"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC.",GDC,,14,Permitted
JACKSON CHILD DEVELOPMENT CENTER,GDC,GENERAL,23,Permitted
gan yisroel of crown heights,Camp,GENERAL,0,Expired-In Renewal
OUR LITTLE ANGsLS CORP,GDC,,7,Permitted
"NYC EARLY LEARNING COMPANY, INC",GDC,CRITICAL,69,Permitted
BRONX STARBRIGHT INC.,GDC,,2,Permitted
THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,SBCC,GENERAL,7,Active
PROSPECT PARK YESHIVA,SBCC,PUBLIC HEALTH HAZARD,36,Active
HEARTSHARE HUMAN SERVICES OF NEW YORK,GDC,CRITICAL,43,Permitted
ST. MEL'S CATHOLIC ACADEMY,SBCC,GENERAL,17,Active
Project Social Care Head Start,GDC,,12,Expired-In Renewal
"SHIELD OF DAVID, INC.",GDC,CRITICAL,33,Permitted
"RENA DAY CARE CENTERS, INC.",GDC,CRITICAL,8,Expired-In Renewal
"ALL SEASONS A & C DAY CARE, LLC",GDC,GENERAL,9,Permitted
WELLSPRING ELEMENTARY-NYC MUSLIM CENTER,SBCC,GENERAL,7,Active
HAWTHORNE CORNERa DAY CARE CENTER INC.,GDC,GENERAL,9,Permitted
High Five Daycare Inc.,GDC,,4,Permitted
"3467 READY, SET, LEARN, L L C",GDC,,17,Permitted
"PLATINUM DAYCARE, INC.",GDC,CRITICAL,2,Permitted
"Kids in the Game, LLC",Camp,GENERAL,0,Expired-In Renewal
"ELITE MINDS, INC.",GDC,GENERAL,6,Permitted
Inner Force Tots Inc.,GDC,GENERAL,9,Permitted
 DAY CARE AND PRESCHOOL I,GDC,GENERAL,11,Permitted
SHEMTOV KINDER INC.,GDC,PUBLIC HEALTH HAZARD,26,Permitted
SIDI INC.,GDC,PUBLIC HEALTH HAZARD,2,Permitted
ROOSEVELT ISLAND DAY NURSERY,GDC,,8,Expired-In Renewal
"SUNSHINE LC OF MORRIS AVENUE, LLC",GDC,GENERAL,12,Permitted
"ELITE EARLY CHILDHOOD LEARNING CENTER, INC.",GDC,CRITICAL,4,Expired-In Renewal
UNIVERSITY SETTLEnENT SOCIETY OF NEW YORK,GDC,,22,Permitted
THE ROCKEFELLER UNIVERSITY,GDC,,20,Permitted
"A TO Z CENTER TOO, INC.",GDC,GENERAL,24,Permitted
BSDC INC,GDC,GENERAL,6,Permitted
"NORTHEAST BRONX DAY CARE CENTER,INC.",GDC,GENERAL,15,Permitted
