dc_id,phone,centername,inspectionsummaryresult,actual,building,averagetotaleducationalworkers,agerange,street,violationavgratepercent,borough
DC41663,929-424-3013,JHELC INC.,Initial Annual Inspection - Passed inspection with no violations,Y,10917,11.9769,2 YEARS - 5 YEARS,46TH AVE,21.905,QUEENS
DC2451,718-322-9080,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,Initial Annual Inspection - Reinspection Required; Fines pending,N,112-06,11.9769,2 YEARS - 5 YEARS,SUTPHIN BOULEVARD,21.905,QUEENS
DC25116,718-229-6400,LEADING KIDS PRESCHOOL,,Y,44-07,11.9769,2 YEARS - 5 YEARS,LITTLE NECK PARKWAY,21.905,QUEENS
DC38262,212-641-0260,KIDS IN THE GAME LLC,Compliance Inspection of Open Violations - Previously cited violations corrected,Y,4,1.0,0 YEARS - 16 YEARS,East  90  Street,26.8868,MANHATTAN
DC200 47,718-346-3470,CHILDREN'S CORNER,,Y,565,11.9769,2 YEARS - 5 YEARS,LIVONIA AVENUE,21.905,BROOKLYN
DC1812,718-863-4925,"THESE OUR TREASURES, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,N,2778,11.9769,2 YEARS - 5 YEARS,BRUCKNER BOULEVARD,21.905,BRONX
DC35466,917-825-8763,"BILINGUAL NEST, LLC",Initial Annual Inspection - Passed inspection with no violations,Y,300,8.4034,0 YEARS - 2 YEARS,MANHATTAN AVENUE,17.4391,MANHATTAN
DC32914,718-708-5884,THE LEARNING EXPERIENCE,,Y,3210,11.9769,2 YEARS - 5 YEARS,Riverdale Avenue,,BRONX
DC38100,212-641-0260,INTERNATIONAL ACADEMY OF NEW YORK,Initial Annual Inspection - Reinspection Not Required,Y,4,11.9769,2 YEARS - 5 YEARS,EAST   90 STREET,21.905,MANHATTAN
DC20809,718-435-5111,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,Initial Annual Inspection - Passed inspection with no violations,Y,1169,8.4034,0 YEARS - 2 YEARS,43RD STREET,17.4391,BROOKLYN
DC40902,347-427-3642,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,Initial Annual Inspection - Reinspection Required; Fines pending,Y,3511,11.9769,2 YEARS - 5 YEARS,CAMBRIDGE AVE,21.905,BRONX
DC2757,718-465-3252,THE EVANGELICAL LUTHERAN CHURCH OF THE REDEEMER,Initial Annual Inspection - Reinspection Required; Fines pending,Y,92-10,11.9769,2 YEARS - 5 YEARS,217 STREET,21.905,QUEENS
DC34781,917-478-2511,ABR Prospect LLC,Compliance Inspection of Open Violations - Reinspection Required; Fines pending,Y,243,11.9769,,St. Marks  Avenue,21.905,BROOKLYN
DC2128,718-205-1919,"JACKSON CHILD DEVELOPMENT CENTER, INC.",Initial Annual Inspection - Reinspection Required,N,31-36,11.9769,2 YEARS - 5 YEARS,88 STREET,21.905,QUEENS
DC2329,718-225-6750,COMMONPOINT QUEENS,Initial Annual Inspection - Passed inspection with no violations,N,58-20,11.9769,2 YEARS - 5 YEARS,LITTLE NECK PARKWAY,21.905,QUEENS
DC10483,718-347-7377,OUR LITTLE ANGELS CORP!,Initial Annual Inspection - Passed inspection with no violations,N,86-29,11.9769,2 YEARS - 5 YEARS,COMMONWEALTH BLVD,21.905,QUEENS
DC17506,718-229-2829,KIDDIE ACADEMY OF LITTLE NECK,Initial Annual Inspection - Passed inspection with no violations,Y,252-20,11.9769,2 YEARS - 5 YEARS,NORTHERN BOULEVARD,21.905,QUEENS
DC2,718-225-4826,HOLY MARTYRS,Initial Annual Inspection - Passed inspection with no violations,,209-15,8.0094,2 YEARS - 5 YEARS,HORACE HARDING EXPRESSWAY,45.1817,QUEENS
DC36858,917-833-2863,THE LEARNING EXPERIENCE,Initial Annual Inspection - Passed inspection with no violations,Y,339,11.9769,2 YEARS - 5 YEARS,GREENE AVENUE,21.905,BROOKLYN
DC28 2,718-892-3234,ST. HELENA SCHOOL,Initial Annual Inspection - Reinspection Required,,2050,8.0094,3 YEARS - 5 YEARS,BENEDICT AVENUE,45.1817,BRONX
DC10950,212-674-9120,"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK, INC.",Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,N,184,11.9769,2 YEARS - 5 YEARS,ELDRIDGE STREET,21.905,MANHATTAN
DC2,718-205-1919,"JACKSON CHILD DEVELOPMENT CENTER, INC.",Initial Annual Inspection - Reinspection Required,N,31-36,11.9769,2 YEARS - 5 YEARS,88 STREET,21.905,QUEENS
DC11087,212-746-6543,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",Initial Annual Inspection - Passed inspection with no violations,N,435,11.9769,2 YEARS - 5 YEARS,EAST 70 STREET,21.905,MANHATTAN
DC35229,718-585-0600,NYCRCI,Initial Annual Inspection - Passed inspection with no violations,Y,433,11.9769,2 YEARS - 5 YEARS,E 148TH ST,21.905,BRONX
DC12225,718-442-8588,THE CHILD STUDY CENTER OF NEW YORK,Initial Annual Inspection - Passed inspection with no violations,Y,285,11.9769,2 YEARS - 5 YEARS,CLOVE ROAD,21.905,STATEN ISLAND
DC38537,646-404-2106,"sy seit, llc",Initial Annual Inspection - Reinspection Required; Fines pending,Y,35-10,11.9769,,156 STREET,21.905,QUEENS
DC14339,212-682-8080,EVERBROOK ACADEMY,Initial Annual Inspection - Passed inspection with no violations,N,225,11.9769,2 YEARS - 5 YEARS,EAST 38 STREET,21.905,MANHATTAN
DC1,212-752-4566,CHILDREN'S ALL DAY SCHOOL,Initial Annual Inspection - Passed inspection with no violations,N,109,11.9769,2 YEARS - 5 YEARS,EAST 60 STREET,21.905,MANHATTAN
DC10993,917-502-0685,CREATIVE DISCOVERY PRE-SCHOOL%,Initial Annual Inspection - Reinspection Required; Fines pending,N,64-01,11.9769,2 YEARS - 5 YEARS,102 STREET,21.905,QUEENS
DC2161,212-760-9830,THE HUDSON GUILD,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,N,459,11.9769,2 YEARS - 5 YEARS,WEST 26 STREET,21.905,MANHATTAN
DC747,718-443-3917,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,Initial Annual Inspection - Passed inspection with no violations,N,1419-23,11.9769,2 YEARS - 5 YEARS,BROADWAY,21.905,BROOKLYN
DC22832,718-690-9466,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,,Y,295,11.9769,2 YEARS - 5 YEARS,WEST 231ST STREET,,BRONX
DC15136,718-742-0082,LA CASITA  I I I  PRESCHOOL,Initial Annual Inspection - Reinspection Required,N,607,11.9769,2 YEARS - 5 YEARS,PROSPECT AVENUE,21.905,BRONX
DC32060,718-480-0100,JEWISH INSTITUTE OF QUEENS PRESCHOOL,Initial Annual Inspection - Reinspection Required; Fines pending,,64-41,8.0094,3 YEARS - 5 YEARS,UTOPIA PKWY.,45.1817,QUEENS
DC31900,718-943-3155,Memorial 5 Camp,Initial Annual Inspection - Reinspection Required; Fines pending,N,8353,1.0,0 YEARS - 16 YEARS,MANTON STREET,26.8868,QUEENS
DC14482,718-376-5959,PROSPECT PARK YESHIVA,Initial Annual Inspection - Reinspection Required,,1784,8.0094,2 YEARS - 5 YEARS,EAST 17TH STREET,45.1817,BROOKLYN
DC12129,718-444-5800,"TALMUD TORAH OF CROWN HEIGHTS, INC.",Initial Annual Inspection - Reinspection Required,,6363,8.0094,3 YEARS - 5 YEARS,AVENUE U,45.1817,BROOKLYN
DC11744,718-604-4400,MARY BOBB LEARNING ACADEMY,Initial Annual Inspection - Passed inspection with no violations,Y,1187,11.9769,2 YEARS - 5 YEARS,NOSTRAND AVENUE,21.905,BROOKLYN
DC41106,929-337-1500,WORLD EXPLORERS GROUP,Initial Annual Inspection - Reinspection Required,Y,314,1.0,0 YEARS - 16 YEARS,PACIFIC ST,26.8868,BROOKLYN
DC22832,718-690-9466,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,,Y,295,11.9769,2 YEARS - 5 YEARS,WEST 231ST STREET,,BRONX
DC14261,212-877-4050,STEPHEN WISE FREE SYNAGOGUE,Initial Annual Inspection - Passed inspection with no violations,N,30,8.4034,0 YEARS - 2 YEARS,WEST 68TH STREET,17.4391,MANHATTAN
DC38173,718-896-4444,BETH JACOB JEWISH EDUCATIONAL CENTER,Initial Annual Inspection - Reinspection Required; Fines pending,Y,10235,1.0,0 YEARS - 16 YEARS,63RD RD,26.8868,QUEENS
DC12284,718-352-8972,"KOG INDUSTRIES, INC.",Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,N,61-58,11.9769,2 YEARS - 5 YEARS,SPRINGFIELD BOULEVARD,21.905,QUEENS
DC23754,718-442-7740,"FOR THE CITY, INC.",Initial Annual Inspection - Reinspection Required,N,634,1.0,0 YEARS - 16 YEARS,Clove Road,26.8868,STATEN ISLAND
DC34674,718-777-2347,"BRIGHT START CHILD LEARNING CENTER, INC.",Initial Annual Inspection - Passed inspection with no violations,Y,23-88,8.4034,0 YEARS - 2 YEARS,31st Street,17.4391,QUEENS
DC282,718-892-3234,ST. HELENA SCHOOL,Initial Annual Inspection - Reinspection Required,,2050,8.0094,3 YEARS - 5 YEARS,BENEDICT AVENUE,45.1817,BRONX
DC20062,718-665-1234,"3467 READY, SET,  LEARN L L C",,Y,3463-67,11.9769,2 YEARS - 5 YEARS,3 AVENUE,,BRONX
DC41829,718-440-9919,BSDC INC,Initial Annual Inspection - Reinspection Not Required,Y,66-07,8.4034,0 YEARS - 2 YEARS,ALDERTON STREET,17.4391,QUEENS
DC39853,718-303-9400,EIS LAASOIS CHILD DEVELOPMENT SERVICES,,Y,6202,11.9769,2 YEARS - 5 YEARS,15TH AVE,21.905,BROOKLYN
DC36360,718-673-6371,BRONX STARBRIGHT DAYCARE,,Y,2940,8.4034,0 YEARS - 2 YEARS,East 194 Street,17.4391,BRONX
DC14236,718-655-5361,"J.A.D.E. MULTI  FAMILY CIRCLE CENTER,  INC.",,N,3471,11.9769,2 YEARS - 5 YEARS,FENTON AVENUE,,BRONX
DC15291,718-399-3979,CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS ( I/T),Initial Annual Inspection - Passed inspection with no violations,N,852,8.4034,0 YEARS - 2 YEARS,CLASSON AVENUE,17.4391,BROOKLYN
DC34781,917-478-2511,ABR Prospect LLC,Initial Annual Inspection - Reinspection Required; Fines pending,Y,243,11.9769,,St. Marks  Avenue,21.905,BROOKLYN
DC16968,718-238-4637,HEARTSHARE HUMAN SERVICES OF NEW YORK,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,Y,1825,11.9769,2 YEARS - 5 YEARS,BATH AVENUE,21.905,BROOKLYN
DC33188,718-464-5606,PARSONS PRESCHOOL,Initial Annual Inspection - Passed inspection with no violations,Y,85-27,11.9769,2 YEARS - 5 YEARS,91 STREET,21.905,QUEENS
DC14403,212-749-0291,"CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC.",Monitoring Inspection Non-Routine - Passed inspection with no violations,N,125,11.9769,2 YEARS - 5 YEARS,WEST 109 STREET,21.905,MANHATTAN
DC38173,718-896-4444,BETH JACOB JEWISH EDUCATIONAL CENTER,Initial Annual Inspection - Reinspection Required; Fines pending,Y,10235,1.0,0 YEARS - 16 YEARS,63RD RD,26.8868,QUEENS
DC21878,718-858-8111,"BUBBLE BEES DAYCARE, LLC.",Initial Annual Inspection - Reinspection Required; Fines pending,Y,76,8.4034,0 YEARS - 2 YEARS,LORRAINE STREET,17.4391,BROOKLYN
DC21163,718-237-4500,YESHIVA ARUGATH HABOSEM,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection,,40,8.0094,2 YEARS - 5 YEARS,LYNCH STREET,45.1817,BROOKLYN
DC36182,718-654-0563,"CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,Y,3450,11.9769,2 YEARS - 5 YEARS,DEKALB AVENUE,21.905,BRONX
DC39735,718-630-1000,STEPPING STONES,Initial Annual Inspection - Passed inspection with no violations,Y,245,1.0,2 YEARS - 5 YEARS,86th Street,26.8868,BROOKLYN
DC38402,718-680-9751,Adapt Community Network,Compliance Inspection of Open Violations - Reinspection Not Required,Y,420,11.9769,2 YEARS - 5 YEARS,95 STREET,21.905,BROOKLYN
