tree_id,latitude,longitude,y_sp,x_sp,zip_city,block_id,steward,st_senate,st_assem,trnk_other,state,trnk_light,curb_loc,council_district,bin,spc_latin,status,boroname,stump_diam,address,zipcode,cncldist
180435,40.70095558,-73.8918285,194672.0041,1014243.447,Ridgewood,344467,1or2,12,38,No,New York,No,OnCurb,30.0,4086901.0,Ginkgo biloba,Alive,Queens,0,64-016 MYRTLE AVENUE,11385,30
165601,40.7173467,-73.83453669,200668.5849,1030117.839,Forest Hills,348313,,14,27,No,New York,No,OnCurb,29.0,4052736.0,Acer platanoides,Alive,Queens,0,112-001 76 ROAD,11375,29
178491,40.76161142,-73.73587477,216862.6159,1057419.069,Little Neck,321695,,11,26,No,New York,No,OnCurb,19.0,4170587.0,Acer platanoides,Alive,Queens,0,51-014 248 STREET,11362,19
180294,40.77017766,-73.98303059,219873.7253,988950.3384,New York,106100,1or2,27,67,No,New York,No,OnCurb,3.0,1027195.0,Gleditsia triacanthos var. inermis,Alive,Manhattan,0,26 WEST 61 STREET,10023,3
201930,40.58154317,-73.82422549,151197.2761,1033075.47,Rockaway Park,338316,1or2,15,23,No,New York,No,OnCurb,32.0,4445259.0,Gleditsia triacanthos var. inermis,Alive,Queens,0,104-000 SHORE FRONT PARKWAY,11694,32
187054,40.77046435,-73.98179161,219978.2428,989293.5024,New York,106107,1or2,27,75,No,New York,No,OnCurb,3.0,1087510.0,Gleditsia triacanthos var. inermis,Alive,Manhattan,0,1880 BROADWAY,10023,6
183400,40.75359561,-73.89265187,213850.1084,1013991.642,Jackson Heights,341114,,13,34,No,New York,No,OnCurb,25.0,4028649.0,Acer platanoides,Alive,Queens,0,33-040 74 STREET,11372,25
194114,40.83711137,-73.87007198,244286.2385,1020202.442,Bronx,508835,1or2,32,87,No,New York,No,OnCurb,18.0,2028136.0,Lagerstroemia,Alive,Bronx,0,1471 ROSEDALE AVENUE,10460,18
158370,40.64273828,-73.96465201,173445.2447,994059.7379,Brooklyn,230757,,21,42,No,New York,No,OnCurb,40.0,3118427.0,Acer platanoides,Alive,Brooklyn,0,297 MARLBOROUGH ROAD,11226,40
190115,40.78603546,-73.97136276,225652.095,992180.3106,New York,106491,1or2,29,69,No,New York,No,OnCurb,6.0,1031384.0,Quercus phellos,Alive,Manhattan,0,40 WEST 86 STREET,10024,6
192177,40.62117761,-74.03768117,165590.3854,973789.3821,Brooklyn,203625,1or2,22,46,No,New York,No,OnCurb,43.0,3154614.0,Pyrus calleryana,Alive,Brooklyn,0,9101 COLONIAL ROAD,11209,43
208407,40.70804012,-73.91549691,197245.8972,1007678.257,Ridgewood,345512,,12,37,Yes,New York,No,OnCurb,34.0,4081691.0,Gleditsia triacanthos var. inermis,Alive,Queens,0,1817 DE KALB AVENUE,11385,34
199316,40.75988228,-73.87914913,216145.4162,1017729.519,East Elmhurst,341760,,13,34,No,New York,No,OnCurb,25.0,4033991.0,Quercus palustris,Alive,Queens,0,89-008 31 AVENUE,11369,25
192074,40.62097757,-74.03492543,165517.1857,974554.3691,Brooklyn,203633,,22,46,No,New York,No,OnCurb,43.0,3154485.0,Styphnolobium japonicum,Alive,Brooklyn,0,9011 RIDGE BOULEVARD,11209,43
183939,40.85358319,-73.90149295,250276.2026,1011501.186,Bronx,504242,,33,86,No,New York,No,OnCurb,15.0,2013691.0,Gleditsia triacanthos var. inermis,Alive,Bronx,0,2090 ANTHONY AVENUE,10457,15
171102,40.61418686,-74.16572026,163084.7428,938239.8309,Staten Island,408746,1or2,24,63,No,New York,No,OnCurb,50.0,5031495.0,Acer platanoides,Alive,Staten Island,0,201 LANDER AVENUE,10314,50
