latino,transitional_congregate_2,cases_last_12_months,other_referrals,commercial_mou_sro_hotels_2,rental_assist_queens,private_market_rental_2,single_cases,applications_withdrawn_by,rental_assist_brooklyn,transitional_congregate
10783,301,38114,32,529,18,17188,30441,22,119,223
10901,298,37089,24,509,18,17561,31074,12,107,278
10867,297,36654,51,390,24,18404,29713,36,121,185
10949,326,37264,70,502,17,16901,30395,16,137,225
10591,292,37420,31,409,18,18014,29707,29,111,282
10838,307,38087,42,544,17,17090,30433,22,119,227
10839,292,37425,18,409,14,17993,30798,25,104,283
11823,298,37889,33,378,15,20553,31012,22,111,126
10921,299,36662,38,395,21,18437,29803,20,116,184
10771,295,38224,43,513,16,17282,30530,26,120,228
10954,307,36719,35,386,22,18537,29844,23,122,182
10832,309,37956,39,501,16,17299,30717,29,109,313
10590,300,37423,28,410,18,18044,29765,22,115,285
11687,288,37718,22,369,18,20441,30771,18,111,140
10792,291,37394,33,398,20,18216,29883,21,114,192
