dbn,teach_3_more_exp,se_pp_city,element_score_tr,eni_pct,flbl_m_chronic_absent_all,survey_pp_ri,sf_pp_city,qr_3_1,rating_se_disp,tr_pp_city,n_prof_pct_mth_all,school_type,survey_pp_tr,principal_experience,black,asian,qr_4_1,ct_pp_city,survey_pp_ct,principal,n_prof_pct_ela_all,c3_lre_all
84X609,No Data,0.89,No Data,0.887,No Data,No Data,0.96,No Data,No Data,0.94,No Data,K-1,93%,No Data,0.449,0.006,No Data,0.9,No Data,No Data,No Data,No Data
15K896,0.333,0.89,No Data,0.826,69.6% to 85.4%,0.64,0.96,No Data,No Data,0.94,No Data,K-1,91%,1.1,0.0,0.6,No Data,0.9,0.87,No Data,No Data,No Data
84X608,No Data,0.89,No Data,0.656,69.6% to 85.4%,No Data,0.96,No Data,No Data,0.94,No Data,K-1,96%,No Data,0.717,0.075,No Data,0.9,No Data,No Data,No Data,No Data
84M358,No Data,0.89,No Data,0.609,No Data,No Data,0.96,No Data,No Data,0.94,No Data,K-2,,No Data,0.263,0.114,No Data,0.9,No Data,No Data,No Data,0.19
84K886,No Data,0.89,No Data,0.675,No Data,No Data,0.96,No Data,No Data,0.94,45,K-3,99%,No Data,0.899,0.015,No Data,0.9,No Data,No Data,45,0.19
84Q374,No Data,0.89,No Data,0.617,No Data,No Data,0.96,No Data,No Data,0.94,51,K-3,100%,No Data,0.651,0.118,No Data,0.9,No Data,No Data,50,0.19
84Q386,No Data,0.89,3,0.699,69.6% to 85.4%,0.74,0.96,No Data,Approaching Target,0.94,No Data,K-2,82%,No Data,0.537,0.042,No Data,0.9,0.71,No Data,No Data,No Data
12X595,0.471,0.89,No Data,0.948,69.6% to 85.4%,0.84,0.96,No Data,No Data,0.94,No Data,K-2,96%,1,0.26,0.0,No Data,0.9,0.9,No Data,No Data,No Data
84M357,No Data,0.89,3.38,0.857,69.6% to 85.4%,0.94,0.96,No Data,Exceeding Target,0.94,No Data,K-2,91%,No Data,0.551,0.009,No Data,0.9,0.93,No Data,No Data,0.19
84K882,No Data,0.89,No Data,0.786,No Data,No Data,0.96,No Data,No Data,0.94,51,K-3,96%,No Data,0.241,0.003,No Data,0.9,No Data,No Data,53,0.19
30Q222,0.737,0.89,3.42,0.578,69.6% to 85.4%,0.85,0.96,Well Developed,Meeting Target,0.94,No Data,K-2,90%,12.1,0.008,0.142,Well Developed,0.9,0.89,YVONNE MARRERO,No Data,0.19
14K319,0.909,0.89,4.62,0.889,69.6% to 85.4%,0.89,0.96,No Data,Exceeding Target,0.94,No Data,K-1,98%,13.9,0.039,0.0,No Data,0.9,1,Aleyda Zamora-Martinez,No Data,0.19
27Q051,0.632,0.89,4.48,0.688,69.6% to 85.4%,0.93,0.96,No Data,Meeting Target,0.94,No Data,K-1,97%,13.1,0.048,0.233,No Data,0.9,0.91,Magdaly Saint-Juste,No Data,0.19
22K889,0.375,0.89,4.52,0.634,69.6% to 85.4%,0.89,0.96,Proficient,Exceeding Target,0.94,No Data,K-1,96%,2.1,0.41,0.17,Proficient,0.9,0.98,No Data,No Data,0.19
25Q244,0.9,0.89,3.63,0.707,83.8% to 91.6%,0.89,0.96,No Data,Exceeding Target,0.94,73,K-3,91%,8,0.012,0.868,No Data,0.9,0.89,Mr. Robert Groff,75,0.24
04M112,0.762,0.89,3.91,0.865,69.6% to 85.4%,0.82,0.96,No Data,Meeting Target,0.94,No Data,K-2,93%,17.9,0.234,0.029,No Data,0.9,0.88,Eileen Reiter,No Data,0.19
