comparable_rental_3_building_classification,comparable_rental_1_building_classification,staten_island_condominiums_comparable_properties_expense_per_sqft,latitude,comparable_rental_2_building_classification,comparable_rental_1_market_value_per_sqft,comparable_rental_3_full_market_value,comparable_rental_2_gross_sqft,comparable_rental_3_estimated_gross_income,comparable_rental_3_estimated_expense,staten_island_condominiums_comparable_properties_market_value_per_sqft
D1-ELEVATOR,D1-ELEVATOR,5.69,40.634501,D1-ELEVATOR,37.07,"2,842,000",72600.0,"1,012,863","585,481",41.39
 ,D1-ELEVATOR,5.58,40.63533,D1-ELEVATOR,42.65, ,28800.0, , ,41.15
 ,C1-WALK-UP,8.54,40.584504, ,59.45, ,, , ,59.4
 ,D5-ELEVATOR,8.59,40.610665,D1-ELEVATOR,44.1, ,154860.0, , ,50.09
 ,C1-WALK-UP,7.03,40.627384,C7-WALK-UP,46.33, ,22800.0, , ,39.69
D1-ELEVATOR,D1-ELEVATOR,7.03,40.579323,D1-ELEVATOR,58.26,"5,566,000",98700.0,"2,466,552","1,638,769",44.18
