comparable_rental_1_distance_from_condo_in_miles,comparable_rental_1_estimated_expense,comparable_rental_2_estimated_gross_income,staten_island_condominiums_comparable_properties_neighborhood,staten_island_condominiums_comparable_properties_gross_sqft,comparable_rental_2_gross_income_per_sqft,staten_island_condominiums_comparable_properties_boro_block_lot,comparable_rental_2_address,comparable_rental_1_full_market_value,borough,comparable_rental_2_boro_block_lot,comparable_rental_3_gross_sqft,comparable_rental_2_year_built,comparable_rental_2_neighborhood,council_district,comparable_rental_1_year_built,longitude
0.51,445840,886528.0,NEW BRIGHTON,119085,12.21,5-00110-7501,630 VICTORY BOULEVARD,2701000,5,5-00589-0044,"77,000",1940.0,GRYMES HILL,49,1940,-74.086877
0.57,731969,1881014.0,SUNNYSIDE,65392,13.12,5-00610-7501,800 VICTORY BOULEVARD,4495000,5,5-00593-0001,"72,860",1961.0,GRYMES HILL,49,1965,-74.098392
1.1,306168,596590.0,NEW SPRINGVILLE,35212,14.95,5-02451-7501,141 ST MARK'S PLACE,1893000,5,5-00015-0001,"29,200",1925.0,NEW BRIGHTON,51,1971,-74.158363
0.33,585481,1318575.0,NEW BRIGHTON-ST. GEORGE,62045,17.48,5-00001-7502,60 HAMILTON AVENUE,2842000,5,5-00011-0020, ,1965.0,NEW BRIGHTON-ST. GEORGE,49,1965,-74.075882
0.53,507503,869671.0,SILVER LAKE,64500,11.94,5-00250-7501,650 VICTORY BOULEVARD,2921000,5,5-00589-0035,"242,500",1940.0,GRYMES HILL,49,1940,-74.100259
