nta,comparable_rental_1_estimated_gross_income,comparable_rental_2_full_market_value,bin,comparable_rental_2_estimated_expense,comparable_rental_3_net_operating_income,staten_island_condominiums_comparable_properties_estimated_expense,comparable_rental_2_total_units,comparable_rental_3_neighborhood,comparable_rental_1_neighborhood,staten_island_condominiums_comparable_properties_address,comparable_rental_1_total_units
New Brighton-Silver Lake                                                   ,869671,2566000.0,5089389,482342.0,"427,382",677594,60.0,NEW BRIGHTON-ST. GEORGE,GRYMES HILL,101 CASTLETON AVENUE,61
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,4782605,12153000.0,5104717,2635542.0, ,1467344,385.0, ,CONCORD-FOX HILLS,80 RICHMOND HILL ROAD,306
West New Brighton-New Brighton-St. George                                  ,1012863,1668000.0,5000038,326161.0, ,511593,70.0, ,NEW BRIGHTON-ST. GEORGE,80 BAY STREET,91
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,378996,1893000.0,5095350,306168.0, ,222540,56.0, ,NEW SPRINGVILLE,120 WELLINGTON COURT,36
Grymes Hill-Clifton-Fox Hills                                              ,869671,2566000.0,5112220,482342.0,"1,461,813",905256,60.0,GRYMES HILL,GRYMES HILL,55 AUSTIN PLACE,61
