comparable_rental_2_market_value_per_sqft,staten_island_condominiums_comparable_properties_full_market_value,comparable_rental_2_expense_per_sqft,comparable_rental_1_net_operating_income,staten_island_condominiums_comparable_properties_total_units,staten_island_condominiums_comparable_properties_condo_section,comparable_rental_3_boro_block_lot,staten_island_condominiums_comparable_properties_estimated_gross_income,comparable_rental_2_net_operating_income,community_board,comparable_rental_3_market_value_per_sqft,comparable_rental_3_total_units,bbl
35.34,4928992,6.64,423831,159,0092-R1,5-00008-0025,1454028,404186.0,1,36.91,91,5001107501
32.65,2115260,6.32,232045,37,0122-R2,5-02877-0025,673193,898859.0,2,35.94,156,5024527503
35.94,5967531,10.58,1777770,159,0110-R1,,2343971,827783.0,2, , ,5035857501
125.6,3354003,2.08,44615,52,0100-R1,,831672,65388.0,1, , ,5028297501
35.34,1845800,6.64,423831,47,0048-R1,5-00589-0053,638729,404186.0,1,40.23,72,5002517501
